0,1,2,3,4,5,6,7
Adar,ENSMUSG00000027951,1.6027129211795383,1.6204633022602013,1.4437018057443558,1.4387629732430955,1.8418224981292792,2.5681883220207107
Aebp1,ENSMUSG00000020473,2.3750060498017596,2.204273641792245,2.209899751359191,2.8626736110740616,3.988108574285912,5.2329347135298745
Aebp2,ENSMUSG00000030232,2.434771457650337,2.486530568323348,2.5101075765559386,2.623130914136095,2.846945677679006,2.9984740764980486
Akna,ENSMUSG00000039158,1.35496295458128,1.2440558858342055,1.2029030777836398,1.3745996733405177,1.9189924154446063,2.6403965129721576
Ankrd1,ENSMUSG00000024803,8.632524976248376,8.377055322620512,8.328735617666469,10.746388603850654,11.274181580567191,10.076842358528465
Apex1,ENSMUSG00000035960,2.494075690264353,2.4891615625638566,2.374130164675606,2.85370992549143,3.3940635028029704,3.6200730406790687
App,ENSMUSG00000022892,6.624452197043164,6.737677151206586,6.619469493820386,6.649935403716449,6.916485612288207,7.9293886574531545
Arid1a,ENSMUSG00000007880,2.8846467756580534,3.0296096232763485,2.955105459540775,2.817202538699401,3.0751722651764517,3.4455310748863743
Arid5a,ENSMUSG00000037447,0.644753838618276,0.8374170191972823,0.85906761533219,2.147399923069156,1.691079332527249,1.7347223148026323
Arid5b,ENSMUSG00000019947,1.966942649036028,1.898586829914301,1.8145681812502845,2.5752597598749776,2.104975533487722,2.366424803457998
Arnt,ENSMUSG00000015522,2.699205682628958,2.6866809087011623,2.736360594278237,2.8461861919888087,2.8745822389371907,3.1520525479670054
Arrb1,ENSMUSG00000018909,1.8684361884129272,1.9124555475485818,1.7322793078117875,1.6490102935230024,2.390806544418783,3.26198146219019
Atf1,ENSMUSG00000023027,3.880781582569068,3.9364735275666254,3.9285252991510284,4.138510270540252,4.418286605275521,4.315769830707619
Atf3,ENSMUSG00000026628,1.2382385227209873,1.5594879203297065,5.310488868448804,5.517475559197504,3.7196524830839777,4.173783669398945
Atf4,ENSMUSG00000042406,5.172176961288538,4.998607008881476,5.205575336230029,6.338789605148564,6.416306624960728,6.215872136539485
Atf5,ENSMUSG00000038539,4.647970333440202,4.7353991429454165,4.499133944697065,4.383018081449422,5.121890443491865,5.212719961241445
Atf6b,ENSMUSG00000015461,3.7230556234258576,3.583450048335473,3.5204200528623613,3.6662557322514875,4.407810972674983,4.872005994631163
Atoh8,ENSMUSG00000037621,3.2632024668609807,3.0519909631052715,3.435674003030553,3.795247998453103,3.2516908589265854,3.470477094805819
