Source,Target,PValue
Phf5a,Mphosph6,0.0
Hnrnpd,Enoph1,4.68406406039064e-161
Clock,Prkaa1,2.0924591387666295e-106
Pias4,Atp5g2,7.023234779099973e-102
Extl1,Rxrg,4.549706744214746e-98
Phtf2,Lancl2,4.680414557721412e-91
Clock,Chst14,1.3173896279117224e-90
Ssrp1,Uhrf1,1.1780243249653201e-89
Sox17,Sox7,1.1573104020131001e-88
Pml,Ctnna1,2.3267234967705964e-86
Cgrrf1,Hnrnpk,6.0323009863757545e-81
Smarcc2,Lemd2,7.308180653852875e-73
Dr1,Trnt1,1.6248326716824526e-70
Rfx1,Cs,1.234208290869652e-69
Phf5a,Odc1,3.934504845024514e-67
Snhg5,Trim27,1.0600837270179398e-64
Hltf,Zfp263,4.3012036734833726e-64
Ndn,Slc25a4,7.305877799264019e-63
Clpp,Zhx1,4.712479527743519e-61
Smyd1,Extl1,1.4955265433276077e-60
1810055G02Rik,Zfpm1,2.7698415982894366e-60
Mta3,Copb2,1.2473775821621942e-57
Gtpbp4,Phtf2,2.788093250577369e-55
Fzr1,Pias4,9.230549100397781e-54
Klf9,Tfdp1,5.1153380711530323e-51
Cetn2,Cnbp,5.562980449395174e-51
Tfpt,Myg1,2.130807835986875e-50
Pigs,Cc2d1b,7.816591971122444e-50
Zfp46,Vash1,2.593292534398392e-45
Phb,Mrpl28,2.4954107997347484e-42
Cc2d1a,Capn1,2.6166639682972203e-42
Rbbp8,Cggbp1,5.4449855074015366e-42
Cgrrf1,Nono,5.682843761524773e-40
C1qtnf9,Rxrg,1.3416762469401883e-39
Mlx,Tradd,3.451101015557004e-39
Acsl5,Maf,8.299727334505707e-39
Tmem143,Mta3,1.2001162067677912e-36
Zfp46,Alg12,1.8232599245247137e-36
Maged2,Taf10,1.0969109771837978e-35
Phb,Tufm,1.7595893759242948e-34
Zfp281,B3gnt3,2.2612120092416493e-34
Fxr1,Phtf2,3.357438126631099e-34
Tmpo,Rbbp8,4.667025300237659e-33
Rbbp5,Cgrrf1,6.05129336659656e-33
Mbd3,Dcakd,4.3134583277502565e-32
Tardbp,Sfpq,1.74949941247257e-30
Pml,Mapre3,2.499495788371595e-30
Cdk2ap1,Zfp422,6.2700679308520876e-30
Zfp46,Gm4285,7.812629817687253e-30
Lsp1,Runx1,1.337632337814786e-29
Cd24a,E2f2,4.650133848499379e-29
Rfx1,Spata2,9.208167237114056e-29
Maz,Prrc2a,1.1604155722667455e-28
Metrnl,Esrra,8.424628298748275e-28
Akna,Cttn,1.0094524169723825e-27
Phf5a,3110082I17Rik,5.016235105478843e-27
Nfkb1,Ripk1,7.319443195035285e-27
Pparg,Tgoln1,7.597957711943505e-27
Nfkb1,Ly6e,2.7506878899198836e-26
Hrasls,Rxrg,2.8846495506634893e-26
Mybl2,Npm1,4.990469572007433e-26
Nfkb1,Ikbke,2.58681710791859e-25
Tfdp1,Tmpo,8.908438532288085e-25
Asb8,Trp53,3.86303354228871e-24
Tlr1,Irf7,1.231748229567558e-23
Bmi1,Cetn2,7.500985204079406e-23
Sox9,Egln3,1.6024366140363312e-22
Zfp106,Phtf2,2.77018253371982e-22
Slc38a4,Elf1,6.545774208503476e-22
Nfkb1,Map3k14,1.3840813486193436e-21
Fah,Purb,2.384072768575297e-21
Hmgn5,Tln1,2.4354417173403173e-21
Zfp46,Arfip1,2.6940336795810667e-21
Mcmbp,Zfp263,3.486985363983904e-21
Zfp46,Cdk2ap1,4.599174061087891e-21
Lrrfip1,Cept1,4.738035231758132e-21
Atf5,Chmp2b,4.96061718938307e-21
Pcdh1,Nostrin,5.73804480287985e-21
Clock,Plekha6,1.6703313594549444e-20
Smarcc1,Top2a,1.8976489909289068e-20
Slc35c1,Smad1,2.5977377932582387e-20
Chd1,Tbl1xr1,2.653365002564773e-20
Hltf,Helb,3.068728274345776e-20
Nppb,Tbx20,6.18756418401673e-20
Smyd1,C1qtnf9,1.3894501477064936e-19
Ms4a8a,Smad1,2.6191102825707958e-19
Mbnl1,Lrrfip1,3.1541188128327673e-19
Mlx,Golph3,3.2202083703105234e-19
Top2a,Rbbp8,3.542468004069477e-19
Ndn,Ldhb,3.947871431660631e-19
Zc3h7a,Zfp263,5.31162997002581e-19
Fli1,Ifnar2,5.773307587403997e-19
Vps72,Pfn1,5.850362884647113e-19
Chd1,Mier1,7.285595022458821e-19
Kat2a,Mbd3,1.2406414374858244e-18
Med15,Kdm2a,1.7503595330519323e-18
Tcea1,Tnpo2,2.02942387087832e-18
Mlx,Glt8d1,2.033680447374721e-18
Cpeb3,Sod2,2.9593319834773383e-18
Trmt2b,Zhx1,3.778168790313798e-18
Trp53,Rae1,4.48141510888592e-18
Rad23a,Ubp1,5.747743648890736e-18
Phb,Mrpl2,6.384681035654005e-18
Psmg1,Phb,6.467864757575057e-18
Set,Sfpq,8.827243047731292e-18
Ghr,E2f2,8.892340816136805e-18
Usf2,Adarb1,1.051294754254313e-17
Ripk1,Camta1,1.4985283624303088e-17
Lrrfip1,Gsto1,2.01754328733135e-17
Nfkb1,Parp9,2.777104762758819e-17
Csrp3,Rxrg,3.955660384623858e-17
Lrrfip1,Filip1l,3.969451585469855e-17
Taf6l,Ogfr,4.96228115569683e-17
Cdk7,Zfp120,6.739092687285791e-17
Hnrnpab,Sfpq,7.883640838390937e-17
Cc2d1a,Zfp513,8.006059032311881e-17
Foxm1,Smarcc1,8.150523288393778e-17
Pml,Zc3hav1,1.295835537703166e-16
Smyd1,Hrasls,1.498358674822446e-16
Atf3,Cxcl2,1.587740102434639e-16
Gmds,Smad1,1.8244143523765946e-16
Zfp46,Cbfb,2.2049841262412374e-16
Lsp1,Nfkb1,2.259747299329797e-16
Kat2a,Mybbp1a,4.207454696502979e-16
1810055G02Rik,Maf,6.157310798865723e-16
Nfkb1,Esyt1,7.764210468562081e-16
Mob1a,Smad3,9.887345744315482e-16
Hmg20b,Ssr3,1.4110833264100404e-15
Zfp46,Pold4,2.0155727794559337e-15
Rxrg,Sec23b,2.2880963740511468e-15
Myh14,Irf1,3.029571667617606e-15
Fli1,Mbnl1,5.195889531542864e-15
Ppp1r3c,Rxrg,5.820686657719078e-15
Sphk2,Cnbp,1.1431106952732858e-14
Ddx41,Ddx49,1.4591511596700952e-14
Tnfrsf11a,Smad1,2.018136412039459e-14
Mbd2,Aktip,2.0329688102148128e-14
Trim28,Uhrf1,2.351175153379268e-14
Hspa12b,Sox17,2.8175028755270433e-14
Hells,Npm1,3.4557584457368514e-14
Sp100,Mcoln2,3.5789061669934195e-14
Psmd14,Rbbp8,3.825246287377022e-14
Steap3,Carhsp1,5.783706413102113e-14
Ercc3,Taldo1,5.821391815901606e-14
Ctnnbl1,Ercc3,6.213770496790371e-14
Prpf38b,Zfp263,6.759769132229227e-14
Myl1,Rxrg,6.856096897988998e-14
Cpeb3,Esrrg,8.213794495580207e-14
Ssrp1,Hmgb2,8.282163303539447e-14
Zdhhc20,Smad1,8.770853083137595e-14
Ikzf1,Tsc22d1,9.154761436236957e-14
Foxm1,Tfdp1,1.1754293816471172e-13
Tcf21,Wwtr1,1.4249928364876644e-13
Fsd2,Rxrg,1.5265656544644336e-13
Epas1,Calcoco1,1.6769927337872183e-13
Clock,S1pr2,1.716689631466587e-13
Tubb4b,E2f2,1.8285130624129004e-13
Smarca2,Adap1,1.8615416292902184e-13
Ybx1,Stk38,1.8863827822857732e-13
Hltf,Nr1d2,2.058210669318803e-13
Etv3,Plscr1,2.677210835347517e-13
Pmp22,Mafg,2.8777297290565305e-13
Lrrfip1,Ctnna1,3.099002692444495e-13
Mybl2,Tada2a,3.555653731335002e-13
Pml,Gsto1,3.7391708282866084e-13
Meox2,Nin,4.0926415824891254e-13
Shroom3,Elf1,4.119881422290071e-13
Nfib,Tacc2,4.1532065135347066e-13
