Source,Target,PValue
Cebpa,Ctsb,3.1482178163119245e-78
Arrdc1,Camta2,5.239265819141304e-40
Strn3,Son,4.81829974139355e-33
Naca,Uba52,4.475107388117631e-32
Mef2d,Ptpn23,4.9865350715523735e-26
Dhx38,Trp53,1.4208193616485223e-25
Son,Htatip2,1.0491861202034864e-22
Jph2,Mef2d,3.3693740790542974e-20
Dhx38,Mybbp1a,7.686559680796442e-17
Sf3b4,Rps3,2.0435882931017806e-16
Fli1,Sox18,1.2828749554765122e-15
Fli1,Sox17,1.5590063236938837e-15
Nr1h2,Klf13,1.9528330425260557e-15
Ppp1r8,Rplp0,5.6328619538390786e-15
Mef2d,Bin1,1.0866199775288973e-14
Jph2,Tfeb,6.101852222436237e-14
Samd4b,Foxp4,9.38922410786411e-14
Ctsb,Prdx5,1.1737586008313427e-13
Pnn,Bclaf1,6.425956362035314e-13
Sf3b4,Tfeb,7.201902166197966e-12
Son,Rock2,3.5537559108524714e-11
Slc4a3,Csdc2,4.4717787637935463e-11
Samd4b,Tfeb,8.361869299114996e-11
Epas1,Mettl7a1,1.9078924971055052e-10
Nfe2l1,Spock2,5.94541068422924e-10
Nat14,Snx32,7.877195258136731e-10
Smc5,Phtf2,1.6437029095926803e-09
Nfe2l1,Tomm70a,2.508067731442185e-09
Mef2d,Txn2,2.5843151734675116e-09
Emcn,Epas1,2.6059577462836306e-09
Meis3,Ano8,3.059787032982307e-09
Hnrnpk,Dgcr6,3.775154350887449e-09
Tfip11,Sap30bp,3.869353036756066e-09
Tead3,Snx32,6.4364734695968865e-09
Abcf2,Gtf2i,2.1854955427547022e-08
Dcaf11,Srebf1,2.468875422805373e-08
Tardbp,Sf3b3,3.2213123063486795e-08
Nfe2l1,Apbb1,4.068851151329958e-08
Tfeb,Elf4,4.153480840893048e-08
Lap3,Nr4a1,4.419170556749645e-08
Gbe1,Srf,4.4817968339200353e-08
Ncstn,Elf4,5.57438700319482e-08
Me3,Esrrg,7.210247447750183e-08
Emc2,Taf13,8.27707278709668e-08
Rps3,Rpl41,1.2401226844957624e-07
Maf1,Fbxw17,1.2926346377733865e-07
Rps3,Nono,1.9152683547530952e-07
Pbx2,Taf8,2.302776345742822e-07
Pold3,Ercc3,3.0781444629942237e-07
Tmem159,Nr0b2,3.411278033140248e-07
Prkaa2,Rorc,4.460370771525984e-07
Mier1,Plekhf2,5.093110254774134e-07
Sarnp,Dnajc8,7.130032039271385e-07
Fbln5,Glis2,7.89425396434613e-07
Set,Sf3b3,8.473269991941186e-07
Prrx1,Aebp1,1.25786010048338e-06
Arrdc1,Tfeb,1.328845514282737e-06
Armcx2,Zfp422,1.3840483369542252e-06
Strap,Zfp35,2.266046678673935e-06
Rbbp8,Katna1,2.3926756958705546e-06
Carhsp1,Prkcb,2.9955566657492697e-06
Hlf,Fn3k,3.0285552647434976e-06
Ndn,Armcx4,3.3717555249388455e-06
Chd1,Socs4,3.694824839700682e-06
Dhx38,Tcf3,4.094538311743253e-06
Tfeb,Lyrm2,5.190325614548578e-06
Prrx2,Twist1,6.837451894976878e-06
Fubp3,Tfeb,7.545160652134671e-06
