0,1,2
161,Irf1,ENSMUSG00000018899
162,Irf3,ENSMUSG00000003184
163,Irf5,ENSMUSG00000029771
164,Irf7,ENSMUSG00000025498
165,Irf8,ENSMUSG00000041515
166,Irf9,ENSMUSG00000002325
167,Irx1,ENSMUSG00000060969
168,Irx3,ENSMUSG00000031734
169,Irx5,ENSMUSG00000031737
170,Jdp2,ENSMUSG00000034271
171,Jun,ENSMUSG00000052684
172,Junb,ENSMUSG00000052837
173,Jund,ENSMUSG00000071076
174,Kdm1a,ENSMUSG00000036940
175,Kdm2a,ENSMUSG00000054611
176,Kdm5c,ENSMUSG00000025332
177,Kdm6b,ENSMUSG00000018476
178,Khsrp,ENSMUSG00000007670
179,Klf13,ENSMUSG00000052040
180,Klf15,ENSMUSG00000030087
181,Klf16,ENSMUSG00000035397
182,Klf2,ENSMUSG00000055148
183,Klf4,ENSMUSG00000003032
184,Klf6,ENSMUSG00000000078
185,Klf9,ENSMUSG00000033863
186,Ldb1,ENSMUSG00000025223
187,Lmo2,ENSMUSG00000032698
188,Lmo4,ENSMUSG00000028266
189,Lrpprc,ENSMUSG00000024120
190,Lrrfip1,ENSMUSG00000026305
191,Lyl1,ENSMUSG00000034041
192,Maf,ENSMUSG00000055435
193,Maf1,ENSMUSG00000022553
194,Mafb,ENSMUSG00000074622
195,Mafg,ENSMUSG00000051510
196,Mafk,ENSMUSG00000018143
197,Max,ENSMUSG00000059436
198,Maz,ENSMUSG00000030678
199,Mbd1,ENSMUSG00000024561
200,Mbd2,ENSMUSG00000024513
201,Mbd3,ENSMUSG00000035478
202,Med6,ENSMUSG00000002679
203,Mef2a,ENSMUSG00000030557
204,Mef2d,ENSMUSG00000001419
205,Meis3,ENSMUSG00000041420
206,Men1,ENSMUSG00000024947
207,Meox1,ENSMUSG00000001493
208,Meox2,ENSMUSG00000036144
209,Mier1,ENSMUSG00000028522
210,Mlx,ENSMUSG00000017801
211,Msl3,ENSMUSG00000031358
212,Mta1,ENSMUSG00000021144
213,Mta2,ENSMUSG00000071646
214,Mta3,ENSMUSG00000055817
215,Mxd3,ENSMUSG00000021485
216,Mxd4,ENSMUSG00000037235
217,Mybbp1a,ENSMUSG00000040463
218,Mybl2,ENSMUSG00000017861
219,Myc,ENSMUSG00000022346
220,Naca,ENSMUSG00000061315
221,Nat14,ENSMUSG00000035285
222,Ncoa3,ENSMUSG00000027678
223,Ncor2,ENSMUSG00000029478
224,Ndn,ENSMUSG00000033585
225,Nfatc1,ENSMUSG00000033016
226,Nfatc4,ENSMUSG00000023411
227,Nfe2l1,ENSMUSG00000038615
228,Nfe2l2,ENSMUSG00000015839
229,Nfib,ENSMUSG00000008575
230,Nfic,ENSMUSG00000055053
231,Nfil3,ENSMUSG00000056749
232,Nfix,ENSMUSG00000001911
233,Nfkb1,ENSMUSG00000028163
234,Nfkb2,ENSMUSG00000025225
235,Nfya,ENSMUSG00000023994
236,Nfyb,ENSMUSG00000020248
237,Nfyc,ENSMUSG00000032897
238,Nolc1,ENSMUSG00000015176
239,Nono,ENSMUSG00000031311
240,Nostrin,ENSMUSG00000034738
241,Npm1,ENSMUSG00000057113
242,Nr0b2,ENSMUSG00000037583
243,Nr1d1,ENSMUSG00000020889
244,Nr1d2,ENSMUSG00000021775
245,Nr1h2,ENSMUSG00000060601
246,Nr1h3,ENSMUSG00000002108
247,Nr2f6,ENSMUSG00000002393
248,Nr3c1,ENSMUSG00000024431
249,Nr3c2,ENSMUSG00000031618
250,Nr4a1,ENSMUSG00000023034
251,Nr4a3,ENSMUSG00000028341
252,Ogg1,ENSMUSG00000030271
253,Pa2g4,ENSMUSG00000025364
254,Pbrm1,ENSMUSG00000042323
255,Pbx2,ENSMUSG00000034673
256,Pcgf2,ENSMUSG00000018537
257,Pcna,ENSMUSG00000027342
258,Per1,ENSMUSG00000020893
259,Phb,ENSMUSG00000038845
260,Phf5a,ENSMUSG00000061360
261,Phtf1,ENSMUSG00000058388
262,Phtf2,ENSMUSG00000039987
263,Pias4,ENSMUSG00000004934
264,Pml,ENSMUSG00000036986
265,Pnn,ENSMUSG00000020994
266,Pou2f2,ENSMUSG00000008496
267,Ppara,ENSMUSG00000022383
268,Pparg,ENSMUSG00000000440
269,Ppargc1a,ENSMUSG00000029167
270,Ppp1r8,ENSMUSG00000028882
271,Prdm4,ENSMUSG00000035529
272,Prdx5,ENSMUSG00000024953
273,Preb,ENSMUSG00000045302
274,Prox1,ENSMUSG00000010175
275,Prrx1,ENSMUSG00000026586
276,Prrx2,ENSMUSG00000039476
277,Psip1,ENSMUSG00000028484
278,Psmc3ip,ENSMUSG00000019303
279,Ptges2,ENSMUSG00000026820
280,Puf60,ENSMUSG00000002524
281,Purb,ENSMUSG00000094483
282,Pus1,ENSMUSG00000029507
283,Rara,ENSMUSG00000037992
284,Rarg,ENSMUSG00000001288
285,Rbbp5,ENSMUSG00000026439
286,Rbbp8,ENSMUSG00000041238
287,Rbck1,ENSMUSG00000027466
288,Rbmx,ENSMUSG00000031134
289,Rbmxl1,ENSMUSG00000037070
290,Rbpj,ENSMUSG00000039191
291,Rcor1,ENSMUSG00000037896
292,Rcor2,ENSMUSG00000024968
293,Rela,ENSMUSG00000024927
294,Relb,ENSMUSG00000002983
295,Rere,ENSMUSG00000039852
296,Rest,ENSMUSG00000029249
297,Rfc1,ENSMUSG00000029191
298,Rfx1,ENSMUSG00000031706
299,Rnf10,ENSMUSG00000041740
300,Rnf4,ENSMUSG00000029110
301,Rnf6,ENSMUSG00000029634
302,Rorc,ENSMUSG00000028150
303,Rps3,ENSMUSG00000030744
304,Runx1,ENSMUSG00000022952
305,Runx3,ENSMUSG00000070691
306,Ruvbl2,ENSMUSG00000003868
307,Rxra,ENSMUSG00000015846
308,Rxrg,ENSMUSG00000015843
309,Safb,ENSMUSG00000071054
310,Safb2,ENSMUSG00000042625
311,Sap30,ENSMUSG00000031609
312,Sarnp,ENSMUSG00000078427
313,Scx,ENSMUSG00000034161
314,Set,ENSMUSG00000054766
315,Sfpq,ENSMUSG00000028820
316,Six5,ENSMUSG00000040841
317,Smad1,ENSMUSG00000031681
318,Smad2,ENSMUSG00000024563
319,Smad3,ENSMUSG00000032402
320,Smad4,ENSMUSG00000024515
321,Smad5,ENSMUSG00000021540
322,Smad6,ENSMUSG00000036867
