Unnamed: 0,0,1,2,3,4,5
Gnai3,8.316736520666666,9.624989056333334,8.216922108333334,11.826416959333336,15.871331903333331,34.83489917333333
Cdc45,0.9152943683333332,1.3545458846666667,1.2587406043333331,0.7962029806666667,1.5726132236666668,6.063635529666667
H19,3.608557258333333,4.893053843333334,6.0877062660000005,7.850631366333332,6.791609744666666,75.20876168666666
Scml2,0.0726239846666666,0.1057597659999999,0.0647061323333333,0.052365233,0.075787668,0.36960692
Apoh,0.07306749,0.152631873,0.0293740823333333,0.0878625753333333,0.069278545,0.1177915689999999
Narf,23.643524190000004,23.63691716,23.567064060000003,16.525647666666668,17.954341423333332,14.89805285
Cav2,27.589639176666665,24.759478556666664,23.976412326666665,21.590651860000005,24.22962314333333,26.132493916666665
Klf6,16.847072833333332,18.964451453333336,27.48968035333333,40.7070529,29.33013418333333,31.45454241333333
Scmh1,4.570636872666667,4.553875194666667,4.556817165999999,3.5415682126666668,3.762420752333334,3.579605013
Cox5a,156.54113413333334,162.7609248,161.0908068,157.63093460000002,133.1722782,83.01373309
Tbx2,6.931414832666667,6.533795773666665,8.039138656,5.743058507666667,7.0751439263333324,5.279200690333333
Tbx4,0.0,0.005294386,0.0043287716666666,0.0083114103333333,0.0095634969999999,0.0253698436666666
Ngfr,0.2066039776666667,0.3203225563333333,0.2468719763333333,0.220175255,1.046759751,1.6506854746666668
Wnt3,0.0,0.0,0.0,0.0,0.0,0.0045727136666666
Wnt9a,1.8843698683333332,2.3508285213333333,2.153714589,2.0539088800000003,2.631777556,2.683669552
Fer,4.138489378666667,4.242578060333333,4.114818725666667,3.1747468970000003,4.293441631666667,6.031830715000001
Xpo6,1.5909541406666667,1.3234066436666667,1.616289179,1.4893286796666665,2.3415866983333333,2.883626080333334
Tfe3,1.5006139473333333,1.5950219453333332,1.4369386426666668,1.9414056423333332,2.732878138666667,5.028120127333334
Axin2,0.8176947283333332,0.6027512413333334,0.6664624056666666,0.5320585983333334,0.6999073763333333,0.465919417
Brat1,1.5743833683333337,1.4908654626666664,1.361657387,1.5437154793333334,2.4687848446666667,2.9805289233333334
Gna12,33.81157962,34.65825284,36.06295807666667,27.80587333,34.934094423333335,47.559577993333335
Slc22a18,0.228934638,0.2420614436666666,0.2224649033333333,0.068818417,0.262084045,0.6689155836666667
Itgb2l,0.0,0.0,0.0,0.0484680413333333,0.03723048,0.0251715566666666
Igsf5,0.0,0.0198653486666666,0.0,0.0111484033333333,0.0,0.0377736673333333
Pih1d2,0.0588292776666666,0.0720496033333333,0.0650152246666666,0.044420496,0.1767328339999999,0.2205716493333333
Dlat,91.84966548333334,107.61099026666666,102.80964278,87.15783025333333,73.31349043333333,46.77650729333334
Sdhd,329.0228265,331.496139,318.80993429999995,272.39891993333333,249.7080615333333,210.94354410000005
Fgf23,0.0086419806666666,0.0,0.0,0.911431493,0.26051118,0.0233666513333333
Fgf6,0.0892882159999999,0.0654220473333333,0.1118290903333333,0.1985133573333333,0.0282481676666666,0.0469628583333333
Ccnd2,10.696223346333332,10.061603091,9.740470044333334,6.462036245666667,9.369793771666666,9.568568404
Gpr107,4.037254787999999,4.165088743,3.793990329333333,3.026852824,4.643083582,6.396833179333334
Nalcn,0.1259454063333333,0.1170247116666666,0.0955333593333333,0.0913323396666666,0.027490576,0.1507634253333333
Btbd17,0.0044512326666666,0.0057470509999999,0.0103183503333333,0.0044347516666666,0.0284418116666666,0.080866049
Slfn4,0.0650997983333333,0.1540736416666666,0.220226845,7.007051846333333,20.4625474,8.043609937666666
Th,0.0065263096666666,0.0,0.0,0.0,0.0112522523333333,0.0059499436666666
Ins2,0.011948592,0.0,0.0,0.0,0.0,0.0
Drp2,0.039074339,0.0489155713333333,0.0141872313333333,0.021219346,0.017053555,0.177719894
Tspan32,0.0521751646666666,0.0528188616666666,0.057290602,0.0477143253333333,0.190691861,0.8788290173333334
Lhx2,0.0067977763333333,0.0,0.0039558346666666,0.0,0.0217532453333333,0.116222979
Clec2g,0.0,0.0,0.0,0.0,0.0420461013333333,0.1000705673333333
Gmpr,52.74136102333333,44.78984588,50.5299789,43.022936396666665,47.04032036666667,24.593296906666662
Mid2,2.2436230546666667,2.428371326,2.191508592666666,2.002976037,2.3838846113333334,2.5518188483333333
Trim25,8.783421789666667,8.235086798666666,7.069574809,9.040120503666666,10.849918180666668,16.912104296666666
Dgke,2.99458008,2.803592510333333,2.8406549196666666,2.0145631133333333,2.2279904476666665,1.890220708
Scpep1,6.831257538999999,7.755595070999999,6.787236521666666,6.166316550333334,11.72456032,55.13136863333333
Mnt,4.526370936666666,3.213820842333333,4.049820059000001,4.651750649,5.7017921803333325,7.377614619666666
Itgb2,1.7183230276666668,2.198570118,2.039668933333333,5.199777425000001,21.250984223333333,50.34134080333333
Hddc2,0.65753392,0.5993754516666666,0.5848868386666667,0.5695526696666667,0.7061443653333334,1.6800258540000002
Tpd52l1,6.238390064333334,5.775937503333334,5.921353536333334,5.709365284666667,2.5488463226666664,2.803038765666667
Pemt,0.3057332646666666,0.536983685,0.3019253366666667,0.43572257,0.7925350473333334,0.9759863396666668
Cdh1,0.0,0.0069193946666666,0.0032186603333333,0.1730423146666666,0.9316099496666668,0.3333833616666666
Cdh4,0.2990879713333333,0.3239010476666666,0.2987209096666667,0.2098984396666667,0.1754260516666666,0.141170551
Ckmt1,0.0356935826666666,0.0629038393333333,0.0540779673333333,0.0175021423333333,0.0434357566666666,0.1215915283333333
Bcl6b,7.373197904666665,9.008470875,5.012474308333334,6.90118841,8.342327714333333,11.702813046666668
