GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Zbtb41,0.5384989,-0.03244377,0.5225051,-0.4306128,0.52757084,-0.27761167,0.52736145,-0.39826223,0.52742857,-0.39623788,0.5242906,-0.37668037,0.53632677,-0.2420569
Zbtb43,0.42479062,0.1341707,0.42479056,0.13417071,0.42479062,0.13417073,0.4247905,0.13417077,0.42479056,0.13417073,0.4247905,0.13417074,0.42479056,0.13417073
Zbtb44,0.6288353,0.05143655,0.57731473,-0.3835692,0.57731473,-0.38356924,0.57731473,-0.38356924,0.57731473,-0.3835693,0.57731473,-0.3835692,0.5764189,-0.004634317
Zbtb48,0.2927748,0.20891005,0.29277468,0.20891005,0.29277474,0.20891005,0.29277474,0.20891005,0.29277474,0.20891002,0.29277474,0.20891002,0.29277474,0.20891003
Zbtb49,0.012613058,-0.059295855,0.07380134,0.09165982,0.07380134,0.09165975,0.07380134,0.091659725,0.07380134,0.09165981,0.07380134,0.09165981,0.07380131,0.091659784
Zbtb6,0.428959,-0.26938266,0.68071455,0.10200758,0.6807146,0.102007516,0.6807146,0.10200755,0.6807145,0.10200756,0.68071455,0.10200749,0.67980087,0.1374597
Zbtb7a,0.69804907,0.16987605,0.71204793,0.16285084,0.7137162,0.21323602,0.71409506,0.22467849,0.714095,0.22467849,0.7148132,0.24636932,0.71481323,0.24636932
Zbtb7b,0.7446058,0.09664512,0.73007953,-0.53231215,0.741341,-0.25953338,0.7319795,-0.5383186,0.7325299,-0.5086784,0.734885,-0.3878347,0.72715664,-0.39259255
Zbtb8a,0.18817222,0.14143066,0.18817222,0.14143072,0.17264876,-0.23675226,0.17264873,-0.23675224,0.17264873,-0.2367522,0.17264876,-0.23675224,0.18817225,0.1414307
Zbtb8b,0.42183703,0.06305842,0.42218214,0.073485166,0.42218214,0.07348516,0.4221822,0.07348517,0.42218214,0.073485136,0.40868217,-0.073225416,0.38571268,-0.016952788
Zc3h8,1.1040789,0.24474268,1.1091713,-0.024573522,1.1093951,-0.017812273,1.1115996,-0.01896939,1.1115996,-0.018969366,1.109171,-0.02457356,1.106937,0.04483532
Zeb1,0.7213629,0.09923756,0.7505672,0.27194855,0.7480575,0.2893029,0.7515925,0.29683417,0.75214136,0.31341103,0.75214124,0.313411,0.75214136,0.31341103
Zeb2,1.3666209,-0.89446557,1.6614133,0.0952711,1.5807527,0.1915222,1.6955092,0.31736627,1.7412332,0.67363954,1.7412332,0.6736396,1.7412332,0.67363966
Zfhx3,0.9274746,0.26811787,0.9274745,0.26811785,0.9274744,0.2681179,0.9274746,0.26811787,0.9274745,0.26811782,0.9274746,0.26811785,0.9274746,0.26811785
Zfml,1.0809726,0.338852,1.0699569,0.010041213,1.0691918,-0.006802707,1.071533,-0.0024942737,1.0722995,0.014329376,1.0699569,0.010041228,1.0728071,-0.014531254
Zfp1,0.99282694,0.1755623,0.9899205,-0.24915883,0.9898821,-0.25031582,0.9907088,-0.24840784,0.9907472,-0.24725078,0.9899204,-0.24915889,0.9834255,-0.070269
Zfp105,1.1688449,0.31121126,1.1629474,0.24964963,1.1635281,0.2671914,1.1618116,0.25213253,1.1624205,0.25990117,1.1621937,0.2595362,1.1573384,0.31019118
Zfp110,0.76145816,0.17364131,0.7635231,-0.19556002,0.76383555,-0.18612483,0.7635232,-0.19556002,0.7635232,-0.19556004,0.7635232,-0.19556002,0.7583537,0.012629284
