Gene,6H,12H,18H,24H,48H
Kbtbd7,173.135,138.5533333,171.2933333,144.2266667,166.8633333
Lyar,2321.44,1503.67,2140.563333,1209.886667,1224.956667
Rad18,138.395,166.88,141.3266667,229.2066667,305.6333333
Fbxw9,76.23,88.12,76.98,87.78666667,68.13666667
Gpr160,293.375,355.0233333,323.6333333,446.62,406.8733333
Zscan21,437.84,563.62,537.7333333,651.3233333,611.7
Raver1,154.435,155.7766667,173.9366667,165.98,137.2133333
Isy1,197.525,133.1666667,169.95,141.8266667,143.39
Bloc1S4,794.27,537.5633333,753.16,552.7933333,488.6566667
Yae1,764.17,812.15,855.84,856.32,1092.963333
Gbp3,60.72,47.22,55.22666667,37.14333333,22.91333333
Trpt1,248.08,219.9166667,218.9966667,195.7366667,116.31
Nkap,168.02,121.1433333,118.2533333,106.8733333,82.00666667
Nicn1,361.48,347.0166667,328.8466667,350.03,247.1933333
Amz2P1,88.98,88.74333333,78.89333333,83.81666667,64.80666667
Dtnbp1,135.125,130.0533333,145.98,179.9733333,235.6133333
Atl3,1006.995,1373.376667,1071.27,1644.793333,1327.14
Cxcl16,145.48,170.4033333,211.2766667,247.7733333,165.63
Tchp,333.74,340.3966667,327.8366667,441.1966667,466.2333333
Copg2,141.375,116.8933333,175.73,141.22,125.7233333
Tmem175,139.165,211.5733333,172.2066667,223.55,153
Osbpl5,37.72,37.62333333,40.26333333,39.50666667,36.95
Rasd1,272.235,592.4133333,489.66,363.13,177.0366667
Rgma,33.115,37.28333333,37.04,35.33,43.56
Pigm,346.7,241.44,301.0333333,290.9466667,293.3333333
Mpv17L2,307.465,271.0933333,290.7733333,211.4766667,185.0133333
Irf2Bpl,311.165,253.7633333,322.5466667,186.3633333,156.2033333
Crispld1,138.8,111.1366667,92.91,74.35333333,74.24333333
Mtrfr,181.115,192.4133333,197.1233333,180.1666667,170.35
Mrpl47,3664.305,3268.16,3447.86,2919.476667,3027.173333
Tmem120A,228.82,221.7366667,257.7733333,239.6133333,190.6666667
C15Orf48,13.985,13.77,16.62,15.72,14.72666667
Haghl,73.58,87.92666667,96.37,93.34666667,96.79333333
Gnb4,15.14,16.81333333,15.14,17.17666667,19.66666667
Exosc3,813.895,772.3866667,801.2266667,722.0633333,673.4433333
Commd2,217.855,211.4666667,209.6933333,195.2566667,190.6633333
Ccdc8,135.9,96.56333333,116.7133333,86.52666667,79.20333333
Specc1,51.515,68.65666667,55.95,74.80666667,70.88666667
Cplx1,173.445,143.5466667,274.01,222.2166667,325.8366667
Tnfsf13B,33.43,28.29666667,43.06333333,35.36666667,32.48333333
Dnajc27,30.855,29.94,24.06666667,25.43333333,21.80333333
Zc3H8,301.255,357.7166667,385.06,508.0033333,489.8233333
Cldn2,174.36,114.4333333,68.47,73.33,46.05333333
Sprtn,94.8,124.0233333,116.1066667,130.26,130.3433333
Fbxo44,83.7,77.54,85.67666667,75.22666667,81.4
Tmem108,8.79,9.09,8.593333333,8.996666667,8.906666667
Dll4,96.86,91.65333333,87.66666667,92.61333333,100.6133333
Syt4,19.45,18.99333333,22.65,20.71333333,18.87
Rps6Kl1,37.185,46.47,44.18333333,54.21666667,51.69
Psd2,29.845,27.8,28.2,26.73666667,28.08
Nectin4,42.45,39.34666667,39.79333333,36.63666667,42.94666667
Pdzd4,45.76,46.34,46.15666667,42.18333333,51.49333333
Tmem79,95.785,136.4166667,120.0866667,141.8866667,134.4566667
Swt1,117.135,133.06,123.7733333,158.1233333,127.63
Espn,54.77,54.72,61.07,55.5,59.28
Pkib,313.09,541.5066667,391.27,534.9433333,266.34
Lrrc4,40.705,38.43,38.79333333,35.85666667,41.74
Tmeff2,16.72,16.74,17.36333333,15.99666667,19.30333333
Parvg,49.05,43.1,44.09,45.22666667,45.34
Plpp5,491.48,620.79,447.45,513.94,353.67
C1Qtnf6,51.315,63.98666667,54.16333333,61.69,74.01333333
Hhatl,11.56,11.61,9.9,11.42333333,13.33
Ppp2R2C,10.9,10.30333333,12,10.42,10.38
Kiaa1549,152.06,160.1866667,152.0166667,113.4033333,89.59333333
Mtres1,237.78,279.8233333,226.1733333,260.3533333,186.3833333
Talam1,189.69,102.98,183.6366667,145.1,147.2266667
Spsb2,253.52,166.7533333,219.53,160.1,112.3133333
Tnfaip8L2,15.055,12.83,14.38,15.39,15.88333333
Thap2,53.71,44.17666667,41.83333333,50.28666667,42.70666667
Znf416,215.055,204.0266667,271.87,182.53,183.1666667
Znf700,170.085,183.5,184.6433333,204.6466667,172.45
Rnf135,8.065,8.086666667,8.026666667,8.51,7.36
Aadat,110.4,106.98,104.4433333,85.69333333,79.12
Tmem117,240.8,256.9733333,238.6766667,167.79,188.9433333
Itln1,21.85,21.73666667,21.36,20.90333333,21.79333333
Trim6,368.41,398.94,259.5066667,298.6633333,225.0966667
Iqcn,59.08,41.57,52.05333333,64.37666667,84.88333333
