TF,gene,Confidence
ARID3A,RP1,Low
ARID3A,S100A2,Low
ARID3A,SAMD4B,Low
ARID3A,SBSN,Low
ARID3A,SFN,Low
ARID3A,SLC4A1,Low
ARID3A,SLCO5A1,Low
ARID3A,SMAD3,Low
ARID3A,SMCP,Low
ARID3A,SNORD94,Low
ARID3A,SP6,Low
ARID3A,SPRED2,Low
ARID3A,SPRR1B,Low
ARID3A,SPTA1,Low
ARID3A,GRIA4,Low
ARID3A,ACSL1,Low
ARID3A,AKNAD1,Low
ARID3A,ALAS2,Low
ARID3A,APCDD1L-AS1,Low
ARID3A,ARHGAP5-AS1,Low
ARID3A,ARTN,Low
ARID3A,ATP1B4,Low
ARID3A,ATP6V0CP3,Low
ARID3A,ATP6V0D2,Low
ARID3A,ATP6V1F,Low
ARID3A,BCL2L1,Low
ARID3A,BEST1,Low
ARID3A,BMF,Low
ARID3A,C10orf25,Low
ARID3A,C9orf84,Low
ARID3A,CA1,Low
ARID3A,CAPN14,Low
ARID3A,CAPNS2,Low
ARID3A,CASP1P2,Low
ARID3A,CCL3,Low
ARID3A,CLEC18B,Low
ARID3A,CPNE9,Low
ARID3A,CRAT8,Low
ARID3A,CRYBA4,Low
ARID3A,CSH1,Low
ARID3A,CSNK2A3,Low
ARID3A,DEFB4A,Low
ARID3A,DGCR6,Low
ARID3A,DLGAP1-AS4,Low
ARID3A,DNAJB5,Low
ARID3A,DNAJC6,Low
ARID3A,DPCR1,Low
ARID3A,DPF1,Low
ARID3A,E2F2,Low
ARID3A,ERCC1,Low
ARID3A,FAM181A-AS1,Low
ARID3A,FAM19A1,Low
ARID3A,FAM209B,Low
ARID3A,FGF10,Low
ARID3A,FJX1,Low
ARID3A,FOXR2,Low
ARID3A,FRMD4A,Low
ARID3A,GBP6,Low
ARID3A,GPR119,Low
ARID3A,GPR45,Low
ARID3A,GUCY1B2,Low
ARID3A,HMGA2,Low
ARID3A,HNF1B,Low
ARID3A,HOXC4,Low
ARID3A,ICA1,Low
ARID3A,IL17A,Low
ARID3A,IL1B,Low
ARID3A,INGX,Low
ARID3A,IZUMO1,Low
ARID3A,KDM6B,Low
ARID3A,KIAA1456,Low
ARID3A,KLHL30,Low
ARID3A,KRTAP12-4,Low
ARID3A,KRTAP4-3,Low
ARID3A,LGALS9C,Low
ARID3A,LINC00238,Low
ARID3A,LINC00488,Low
ARID3A,LINC00507,Low
ARID3A,LINC00691,Low
ARID3A,LINC01142,Low
ARID3A,LINC01179,Low
ARID3A,LINC01455,Low
ARID3A,LINC01567,Low
ARID3A,LINC01589,Low
ARID3A,MAP4K4,Low
ARID3A,MAT1A,Low
ARID3A,MC5R,Low
ARID3A,MESP2,Low
ARID3A,MIR1273C,Low
ARID3A,MIR138-2,Low
ARID3A,MIR181A1HG,Low
ARID3A,MIR548I1,Low
ARID3A,MIR631,Low
ARID3A,MIR6801,Low
ARID3A,MLLT10P1,Low
ARID3A,NLGN4Y-AS1,Low
ARID3A,NPPA,Low
ARID3A,NR5A1,Low
ARID3A,NTNG2,Low
ARID3A,ODAM,Low
ARID3A,OR1S1,Low
ARID3A,OR2T33,Low
ARID3A,OR4B1,Low
ARID3A,OR4K2,Low
ARID3A,PHOSPHO1,Low
ARID3A,PITX2,Low
ARID3A,PLA2G2C,Low
ARID3A,PLA2G4D,Low
ARID3A,PPP1R13L,Low
ARID3A,PPY,Low
ARID3A,PRAMEF8,Low
ARID3A,PRDM13,Low
ARID3A,PRKCD,Low
ARID3A,PTH1R,Low
ARID3A,PTX3,Low
ARID3A,RGMA,Low
ARID3A,RGPD1,Low
ARID3A,RNASE9,Low
ARID3A,RNF148,Low
ARID3A,RNF19B,Low
ARID3A,RNF24,Low
ARID3A,RNU5D-1,Low
ARID3A,RTP1,Low
ARID3A,SCML4,Low
ARID3A,SCRG1,Low
ARID3A,SERPINB13,Low
ARID3A,SERPINB2,Low
ARID3A,SFRP5,Low
ARID3A,SH2D4B,Low
ARID3A,SNORD62B,Low
ARID3A,SNORD71,Low
ARID3A,SPATA13-AS1,Low
ARID3A,SSTR3,Low
ARID3A,ST6GAL2,Low
ARID3A,STAT5A,Low
ARID3A,STRA6,Low
ARID3A,STXBP5L,Low
ARID3A,SYNE1-AS1,Low
ARID3A,SYT4,Low
ARID3A,TAS2R30,Low
ARID3A,TAS2R39,Low
ARID3A,TBX3,Low
ARID3A,TIAM2,Low
ARID3A,TMEM262,Low
ARID3A,TNFSF11,Low
ARID3A,TNS1,Low
ARID3A,TRIM50,Low
ARID3A,TRPC7,Low
ARID3A,USP2,Low
ARID3A,VASN,Low
ARID3A,VWA5B2,Low
ARID3A,WNT7B,Low
ARID3A,ZBTB8B,Low
ARID3A,ZNF385A,Low
ARID3A,ARID3A,High
ARID3A,CNR1,High
ARID3A,CORO2A,High
ARID3A,EN1,High
ARID3A,EXOC3L2,High
ARID3A,GSE1,High
ARID3A,APOBEC3A,Low
ARID3A,ARSJ,Low
ARID3A,CLCN1,Low
ARID3A,CPED1,Low
ARID3A,CRISP1,Low
ARID3A,DIO2,Low
ARID3A,HMGN2P46,Low
ARID3A,IL5RA,Low
ARID3A,LINC00941,Low
ARID3A,LINC01132,Low
ARID3A,MYH2,Low
ARID3A,ST8SIA2,Low
ARID3A,TMEM145,High
ARID3C,ARID3C,High
ARID3C,HNF4A-AS1,High
ARNT,TNRC6B,Low
ARNT,HMG20A,Low
ARNT,RNF139,Low
ARNT,TESK2,Low
ARNT,MAP3K13,Low
ARNT,PPFIBP1,Low
ARNT,SEC24B,Low
ARNT,SPRED2,Low
ARNT,ZFYVE1,Low
ARNT,CUTA,High
ARNT,DIAPH2,High
ARNT,HDAC5,High
ARNT,JMJD1C,High
ARNT,KHK,High
ARNT,NR1D2,High
ARNT,NR3C1,High
ARNT,PAK1,High
ARNT,PDE8A,High
ARNT,PDLIM5,High
ARNT,PER2,High
ARNT,PHF3,High
ARNT,RBM47,High
ARNT,SPAG9,High
ARNT,TET2,High
ARNT,AFF1,Low
ARNT,CGNL1,Low
ARNT,DNMBP,Low
ARNT,ARHGAP29,Low
ARNT,ELP2,Low
ARNT,UBR2,Low
ARNT,FZD5,Low
ARNT,LIMD1,Low
ARNT,DIXDC1,High
ARNT,MET,High
ARNT,MXI1,High
ARNT,SIRT1,High
ARNT,BCL2L14,Low
ARNT,KLHL13,Low
ARNT,MAST4,Low
ARNT,PRMT9,Low
ARNT,SNORD62B,Low
ARNT,ARNT,Low
ARNT,KIAA0922,Low
ARNT,PHLDB2,Low
ARNT,ARHGAP12,Low
ARNT,ATXN2,Low
ARNT,DEPDC7,Low
ARNT,DIP2B,Low
ARNT,FBXO7,Low
ARNT,GET4,Low
ARNT,GPBP1,Low
ARNT,KANSL1,Low
ARNT,KIAA1217,Low
ARNT,MEF2A,Low
ARNT,MICU1,Low
ARNT,PKN2,Low
ARNT,RAI14,Low
ARNT,SOX5,Low
ARNT,ZFX,Low
ARNT,EML4,High
ARNT,LNX1,High
ARNT,TRPS1,Low
ARNTL2,PPRC1,Low
ARNTL2,SLC7A1,Low
