TF,PValue,Label
Ddx20,93.1667,1
Foxm1,115.0,1
Yap1,132.0,1
Top2a,132.0,1
Smarca5,161.6667,1
Smarce1,174.3333,1
Atf1,180.0,1
Suz12,181.0,1
Kdm2b,195.1667,1
Cdkn2a,227.0,1
Nfatc1,249.6667,1
Tet1,280.6667,1
Gli3,362.5,1
Lhx1,390.0,1
Sall4,392.8333,1
Arid4b,415.3333,1
Tcf7l1,425.8333,1
Jdp2,446.5,1
Esrrb,450.6667,1
Snai2,468.5,1
Nr5a2,645.1667,1
Klf4,672.6667,1
Myc,673.8333,1
Pcna,49.3333,0
Dnmt3b,251.6667,0
Rps3,253.6667,0
Tead1,256.8333,0
Pnn,279.5,0
Thoc1,318.0,0
Tead2,327.0,0
Rfc1,346.0,0
Blm,397.3333,0
Gtf2h5,445.6667,0
Phf5a,457.3333,0
Dnmt1,474.6667,0
Sphk1,535.0,0
Xrcc6,579.5,0
Ercc2,651.3333,0
Dnmt3a,665.3333,0
Xrcc5,705.0,0
C1d,706.8333,0
Prkdc,744.3333,0
