GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Tmem30b,0.3245145,0.30882743,0.3245145,0.30882743,0.3303088,0.25222912,0.33030874,0.25222912,0.3303088,0.25222918,0.33030874,0.25222912,0.32451457,0.30882746
Tmem33,0.02408281,0.11436193,0.02408278,0.11436193,0.02408278,0.11436191,0.02408281,0.11436193,0.02408278,0.11436193,0.02408278,0.11436193,0.02408281,0.11436194
Tmem35,-0.044582248,0.04927091,-0.042669445,0.039227393,-0.04215148,0.03416769,-0.042055696,0.03533006,-0.04257369,0.040389698,-0.04266946,0.039227363,-0.040542975,0.019763287
Tmem37,0.05450523,-0.02490259,0.04983881,-0.017150775,0.04983878,-0.017150797,0.04983881,-0.017150775,0.04983878,-0.017150812,0.04983881,-0.017150778,0.03301376,0.010798659
Tmem38a,-0.027392492,0.035168152,-0.01282984,0.0012959354,-0.021314263,0.08417207,-0.021314263,0.084172115,-0.021314263,0.08417207,-0.021314263,0.08417207,-0.021314204,0.08417216
Tmem38b,0.21274793,0.23751192,0.21274793,0.23751192,0.21274793,0.23751192,0.21274793,0.23751192,0.21274793,0.23751192,0.21274793,0.23751192,0.21274793,0.23751192
Tmem39a,-0.009837359,-0.16000381,-0.009837359,-0.16000383,-0.009837359,-0.1600038,-0.009837359,-0.1600038,-0.009837359,-0.16000381,-0.009837359,-0.16000381,-0.06948739,-0.06091431
Tmem40,0.010415882,0.11745171,0.010415882,0.11745171,0.010415882,0.11745171,0.010415882,0.11745171,0.010415882,0.11745171,0.010415882,0.11745173,0.010415882,0.11745171
Tmem41a,-0.00741601,0.04786079,-0.006439984,0.038327035,-0.006439984,0.038327035,-0.0102728605,0.07576664,-0.0102728605,0.07576667,-0.010272831,0.07576664,-0.0102728605,0.07576664
Tmem42,0.15368396,-0.26762873,0.14595544,-0.29573205,0.16907749,-0.33414182,0.15428895,-0.30957547,0.16262239,-0.32341883,0.12960279,-0.06843987,0.13161784,-0.020565312
Tmem44,0.11742288,0.18254204,0.11742291,0.18254204,0.11742288,0.18254204,0.11742288,0.18254201,0.11742288,0.18254201,0.11742288,0.18254204,0.11742288,0.18254203
Tmem45a,0.32438213,-1.3512465,0.4262935,-0.5951466,0.35614544,-0.3729866,0.3741097,-0.06737044,0.3548925,0.20765291,0.35489255,0.20765288,0.3507672,0.24793337
Tmem47,0.24649632,-1.050445,0.3379957,-0.47581378,0.28461212,-0.27380309,0.28326964,0.069204345,0.26578295,0.23874377,0.26578295,0.23874377,0.2657829,0.23874374
Tmem48,0.4104895,0.2786676,0.42621022,0.0032169968,0.4386599,0.02157287,0.4268639,0.0014930591,0.43250692,0.08633645,0.4426604,-0.017503783,0.44505864,-0.050029766
Tmem50b,0.013849318,0.11855382,0.013849318,0.11855383,0.013849318,0.11855383,0.013849318,0.11855382,0.013849318,0.11855382,0.013849318,0.11855383,0.013849318,0.11855382
Tmem53,-0.014144689,0.10226062,-0.014144689,0.10226062,-0.014144659,0.102260634,-0.014144689,0.102260634,-0.014144659,0.102260634,-0.014144689,0.102260634,-0.014144689,0.10226062
Tmem54,0.39703906,0.35348764,0.39703912,0.35348767,0.40193617,0.30565336,0.4019361,0.30565333,0.4019361,0.30565336,0.4019361,0.30565336,0.39703912,0.35348767
Tmem55b,-0.02898617,0.09332892,-0.028986156,0.09332892,-0.028986156,0.09332892,-0.02898617,0.09332888,-0.028986156,0.09332892,-0.028986156,0.09332892,-0.02898617,0.09332891
Tmem59l,0.09910089,0.067891344,0.104279995,0.01730172,0.104279995,0.0173016,0.104279995,0.017301675,0.104280025,0.01730169,0.104279995,0.017301615,0.11144176,-0.052654807
Tmem60,0.004119128,-0.09883634,-0.016360492,0.10120946,-0.016360492,0.10120946,-0.016360492,0.10120948,-0.016360492,0.10120948,-0.016360492,0.10120948,0.004119128,-0.09883633
Tmem63a,0.01480329,0.12060279,0.01480329,0.12060279,0.01480329,0.12060279,0.01480329,0.12060279,0.01480329,0.12060279,0.01480329,0.12060279,0.01480329,0.12060279
Tmem63b,0.043603003,0.0067337826,0.068942726,0.011021171,0.0612455,0.08620794,0.068942726,0.0110212155,0.0612455,0.08620794,0.0612455,0.08620794,0.06124553,0.08620794
Tmem65,-0.011250079,-0.0105486475,-0.011894524,0.025770124,-0.018667996,0.09193401,-0.018667996,0.091933995,-0.018667996,0.09193401,-0.018667996,0.09193401,-0.018667996,0.09193398
Tmem68,-0.048493713,0.08150287,-0.0484937,0.081502885,-0.048493713,0.08150287,-0.048493713,0.08150287,-0.048493683,0.081502914,-0.0484937,0.08150287,-0.040324554,0.0017062798
Tmem69,-0.008602083,0.104761675,-0.008602083,0.104761675,-0.008602083,0.104761675,-0.008602083,0.104761645,-0.008602083,0.104761675,-0.008602083,0.104761675,-0.008602083,0.104761675
Tmem79,0.2175112,0.18363033,0.21751124,0.18363033,0.22398937,0.12035151,0.22398937,0.12035152,0.22398937,0.12035154,0.22398943,0.12035151,0.21751124,0.18363033
