GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
Elf3,-0.2400462,0.52411795,-0.04154984,-0.19268255,0.40717643,0.38644707,0.26058173,-0.5443186,0.8637443,0.645046
Elf4,-0.00023712963,0.10852708,0.33887175,0.10247621,0.48927945,0.5880694,0.72512645,0.6714799,0.48348737,1.097964
Elf5,-0.59990597,-0.35621518,-0.69216454,-0.3631258,-0.4862784,-0.47169423,-0.29799867,-0.37780714,0.051099874,-0.10208729
Elk1,0.6127853,-0.6160981,0.6127853,-0.6160981,0.6127853,-0.6160981,0.6127853,-0.6160981,0.6127853,-0.6160981
Elk3,-0.2222622,0.09121166,0.106557,-0.10410769,0.16550651,-0.13233419,0.568058,0.5119424,0.7381063,1.0834315
Elk4,0.7420873,0.3192669,0.9776972,0.14206615,0.05566898,-0.38956147,0.8346962,0.3806493,0.06902333,-0.609725
Eomes,0.09737781,-0.039857674,-0.38873,-0.21296357,-0.074147575,0.29866073,-0.19534537,0.13752444,-0.09570975,0.09676969
Ep300,0.87380964,0.32983795,0.9420361,0.77014846,0.34792015,0.111915916,0.7868851,0.66001886,-0.24407491,-0.107276976
Esrra,-0.4817047,-0.43347403,-0.023100384,0.8704741,-0.23684275,0.11882515,-0.19327375,0.22021078,-0.01364366,-0.16979212
Ets2,0.031348955,0.6736219,-0.6894719,-0.5364574,0.2815951,0.23356038,-0.25013727,-0.7265118,0.420036,0.5726261
Etv2,0.07527945,0.34678125,0.3087253,-0.04527894,-0.015669264,-0.31022885,0.3694399,0.2902643,0.15122384,-0.6714649
Etv3,0.3718652,0.7338406,-0.12324672,-0.40646127,0.45945287,0.52415174,0.33292603,-0.41049623,0.43034092,0.8003765
Etv4,-0.9198483,0.035805892,-0.37896603,-0.11225492,-0.36400643,0.23930033,-0.91726315,-0.3341293,-0.4676965,0.13669951
Etv5,0.48582155,-0.2956364,0.55854774,-0.18717693,0.45845768,-0.26973844,0.9354917,0.24860299,0.3223875,-0.5732707
Etv6,-0.16396686,0.7134093,0.066818036,-0.8765833,0.20183891,0.46023458,0.44475257,-0.59032845,0.9464798,0.77765477
Etv7,-0.43604785,0.47881225,-0.12908468,-0.28267235,-0.07107716,0.7217944,0.7895261,0.1887789,0.6380258,0.75781775
