GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
Epb41L5,-0.024502575,-0.026632164,0.18339312,0.16518725,0.40689874,0.3274313,-0.24866235,0.14902326,0.12835988,0.1850128
Epc1,0.66447455,0.23126702,0.5550551,0.07436979,-0.21611428,-0.64974654,0.529113,-0.08936557,-0.81021243,-0.5859572
Epc2,1.0691055,0.28867006,1.1901704,0.2809037,-0.11260148,-0.7222815,0.8988171,0.252299,-0.31966972,-0.43948704
Epcam,-0.36979598,0.13421229,-0.27565846,0.10448478,-0.33846492,0.10214591,0.21409413,0.6175804,0.4983133,0.47630852
Epha1,0.14077264,-0.29756626,-0.17961699,-0.2147379,0.12954348,0.018969234,-0.00965368,0.041526508,0.23130098,-0.19664235
Epha2,0.23889071,0.6619649,-0.89864665,-0.87747747,0.15600084,0.23231862,-0.5037441,-1.3356314,-0.33069807,0.036489416
Epha4,-1.1013039,0.15091822,-0.77101326,0.35473618,-0.3721011,0.13328606,-0.96280134,-0.16311224,-0.83589876,-0.14648609
Epha8,-0.021523006,-0.1492775,-0.07470285,-1.0123887,-0.032191746,-0.0148894675,-0.09310985,-1.1352351,-0.0667615,0.24149571
Ephb2,-0.12377297,0.42091876,-0.3905012,0.55122405,-0.19840002,0.44451976,0.34290266,0.9691572,0.10034188,0.6748996
Ephb3,-0.8430565,-0.63822484,-0.4975307,-0.49381906,-0.3195959,-0.2724978,-0.55661494,0.13497205,-0.4831375,0.044526745
Ephb4,0.58049273,-0.32046708,0.4540103,0.14421709,0.7454066,-0.28647518,0.62544274,0.17641585,0.7000413,-0.4880569
Ephb6,-0.39306572,-0.06399819,-0.5005933,0.29683828,-0.018181153,0.68402076,-0.4037204,0.1065816,-0.7502247,-0.21032122
Ephx1,0.46181077,-0.16516449,-0.09454029,0.37944564,0.14356604,0.88032216,-0.09454029,0.37944564,0.30963182,-0.021459829
Ephx2,0.35880917,0.03645585,-0.21320656,0.54953426,-0.19337812,0.683176,-0.21320656,0.54953426,0.37215918,-0.39660674
Epm2A,-0.1902501,0.05057117,-0.07521676,0.21127386,-0.16010895,-0.08949061,-0.056718066,0.16679029,0.02351971,-0.62058735
Epm2Aip1,-0.019588195,-0.15785141,-0.02426847,-0.03297757,-0.47310036,-0.25251162,0.037665173,-0.0029810332,-0.6195212,-0.5638955
Epn1,0.4880521,0.022340849,0.08030282,-0.07054277,0.44940665,0.15469474,0.29037237,-0.007844288,-0.05808171,-0.0717708
Epn2,-0.08089533,-0.16619694,-0.07818783,0.21629451,-0.815243,-0.35348925,-0.035992995,0.035603102,-0.5805777,-0.89572537
Eppk1,0.23385167,0.5115626,-0.16195461,0.17564811,0.1794546,0.24747543,-0.36815897,-0.6297333,-0.17161074,0.4320509
Eps15,0.50859255,0.19274306,0.8982821,0.7585635,-0.43763703,-0.57625526,0.45607373,0.38116688,0.020696916,-0.33578408
Eps15L1,0.0029841736,-0.2648359,-0.07286874,-0.301574,-0.45647722,-0.26720616,0.0029841736,-0.2648359,-0.52491164,-0.14534208
Eps8,0.13974491,0.28525105,-0.17370367,-1.3969111,0.13974491,0.28525105,0.14005244,0.34382308,-0.32364944,0.08013664
Eps8L1,-1.0784069,0.05370095,-0.41859668,0.23071493,-0.4314167,0.026298624,-0.83857346,0.0712689,-0.44264996,-0.20222257
Eps8L2,-0.21241686,-0.21078932,0.44031522,-0.48915863,0.095225714,-0.09954639,0.3562545,-0.4654483,0.07229989,-0.10116099
Eps8L3,-0.04590588,-0.24484004,0.42707777,-0.12070124,0.093730174,-0.69246954,0.07025554,-0.05654646,0.04465183,-0.10552588
Epsti1,0.14746122,0.21900837,0.008444168,0.18625025,0.070387185,0.3548654,0.2496016,0.066922784,-0.5607376,0.13736235
Epyc,-0.27937886,0.50647116,-0.27937886,0.50647116,-0.26086843,0.44141603,-0.28933454,0.5133114,-0.2928432,0.3440583
Erbb2,-0.2785715,-0.9551489,-0.47545403,0.97826743,0.019640211,-0.3821059,-0.6793376,0.021378186,-0.0056546405,0.17007484
Erbb3,-0.12993675,-0.52499443,-0.26961154,0.37119126,-0.17802683,0.4064196,-0.5042363,0.110100806,0.22514755,-0.38935453
Erbb4,-0.47551578,0.2943831,-0.5023774,-0.21560988,-0.42781216,0.28910714,-0.9832747,-0.07321815,0.28454688,-0.70465565
Erbin,0.23891506,0.1557502,0.3824938,0.18247697,-0.20821115,-0.36580035,0.22026885,0.1288196,0.2332817,-1.1967646
Erc1,-0.113773964,-0.19077756,-0.00932087,-0.43884256,-0.056326352,0.20957388,0.049702637,-0.35989597,-0.2148472,-0.49885046
Ercc1,0.13375574,-0.077675775,0.18223092,-0.32103172,0.23664874,-0.008155923,0.308529,-0.20808873,-0.041537262,0.08018242
Ercc2,0.35307857,0.465249,0.38888395,0.5080905,0.22645015,0.53002495,0.36285254,0.4254001,-0.012546457,0.039618816
Ercc3,0.5667404,-0.0070592873,0.41362676,0.7488416,0.38443145,-0.07405692,0.13605864,0.01095612,-0.008973546,-0.2014768
Ercc4,0.67180604,0.64172226,0.61821014,0.8279222,0.23421699,0.293425,0.51465726,0.16975015,0.29633945,-0.9350916
Ercc5,0.55950356,-0.5255506,0.45132172,-0.40211973,0.4102435,-0.47012264,0.19985178,0.022925332,-0.5313475,-0.23626266
Ercc6,0.5562757,-0.06456785,0.3811483,-0.3049917,-0.0043601394,-0.59042156,0.41245735,-0.1739522,-0.5641377,-0.37616843
Ercc6L,0.3153095,0.47707886,0.3883875,0.8791375,0.61357266,0.97701895,0.30570462,0.97338724,0.1642574,0.80821997
Ercc6L2,0.6592241,0.09131107,0.4015509,-0.24536972,0.16492704,-0.4534756,0.5490209,0.12554951,-0.40428513,-0.49056047
Erf,0.38503894,-0.16205822,-0.38690168,-0.45041022,-0.11319088,0.328225,-0.2135582,-0.014734,-0.41055727,-0.44180048
Ergic1,0.4564815,-0.06669475,0.8964237,-0.15088032,0.72480524,-0.1355269,0.75689065,-0.0691942,0.4894395,0.054022264
Ergic2,0.21302494,-0.17621194,0.20564315,-0.09729932,0.11817952,-0.18247525,0.085655205,-0.27994752,-0.08605095,-0.5436189
Ergic3,0.14384145,0.24000077,0.50917786,0.27989584,0.6041111,0.5826183,0.6041111,0.5826183,0.5453911,0.9927846
Eri2,0.21541387,0.9224745,-0.0635025,0.6216283,0.40773332,0.8332733,0.05924607,0.28343874,0.67617744,-0.24640371
Eri3,0.5054251,0.27646706,0.73825693,0.09656729,0.061437987,-0.24890532,0.63541037,0.18471676,0.04087927,-0.07991812
Erich1,0.4365459,-0.2992007,0.051541816,0.09195915,0.036478262,-0.8709769,-0.14022842,-0.15772864,-0.029777132,-0.39669043
Erich3-As1,0.29945377,-0.0033607818,-0.30375123,-0.350021,-0.18906689,0.21861829,0.1356408,-0.11871666,-0.3267477,0.18834491
Erich4,-1.1765958,0.659608,-1.1765958,0.659608,-0.4386568,0.08743037,-1.1187392,-0.2988315,-1.1187392,-0.2988315
Erich6,-0.16680935,-0.4399377,-0.057384916,-0.5595003,0.35578662,-0.2710479,-0.022429645,-0.33469164,0.6041703,0.21780898
Erlec1,0.6051179,-0.16416782,0.99219006,-0.46652508,0.78222114,-0.79168326,0.9676403,-0.12721391,0.9724074,0.26458082
Erlin1,0.88717145,0.53022486,0.3487078,-0.1549523,0.50331503,0.2617059,0.73521185,0.16052139,0.4583148,0.24284904
Erlin2,0.42927408,0.18417327,0.34755316,0.34904933,-0.1838367,-0.009096805,0.19534287,0.3688766,-0.08803033,-0.04306696
Ermap,0.12773737,0.3135246,-0.33791482,-0.27096844,0.34929276,0.78540266,0.0075514093,-0.25975105,-0.16550043,0.61655116
Ermard,0.10461696,0.037546244,-0.07286874,-0.301574,-0.55811,-0.5695883,0.3686574,-0.38908148,-0.52491164,-0.14534208
Ermp1,-0.26830614,0.116220266,-0.31461564,-0.034891386,-0.26830614,0.116220266,-0.31221813,-0.28226382,-0.5058496,-0.887576
Ern1,0.045924194,0.34174743,-0.71972,-0.97790027,0.16937882,-0.20287983,-0.035600856,-1.0704963,0.50096446,0.8747191
Ern2,-0.31656024,-0.4455937,0.02644369,-0.37091216,-0.12013621,-0.33611745,-0.2288144,-0.12822269,-0.22874218,-0.48555797
Ero1A,0.14633137,0.4508451,-0.2557119,-1.2496469,0.7711029,0.36253938,0.41344783,-1.2407444,0.96740174,1.0447173
Ero1B,0.3119059,0.19629548,0.6809495,-0.013246,-0.1911329,-0.7203308,0.75242275,0.5303118,0.18253127,-0.3959593
Erp27,-0.8283503,-0.04477607,-0.56367767,-0.20881073,-0.5895883,0.0888522,-0.45172113,-0.43443868,-1.379012,0.020320494
Erp29,-0.28513333,0.024736252,0.3302046,-0.5866678,0.32959837,-0.45265478,0.6339201,-0.10451485,0.32210588,-0.18283944
Erp44,0.48935416,0.04004141,0.72897655,-0.038590584,0.5278496,-0.49605113,0.9146837,0.25171086,0.58477837,0.36494964
Errfi1,-0.28541183,-0.17393944,-0.5972818,0.114020064,-0.3209315,-0.01863464,-0.07385864,0.43036944,0.09664176,0.3968188
Ervk13-1,0.54963136,-0.60021865,0.12527877,0.5981011,-0.278677,0.0928324,-0.32997406,0.05255343,-0.32709852,-0.4557419
Ervmer34-1,0.67314816,0.05136479,0.67314816,0.05136479,0.67314816,0.05136479,0.596387,0.8208153,-0.26303443,0.7677138
Ervv-1,-0.02517809,-0.20098466,-0.32092875,-0.41017675,-0.10066449,0.696822,-0.605847,-0.48885965,-0.47432625,-0.13268268
Ervw-1,-0.039825164,-0.5766682,-0.11897319,-1.1818087,-0.32878533,-0.21742466,-0.014481455,-0.83203304,0.27038857,0.40893203
Esam,-0.3854576,0.14973676,-0.05106532,0.16852759,-0.19901705,-0.13105394,-0.04676,0.51814395,0.20826879,0.6285539
Esco1,0.8285113,-0.025627103,0.48741958,-0.16660546,0.2473647,-0.57092416,0.59232736,-0.5216597,-0.34439734,0.29423845
Esd,-0.07521667,0.0038546138,-0.06400708,-0.23447119,-0.0060653836,0.38363385,0.2652728,0.48295408,0.11296482,-0.07080282
Esf1,0.31946635,0.2854519,0.12406144,-0.5461424,0.14337733,-0.29667145,-0.5940897,-0.7972363,-0.10282659,0.47752383
Espl1,0.020974405,0.69309896,-0.021771431,0.7959585,0.26080617,1.3836149,0.35362604,1.090466,0.07411909,1.1704249
Espn,-0.011084609,-0.38184005,-0.7323142,0.40241885,0.18709308,0.57467484,-0.7323142,0.40241885,-0.011084609,-0.38184005
Espnl,0.30597258,0.2771191,-0.0855562,-0.550381,0.29956496,-0.3756927,0.19859958,-0.2307175,0.62103695,0.31408057
Esrp2,-0.44337773,-0.68008006,-0.42618102,0.34775865,-0.27638233,0.89427763,-0.40523452,0.10204251,-0.18190953,-0.53124166
Esrrg,-0.56799895,-0.9563638,-1.067344,0.32691193,0.16580638,-0.117629305,-0.22967428,-0.20897983,-0.26728192,-0.4949628
Esyt2,0.059804,1.0767949,-0.2875128,0.86224985,-0.16710427,0.18799767,-0.09521719,0.119100004,-0.20528924,0.9585073
Etaa1,0.11280155,-0.26851827,0.064429864,0.5036441,-0.2673307,-0.4789874,-0.183469,0.09949958,-0.59908247,-0.45996228
Etf1,-0.23533052,0.6281726,0.07541075,-0.07685092,0.4602915,0.10578571,0.11944522,-0.28738955,0.7842634,0.7354115
Etfa,0.336955,0.09436621,0.34550247,0.1655382,0.3520828,0.20236339,0.32695442,0.15539561,0.30588606,0.4718664
Etfbkmt,0.06894104,0.2925523,0.16649204,0.6856557,0.06894104,0.2925523,0.16649204,0.6856557,-0.003555216,0.31862342
Etfdh,-0.28002897,0.21036126,0.049525715,-0.043061536,-0.22866866,0.5386642,0.049525715,-0.043061536,0.291112,0.37972602
Ethe1,0.10878004,0.8433411,-0.2200008,0.5522396,0.10878004,0.8433411,0.10878004,0.8433411,-0.25816536,0.5784784
Etnk1,0.030753076,0.53262985,0.05547981,-0.6948351,0.43394294,-0.6614634,0.30141136,-0.38962594,0.9860987,0.2613928
Etnk2,-0.084352784,-0.76704156,0.01158534,0.077641115,0.14139497,0.8109615,-0.21844769,-0.49389774,0.6486565,-0.26981258
Etv1,0.54028785,0.58481777,-0.23553589,0.733722,0.54028785,0.58481777,-0.23553589,0.733722,0.25560558,0.23424307
Eva1A,0.5671344,0.033319097,0.56628925,0.115383446,0.23310506,-0.57992136,0.3984661,-0.2993576,0.3513561,-0.84206825
Eva1B,-0.348144,0.21313721,0.039674528,-0.015563734,-0.09542938,0.40360653,0.17889902,0.5480362,0.5247015,0.9027198
Eva1C,-0.09129038,0.69581246,-1.0335245,-1.0816262,0.015939377,0.7016406,-0.48709983,-0.70663136,0.1838575,0.28009552
Evc,-0.2516615,0.4406911,-0.2516615,0.4406911,0.16533497,0.64967215,-0.32101882,-0.34000832,-0.32101882,-0.34000832
Evc2,0.030064479,-0.166679,-0.11880984,-0.55349743,-0.14602455,-0.7488023,-0.0029471293,-0.1689128,-0.08706956,0.018109348
Evi5,-0.5414868,0.16890337,-0.7424881,-0.57065547,-0.3214983,0.41853058,-0.6123167,-0.4382462,-0.123998664,0.62344694
Evi5L,0.41533718,0.0028613992,0.68189514,0.52312416,0.65377295,0.12679161,0.7305513,0.8242243,0.23975301,-0.0830147
Evl,0.4864406,0.40640664,0.4864406,0.40640664,0.4864406,0.40640664,0.41102093,0.0006036572,-0.7001131,-0.43708456
Evpll,0.094853945,-0.040798653,-0.24983138,0.55741,-0.17869684,0.73691577,-0.14889461,0.15243983,0.20917407,0.20102395
Evx1,-0.40769178,0.29637212,-0.51394,-0.0015297756,0.14073667,0.6235234,-0.26647,-0.639688,0.02916427,0.7200384
Ewsat1,0.07456148,0.4559625,0.3851788,-0.031457204,0.49892926,0.74463487,0.50393635,-0.08686164,0.70130885,0.54334915
Ewsr1,0.50740707,0.028782751,0.30343413,0.30449247,0.032435566,-0.14838007,-0.17378712,-0.70563465,-0.625692,-0.78995514
Exd2,0.5973708,0.0031989254,0.6478148,0.5153286,0.06341681,-0.36289176,0.3741442,0.3004193,-0.14359495,-0.47359908
Exo1,0.16601565,0.6553011,0.36877128,0.96600324,0.5934597,1.1282705,0.49256197,1.1317202,0.38291302,1.2602944
Exoc1,0.65863055,-0.19331534,0.16662231,0.57659703,-0.29979712,-0.9032178,-0.18222865,-0.22595628,-0.3960101,-0.14136769
Exoc2,0.5568114,0.36350912,0.9145963,0.24558842,0.5944147,0.12087135,0.9008575,0.36764625,0.502561,0.23753943
Exoc3,0.42550892,0.2444721,0.46540442,0.37035447,0.22385916,-0.097862765,0.4874198,0.27639958,-0.102464505,0.1419803
Exoc3-As1,-0.017033212,-0.09646383,-0.07587164,-0.34978855,-0.0014425069,-0.25401413,0.22643718,-0.3597132,-0.16697642,-0.05335321
Exoc3L1,-0.20294398,-0.20152755,0.052182898,0.33227763,-0.072596855,-0.029073317,0.17345342,0.5602158,0.5040262,0.6253228
Exoc3L2,0.07042103,-0.51986533,0.22025552,-0.3082046,0.37868592,-0.19183145,0.30872077,-0.56608725,0.23085198,-0.52179134
Exoc3L4,0.40243253,-0.15670581,0.11449176,0.4218899,0.4379193,0.75386643,0.35720855,0.48789898,0.075199395,-0.085649714
Exoc4,0.7090215,0.64004964,0.66233313,0.5452935,0.43786,0.4318276,0.6111586,0.7432288,-0.114446975,-0.071717784
Exoc5,0.43351325,0.39499402,0.9599224,0.56057656,0.052520588,-0.02090355,0.71503466,0.4432363,0.21947265,-0.5326271
Exoc6,0.6784052,0.46317104,1.153038,0.5968754,0.43805423,0.2743433,0.9728742,0.7950345,0.3297941,-0.0126349665
Exoc6B,0.09917689,-0.26608083,0.41153607,-0.5383004,0.2848282,-0.50415957,0.41686305,-0.129911,-0.023583628,0.12040469
Exoc7,0.8938472,-0.2980492,1.194652,0.26837894,0.6988216,-0.4246226,1.0010003,0.062016074,0.24903473,-0.103432566
Exoc8,0.457762,0.4723688,0.60419,0.26231045,0.14245,0.27121282,0.55857164,0.3203167,-0.18310064,-0.86767626
Exosc1,0.3616661,0.07331304,0.7045734,0.01885891,0.4505849,-0.2848097,0.698838,0.20571662,0.44705847,0.5683699
Exosc2,0.6487517,-0.035367366,0.62471235,0.30830324,0.4741388,-0.2127562,0.5381902,0.30022663,0.26364812,-0.05756593
Exosc3,0.7695153,-0.045879487,0.8032165,-0.0012476034,-0.52390844,-1.0645002,0.54222846,-0.050838422,-0.14461762,-0.3099795
Exosc4,0.13753876,-0.22962306,0.4413449,0.3357895,0.6067118,-0.15294546,0.4845634,-0.22873451,0.6484133,0.59817713
Exosc5,0.07490198,0.30785233,0.930807,0.47645682,0.8560889,0.011369269,0.71257776,-0.17724583,0.94097394,0.945631
Exosc6,0.68251336,0.038896475,1.2352258,0.32952738,-0.049331777,-0.86456263,0.9151477,0.24900196,0.14921014,-0.22961651
Exosc8,0.4403385,-0.060970377,0.6115301,-0.06936559,0.12628883,-0.33737987,0.68738306,-0.032627475,-0.3308922,-0.38974398
Exosc9,0.48696625,-0.2182057,0.61195785,0.026260715,0.40204328,-0.32453287,0.49025112,0.19764796,-0.1138295,0.4081906
Exph5,-0.34561077,-1.1213098,-0.03714323,0.07068162,0.5805449,0.23353745,0.013277225,-0.35195065,0.9158157,0.08327316
Ext1,0.03286431,0.32407182,0.6013875,0.062408898,0.52908254,-0.107559994,0.6751457,0.3051052,1.0748438,0.6448252
Extl1,-1.1780714,-0.44711876,-0.18620908,0.050974846,-0.14088371,0.023757193,-0.9908271,-0.004738163,-0.5089286,0.048435844
Extl2,0.16060504,0.12533598,0.084752135,0.088597864,-0.40048915,-0.17941642,0.16060504,0.12533598,-0.543173,-0.4079736
Extl3,0.38809344,-0.42426372,0.49860296,0.012193177,0.33219948,-0.45855016,0.8092171,0.35675144,0.69164515,-0.38501614
Ezh1,-0.007997192,0.105143294,-0.11357985,0.9965585,0.4214074,1.0605648,-0.3318767,-0.8178393,0.4952283,-0.48817247
Ezh2,0.37228742,0.50120664,0.56849813,0.62531173,0.62811595,0.8823795,0.43581784,0.5470816,0.24540415,1.0149726
Ezr,0.27428073,0.8511987,-0.46976638,-1.0913795,0.46828997,0.60860884,-0.61821175,-1.1531687,0.24120325,0.5168804
F10,-0.06754016,0.29983354,-0.2752701,-0.36805907,0.114158474,0.47537524,-0.08803377,-0.43412164,-0.24453104,0.18165605
F11R,0.15001842,0.661559,-0.31314984,-0.3998571,0.28527346,-0.08428922,-0.024918512,-0.73507863,0.3184131,0.5861844
F12,0.13919786,-1.1580522,-0.5389916,0.36248392,-0.17638475,0.82015294,-0.17638475,0.82015294,0.4254566,0.20121594
F2,0.00656851,0.4223007,-0.08126252,0.66021097,0.02419876,0.6948227,-0.08126252,0.66021097,-0.06329288,0.48874006
F2R,-0.21213162,0.16394879,-0.35414392,0.14211957,-0.24325895,0.46176937,0.3718788,0.64412665,0.35796678,0.64750385
F2Rl1,-0.18950534,0.5157028,0.30933613,-0.060794394,0.56333417,0.5835849,0.67327803,-0.043674674,0.9681045,0.8572538
F2Rl2,-0.075309075,-0.053897794,-0.17067716,0.22347784,-0.065935604,0.219869,0.2034471,0.5789876,0.21520695,0.4246631
F3,0.16917512,0.6942298,-1.1849873,-0.81251293,0.048771493,0.52091885,-0.5171449,-0.92006254,0.06812229,0.51687723
F5,-0.28862438,0.13500474,-0.19780862,0.15170507,-0.33189046,0.17595302,0.4309658,0.6055472,-0.20136124,0.4793279
F7,0.5207075,-0.8522369,-0.315649,0.55784315,-0.315649,0.55784315,-0.5389916,0.36248392,0.29717293,-0.6801665
Faah,0.2570554,-0.3519031,0.17277956,-0.309013,-0.20751005,-0.09796633,0.020369627,-0.20366538,-0.37426355,0.26844046
Faah2,0.19249228,0.376416,-0.0021461844,-0.1445417,-0.11417509,-0.09646775,-0.26283708,-0.44320583,-0.006585531,0.14361045
Faap100,0.5481406,-0.042434026,0.2226088,-0.7774516,-0.017438687,-0.3936098,0.35130328,-0.79756385,-0.1538347,-0.50315356
Faap20,-0.05967752,-0.6087353,-0.06961522,0.5315867,-0.39817977,0.3531228,-0.098077856,0.17712201,-0.33654922,-0.7567625
Fabp1,0.35794356,-0.7544913,0.4432792,0.65034604,0.4432792,0.65034604,-0.33457297,0.22180903,0.5565733,-0.80521464
Fabp2,0.46439117,-0.29113004,0.3629618,-0.3645805,0.34313798,-0.35609674,0.24810416,-0.58795047,-0.05563069,-0.3358964
Fabp3,0.30029434,0.25203788,-0.27783388,0.17643204,0.021690216,0.3983155,0.20238456,0.5739456,0.3363709,0.74207604
Fabp5,-0.14865705,0.033883244,-0.26295927,-0.041163597,-0.21419188,-0.22126792,0.42174914,0.5079466,-0.0061770305,0.44423503
Fabp6,-0.26223683,-0.105941236,-0.5674393,-0.16349275,0.32917985,0.25891483,-0.9162117,-0.63216466,-0.66993314,-0.05096637
Fadd,0.6029138,0.17945336,0.68160146,0.44077778,0.66108054,-0.018852372,0.7652611,0.42669678,0.59603375,0.2872857
Fads1,-0.20841268,0.075754166,-0.19503763,0.351916,-0.10787814,0.23498665,-0.26446795,0.6090808,-0.025717847,-0.3430165
Fads2,0.28125727,0.0980894,0.15748084,-0.12059367,0.3351944,-0.15209268,0.34190702,0.1263537,-0.34890616,-0.19919045
Fads3,-0.02851814,0.5091222,-0.23045301,0.35584557,0.105243534,0.39307246,0.19777748,0.35684496,0.5713637,0.6462715
Faf1,0.515589,0.15676382,0.5359214,0.049873184,0.19300458,-0.07989633,0.6897575,0.7459922,-0.045963354,0.40017873
Faf2,0.3922621,-0.24367465,0.5993272,-0.24611472,0.26774842,-0.655298,0.34613866,-0.2727608,0.011520609,-0.17546956
Fah,-0.12016883,-0.30093116,0.22719285,-0.09414823,0.25147763,0.06952877,0.22719285,-0.09414823,0.18248722,-0.2091088
Fahd1,0.0050033443,0.13487902,-0.020286411,0.03714415,0.17582695,0.5474032,0.05504799,0.08867398,-0.122261636,0.29858816
Fahd2A,-0.37970474,-1.0580924,0.15224391,0.5084672,0.12413603,0.81265986,0.0366947,-0.3791452,0.07287292,-0.40877405
Faim,0.42706484,0.028778892,0.45407552,-0.11542614,0.42706484,0.028778892,0.3393399,0.79209054,-0.20245045,0.27644464
Faim2,-0.52187407,0.09100361,-0.6339294,-0.74426794,-0.048044086,0.18831664,-0.65865445,-0.44272968,-0.3997284,0.08424628
Fam104A,0.6165359,0.26864034,0.9889738,-0.07566756,0.8078816,-0.02424204,1.039187,0.077478856,0.6017352,0.3820142
Fam104B,0.4850266,0.09412888,0.51402795,-0.016247574,-0.5062901,-0.8147398,0.34449053,-0.1256411,-0.13424411,-0.23365007
Fam107A,-0.21566075,0.44298503,-0.6351467,-0.1617579,-0.42249757,-0.12369782,-0.4303978,0.07067334,0.067979164,0.66236484
Fam107B,0.7276259,0.14584778,0.9031081,-0.36805096,-0.11717399,-0.6629553,0.8970749,-0.52945566,0.032001875,-0.37637132
Fam110A,0.07159923,0.08922124,0.44590494,-0.063828915,0.55044544,0.37437063,0.6819798,0.46751595,0.824585,1.1951287
Fam110B,-0.081364565,0.15651701,-0.5115884,-0.36128366,-0.26703715,-0.34229892,-0.41130427,-0.514887,-0.009648442,0.11363235
Fam110D,-0.28612018,0.20354751,-0.09929093,0.13042642,-0.023583718,-0.10272215,-0.20635659,0.30846754,0.29421797,0.6323487
Fam111A,0.14164351,-0.7403103,-0.30252025,0.10075663,0.24078551,0.018580418,0.28260186,0.58060235,-1.1237448,0.21708748
Fam111B,0.095785946,0.6338337,-0.1438368,0.95393455,0.40098864,0.72725666,0.00625775,1.0172344,0.2129848,0.84736156
Fam114A1,0.6473309,0.05378489,0.3288796,-0.46333152,0.288927,-0.50784516,0.32578036,0.68437934,0.16642173,0.25112763
Fam114A2,0.4213057,0.005916238,1.0623381,0.42179066,0.55518794,-0.106198564,0.73092765,0.3634367,0.31985122,0.14253405
Fam117A,0.10065602,-0.12932597,-0.45949978,0.97320676,-0.35763252,0.16062324,-0.19909093,0.76938087,-0.26438057,-0.5845611
Fam117B,-0.06401662,-0.17142797,-0.0037514493,-0.14487645,-0.2852927,-0.53776157,0.017178707,-0.24633564,-9.612739e-05,0.040282916
Fam118A,0.40463552,0.38740307,-0.26088694,-0.4415208,-0.03250172,-0.3741396,0.1430032,-0.5415693,-0.40923956,0.19169739
Fam118B,0.65945464,0.25862345,0.6600609,0.12461047,0.65945464,0.25862345,0.65980196,0.36773017,0.41442633,-0.3091724
Fam120A,0.6070054,0.06313081,0.9160009,0.106882036,0.5747858,-0.1389971,0.73782575,-0.38177833,0.73766714,-0.64177275
Fam120Aos,0.30191544,-0.4174213,0.58696675,0.08144228,0.6140197,-0.3240763,0.5204834,-0.08090599,0.37387714,-0.4081224
Fam120B,0.7860459,0.11559412,0.93651223,0.3691636,0.52237195,-0.26697302,0.87675816,0.4943759,0.033869267,0.22306189
Fam120C,0.018721808,-0.10410868,0.21050146,0.53386736,-0.028877221,0.3216417,0.21297109,0.2021119,-0.62023467,-0.6508577
Fam124A,-0.087718,-0.04929622,-0.23054487,-0.12287222,-0.47671658,0.06802662,0.014470831,0.23773366,-0.6072098,0.2808505
Fam131A,0.38260862,0.8098484,-1.0229312,-1.1758947,0.249715,0.2438436,-0.47913522,-1.5021262,0.14110535,0.57467276
Fam131B,-0.67324865,-0.29802445,-0.19081274,0.074420474,-0.14121193,0.0063019693,-0.4336685,0.1284912,-0.23263508,0.2891523
Fam131C,-0.21227446,0.71467024,-0.55966413,0.44218576,-0.32816684,-0.19606866,-0.63135284,0.0818008,-0.41159388,0.47725287
Fam135A,0.09257586,0.22736694,0.1925227,-1.075525,0.6936779,-0.58719695,0.26545975,-1.01233,0.90124893,0.41059875
Fam13A,-0.71183985,-1.238316,-0.26756126,0.268306,-0.18749604,-0.46208924,-0.24364191,0.40908253,0.049675953,0.20225017
Fam13B,0.26518446,-0.37587294,0.2681347,0.42378032,0.26011968,-0.30454803,0.28332877,0.4593544,-0.009822689,0.12119652
Fam13C,-1.049382,0.4818679,-1.1765958,0.659608,0.43082166,0.6455369,-1.2459531,-0.12109135,-0.60298157,0.096034065
Fam149A,-0.091940634,-0.60080165,-0.36899588,0.0643072,-0.0047691837,0.61641806,-0.023985364,0.062115412,0.44158095,-0.04330774
Fam161A,-0.31840265,-0.115068495,-0.25257367,0.21922639,0.03877177,0.10879864,-0.097556286,0.07088046,-0.3953185,-0.27383554
Fam161B,0.10057301,0.0895095,0.07363046,-0.10297111,0.10057301,0.0895095,-0.30158725,-0.25657457,-0.47329342,-0.52024597
Fam162A,-0.22708777,-0.7158519,-0.13315746,0.42426926,-0.06426718,-0.92954403,-0.38927767,0.46430898,-0.28389508,-0.031271253
Fam163B,-0.7656008,0.31698862,-0.6224903,0.27282178,-0.36008453,0.20721637,-0.9747683,-0.00032326207,-0.72328657,-0.2604198
Fam167A,0.32858533,0.95533,-0.73340493,-0.92495674,0.59019023,0.75626194,-0.34810555,-1.4405142,0.4910689,1.1319836
Fam167B,0.05442757,0.067572854,0.41422126,0.13096578,0.16578345,0.44005919,0.73166716,0.5732994,0.22712046,0.26033542
Fam168A,0.4613446,0.07369909,0.4485,0.4415735,0.36613488,0.16518854,0.55364,0.3834324,0.2080886,-0.9514087
Fam168B,0.34888297,-0.28463537,0.36990362,-0.40716422,0.07117244,-0.7670493,0.8534564,0.19869253,0.43619952,0.043883666
Fam169A,-0.037016578,0.53051543,-0.39284933,-0.23016267,-0.044127613,0.4380483,0.26356277,0.41467708,0.41137266,1.1779778
Fam170A,0.30671793,-0.26714456,-0.24660462,0.5355948,0.008508474,0.98031557,-0.24660462,0.5355948,0.29079476,-0.09860237
Fam171A2,-0.52170277,0.22426708,-0.33342066,-0.1329991,-0.3149931,0.38591117,-0.4184113,0.357809,-0.058063246,0.42109698
