0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.77678895,-0.63284445,-0.7972648,-0.6674856,-0.79726493,-0.6674858,-0.7943772,-0.674829,-0.79437745,-0.6748289,-0.79726493,-0.66748583,-0.7892364,-0.6669394
-0.6372911,-0.38491827,-0.6454452,-0.38688594,-0.64608574,-0.38679165,-0.64488506,-0.39280164,-0.6453277,-0.39273643,-0.64608586,-0.38679147,-0.6509794,-0.42619115
-0.2920104,0.11310604,-0.2920104,0.11310604,-0.29201046,0.11310606,-0.29201046,0.11310606,-0.29201046,0.11310606,-0.29201046,0.11310606,-0.29201046,0.11310605
-0.51174414,-0.02704078,-0.51582634,-0.046179324,-0.5158262,-0.04617933,-0.5158262,-0.046179287,-0.5158262,-0.046179295,-0.5158262,-0.046179324,-0.5158261,-0.04617933
-0.8699312,-0.12402065,-0.90242136,-0.15037903,-0.9105524,-0.14973152,-0.88854206,-0.1497096,-0.89900374,-0.14821994,-0.9105526,-0.14973772,-0.8848535,-0.13707292
-1.4698596,-1.5878463,-1.6812994,-1.2684027,-1.681299,-1.2684026,-1.6812994,-1.2684027,-1.6812992,-1.2684027,-1.6812992,-1.2684025,-1.6812993,-1.2684029
-0.84529567,-0.51448244,-0.853343,-0.52758014,-0.85334325,-0.5275801,-0.8522278,-0.52937955,-0.85222757,-0.5293794,-0.8533431,-0.52758014,-0.85078275,-0.5270347
-0.6968976,-0.41805744,-0.7055665,-0.46131396,-0.70556664,-0.4613139,-0.7049967,-0.46637064,-0.7049968,-0.4663707,-0.70556676,-0.46131408,-0.70395577,-0.46718186
-0.4525437,-0.50421876,-0.47274455,-0.5038349,-0.47274444,-0.50383496,-0.47274444,-0.5038349,-0.47274455,-0.5038349,-0.47274438,-0.50383484,-0.47274455,-0.503835
-0.5539932,-0.73348665,-0.5539932,-0.7334867,-0.5539932,-0.73348665,-0.5494238,-0.73415965,-0.5494237,-0.73415947,-0.49744168,-0.8390673,-0.5405133,-0.7354718
-0.6352266,0.18267998,-0.6352266,0.18268,-0.6352266,0.18268,-0.6352267,0.18268,-0.6352267,0.18268,-0.6352267,0.18267998,-0.6352266,0.18268
-1.0074656,-0.019537196,-1.1345829,-0.0059309117,-1.134583,-0.0059309304,-1.1345829,-0.0059309676,-1.1345828,-0.005930923,-1.1345831,-0.0059309825,-1.1345828,-0.0059309825
-0.6987357,0.07393183,-0.6987357,0.07393183,-0.6987356,0.073931836,-0.6987357,0.073931836,-0.6987356,0.07393183,-0.6987356,0.07393184,-0.6987356,0.07393184
-0.4810581,-0.3198983,-0.48442242,-0.32167745,-0.48442248,-0.32167745,-0.4828007,-0.32025915,-0.4828007,-0.32025915,-0.48442248,-0.32167745,-0.48195794,-0.3190592
-0.5151274,-0.66862106,-0.5160587,-0.67212605,-0.52136207,-0.61032826,-0.5198873,-0.6103354,-0.52105033,-0.61016417,-0.52136207,-0.6103283,-0.5206796,-0.61009765
-0.16835633,-0.013881415,-0.16730633,-0.01624325,-0.17239532,-0.01549384,-0.16594133,-0.015525036,-0.17103031,-0.014775649,-0.17239532,-0.01549387,-0.1694079,-0.014484279
-0.02052012,-0.08728413,-0.02052015,-0.08728425,-0.02052015,-0.08728425,-0.02052015,-0.08728425,-0.02052015,-0.08728425,-0.02052015,-0.08728425,-0.02052012,-0.08728419
-0.7422662,-0.14498594,-0.7480384,-0.1472903,-0.7480384,-0.1472903,-0.74608755,-0.14626385,-0.7460877,-0.14626385,-0.74803853,-0.14729035,-0.7452773,-0.14562541
-0.2901869,0.026452702,-0.29018697,0.026452683,-0.29018697,0.02645269,-0.29018697,0.026452681,-0.29018697,0.026452623,-0.29018697,0.026452694,-0.2901869,0.02645269
-1.166656,-0.44176996,-1.2758976,-0.36999947,-1.2758976,-0.36999947,-1.2758977,-0.36999953,-1.2758981,-0.3699994,-1.2758973,-0.36999953,-1.2758975,-0.36999953
-0.6366755,-0.24570717,-0.6388415,-0.24685262,-0.6401336,-0.22273208,-0.63779736,-0.24593954,-0.63779724,-0.24593948,-0.6388414,-0.24685262,-0.6372547,-0.24516703
-0.8408934,-0.36136037,-0.84089303,-0.36136037,-0.8408934,-0.36136037,-0.84089315,-0.3613603,-0.8408934,-0.3613605,-0.84089315,-0.36136043,-0.8431643,-0.37222242
0.059228063,-0.046574093,0.059228063,-0.046574093,0.059228063,-0.04657411,0.059228092,-0.04657405,0.059228063,-0.046574093,0.059228063,-0.04657411,0.059228063,-0.04657411
-0.18311265,0.13662659,-0.18311262,0.13662662,-0.18311262,0.13662665,-0.18311268,0.13662663,-0.18311262,0.13662663,-0.18311268,0.1366266,-0.18311268,0.13662659
-1.2897842,0.070187956,-1.2897841,0.07018798,-1.289784,0.070187956,-1.2897842,0.07018796,-1.2897841,0.07018795,-1.2897842,0.07018796,-1.289784,0.070187956
-0.25903073,-0.31132483,-0.26456013,-0.35871035,-0.26456013,-0.35871035,-0.26456013,-0.35871035,-0.26456013,-0.35871035,-0.26456013,-0.3587104,-0.26456013,-0.3587104
-1.0800239,-0.45200902,-1.0832777,-0.4600463,-1.0939945,-0.45846802,-1.0837945,-0.46827465,-1.0945116,-0.4666965,-1.0939945,-0.45846814,-1.0943469,-0.49051565
-0.92816854,-0.6476084,-0.95957506,-0.712252,-0.95957565,-0.712252,-0.9646255,-0.7429281,-0.9646256,-0.74292797,-0.9595754,-0.71225196,-0.95573235,-0.72781
-0.57694876,-0.73483163,-0.57638144,-0.73491496,-0.5763813,-0.7349151,-0.57638144,-0.7349151,-0.5763813,-0.7349152,-0.57638144,-0.7349151,-0.57433534,-0.7352164
-0.26510528,0.089228526,-0.23792312,0.109269574,-0.21231025,0.10044053,-0.21231022,0.100440525,-0.23981097,0.104490235,-0.21231022,0.10044052,-0.23981097,0.10449025
-0.47527543,-0.20233612,-0.48506376,-0.29222465,-0.4850637,-0.29222465,-0.48506382,-0.2922246,-0.4850637,-0.2922247,-0.48506382,-0.2922247,-0.48506394,-0.29222465
-1.4573193,-0.17274581,-1.5550414,-0.10229559,-1.5550414,-0.10229559,-1.5550412,-0.10229559,-1.5550416,-0.10229562,-1.5550417,-0.10229561,-1.555041,-0.10229564
-0.6082264,-0.75840044,-0.6007807,-0.7594968,-0.6077229,-0.7584744,-0.6007807,-0.75949675,-0.60772276,-0.75847465,-0.60420537,-0.7589926,-0.6077229,-0.7584746
-0.19194919,0.051722474,-0.19194907,0.051722493,-0.19194916,0.051722497,-0.1919491,0.051722553,-0.19194916,0.05172255,-0.19194907,0.051722568,-0.19891271,0.023238616
-0.6895293,-0.48255533,-0.6901934,-0.48290312,-0.69019353,-0.48290306,-0.68991804,-0.4827581,-0.68991816,-0.48275822,-0.69019353,-0.48290306,-0.6898036,-0.48266804
-0.40346298,-0.47550517,-0.401404,-0.47580844,-0.401404,-0.47580838,-0.401404,-0.47580844,-0.40140393,-0.47580838,-0.401404,-0.47580844,-0.39397982,-0.4769016
-0.08028337,0.13189068,-0.0802834,0.13189068,-0.08028337,0.13189067,-0.0802834,0.13189068,-0.0802834,0.13189068,-0.0802834,0.13189068,-0.0802834,0.13189068
-0.12358177,0.03842884,-0.12358177,0.038428802,-0.1235818,0.03842879,-0.1235818,0.0384288,-0.1235818,0.038428787,-0.1235818,0.038428813,-0.12358177,0.03842882
-0.29354635,-0.0054522753,-0.2935463,-0.0054522827,-0.29354623,-0.0054522827,-0.2935463,-0.0054522827,-0.2935463,-0.0054522865,-0.29354623,-0.0054522827,-0.29354623,-0.00545229
-0.33993867,-0.29365182,-0.3399385,-0.2936517,-0.33993855,-0.2936517,-0.3399386,-0.2936517,-0.33993855,-0.2936517,-0.33993855,-0.29365176,-0.33993855,-0.29365176
-0.3421189,-0.044658393,-0.3421189,-0.044658385,-0.34211883,-0.044658378,-0.34211883,-0.0446584,-0.3421189,-0.044658415,-0.34211883,-0.044658363,-0.3454189,-0.0604406
-0.41075197,-0.42036545,-0.438212,-0.45072144,-0.44060954,-0.45036834,-0.43841913,-0.45262223,-0.44081667,-0.45226914,-0.44060943,-0.4503683,-0.44487408,-0.49035996
-0.22471383,0.13233042,-0.22471383,0.13233042,-0.22471383,0.1323304,-0.22471383,0.1323304,-0.22471383,0.13233042,-0.22471383,0.13233039,-0.22471383,0.1323304
-0.1530557,-0.043152675,-0.156281,-0.044440232,-0.15628096,-0.04444024,-0.15519094,-0.043866694,-0.15519091,-0.04386668,-0.15628096,-0.044440225,-0.15473825,-0.043509945
-1.2156107,0.24119376,-1.2156107,0.24119377,-1.2156107,0.24119377,-1.2156107,0.24119379,-1.2156109,0.24119377,-1.2156107,0.24119377,-1.2156105,0.2411938
-0.44467875,-0.21923886,-0.46413556,-0.28655028,-0.4641355,-0.28655034,-0.46413562,-0.28655028,-0.46413556,-0.28655022,-0.4641355,-0.28655034,-0.46323106,-0.2866835
-0.6403369,-0.30912203,-0.6014042,-0.3247218,-0.6492444,-0.31383234,-0.5971106,-0.32096672,-0.64495075,-0.31007737,-0.6492443,-0.3138324,-0.6441637,-0.31803548
-1.0813948,-1.1020801,-1.1037483,-1.1590173,-1.1077304,-1.1597242,-1.1116707,-1.1828471,-1.1130034,-1.1820655,-1.106993,-1.1592437,-1.1047627,-1.1719793
-0.6378546,-0.84554297,-0.6512855,-0.9376633,-0.6541511,-0.939171,-0.6554003,-0.9539891,-0.65540016,-0.95398897,-0.65415096,-0.9391711,-0.64404726,-0.94197667
-1.1736016,-0.31712294,-1.1791288,-0.33472013,-1.1791286,-0.3347202,-1.1784531,-0.33436477,-1.178453,-0.33436477,-1.1791288,-0.33472025,-1.1781725,-0.33414364
-0.51061296,-0.29567224,-0.5166794,-0.3239712,-0.518101,-0.32376182,-0.51510286,-0.32272536,-0.51652455,-0.32251602,-0.51810086,-0.32376188,-0.5164877,-0.33043176
-0.023608685,-0.10039908,0.037449166,-0.067502126,0.03744915,-0.06750217,0.03744912,-0.0675022,0.037449107,-0.067502245,0.037449136,-0.0675022,0.03744912,-0.0675022
-1.1914526,0.070962474,-1.1914527,0.070962474,-1.1914526,0.070962474,-1.1914527,0.070962474,-1.1914527,0.07096246,-1.1914527,0.070962474,-1.1914525,0.070962474
-0.27523157,-0.059672542,-0.27523157,-0.05967255,-0.2752315,-0.059672527,-0.27523157,-0.059672564,-0.27523157,-0.05967257,-0.27523157,-0.05967255,-0.27523157,-0.059672557
-0.9139594,-0.5568146,-1.0531574,-0.1940287,-0.8668331,-0.11994463,-0.9982606,-0.105261624,-0.9982605,-0.10526167,-0.9982605,-0.105261624,-0.9982605,-0.10526164
-1.06095,-0.72747326,-1.0704755,-0.79528224,-0.99558246,-0.6825984,-0.9956131,-0.6858577,-0.9956132,-0.6858579,-0.99558234,-0.68259823,-0.9816785,-0.5226464
-0.9820405,0.06698177,-0.9820404,0.066981755,-0.9820404,0.06698176,-0.9820404,0.06698175,-0.9820404,0.06698175,-0.9820404,0.06698176,-0.9820405,0.06698176
-1.0731149,0.051525354,-1.0731149,0.051525343,-1.0731149,0.05152535,-1.0731149,0.05152534,-1.0731149,0.05152534,-1.073115,0.05152534,-1.0731149,0.051525347
-0.2811698,0.04740593,-0.28319612,0.037715223,-0.28319612,0.03771522,-0.28319612,0.037715226,-0.28319612,0.037715238,-0.28319612,0.037715226,-0.28319612,0.03771525
0.034279346,0.032161657,0.034279317,0.03216164,0.034279317,0.032161623,0.034279317,0.032161623,0.034279346,0.03216163,0.034279317,0.032161627,0.034279317,0.032161634
-1.7086424,0.17494045,-1.7458949,0.15228218,-1.7528632,0.15330835,-1.7282517,0.16522002,-1.7352202,0.16624606,-1.7528632,0.15330833,-1.7232642,0.18022059
-0.662683,-0.7348787,-0.66810477,-0.73774594,-0.66810465,-0.73774576,-0.6654912,-0.73546016,-0.66549134,-0.7354602,-0.66810477,-0.7377457,-0.66413295,-0.7335265
-0.5546447,-0.5452456,-0.5546446,-0.5452456,-0.5546446,-0.54524565,-0.5546447,-0.5452456,-0.5546447,-0.5452456,-0.5546446,-0.5452456,-0.5546447,-0.5452456
-0.24296215,-0.32441622,-0.24296221,-0.32441622,-0.24296215,-0.32441628,-0.24296209,-0.32441616,-0.24296221,-0.32441628,-0.24296227,-0.32441622,-0.24857119,-0.35959655
