GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Fbxo31,0.13698876,0.030187387,0.13695478,0.03006703,0.1369037,0.029813686,0.13692048,0.030072004,0.13690192,0.029806895,0.13691047,0.029993035,0.13667214,0.028265892
Fbxo32,0.18930617,0.06634468,0.1893062,0.06634468,0.18930617,0.06634472,0.1893062,0.066344686,0.1893062,0.0663447,0.1893062,0.066344656,0.1893062,0.06634471
Fbxo33,0.0052083135,0.10306445,0.0052083135,0.103064515,0.0052083135,0.10306454,0.0052083135,0.10306454,0.0052083135,0.10306452,0.0052083135,0.10306446,0.0052083135,0.103064485
Fbxo38,-0.007992357,0.09986651,-0.007992357,0.09986651,-0.007992357,0.099866524,-0.007992327,0.09986654,-0.007992327,0.09986654,-0.007992327,0.099866554,-0.007992357,0.09986652
Fbxo4,-0.23043431,-0.63407016,0.055951536,-0.088841245,0.055951536,-0.08884126,0.101575315,0.06594759,0.101575315,0.06594756,0.101575315,0.065947615,0.101575315,0.065947615
Fbxo45,-0.006360084,0.035693284,-0.01743728,-0.0028844364,-0.017974705,-0.01883236,-0.020625412,-0.014056023,-0.010250449,0.011010934,-0.0144067705,-0.007420521,-0.020666912,-0.028007124
Fbxo5,0.44819826,0.024984403,0.32072848,-0.25280282,0.384084,-0.18008064,0.32072848,-0.25280282,0.37993604,-0.19334768,0.34839833,-0.29421914,0.34839827,-0.29421917
Fbxo8,0.10890949,-0.01657864,-0.06591153,-0.37785858,-0.046349615,-0.363738,-0.06868228,-0.3900388,-0.047261104,-0.36997157,-0.046621278,-0.36460698,-0.09416534,-0.39657584
Fbxw17,0.1470812,0.10141252,0.14708117,0.10141248,0.14708117,0.101412505,0.14708117,0.101412505,0.14708117,0.10141249,0.14708117,0.10141252,0.1470812,0.101412505
Fbxw2,0.14226535,0.02794352,0.14226535,0.027943524,0.14226535,0.027943509,0.14226532,0.027943503,0.14226532,0.027943514,0.14226535,0.027943501,0.14226538,0.027943539
Fbxw5,-0.011235952,0.04106196,-0.00027951598,0.09584513,-0.00027948618,0.09584515,-0.00027948618,0.095845155,-0.00027948618,0.095845155,-0.00027951598,0.09584513,-0.00027948618,0.09584516
Fbxw7,0.046937764,-0.0136295,0.08068299,0.09430234,0.08068299,0.09430234,0.08068299,0.09430234,0.08068299,0.09430233,0.08068299,0.09430233,0.08068299,0.09430233
Fbxw8,0.06396833,-0.03846472,0.06396833,-0.038464677,0.09693277,0.07775198,0.0969328,0.07775195,0.0969328,0.07775193,0.09693277,0.07775198,0.09693283,0.07775196
Fbxw9,0.00704515,-0.05809615,-0.009551108,-0.0785671,-0.009551108,-0.07856707,-0.009551108,-0.07856701,-0.009551078,-0.07856706,-0.009551108,-0.07856707,-0.024943009,-0.010216147
Fcgr2b,-0.0013923645,0.038807787,0.0048723817,0.07896745,0.0048723817,0.078967445,0.004872322,0.07896742,0.004872322,0.07896746,0.0048723817,0.07896745,-0.0013923943,0.03880774
Fcgrt,-0.011822045,0.045443997,-0.033797964,-0.024844427,-0.011822045,0.045444038,-0.03379795,-0.024844442,-0.03379795,-0.024844427,-0.0189818,0.022544041,-0.03379795,-0.024844427
Fcho1,-0.046022624,-0.22118138,0.073972404,-0.068008095,0.0897125,-0.017664496,0.10327083,0.031249879,0.10327083,0.031249851,0.10327083,0.031249844,0.11178976,0.085859865
Fcho2,0.095585376,-0.033752535,0.095585376,-0.033752535,0.095585376,-0.03375252,0.095585376,-0.033752505,0.095585346,-0.033752527,0.095585376,-0.033752535,0.095585376,-0.03375252
Fchsd2,0.18934637,0.08066864,0.18757066,0.08018017,0.18757063,0.08018016,0.18757063,0.08018015,0.18757063,0.08018018,0.18757063,0.08018021,0.1875706,0.08018017
Fdx1,-0.012070149,0.09716706,-0.012070149,0.09716705,-0.012070149,0.09716705,-0.012070149,0.097167045,-0.012070149,0.097167045,-0.012070149,0.09716705,-0.012070149,0.09716706
Fdxr,0.14792305,0.088202626,0.14792305,0.08820264,0.14792305,0.088202626,0.14792305,0.08820262,0.14792302,0.088202626,0.14792305,0.08820261,0.14792305,0.08820263
Fech,-0.012070149,0.09716706,-0.012070149,0.09716705,-0.012070149,0.09716705,-0.012070149,0.097167045,-0.012070149,0.097167045,-0.012070149,0.09716705,-0.012070149,0.09716706
Fem1a,0.04392311,0.09488325,0.04392311,0.09488331,0.04392311,0.09488326,0.04392308,0.094883256,0.04392311,0.09488325,0.04392308,0.0948832,0.04392305,0.09488323
Fem1b,0.03292525,-0.13602875,0.036410093,-0.26738334,0.10846639,-0.060422216,0.049376577,-0.24941717,0.049376577,-0.24941714,0.10275221,-0.078698695,0.08268762,-0.104186
Fem1c,0.16818905,0.02050739,0.16116494,0.0008469783,0.16811174,-0.0095512085,0.16116488,0.00084695965,0.16116494,0.000846982,0.16116488,0.0008469634,0.16547278,0.014625356
Fen1,0.5163685,0.033776417,0.3961888,-0.22812389,0.45592105,-0.15956075,0.3961888,-0.22812389,0.45201027,-0.172069,0.42227614,-0.26717156,0.42227614,-0.26717156
Fermt2,0.11401284,-0.17605238,0.26777202,0.11693871,0.26777202,0.11693868,0.26777202,0.11693871,0.26777208,0.116938725,0.26777202,0.11693874,0.26777202,0.11693874
Fes,0.10890126,-0.16377495,0.21462846,0.07251988,0.21462846,0.07251985,0.21462846,0.07251985,0.21462849,0.07251988,0.21462846,0.0725199,0.2106663,0.04712069
Fetub,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903
Fez1,0.00798282,0.10850218,0.0079827905,0.10850218,0.00798282,0.108502194,0.00798282,0.108502224,0.00798282,0.10850223,0.0079827905,0.108502194,0.007982761,0.108502164
Fgd1,0.028792262,0.058575757,0.013799369,0.008891642,0.0137993395,0.008891638,0.0137993395,0.008891653,0.013799369,0.008891668,0.013799369,0.008891631,0.0029296875,0.025161378
Fgd2,0.077492565,-0.08272162,0.12053031,0.04551459,0.12053031,0.04551457,0.12053031,0.04551457,0.12053031,0.045514602,0.12053031,0.045514576,0.115415156,0.01272434
Fgd3,0.020893782,-0.15968327,0.12481254,-0.027031284,0.13844383,0.01656755,0.1501857,0.05892864,0.1501857,0.05892862,0.1501857,0.058928616,0.15756333,0.10622229
Fgd4,0.14011568,0.020236403,0.14011568,0.020236371,0.14011568,0.020236364,0.14011568,0.020236377,0.14011568,0.020236354,0.15239689,0.07487263,0.14011568,0.020236379
Fgd5,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416
Fgd6,-0.22546811,-0.46456814,-0.14567097,-0.29101318,-0.10765141,-0.18272378,-0.06592418,-0.08829251,-0.004931122,0.012561787,-0.004931122,0.012561787,-0.004931122,0.012561772
Fgf13,-0.47497806,-1.116949,-0.042496026,-0.4017911,-0.07555476,-0.33454722,0.056554288,-0.19688794,0.12889647,0.07301623,0.12889647,0.07301622,0.12889647,0.07301622
Fgf17,0.20928931,0.09761542,0.1896657,0.025990196,0.18966573,0.025990196,0.17469415,0.048399657,0.13908693,-0.10516751,0.040320367,-0.16654682,0.059171975,-0.1918446
Fgf18,-0.028734952,0.030792087,-0.030274183,-0.037830207,0.0059472024,0.10013685,0.0059472024,0.10013685,0.0059472024,0.10013683,0.0059472024,0.10013683,0.0059472024,0.10013685
Fgf4,0.1108354,0.050260857,0.10398093,0.02473322,0.09675169,-0.0005633496,0.09675172,-0.0005633831,0.10398093,0.024733111,0.1039809,0.024733162,0.09143245,0.0073984824
Fgf7,-0.3496543,-1.2901529,0.29767388,-0.029836375,0.30082977,-0.0115340315,0.32580107,0.10834595,0.32580107,0.10834594,0.32580107,0.108345956,0.3213417,0.11502075
Fgfbp1,0.3173505,0.10179718,0.3173505,0.10179718,0.31735057,0.10179716,0.31735057,0.10179716,0.31735057,0.10179716,0.3173505,0.10179715,0.3173505,0.10179715
Fgfbp3,0.10732928,0.0034856088,0.12122002,0.06892249,0.12122005,0.068922445,0.12122005,0.06892248,0.12122005,0.068922475,0.12122005,0.06892251,0.12122005,0.068922445
Fgfr1,-0.19156177,-0.40360135,0.07475692,0.10387403,0.07475692,0.10387404,0.07475692,0.10387403,0.07475692,0.10387403,0.07475692,0.10387404,0.07475692,0.10387403
Fgfr1op,0.16738573,0.0018304624,0.1722146,0.021065688,0.17165959,0.01750775,0.17165959,0.017507788,0.17221466,0.021065682,0.175221,0.040338155,0.16459227,-0.008177996
Fgfr1op2,0.11150712,0.020989232,0.092699856,-0.04709063,0.092699856,-0.047090624,0.092699856,-0.047090624,0.092699826,-0.047090653,0.092699856,-0.047090653,0.092699885,-0.04709063
Fgfr2,0.039896578,0.09325449,0.039896607,0.0932545,0.039896578,0.09325448,0.039896607,0.093254514,0.039896548,0.09325448,0.039896578,0.09325449,0.039896607,0.093254514
Fgfr3,0.06489241,-0.012171198,0.10759586,0.05557615,0.10759586,0.05557615,0.10759586,0.055576198,0.10759586,0.055576153,0.10759586,0.05557614,0.10759586,0.055576153
Fggy,0.10680455,-0.09478378,0.14556989,0.075875744,0.14556992,0.07587576,0.14556992,0.07587577,0.14556989,0.07587576,0.14556992,0.07587576,0.14556992,0.07587571
Fgl1,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903
Fh1,-0.006503284,0.046274576,-0.0015850663,0.07780251,-0.0015850663,0.07780251,-0.0015850663,0.07780253,-0.0015850663,0.07780252,-0.0015850663,0.07780251,-0.0015850663,0.077802524
Fhdc1,0.04210162,0.10060163,0.04210165,0.10060163,0.0328888,0.041543297,0.0328888,0.041543297,0.0328888,0.041543283,0.0328888,0.04154329,0.04210165,0.10060166
Fhl1,-0.19156177,-0.40360135,0.07475692,0.10387403,0.07475692,0.10387404,0.07475692,0.10387403,0.07475692,0.10387403,0.07475692,0.10387404,0.07475692,0.10387403
Fhl2,0.07079357,-0.035336476,0.06625962,-0.042560566,0.08450776,0.003031861,0.07705951,0.014180444,0.08450776,0.0030318834,0.08450779,0.0030318797,0.08325082,-0.0009885691
Fhod1,0.1304273,0.088511035,0.13042727,0.08851102,0.13042727,0.08851097,0.1304273,0.08851096,0.13042733,0.088510975,0.1304273,0.08851102,0.1304273,0.088511005
Fhod3,0.073926926,0.07408266,0.031301737,-0.066686064,0.054496706,0.007501427,0.031301737,-0.06668608,0.031301767,-0.06668608,0.031301767,-0.066686064,0.015663683,-0.11670326
Fibin,-0.19393751,-0.7005463,0.12792593,-0.16512533,0.11436206,-0.13753542,0.17062789,-0.045473512,0.19309768,0.060542576,0.19309768,0.060542572,0.19309765,0.060542624
Fibp,0.33181816,0.2651999,0.05625525,-0.28107613,0.05625531,-0.28107607,0.05625525,-0.28107616,0.05625525,-0.28107613,0.05625528,-0.28107613,0.05625528,-0.28107613
Figf,0.38469046,0.14746863,0.38469058,0.14746861,0.38469052,0.14746866,0.38469052,0.14746861,0.38469052,0.14746864,0.38469058,0.14746867,0.38469052,0.14746864
Fignl1,0.5163685,0.03377641,0.3961888,-0.22812389,0.45592105,-0.15956075,0.3961888,-0.22812389,0.4520102,-0.172069,0.42227614,-0.26717156,0.42227614,-0.26717156
Filip1,0.04392311,0.09488325,0.04392311,0.09488331,0.04392311,0.09488326,0.04392308,0.094883256,0.04392311,0.09488325,0.04392308,0.0948832,0.04392305,0.09488323
Filip1l,-0.04496777,-0.2899033,0.14735094,-0.03885467,0.15487412,0.02509405,0.15199944,-0.020707894,0.16725811,0.06271923,0.16725811,0.062719226,0.16725811,0.062719226
Fip1l1,0.25904387,0.11905341,0.23779434,0.043191537,0.23779428,0.043191556,0.23946989,0.044251468,0.23946989,0.044251494,0.23779428,0.043191537,0.21606308,-0.034532275
Fitm2,0.193611,0.062107295,0.17897323,0.013553597,0.17802984,0.009793635,0.17861098,0.010353144,0.17688525,0.010472614,0.17632377,0.010257412,0.1771965,0.009237811
Fkbp10,-0.19156177,-0.40360135,0.07475692,0.10387403,0.07475692,0.10387404,0.07475692,0.10387403,0.07475692,0.10387403,0.07475692,0.10387404,0.07475692,0.10387403
Fkbp11,0.033970088,0.09431887,0.033970058,0.09431885,0.033970088,0.09431884,0.033970058,0.09431885,0.033970058,0.09431885,0.033970088,0.09431884,0.033970058,0.09431885
Fkbp14,-0.0041169524,0.078437634,-0.0041169524,0.07843764,-0.0041169524,0.07843761,-0.0041169524,0.078437656,-0.0041169226,0.07843767,-0.0041169524,0.07843765,-0.0041169226,0.078437656
Fkbp15,0.070218384,0.09144536,0.070218414,0.09144536,0.070218384,0.09144539,0.070218414,0.091445394,0.070218414,0.091445394,0.070218384,0.09144539,0.070218414,0.09144539
Fkbp1a,-0.80332345,-1.4003965,0.039678395,0.10854604,0.039678395,0.10854602,0.039678395,0.10854604,0.039678395,0.10854604,0.039678395,0.10854604,0.039678335,0.10854599
Fkbp1b,0.08826688,0.08788559,0.05135241,-0.03402369,0.07143983,0.030224565,0.05135241,-0.034023706,0.05135241,-0.034023684,0.05135241,-0.03402369,0.03780946,-0.07733984
Fkbp2,0.019748718,0.10275248,0.019748747,0.10275251,0.019748718,0.10275249,0.019748718,0.10275249,0.019748718,0.10275249,0.019748718,0.10275249,0.019748718,0.10275249
Fkbp3,0.2575888,0.08636898,0.03178364,-0.624529,0.11372393,-0.4153881,0.044715106,-0.61808825,0.082732886,-0.5552244,0.044292837,-0.64325273,0.051275432,-0.6596846
Fkbp6,0.108834654,0.10706985,0.108834624,0.107069835,0.108834684,0.107069865,0.108834624,0.10706985,0.108834624,0.10706985,0.108834624,0.10706985,0.108834654,0.10706985
Fkbp7,-0.43884376,-0.87779933,-0.13603666,-0.3311647,-0.1662918,-0.2696235,-0.045386404,-0.14363855,0.028353214,0.10831061,0.028353214,0.108310655,0.028353214,0.108310655
Fkbp8,0.32498658,0.111580774,0.27871782,-0.04874416,0.27871782,-0.04874416,0.27871782,-0.04874419,0.27871782,-0.04874422,0.27871776,-0.04874419,0.31880188,0.07946202
Fkbp9,0.055832326,0.0950488,0.055832326,0.0950488,0.055832326,0.0950488,0.055832326,0.0950488,0.055832326,0.0950488,0.055832326,0.0950488,0.055832326,0.0950488
Fkrp,0.0020961165,0.10342905,0.0020961463,0.10342908,0.0020961463,0.10342906,0.0020961463,0.10342906,0.0020961165,0.103429034,0.0020961165,0.103429034,0.0020961165,0.103429034
