0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.5530168,-0.030791672,-0.5227512,0.60947984,0.39282164,-0.17200936,-0.18431917,-0.09415646,0.113264605,-0.26695114,-0.08319621,-0.11606349,-0.08319619,-0.11606349,0.113264635,-0.2669511,0.007761348,-0.25026724,-0.36133537,-0.034890503
0.17039509,-0.18868881,0.25264564,-0.39026907,0.21080488,0.37367803,0.34966987,-0.123667575,0.4247815,-0.3753449,-0.015873205,0.4464266,0.17158332,-0.051550154,0.4181574,-0.3619972,-0.43755,0.22403288,-0.43754998,0.22403288
-0.68081105,0.28909394,-0.614045,0.33225754,-0.4051086,0.21123417,-0.6090505,0.4401546,-0.68081105,0.28909394,-0.6090505,0.4401546,-0.6090505,0.4401546,-0.6090505,0.4401546,-0.7296584,0.30383888,-0.7296584,0.30383888
0.033420637,-0.14416826,0.11929737,-0.31877986,-0.11767292,-0.2520041,0.15664099,-0.046932116,-0.102069125,-0.13720624,-0.15736759,-0.07759874,-0.13535517,-0.108453,-0.1488771,-0.079343714,0.12795085,-0.09989115,-0.025851734,0.028645804
-0.61496997,0.10820284,-0.73297286,-0.172048,-0.39707345,-0.35588834,0.016694512,-0.14140584,-0.14808345,0.0049042725,-0.3722424,-0.2903618,-0.093461186,-0.03738578,-0.04759967,0.05156818,-0.4902677,0.2502874,-0.42633873,0.076328985
-0.2301292,-0.49740556,-0.40435922,-0.54103947,0.007189393,-0.33591005,0.23998389,-0.54524696,0.15118918,-0.3257022,0.24505909,-0.44513455,0.19859149,-0.37808022,0.20190665,-0.39778826,0.19720848,-0.39460233,0.2668713,-0.48283607
-0.6384188,0.16330443,-0.5600515,-0.19398986,-0.4809609,-0.009637461,0.1513803,-0.30192718,0.28218317,-0.5169498,-0.18984966,-0.21021141,0.0533453,-0.3536587,0.1957823,-0.43804774,-0.04281095,-0.38473555,0.11041303,-0.091488436
0.093770534,0.3609732,0.059596326,-0.8182567,0.0058902893,0.15534738,-0.16789247,-0.11877368,-0.4357822,-0.09523108,0.05177125,-0.3236196,0.17363396,-0.58282495,0.07126186,-0.15062767,0.21753977,-0.6533961,0.18047452,0.1215663
-0.5213495,0.18999527,-0.81358826,0.11379114,-0.4768669,0.5410218,-0.21400207,0.22954105,-0.48935193,0.2669309,-0.52240586,0.40323144,-0.5974345,0.75578266,-0.47281224,0.29764572,-0.3578783,-0.30456033,-0.54612434,0.056787767
0.4208931,-0.064341486,0.4208931,-0.064341486,0.4208931,-0.064341486,0.4208931,-0.064341486,0.4208931,-0.064341486,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,0.4208931,-0.064341486
-0.4142364,-0.45185986,-0.21768956,-0.71417314,0.18594795,-0.30206656,0.08266859,-0.14214061,-0.50416064,-0.32899192,-0.050733913,-0.07754359,0.115182444,-0.3913751,0.193336,-0.47895226,-0.29474545,-0.4874656,-0.41976923,-0.44574752
