0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.44951856,-0.31069317,-0.24835607,0.23320952,0.13559507,-0.26082322,-0.18065846,-0.3512682,0.22156389,-0.021645544,0.14347042,-0.011536127,0.14347042,-0.011536123,0.22156389,-0.021645544,0.2594987,-0.14362596,-0.32249686,-0.21823403
-0.25963926,0.28419253,-0.19530532,0.20313993,-0.11374586,0.5711716,0.22364506,0.0074601416,-0.13205245,0.25758982,-0.01052689,0.44282898,0.11460164,0.018761378,-0.15492724,0.28764296,-0.31024477,0.10014912,-0.31024477,0.10014914
-0.45912653,0.1443259,-0.4460379,0.14854257,-0.2842732,-0.16964364,-0.4218816,0.19415386,-0.45912653,0.1443259,-0.4218816,0.19415386,-0.4218816,0.19415386,-0.4218816,0.19415386,-0.4949149,0.15046546,-0.4949149,0.15046546
-0.04196053,-0.36829898,0.08290358,-0.28633147,0.058619604,-0.4151559,0.07798535,-0.27218115,-0.09416852,-0.37109223,-0.051960923,-0.28951347,-0.061259523,-0.3444748,-0.07289753,-0.23799403,0.020270448,-0.38034776,0.008746302,-0.32389945
-0.468086,-0.15969802,-0.5921335,-0.15520975,-0.37539792,-0.20183608,-0.042290978,-0.29790902,-0.12842275,-0.21060656,-0.24912697,-0.40300006,-0.17223963,-0.23904277,-0.08934832,-0.22592829,-0.40276933,-0.09647615,-0.35147968,-0.17873354
-0.1022094,-0.305344,-0.27288747,-0.42583072,0.03983531,-0.43419242,0.20228435,-0.4153189,0.18430759,-0.3201449,0.26094767,-0.3098247,0.18577538,-0.35465673,0.19666885,-0.350672,0.19569328,-0.3413147,0.21874364,-0.36771005
-0.5517956,-0.093078725,-0.3771236,-0.2859241,-0.28780976,-0.18779178,0.01853065,-0.32587826,0.10729268,-0.36244005,-0.08338565,-0.28263056,-0.047899835,-0.28477612,0.07460619,-0.34043196,-0.03533072,-0.34045523,0.047612995,-0.24053772
-0.07148836,0.23193334,0.103755206,-0.6134888,-0.06253917,0.13767514,-0.03221879,-0.094071984,-0.42955118,0.049390405,0.036566794,-0.25026584,0.18142384,-0.48408931,-0.1608226,-0.16063038,0.2057534,-0.48078495,0.18369702,-0.2317199
-0.5277518,0.096776895,-0.65842706,0.10022204,-0.555937,0.2878666,-0.467002,0.39505666,-0.5395263,0.2317985,-0.50398695,0.28703555,-0.66565096,0.39611185,-0.5483684,0.22324426,-0.40329856,-0.1780788,-0.64132327,0.105434656
0.6800627,0.028757876,0.6800627,0.028757876,0.6800627,0.028757876,0.6800627,0.028757876,0.6800627,0.028757876,-0.452277,0.18591352,-0.452277,0.18591352,-0.452277,0.18591352,-0.452277,0.18591352,0.6800627,0.028757876
-0.08715556,-0.38880464,0.027231945,-0.35388336,0.20386842,-0.15539245,0.05566159,-0.11897881,-0.20062235,-0.2557279,-0.055176415,-0.11244357,0.14894193,-0.31600645,0.14426796,-0.3319384,-0.06754812,-0.46556845,-0.112620644,-0.34533107
-0.24000382,-0.4883752,-0.49151677,-0.39204186,0.0098074,-0.57473195,0.06967239,-0.6099788,0.14458437,-0.6371253,-0.5150367,-0.36684686,0.13007957,-0.62659866,0.20711762,-0.6104792,0.20509408,-0.48673475,0.15209895,-0.44967633
0.1771965,-0.32621196,0.1771965,-0.32621196,0.1771965,-0.32621196,0.1771965,-0.32621196,0.1771965,-0.32621196,0.1771965,-0.32621196,0.1771965,-0.32621196,0.1771965,-0.32621196,0.1771965,-0.32621196,0.1771965,-0.32621196
-0.09313291,0.43262514,-0.09313291,0.43262514,-0.09313291,0.43262514,-0.09313291,0.43262514,-0.09313291,0.43262514,-0.09313291,0.43262514,-0.09313291,0.43262514,-0.09313291,0.43262514,-0.09313291,0.43262514,-0.09313291,0.43262514
-0.41430154,-0.24035396,0.19445755,-0.32363254,-0.361396,-0.24831767,0.069056265,-0.22745036,0.15178554,-0.3929763,-0.24580067,-0.31150633,0.01822158,-0.43325204,-0.098849244,-0.4256027,0.16785365,-0.3254878,0.2019163,-0.29262787
-0.010225894,-0.14444908,0.03903541,-0.15865773,-0.054433204,-0.1901736,-0.26756218,-0.10001899,-0.15862234,-0.0089750495,-0.15569894,-0.15537705,-0.20875031,-0.113265395,-0.15691993,-0.0015518572,-0.002005186,-0.16218695,-0.002005184,-0.16218695
-0.060147047,-0.49229485,-0.007991182,-0.4378542,-0.057449803,-0.33765578,0.11855703,-0.48138,-0.078191675,-0.320125,0.030513715,-0.5228786,-0.091969155,-0.31493655,0.02351819,-0.4248194,-0.046734445,-0.39424798,-0.07580934,-0.31308457
0.04908213,-0.26047647,0.06040685,-0.296333,0.07681681,-0.34063515,-0.09880749,-0.13470817,0.06094165,-0.37708876,-0.063394316,-0.32489932,-0.12666416,-0.25617447,-0.09880745,-0.13470815,-0.089640304,-0.09473574,-0.08037121,-0.12125586
