GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Atf3,0.23262882,-0.026453786,0.23162812,-0.078449,0.23216712,-0.08425248,0.23216712,-0.08425248,0.16595215,0.048396148,0.1951468,0.00841292,0.24571341,-0.060840037
Atf4,0.63828546,0.42725495,0.63828546,0.427255,0.6382854,0.427255,0.63828546,0.427255,0.6382855,0.42725495,0.6382854,0.42725495,0.6382855,0.427255
Atf5,1.4527627,0.71990687,1.6473763,0.43559644,1.6473762,0.43559638,1.6473763,0.43559644,1.5948583,0.52138954,1.6473763,0.43559644,1.6473763,0.43559656
Atf6b,0.38916165,1.0057145,0.6234246,0.61895484,0.42886168,0.97818106,0.42886174,0.9781812,0.42886174,0.97818094,0.62426525,0.6168509,0.3996724,1.0465248
Atf7,0.39903152,0.19696379,0.42942345,0.1074085,0.42942345,0.10740849,0.4294234,0.10740849,0.4294234,0.10740849,0.42942345,0.10740846,0.37477016,0.24058533
Atoh8,0.6787588,0.5539279,0.67829484,0.5553627,0.6782949,0.5553627,0.64053863,0.62640345,0.6783494,0.5553091,0.6785338,0.5547648,0.6786757,0.55432385
Atxn1l,0.3545544,0.41243497,0.38284415,0.37044716,0.36641484,0.39294776,0.3664148,0.39294776,0.36641484,0.39294776,0.38284427,0.37044707,0.3635531,0.40011087
Bach1,0.13406706,-0.103392705,0.13406709,-0.1033927,0.13406712,-0.1033927,0.13406706,-0.1033927,0.13406706,-0.1033927,0.13406706,-0.1033927,0.13406706,-0.1033927
Bach2,0.15009817,0.08418175,0.15956128,0.07122167,0.15956128,0.07122164,0.15956128,0.07122164,0.15956128,0.07122167,0.15956128,0.07122167,0.15956125,0.07122164
Bahd1,0.42955387,0.026387952,0.42955387,0.026387952,0.42955393,0.026387952,0.42955387,0.026387952,0.42955387,0.026387922,0.42955387,0.026387937,0.42955387,0.026387952
Banp,0.44543302,0.32074213,0.42238438,0.3523082,0.42238444,0.35230824,0.42238444,0.3523082,0.44543308,0.32074213,0.44543308,0.32074213,0.44543308,0.32074216
Barx1,0.40452898,-0.018073484,0.40452904,-0.018073507,0.40452904,-0.018073477,0.40452904,-0.0180735,0.40452904,-0.018073484,0.40452904,-0.018073484,0.38659388,0.023697548
Basp1,0.2418882,0.6639961,0.31780994,0.55522615,0.3247288,0.5457505,0.30283004,0.5917881,0.32562846,0.5464385,0.33939385,0.50890356,0.29007846,0.60903716
Baz2a,0.31819785,-0.078503154,0.3181979,-0.078503154,0.3181979,-0.07850316,0.3181979,-0.07850316,0.31819797,-0.07850315,0.31819797,-0.07850315,0.31819797,-0.078503154
Bbx,0.17603347,0.0052641854,0.1754587,0.009390064,0.1754587,0.0093900785,0.17568609,0.009166338,0.17568609,0.009166338,0.17545867,0.0093900785,0.17605168,0.0075482503
Bcl11b,1.4347001,0.038108803,1.4347001,0.038108774,1.4347001,0.038108774,1.4347,0.03810879,1.4298702,0.04472337,1.4347001,0.038108774,1.4347,0.038108774
Bcl3,0.3938374,0.5631401,0.44179446,0.47974315,0.45009202,0.46837947,0.35226232,0.68003917,0.45009196,0.46837947,0.4500919,0.46837935,0.42861176,0.5203841
Bcl6,0.5967275,0.38406035,0.5898878,0.43315795,0.58988774,0.4331579,0.59259343,0.4304954,0.5925934,0.43049547,0.5898877,0.433158,0.5805413,0.44304445
Bcl6b,0.8418673,0.034980796,0.8418673,0.03498078,0.8418673,0.03498078,0.8418673,0.034980796,0.8418672,0.03498078,0.8418673,0.034980796,0.8418672,0.03498078
Bclaf1,0.8633995,1.0376819,0.7896137,1.2865499,0.7802119,1.2995782,0.75847507,1.3647056,0.78767323,1.3193374,0.8210584,1.2098421,0.84425366,1.1528553
Bcor,0.4877392,1.0632982,0.57339334,1.0442255,0.5611761,1.0652946,0.4657405,1.253242,0.57800835,1.0496309,0.59085625,1.0155172,0.5562092,1.0061883
Bdp1,1.215964,0.5354456,1.2183385,0.5400002,1.1653266,0.63566107,1.0973406,0.7848711,1.2184788,0.53986204,1.2183385,0.53999996,1.2254373,0.53655857
Bhlha15,0.31441545,-0.081110835,0.31441545,-0.081110835,0.31441545,-0.08111084,0.31441545,-0.081110835,0.31441545,-0.081110835,0.31441545,-0.08111084,0.31441545,-0.081110835
Bhlhe40,0.47016215,0.43239853,0.48078376,0.43655035,0.47872663,0.43936774,0.4795422,0.43856528,0.47954214,0.43856528,0.48648936,0.41960678,0.47873133,0.43602243
Bhlhe41,-0.12414807,0.049825154,-0.0046091825,0.017680995,-0.0046091825,0.017680995,-0.0046091676,0.01768095,-0.004609138,0.017680965,-0.0046091676,0.017680995,-0.0046091676,0.017680965
Blm,1.0517339,0.080772676,1.0517339,0.080772676,1.0517339,0.080772676,1.0517339,0.08077269,1.0517339,0.080772676,1.0517339,0.08077269,1.0517339,0.08077269
Bmi1,0.2944243,0.043596424,0.29442436,0.043596424,0.2944243,0.043596424,0.24502361,0.15332851,0.2944243,0.04359641,0.2944243,0.043596424,0.29442436,0.043596424
Bnc2,0.23572552,1.5656885,0.7483715,0.80011374,0.99148726,0.15170524,1.0299109,0.19575858,1.0299112,0.19575849,1.0299109,0.19575855,1.0299109,0.19575855
Bptf,0.8450501,1.0756328,0.87599695,0.87972254,0.7923759,0.91532737,0.6784196,1.1479231,0.7981621,0.91007835,0.8041104,0.8933092,0.80112565,0.83766466
Brca1,0.87838376,0.061067946,0.87838376,0.061067946,0.87838376,0.061067946,0.87838376,0.06106793,0.87838376,0.061067946,0.87838376,0.06106793,0.87838376,0.061067946
Brca2,0.9541116,0.0870653,0.9541116,0.08706532,0.95411146,0.0870653,0.9541116,0.0870653,0.9541116,0.08706532,0.9541116,0.0870653,0.9541116,0.0870653
Brd4,0.27101254,-0.017717995,0.26235896,0.002025418,0.26235902,0.0020254254,0.26235902,0.002025418,0.26235902,0.002025418,0.27132428,-0.024598911,0.26896513,-0.018693857
Brd7,0.024291694,-0.0838879,0.024291664,-0.0838879,0.024291664,-0.08388788,0.024291664,-0.083887875,0.024291694,-0.08388786,0.024291694,-0.083887875,0.024291664,-0.083887875
Brip1,1.7289238,0.13072225,1.6939924,0.37822625,1.6890113,0.3850483,1.6240944,0.5027195,1.6240948,0.5027196,1.6142538,0.50596756,1.7204963,0.28305846
C1d,0.6155725,0.6239253,0.61127704,0.65475893,0.5511415,0.77344334,0.37618244,1.0003107,0.61297643,0.65308696,0.61127716,0.65475905,0.5555733,0.759679
Calcoco1,0.5557839,0.5314967,0.555784,0.5314967,0.55578387,0.53149676,0.55578405,0.5314968,0.5557839,0.5314968,0.5557839,0.53149676,0.555784,0.53149676
Camta1,0.3515197,0.4279035,0.3515197,0.42790356,0.3515197,0.42790356,0.3515197,0.42790356,0.3515197,0.42790356,0.35151976,0.4279035,0.31705242,0.5058781
Camta2,0.536047,0.467774,0.51864576,0.56411964,0.5186457,0.56411964,0.52312136,0.5672038,0.5231214,0.5672037,0.5243512,0.5471761,0.53461635,0.51524323
Carhsp1,0.9785073,0.43641922,0.9785073,0.43641922,0.9474114,0.49507126,0.9474118,0.49507126,0.9785074,0.4364191,0.97850716,0.43641922,0.94741154,0.49507126
Carm1,0.3576457,0.30171815,0.39923018,0.18244353,0.39923018,0.18244356,0.39939904,0.18227741,0.39939904,0.18227738,0.39923024,0.18244353,0.28965265,0.42896715
Casz1,0.28715622,0.14283139,0.28715628,0.14283141,0.28715628,0.14283144,0.28715622,0.14283144,0.28715622,0.14283144,0.28715628,0.14283141,0.28715628,0.14283144
Cbfb,0.3928607,1.0195007,0.473441,1.0925901,0.5028301,0.98512214,0.36911047,1.3166537,0.48660493,1.0321977,0.5251159,0.9427828,0.37707567,1.1063056
Cbx2,0.7491996,0.46845523,0.7637192,0.47638062,0.76243734,0.47813633,0.76351225,0.47793826,0.76351225,0.47793815,0.76653993,0.4680293,0.7436764,0.51070887
Cc2d1a,0.549076,0.43100038,0.54907596,0.43100032,0.54907596,0.43100032,0.549076,0.43100032,0.54907596,0.43100038,0.549076,0.43100038,0.54907596,0.43100038
Cc2d1b,0.4011268,-0.036720984,0.4011268,-0.036720984,0.4011268,-0.036720984,0.4011268,-0.036720984,0.4011268,-0.036720984,0.4011268,-0.036720984,0.4011268,-0.036720984
Ccnt1,0.11778277,-0.029457964,0.12779757,-0.043173634,0.12779754,-0.04317362,0.12779754,-0.043173626,0.12779754,-0.043173626,0.12779754,-0.04317362,0.1277976,-0.04317362
Cdc5l,0.75398624,0.64149994,0.68844175,0.960419,0.66152894,0.9972773,0.6817281,1.0127466,0.6817283,1.0127468,0.7099188,0.9054617,0.72715163,0.8425329
Cdk5rap2,0.8699579,1.1017207,0.86047304,1.1711881,0.8599014,1.1719712,0.8642694,1.1739875,0.8642695,1.1739876,0.8605653,1.1709572,0.8426517,1.195326
Cdk9,0.3237267,0.09651219,0.31007326,0.18821284,0.30447507,0.19587973,-0.18446745,0.9926172,-0.1705998,0.96031934,-0.17165801,0.95181984,0.30220252,0.17695192
Cdkn2a,0.7562759,0.22667354,0.79306483,0.18299499,0.7930651,0.18299502,0.7946017,0.18357566,0.7946017,0.18357572,0.796141,0.17385963,0.7997558,0.16261843
Cebpa,0.83035994,0.38880214,0.824955,0.42925683,0.824955,0.42925683,0.8133489,0.45041618,0.827162,0.43007728,0.8249551,0.4292569,0.83014894,0.41310522
Cebpb,0.44747603,0.0063414723,0.44747603,0.0063414574,0.4474761,0.006341465,0.4474761,0.006341465,0.44747597,0.0063414574,0.4474761,0.00634145,0.43918103,0.017701842
Cebpg,0.11502594,-0.08527938,0.11502594,-0.08527938,0.11502594,-0.08527937,0.11502594,-0.08527937,0.11502594,-0.08527938,0.11502594,-0.08527938,0.11502594,-0.085279375
Cenpb,0.5214676,-0.082675844,0.52146757,-0.082675844,0.5214676,-0.082675844,0.50885016,-0.06539571,0.5214677,-0.08267583,0.52146775,-0.08267583,0.5214676,-0.082675815
Cggbp1,0.6659072,0.51172316,0.62998676,0.692365,0.62652713,0.67603356,0.47533768,0.9619358,0.47424942,0.94335896,0.4927073,0.8901126,0.6477442,0.65259075
Chd1,0.64133275,0.6556234,0.64287925,0.70567596,0.62967503,0.72375953,0.490902,0.9515508,0.50083995,0.9379404,0.5018596,0.93158907,0.734795,0.54749715
Chd4,0.30994123,-0.023398183,0.30863,-0.017682336,0.30574512,-0.013731323,0.3060121,-0.013994038,0.30601203,-0.013994038,0.30909586,-0.018848404,0.3088947,-0.019781895
Chd7,0.023424417,-0.13319874,0.023424417,-0.13319874,0.023424417,-0.13319874,0.023424417,-0.13319874,0.023424417,-0.13319874,0.023424417,-0.13319874,0.023424417,-0.13319874
Chd8,0.43070126,-0.05410988,0.43070126,-0.054109864,0.43070126,-0.05410987,0.43070132,-0.05410988,0.43070132,-0.05410988,0.43070132,-0.05410988,0.43070126,-0.05410987
Chd9,0.32271415,0.13572529,0.32271415,0.13572532,0.32271415,0.13572529,0.3227142,0.13572529,0.32271415,0.13572529,0.3227141,0.13572532,0.32271415,0.13572529
Churc1,0.6354113,1.0212511,0.98056006,0.51325405,0.98056006,0.51325405,0.98056006,0.5132539,0.98055995,0.51325405,0.98056006,0.513254,0.9805603,0.51325405
Cic,0.2892688,-0.06923385,0.2892688,-0.06923385,0.2892688,-0.06923386,0.2892688,-0.06923385,0.2892688,-0.06923386,0.2892688,-0.06923386,0.2892688,-0.06923385
Cited1,0.1864259,-0.08777144,0.1864259,-0.08777144,0.1864259,-0.08777144,0.1864259,-0.08777144,0.1864259,-0.08777144,0.1864259,-0.08777144,0.1864259,-0.08777144
Clock,0.26141697,-0.0620426,0.26141697,-0.0620426,0.26141697,-0.0620426,0.26141697,-0.0620426,0.26141697,-0.0620426,0.26141697,-0.0620426,0.26141697,-0.0620426
Cnbp,0.7973013,0.33393165,0.75972795,0.5909785,0.7597281,0.59097844,0.60831654,0.7943938,0.77335155,0.5908118,0.6010373,0.7797416,0.78736126,0.48954228
Creb1,0.72489226,0.2920327,0.78491974,0.35196576,0.7849196,0.35196576,0.770769,0.37600616,0.7877867,0.34914428,0.78491974,0.3519657,0.79714787,0.32223457
Creb3,0.5158605,0.14115444,0.103901416,0.5682058,0.5158605,0.14115447,0.5158605,0.14115444,0.5158605,0.14115441,0.5158605,0.14115444,0.51586044,0.14115447
Creb3l1,1.2198497,0.5797534,1.3294319,0.18520236,1.3295985,0.18340543,1.329599,0.18340546,1.1878074,0.41113654,1.3181361,0.21209767,1.333793,0.1906547
Creb3l2,0.5615907,0.5198219,0.56159073,0.5198218,0.5615907,0.5198219,0.5615907,0.5198219,0.5615907,0.5198218,0.56159073,0.5198218,0.56159073,0.51982194
