TF,PValue,Label
Snai2,79.5,1
Tcf7l1,162.0,1
Gli3,164.1667,1
Yap1,211.1667,1
Lhx1,259.1667,1
Arid4b,262.6667,1
Nfatc1,293.6667,1
Tet1,298.1667,1
Cdkn2a,312.6667,1
Sall4,322.0,1
Klf4,662.0,1
Nr5a2,760.3333,1
Jdp2,790.6667,1
Esrrb,805.6667,1
Glis1,1023.5,1
Myc,1081.3333,1
Blm,181.1667,0
Ddx20,186.8333,0
Pcna,220.5,0
Rfc1,227.8333,0
Dnmt1,327.0,0
Tead2,352.5,0
Phf5a,354.6667,0
Rps3,478.1667,0
Pnn,531.1667,0
Tead1,599.0,0
Sphk1,698.6667,0
Thoc1,718.5,0
Dnmt3b,728.3333,0
Dnmt3a,886.8333,0
Xrcc6,888.1667,0
C1d,919.8333,0
Xrcc5,946.8333,0
Terf2ip,1093.0,0
Tead3,1211.5,0
Prkdc,1265.0,0
