GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
Atf7,0.076312564,0.18253633,0.076312564,0.18253633,0.076312564,0.18253633,0.076312564,0.18253633,0.076312564,0.18253633,0.076312564,0.18253633,0.076312564,0.18253633,-0.12789747,0.4172068,-0.022091731,0.123140566,-0.022091731,0.123140566
Atoh8,-0.13050227,0.16962582,0.07943537,-0.19882515,-0.22628047,0.11796999,-0.048393857,-0.13260004,-0.25249872,0.20225874,-0.4187009,0.11717711,-0.38956892,0.09749708,-0.0028271675,-0.14337587,-0.18498106,0.21987292,-0.2165056,0.2315628
Atxn1l,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536
Bach1,-0.34779826,0.25409874,-0.013619173,0.17084123,-0.12637454,-0.22730134,-0.11685304,0.35560212,-0.013619173,0.17084123,-0.11778934,0.2310397,-0.16377424,0.18990614,-0.014283355,0.09537978,-0.013619173,0.17084123,-0.013619173,0.17084123
Bahd1,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,-0.017689768,0.3406421,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536
Baz2a,-0.3752222,-0.2572218,0.14383955,-0.3028671,-0.25504714,-0.2055498,-0.05420648,0.2830697,0.09302412,-0.011082501,-0.035369728,0.07534878,-0.048871722,-0.13487679,0.1315928,-0.27955076,0.09302412,-0.011082501,0.13066708,-0.09466664
Bcl3,-0.3921472,-0.05160354,-0.6500542,0.080737986,-0.49635404,0.39549825,-0.2004889,0.10518313,-0.89651763,0.30411926,-0.39260194,0.35357663,-0.8891858,0.4732947,-0.7752213,0.4935895,-0.079318985,-0.2422582,-0.43060562,0.025207011
Bcl6,-0.31470865,-0.04419133,0.1289125,-0.44851017,0.23104298,-0.39725253,0.358547,1.0703984,0.13709548,-0.33004358,0.45060936,0.9678662,0.20681494,-0.40018633,0.19328806,1.0709431,0.18387815,-0.09723975,-0.027921088,-0.2580838
Bclaf1,-0.23534663,-0.3310434,-0.45488364,-0.31533182,-0.0035146326,-0.59303004,-0.12931694,-0.16374004,0.022377187,-0.52434963,-0.53714144,-0.34523538,0.027186127,-0.6209981,0.037492733,-0.46301943,-0.07405658,0.011225316,-0.013196625,0.10171642
Bcor,-0.031235542,-0.5368873,-0.0071628243,-0.25801,-0.15231569,-0.030214394,0.057667844,-0.26592675,0.057667844,-0.26592675,0.08863081,-0.33541593,0.057667844,-0.26592675,0.037561182,-0.24569803,0.037561182,-0.24569803,0.037561182,-0.24569803
Bdp1,-0.95817137,-0.37366045,-0.7563791,-0.5951197,-0.09160119,-0.4377207,-0.03176747,-0.5863011,0.44842592,-0.698891,-0.3186446,-0.38763106,0.32728782,-0.6429392,0.448892,-0.68810797,0.5534158,-0.6123235,0.45634088,-0.3382694
Bhlhe40,0.42089307,-0.0643417,-0.30591738,0.15295489,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,0.35793877,-0.09392593,-0.36757624,0.20280598,-0.36757624,0.20280598,0.42089307,-0.0643417,0.42089307,-0.0643417
