GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
Mxd4,0.16254905,-0.19909677,0.123322174,-0.3226693,-0.04866993,0.47743705,0.20393173,-0.323874,0.19823174,-0.41474205,-0.10724343,0.41949973,0.26006776,-0.2568154,0.29920188,-0.38928637,-0.6469996,0.36291823,-0.6790875,0.3218055
Mxi1,-0.017689768,0.3406421,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536
Mybbp1a,-0.9070962,0.34558368,-0.5582136,-0.217767,-0.4349666,-0.28817168,-0.44155988,0.013969882,-0.36684448,-0.31293264,-0.8790596,0.07989558,-0.2056477,-0.20487927,-0.20945452,-0.37064794,-0.65898097,-0.013065393,-0.6248623,0.05824489
Myc,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536
Mycl1,0.82016647,0.037844747,0.82016647,0.037844747,0.42560452,0.16320063,0.82016647,0.037844747,0.42560452,0.16320063,0.42560452,0.16320063,0.82016647,0.037844747,-0.451866,0.50071406,0.82016647,0.037844747,0.82016647,0.037844747
Mynn,-0.15183038,-0.4486143,-0.2120764,-0.7129661,-0.051684614,-0.6938882,0.22338529,-0.5693157,0.24630354,-0.7075827,-0.2146565,-0.37429133,0.052173227,-0.27788877,0.19906081,-0.53878784,0.078534976,-0.33596614,0.18536773,-0.36577868
Mysm1,-0.9793643,-0.52142805,-0.20838659,-0.38055357,-0.54655945,-0.42294678,0.20553921,-0.35478097,0.4188758,-0.5386471,-0.24111886,-0.42787412,0.23416415,-0.54894984,0.30766055,-0.5624321,0.3983034,-0.6306368,0.4457798,-0.44992593
Myst3,0.06306206,-0.22325334,0.06306206,-0.22325334,0.06306206,-0.22325334,0.24153987,0.35512957,0.24153987,0.35512957,0.06306206,-0.22325334,0.24153987,0.35512957,0.24153987,0.35512957,0.06306206,-0.22325334,0.24153987,0.35512957
Myst4,-0.9257295,0.025184155,-0.8593806,-0.2124223,0.322013,-0.18313996,-0.8467203,0.10642908,0.1657678,-0.10953598,-0.8552131,0.16643704,0.17402732,-0.40688533,0.24757676,-0.18842958,0.24511498,-0.10768653,0.23805386,0.00095984223
Naca,-0.3934323,0.26408675,-0.36918503,0.23510358,-0.4756081,0.2714621,-0.36921513,0.18901743,-0.37624857,0.308029,-0.07447724,0.07694014,-0.12046988,0.14200582,-0.08199455,-0.05141955,-0.3911589,0.19496702,-0.40814433,0.30148873
Ncoa1,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536
Ncoa2,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,-0.017689768,0.3406421,-0.017689768,0.3406421,0.06306182,-0.2232536,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421
Ncoa3,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536
Ncor1,-0.60170513,-0.366107,-0.15470706,-0.24295126,-0.14522144,0.060161233,-0.12149784,-0.37511188,0.10932939,-0.17468087,-0.0362172,-0.09509483,0.43284863,-0.49491468,0.5091879,-0.5209196,0.56812006,-0.33408964,0.27190134,-0.3046978
Ncor2,0.14365843,-0.48267403,0.13807037,-0.72634244,-0.19267267,-0.21315585,-0.045146283,-0.49176386,-0.7326213,0.24646829,-0.8186614,0.43750635,-0.6576571,0.116029486,-0.43574327,-0.063349664,-0.39694893,0.018966464,-0.702858,0.21978562
Nfat5,0.30983672,-0.03850131,0.066946745,-0.20652166,0.066946745,-0.20652166,0.30983672,-0.03850131,0.30983672,-0.03850131,0.30983672,-0.03850131,0.30983672,-0.03850131,0.30983672,-0.03850131,0.30983672,-0.03850131,0.30983672,-0.03850131
Nfatc3,-0.10221861,0.073947795,-0.49848914,-0.10036301,-0.35673836,-0.39888382,0.3640136,-0.68661237,0.26882473,-0.39078692,-0.1969318,-0.3073652,0.107225135,-0.029939668,0.21260361,-0.10127673,0.28669602,-0.18264358,0.3967269,-0.3337192
Nfe2l1,-0.24513455,-0.38101766,0.018196817,-0.30602998,0.14225079,1.1331176,0.156518,-0.24594449,-0.02183709,-0.109506436,-0.023957048,-0.13993587,-0.023957048,-0.13993587,-0.02183709,-0.109506436,-0.02183709,-0.109506436,-0.02183709,-0.109506436
Nfe2l2,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,0.42089307,-0.0643417
Nfia,0.43713132,-0.23537163,0.4778623,-0.38074008,-0.0819622,1.0415269,0.3775183,0.3145039,0.03194121,0.4059272,0.20003437,0.023041552,0.365865,0.17792325,0.31221196,0.18293862,0.3018636,-0.10156044,0.33436713,-0.092509225
Nfib,0.32523346,-0.31101564,0.29760426,-1.0333892,-0.15993263,0.96112365,0.16519973,0.7206538,-0.44677037,0.44068816,0.40085918,-0.17074418,0.3879988,-0.37213483,0.29769593,-0.26154894,0.27409357,-0.7575362,0.26899597,-0.15721218
Nfic,0.27836663,-0.66904235,0.25251904,-0.59741044,-0.2953747,0.11211439,0.31365037,-0.49288136,-0.42731994,0.1285115,-0.32364774,-0.058625173,-0.053649288,-0.16549762,-0.021099098,-0.12205034,-0.3141184,0.013242721,-0.37174124,-0.08318265
Nfil3,-0.36757624,0.20280598,0.35793877,-0.09392593,0.35793877,-0.09392593,0.42089307,-0.0643417,-0.36757624,0.20280598,0.42089307,-0.0643417,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598
Nfix,0.4848962,-0.6170425,0.47323772,-0.63268393,-0.48454392,1.0129825,0.20084976,0.14522988,-0.29428127,0.54445124,0.094446525,-0.34392315,0.22875482,0.06360821,0.4639919,-0.0012416553,0.07223067,-0.07212141,-0.08781718,-0.15077113
Nfkb1,-0.45952916,0.24361922,-0.026263285,-0.049517788,-0.25169468,0.2104102,-0.15565878,-0.042151067,-0.45233503,0.107154034,-0.49248105,0.14045341,-0.49198622,0.1363322,-0.46368608,0.17514801,-0.0024127476,-0.08978964,-0.3352309,0.10974673
Nfkb2,0.06306206,-0.22325334,0.035086263,-0.38789475,-0.017689802,0.340642,0.06306206,-0.22325334,0.24153987,0.35512957,0.035086263,-0.38789475,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957,0.06306206,-0.22325334
Nfx1,-0.4390712,-0.11183678,-0.3750076,-0.52885675,0.2535487,-0.7802516,-0.28612134,-0.12419116,-0.15166569,-0.19614634,-0.5416825,-0.030580828,0.124791056,-0.23447655,0.32435855,-0.27509862,-0.13615012,-0.16760746,-0.09611648,-0.12611978
Nfya,-0.4421484,-0.42935148,-0.12797144,-0.23772743,0.47482455,0.51224995,0.2253496,0.049358338,-0.40411842,-0.24765663,-0.12614281,0.19910571,0.034193877,-0.63038737,0.21153139,-0.7987463,-0.1560972,-0.5560404,-0.29111448,-0.46634
Nfyb,-0.5758357,0.30314836,-0.67231363,0.30573454,0.30216417,-0.105184905,-0.34071195,0.23355006,-0.6330021,0.38330147,-0.6318705,0.36309004,0.27753907,-0.023760458,0.391991,-0.027747871,-0.68475693,0.4696364,-0.48635972,0.24261935
Nfyc,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421
Nkap,-0.50084776,-0.25602,-0.7661954,-0.34527504,-0.21310395,-0.8098885,0.16209477,-0.47658712,0.020814111,-0.21602167,-0.5040001,-0.011217297,0.19306983,-0.08607513,0.46450093,-0.17450936,-0.2574075,0.026500234,-0.21047212,-0.08379289
Nkrf,-0.6957862,-0.4124622,-0.54926896,-0.2197973,-0.22150691,-0.46222833,-0.043655682,-0.17747544,-0.22670229,-0.07757995,-0.31377518,-0.031890556,-0.13083874,-0.2623047,-0.11937182,-0.11583544,-0.76815844,-0.13935275,-0.67298543,-0.28949636
Nolc1,-0.97572505,0.23282371,-0.7650971,-0.26841876,-0.43130928,-0.48444647,-0.42109102,-0.109815456,-0.51383585,-0.2558193,-0.719598,-0.12275372,-0.3413277,-0.20326081,-0.24058716,-0.43345696,-0.86379945,0.10894229,-0.8411183,0.11046448
Nono,0.087220415,-0.3005236,0.22187833,-0.40655133,-0.10527909,0.5646323,-0.13418773,0.13373394,-0.18179943,0.049011987,-0.3648478,0.5310137,-0.30750218,0.34139165,-0.13334297,0.25012016,0.3141104,-0.4642258,0.2603278,-0.394191
Nostrin,0.17070915,-0.19036044,0.108573735,-0.1687438,-0.44174308,0.46737704,-0.56327397,0.32441753,0.0020777099,-0.1584376,0.20005172,-0.2058278,-0.67039824,0.3025901,-0.056501556,-0.11603505,0.39459845,-0.4165062,0.18930236,-0.23709483
Npm1,-1.2607884,0.18356727,-1.2480427,0.03159564,-1.0108706,0.13416453,-0.8236192,0.025206946,-1.1539426,0.16525196,-1.0956476,0.21908855,-0.81089,0.20527779,-0.694762,-0.0041029947,-1.0934845,-0.03230138,-1.1095022,0.073178515
Nr0b2,-0.5231956,0.33088633,0.49217036,-0.24800421,-0.29372653,0.114301585,0.16983472,0.18646418,0.40807402,-0.20007528,0.48929247,0.035014562,0.1528532,0.024573533,0.11458427,0.14927629,-0.49749583,0.38442686,-0.4624402,0.46265766
Nr1d1,-0.19680665,0.009489386,-0.7848512,0.32270074,-0.4416972,0.5799176,0.2859461,-0.12225177,0.2367391,0.5358504,0.23773716,-0.47452763,-0.03476731,-0.0053884173,-0.695389,0.3277621,0.40469038,-0.4397951,0.40469038,-0.4397951
Nr1d2,-0.40900123,0.07352564,-0.5157385,-0.04133399,-0.08909325,0.19154848,0.366064,-0.107445896,0.25935566,0.15469278,0.38614994,-0.37219477,0.019002542,-0.16116056,-0.48567432,0.27827144,0.3495804,-0.42155322,0.2527211,-0.49277863
Nr1h2,-0.39376512,-0.2095594,-0.36491972,-0.55429715,-0.13033973,-0.12557195,0.08559055,-0.3247469,-0.290169,-0.3840732,-0.23395671,-0.43007812,0.08277857,-0.4310957,0.13243371,-0.50740486,0.027670996,-0.50887674,-0.49311662,-0.27173388
Nr1h3,-0.046092156,0.17248262,-0.35993767,-0.1257433,-0.39136082,-0.20008731,-0.022451896,-0.06639424,-0.52084136,0.042660113,-0.5079265,0.23058729,-0.2475364,-0.04356351,-0.22393475,0.2089511,-0.43395984,0.115215756,-0.28178608,0.25047508
Nr1h4,-0.4239182,0.08534238,1.2396343,-0.118672684,0.28983113,0.33223537,-0.1510942,0.50045496,0.61386776,0.27700517,1.1934861,0.22902915,0.46273243,0.37974095,0.5900968,0.37115905,-0.40818036,0.11812912,-0.5318561,0.35685167
Nr1i2,-0.34917694,-0.11688391,1.1076281,-0.25786057,-0.17804557,0.5587365,-0.03910062,0.36985826,0.40921068,0.2815287,1.2155116,0.017270183,0.15943278,0.37907568,0.2244268,0.3690303,-0.3842361,-0.040806632,-0.698724,0.42290908
Nr1i3,-0.5318187,0.5319373,1.0016153,-0.11362953,-0.16758934,0.5741428,0.057406977,0.2865881,0.39782724,0.20797819,0.7941448,0.09054478,0.31263062,0.26150456,0.18256325,0.2979774,-0.52044344,0.51074684,-0.58930606,0.48456404
Nr2c1,-0.027921133,-0.2580838,0.1289125,-0.44851017,0.23104298,-0.39725253,0.043432817,-0.007867099,0.13709548,-0.33004358,0.13549516,-0.11039938,0.20681494,-0.40018633,-0.12182611,-0.0073224464,-0.19608067,0.04304165,-0.31470862,-0.044191316
Nr2c2,-0.50538504,-0.43660712,-0.060624447,-0.4644315,-0.35846928,-0.45131227,0.031556983,0.097463004,0.24712037,-0.47289586,-0.14943339,-0.31189072,0.111441344,-0.54605824,0.25645554,-0.63987994,0.24144529,-0.36354,0.30760238,-0.40530586
Nr2f2,0.29040724,-0.47087827,0.17434101,-0.85699046,-0.082360744,1.0890843,-0.12015183,0.5341005,-0.61119056,0.41029063,0.07839644,-0.30230996,0.11114472,-0.25536275,0.30124116,-0.3663761,0.20386766,-0.54615134,0.18764302,-0.32801583
Nr2f6,0.1227148,0.09727747,0.0805773,-0.3273252,0.08198856,-0.29514313,0.12412606,0.12945952,0.12412606,0.12945952,0.12412606,0.12945952,0.12412606,0.12945952,0.12412606,0.12945952,0.1227148,0.09727747,0.1227148,0.09727747
Nr3c1,-0.17755838,-0.29722294,-0.16051789,-0.426785,0.15880346,-0.18176304,0.26095927,0.21846677,0.15749386,-0.3217997,0.42449462,0.07385843,0.15490696,-0.5688516,-0.062573284,0.37573597,0.122568846,-0.40210342,0.029316276,-0.42893293
Nr3c2,-0.20550247,-0.18023184,-0.8508559,0.3136829,-0.5015424,0.09273443,0.48187184,0.0044481484,-0.7609012,0.25634938,0.4205166,-0.016016548,0.42400873,-0.57371336,0.2650795,0.24678822,0.19988675,0.08366827,0.19988675,0.08366827
Nr5a2,0.096573174,-0.21111111,0.87677073,-0.08962784,0.033024587,0.32259074,0.031192208,0.27969298,0.48529014,0.24161296,0.9787332,0.19711666,0.1683188,0.45565727,0.3459471,0.33570853,0.096573174,-0.21111111,-0.215295,0.17982776
Ogg1,0.18144733,-0.28651643,0.09921445,0.39056098,0.7504076,1.5051496,0.21186258,-0.40702996,0.11422263,-0.23860969,0.013839984,-0.25144926,0.21186258,-0.40702996,0.25941607,-0.44005886,0.2619524,-0.3675103,0.20262562,-0.36068335
Olig1,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.6279499,1.3197587,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536
Onecut1,-0.13915221,0.44574806,0.5229264,-0.31773424,-0.08712344,0.3533835,0.30435625,0.06483695,0.40952677,-0.15521522,0.41447532,-0.06385682,0.094456404,0.5973074,0.2212839,-0.15496169,-0.16356616,0.4531176,-0.04884621,0.004731751
Onecut2,-0.6603371,0.0861515,0.55660087,-0.18084863,-0.39771977,0.4183571,0.4753976,-0.016491774,0.46374014,0.49148443,0.5324747,-0.29847458,0.028231945,-0.035657704,0.112524465,-0.11518165,-0.5318616,0.14190851,-0.5246601,0.20128877
Pa2g4,-0.42924607,0.3169716,-0.5477263,-0.02217943,-0.5060985,0.18412276,-0.19800442,0.060047366,-0.42764997,0.098751344,-0.49253315,0.3274369,-0.38287896,0.29698718,-0.06364824,-0.24281915,-0.743806,0.22891867,-0.7924481,0.28789723
Pbrm1,-0.15809101,-0.53917134,0.17629777,-0.33039078,-0.31131345,-0.12513119,0.09816705,0.07263494,0.22906867,-0.32421392,-0.20053157,-0.4602005,0.13335209,-0.4979268,0.10125002,-0.32808012,0.33267254,-0.26660848,0.32939675,-0.34013155
Pbx2,0.24153987,0.35512957,0.06306206,-0.22325334,0.06306206,-0.22325334,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957
Pcgf6,-0.60746574,0.06736222,-0.40838638,-0.15491243,0.04054367,-0.4456911,-0.11733322,0.19923204,-0.4562058,-0.109096095,-0.57314444,0.05035311,-0.03299008,-0.33096272,-0.19404402,-0.061644465,-0.4565454,0.03236736,-0.4565454,0.03236736
Pcna,-0.76821846,0.33692187,-0.77660346,-0.006189185,-0.8274269,-0.03488508,-0.8177417,0.0013051301,-1.0509557,0.21431223,-0.95973045,0.3098036,-0.7018624,0.0825159,-0.3489957,-0.30753198,-1.0359529,0.049601357,-1.0289304,0.1602083
Per1,-0.03820208,0.60317016,0.42089328,-0.06434187,0.035086263,-0.38789475,-0.017689802,0.340642,0.24153987,0.35512957,-0.017689802,0.340642,0.06306206,-0.22325334,0.06306206,-0.22325334,-0.03820208,0.60317016,-0.03820208,0.60317016
Phb,0.7602097,0.13867697,-0.96432924,0.34259397,0.16573009,0.18212412,-0.96432924,0.34259397,0.88296837,0.17419815,0.88296837,0.17419815,0.88296837,0.17419815,0.88296837,0.17419815,0.7602097,0.13867697,-0.96432924,0.34259397
Phf21a,-0.10180232,-0.47358426,0.092077225,-0.33594418,-0.5914761,-0.2215688,0.16467413,0.08431169,0.26555386,-0.12854242,-0.8143094,0.16909824,0.085913196,0.12709048,0.30189556,-0.36044988,0.29971993,-0.37371746,0.2723176,-0.07364365
Phf5a,-0.97732854,0.18104373,-0.78327876,0.25474122,-0.54005665,0.12851374,-0.45236915,0.37566426,-0.8512818,0.24448375,-0.6620963,0.56244934,-0.6941063,0.59919053,-0.69836223,0.43650356,-0.61994314,0.050597526,-0.81717813,0.18923737
Pias1,-0.27201262,-0.72943807,-0.027711429,-0.52032924,-0.57382005,0.017526759,0.31484422,-0.048495248,0.38081723,-0.28114426,-0.40196955,0.3297712,0.36980256,-0.035464387,0.3471615,-0.40095365,-0.019915167,-0.19068938,-0.019548997,0.15640177
Pias2,-0.049387034,-0.024380917,-0.48473608,0.100497425,-0.044801306,-0.18503317,-0.23156954,0.11141124,0.07288607,-0.4942554,0.15907587,-0.07281846,-0.38277856,0.15079133,-0.14334835,-0.03196381,-0.019379508,-0.03736442,-0.1902698,0.042189788
Pias4,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536
Pknox1,-0.09466955,-0.35280254,-0.028274912,-0.43557748,0.19581549,-0.42583647,0.12224145,-0.509936,0.11071241,-0.4889154,0.12004219,-0.5022572,0.17468591,-0.42884353,0.11071241,-0.4889154,-0.000559818,-0.4634609,-0.000559818,-0.4634609
Pml,-0.043485958,-0.2563509,-0.17288338,-0.21608542,-0.37124947,-0.36857247,0.25271228,-0.42171365,0.12556602,-0.39555132,-0.09721324,-0.29062828,-0.03543551,-0.17983894,0.05963922,-0.25998625,0.14759946,-0.15344225,0.14571773,-0.17020284
Pnn,-0.5488589,-0.23137479,-0.6666913,-0.41948053,-0.4406292,-0.5420122,0.037640378,-0.6264803,0.10056104,-0.72388875,-0.5658474,-0.43461224,-0.17154999,-0.36830097,0.09693761,-0.54819965,-0.3368335,-0.25110015,-0.09551783,-0.2694988
Ppara,0.41582918,-0.07532191,0.6247512,0.23847245,-0.28673026,0.85530466,-0.32900566,0.1883611,-0.16118875,0.2893598,0.32247493,-0.07098067,-0.035627928,0.2839798,0.34692448,0.12560254,0.13199642,0.07018235,-0.09962183,0.27475715
Ppard,-0.24482878,-0.32731262,0.0077439602,-0.16222905,-0.010173779,0.080476835,-0.45315742,0.78719336,0.11632429,-0.5802792,0.12057519,-0.5496764,0.24647854,-0.49544695,-0.049352523,-0.39170727,-0.3369217,-0.21947803,-0.24482878,-0.32731262
Pparg,-0.31160396,0.08178532,-0.46289238,0.21926963,-0.3774755,-0.24502689,0.68394583,-0.039700203,-0.55408484,0.2587437,0.2800823,0.2488965,0.3503804,-0.38156757,0.4438973,0.10484501,-0.092503,0.320093,-0.022585448,0.41075006
Ppargc1a,-0.29492274,-0.38322866,-0.7992649,0.25434595,0.014590371,0.6210468,0.3551037,-0.21675958,-0.57735634,0.071416155,0.36329564,-0.1308111,0.16382062,-0.39994794,0.30124307,-0.0046408856,0.36329564,-0.1308111,0.36329564,-0.1308111
Ppp1r8,-0.7790105,0.09256413,-0.67186135,-0.10169423,-0.44626164,-0.32217723,-0.694944,0.22412357,-0.75656676,0.19403183,-0.8639108,0.2360685,-0.49593294,0.048442166,-0.514256,-0.04705567,-0.81494206,0.10265555,-0.74614835,-0.0044006417
Prdm4,0.29717848,1.4145838,0.36370072,1.3000854,0.16531956,-0.3749512,0.23270246,-0.34649727,0.0104160905,-0.3276967,0.23270246,-0.34649727,0.23270246,-0.34649727,0.16310255,-0.35866204,-0.037495177,-0.39554897,-0.037495177,-0.39554897
Prdx5,-0.30591738,0.15295489,-0.30591738,0.15295489,-0.30591738,0.15295489,0.35793877,-0.09392593,-0.30591738,0.15295489,-0.30591738,0.15295489,-0.30591738,0.15295489,-0.30591738,0.15295489,-0.30591738,0.15295489,-0.30591738,0.15295489
Preb,0.42089307,-0.0643417,0.42089307,-0.0643417,-0.36757624,0.20280598,-0.36757624,0.20280598,0.42089307,-0.0643417,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,0.42089307,-0.0643417,0.42089307,-0.0643417
Prox1,-0.11860718,0.232924,0.8140317,-0.35396633,0.0071919635,0.34119472,0.5242291,-0.4496869,-0.38290757,0.3618265,0.656962,-0.7061453,-0.05968271,0.4197517,-0.1413998,0.061625645,-0.09354396,0.3749212,0.14237845,-0.36838728
Psip1,-0.64063454,0.17450826,-0.9671583,0.31283212,-0.5975966,0.28997406,-0.25523084,0.18669176,-0.20151594,-0.0689357,-0.29139656,-0.31342557,-0.14764535,-0.24263947,0.17127948,-0.22111173,-0.68211144,0.22672226,-0.5917019,0.313914
Ptges2,0.7602097,0.13867697,-0.96432924,0.34259397,0.16573009,0.18212412,-0.96432924,0.34259397,0.88296837,0.17419815,0.88296837,0.17419815,0.88296837,0.17419815,0.88296837,0.17419815,0.7602097,0.13867697,-0.96432924,0.34259397
Puf60,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,0.35793877,-0.09392593,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598
Pura,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,-0.017689768,0.3406421,-0.017689768,0.3406421,0.06306182,-0.2232536,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421
Purb,-0.38260186,0.33496484,-0.06513308,-0.35269943,-0.058056753,-0.23279595,0.11130147,0.24801615,0.07558365,0.28330162,0.07585633,0.320086,0.1694692,-0.50855327,0.12866493,-0.4675012,0.11638796,0.2422496,0.11130148,0.24801615
Pus1,-0.09169473,-0.009411672,-0.22512747,-0.18379018,-0.11631717,-0.32307342,-0.005757887,-0.25961658,-0.060848307,-0.20715381,-0.063792795,-0.27257267,-0.08514772,-0.22715919,0.00993482,-0.27920666,-0.12877177,0.016395217,-0.12877177,0.016395217
Rara,-0.01659521,-0.29534188,0.019207168,0.31136632,-0.19409908,0.5951747,0.20116882,-0.27610883,0.03720634,0.10210629,-0.32363644,0.102786824,0.26310623,-0.25717518,0.26650137,-0.32200602,-0.025347952,-0.002623358,0.006489616,0.048253685
Rb1,-0.48465002,-0.35416278,0.12682867,0.7705995,0.3673115,0.7804246,-0.3015669,-0.2992609,0.24940519,0.88699824,0.2431101,0.84501195,0.06698684,-0.33865783,0.080620095,-0.16877621,0.24813579,-0.112658866,0.15139277,-0.11474996
Rbbp5,-0.062025536,-0.11786287,-0.6625558,0.040939268,-0.59140474,0.5191779,-0.0052461587,0.33290896,-0.47765332,0.64100343,-0.06855108,0.35999173,-0.3802599,0.60707533,-0.5395187,0.50010735,0.28761002,-0.4657614,0.16509375,-0.4066323
Rbbp8,-0.45966402,0.26024684,-0.28565332,-0.057272647,-0.4259531,-0.3373008,-0.19628142,-0.26220918,-0.45656085,-0.16523917,-0.56322974,0.27510622,-0.36890158,-0.046863046,0.048486706,-0.50002044,-0.4994594,-0.18268706,-0.6588913,0.23973377
Rbck1,-0.6561101,-0.17064996,-0.43165448,-0.46462208,0.2886344,-0.459902,-0.29201996,-0.39686972,-0.22152461,-0.6646985,-0.14969361,-0.6264863,0.09499563,-0.74256843,0.07086454,-0.7704333,-0.21092957,-0.6266579,-0.6876826,-0.26550344
Rbl2,-0.074464634,-0.16685575,-0.15386055,-0.2774067,-0.06645712,-0.06345157,0.22679229,-0.15144233,0.050628368,-0.06906799,0.11611028,-0.14921659,0.02883479,-0.1825056,-0.27192244,0.13966553,0.27353168,-0.5894646,0.1668005,-0.6027223
Rbmx,-0.40844464,0.13090555,-0.19675717,-0.21950297,-0.39883834,0.17034031,-0.18360429,-0.017000254,-0.017551307,0.0010270316,-0.50588524,0.31597328,-0.31231207,0.12714511,-0.27616513,0.15965636,-0.16468766,-0.28687698,0.08692235,-0.263136
Rbmxl1,-1.0126668,0.19063234,-1.1956309,-0.0005159781,-1.0562347,-0.23202038,-0.4047736,-0.12194024,-0.8525606,0.29394868,-1.1229609,0.14006007,-0.8563151,0.424589,-0.7027827,0.14700088,-0.80434376,0.017465673,-0.85349053,0.12935244
Rbpj,0.13306242,0.64702505,0.13306242,0.64702505,0.08677225,-0.2665341,0.13306242,0.64702505,0.13306242,0.64702505,0.13306242,0.64702505,0.13306242,0.64702505,0.13306242,0.64702505,0.13306242,0.64702505,0.13306242,0.64702505
Rcor1,-0.27933952,0.3837378,0.12345627,-0.22163634,0.12345627,-0.22163634,0.03171355,0.5225445,0.03171355,0.5225445,0.03171355,0.5225445,0.09672457,-0.39699742,0.09672457,-0.39699742,0.03171355,0.5225445,0.03171355,0.5225445
Rcor3,-0.2248628,-0.49397177,-0.00842841,0.42192143,-0.00842841,0.42192143,0.06954841,-0.19672309,0.06954841,-0.19672309,0.06954841,-0.19672309,0.06954841,-0.19672309,0.06954841,-0.19672309,-0.2248628,-0.49397177,-0.2248628,-0.49397177
Rela,0.10961519,-0.4287236,0.115538046,-0.48537123,-0.1358891,0.19612075,0.23575324,-0.3275374,-0.1860798,0.27654776,-0.3165005,0.011018894,-0.52817035,0.35453132,-0.19250625,0.31819966,-0.24300508,0.37349862,-0.08037597,-0.2542173
Rere,-0.1184607,-0.05581628,0.016513247,0.06733261,-0.3026045,-0.52610064,-0.08143258,0.30191594,0.10134521,-0.025436245,-0.71974313,0.39074782,-0.08143258,0.30191594,0.016513247,0.06733261,0.016513247,0.06733261,0.10134521,-0.025436245
Rest,-0.50986576,0.25701964,-0.15771814,-0.43739262,0.009109821,0.3930932,-0.40645066,-0.18954596,-0.21020637,-0.33568868,-0.40348813,-0.358295,0.172389,-0.4560912,0.19859268,-0.49291015,0.09665657,-0.2924794,-0.18537205,0.11525976
Rfc1,-0.75012887,-0.1828942,-0.58937865,-0.2252617,-0.3974569,-0.5058326,-0.41681653,-0.08580681,-0.32132673,-0.22924243,-0.6688105,-0.20608626,-0.19343434,-0.33142185,-0.05239326,-0.41459146,-0.24103223,-0.14047624,-0.37169912,-0.06973917
Rfx1,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536
