Source,Target,PValue
Stat1,Cd1B,4.550593381165023e-56
Nrf1,Ninj1,4.687493616686333e-56
Ubtf,Foxp4,6.081928326821267e-56
Kdm5A,Chn1,7.997770206537008e-56
Elk4,Ptges3,1.4344507381169768e-55
Foxo4,Brox,1.4976658519920186e-55
Klf4,Relt,3.775800622877786e-55
Stat1,Tnfaip2,9.680372186340578e-55
Ubtf,Agap3,9.824760986184564e-55
Mecom,Mrap2,1.1835501413555656e-54
Gtf2F1,Mmp15,2.777892227960593e-54
Creb3,Odc1,2.9672825179482025e-54
Nfyb,Slc25A34,1.1938987408209744e-53
Znf384,Ube4B,5.223817338864452e-53
Foxo4,Yipf4,1.359439299307176e-51
Thap11,Ttll9,4.035106123751781e-51
Znf787,Atxn7L3,7.896375134102529e-51
Rb1,Akap11,1.1799962268055178e-50
Klf4,Itprip,1.7497231748665393e-50
Fosb,Cnn1,8.588560770960552e-50
Ep300,Ankhd1,2.4745313001200838e-49
Elk4,Ints2,1.6416703981074426e-48
Nfyb,Tmem143,2.3071349485152993e-48
Smad5,Mfsd14A,2.4287251242840933e-47
Gmeb2,Dpy19L3,2.9066759596035956e-47
Rbbp5,Anapc1,3.0731073362264533e-47
Nfkb2,Msx1,3.925926003772831e-47
Hnf4A,Slc25A30,4.806307299962805e-47
Gmeb2,Arfip2,6.598114989846778e-47
Fosl1,Ubxn10,9.819149824374128e-47
Taf1,Tbc1D12,1.0044232727480433e-46
Taf1,Cept1,1.3310679556690084e-46
Elk4,Pcdhga11,2.3498247913703044e-46
Hnf4A,Fuca1,3.720853979616951e-46
Elk4,Pcdhgb8P,4.224059336841989e-46
Foxo4,Rbp4,7.486057146380898e-46
Irf2,Slc22A23,1.0316281752858058e-45
Ubtf,Rasa1,1.1400283135796536e-45
Ppara,Zpr1,1.4140179339068166e-45
Crem,Ppara,1.433581270856941e-45
Rbbp5,Pikfyve,1.7753725530834453e-45
E2F7,Fignl1,2.375264723418502e-45
Ubtf,Ccdc71,6.073325949506527e-45
Znf384,Bcl9L,7.0862024479627e-45
Gabpa,Zbtb41,7.44326772580617e-45
Elf3,Dgat2,9.975575219570971e-45
Gabpa,Lmbrd2,1.0744975898993419e-44
Gmeb2,Vegfa,1.8604584015320427e-44
Taf1,Kif27,1.9206431858805634e-44
Sp1,Slain1,2.1419717516868702e-44
Nfyc,Cdkl5,2.3073403632597393e-44
Ppara,Ahcyl2,3.334158544934264e-44
Nfyc,Mpnd,3.725256736699252e-44
Sp1,Ints2,6.495694651614657e-44
Taf1,Ids,6.698465466876884e-44
Ubtf,Acvr2A,8.502912249909381e-44
Ubtf,Tmem267,1.3308172453489847e-43
Ubtf,Rps6Ka3,1.840859337892387e-43
Hnf4A,F10,2.3648637925931605e-43
Fosl2,Cited2,2.47032204347761e-43
Nr2C2,Poli,2.9285680802148683e-43
Nfyc,Hykk,4.291221431756147e-43
Srf,Cited2,6.222440800543007e-43
Creb3,Rab3B,7.556156342854558e-43
Ubtf,Supt4H1,1.212747861450929e-42
Ubtf,Cpne1,2.496284145726531e-42
Nfil3,Cited2,2.892902334818841e-42
Znf319,C2Orf15,3.315078258723256e-42
Foxo4,Crebl2,3.980570233965028e-42
Relb,Lpin2,7.031506884013335e-42
Creb5,Jund,9.016570290452798e-42
Jund,Creb5,9.01657029050124e-42
Cebpg,Ptpru,1.6538444560557132e-41
Jun,Chac1,3.342074415975964e-41
Atf4,Gata4,3.682377062973835e-41
Gmeb2,Mettl1,4.426158261037717e-41
Znf384,Mef2A,7.06311653913313e-41
Znf143,Cdc26,9.143068134396341e-41
Nfyb,Dok4,1.1068389205280645e-40
Thap11,Sgf29,1.3669004583002964e-40
Zfp62,Grtp1,2.042694045814896e-40
Rbbp5,Otud7B,3.18022522956893e-40
Ubtf,Rabep1,3.726892400353553e-40
Ubtf,Pbx3,3.78525136691686e-40
Thap11,Ahcyl2,8.104501905124409e-40
Ubtf,Exoc3,2.4280952883931648e-39
Yy1,Irf2Bp2,2.8893768122844343e-39
Ep300,Cept1,3.3023514720407536e-39
Rbbp5,Mlf2,3.444584798897517e-39
Rb1,Nlk,4.231117519522069e-39
Gmeb2,Camsap2,1.8778012978884083e-38
Nfyb,Bcat2,2.1929307980890153e-38
Nr2C2,Polr2J3,3.437739187420133e-38
Sp1,Mterf1,5.22571283539681e-38
Rbbp5,Gltp,6.733371545764889e-38
Kdm5A,Anapc10,7.280329153151166e-38
Hnf4A,Pole,7.990012229305044e-38
Yy1,Ptges3,1.108219365430482e-37
Ubtf,Kansl1,1.2494666288238308e-37
Sp1,Atg12,1.4048893716036944e-37
Ubtf,Rpap2,1.6415879102384435e-37
Elk4,Agfg2,1.7223677750271954e-37
Znf787,Pdrg1,2.321293517919067e-37
Sp1,Snx27,5.618522132717718e-37
Nfyc,Chd6,8.305134994683852e-37
Nfyb,Lrch4,8.816158894826753e-37
Fosl1,Chac1,1.1131388480938962e-36
Rxra,Agpat2,1.2212995897147165e-36
Smad5,Rassf8,1.768761082071051e-36
Nr2F6,Tmem212,2.518754725131939e-36
Ubtf,Mettl14,2.5965067963876776e-36
Clock,Akap11,3.492898905397902e-36
Rbbp5,Dock9,3.76455882185825e-36
Hnf4A,Fam162A,3.950623035578113e-36
Nfyc,Swsap1,6.228384018420902e-36
Sp1,Bcl9L,1.1099679469981077e-35
Rxra,Plac1,1.2834678403862081e-35
Sp1,Nucb1,1.5003119475898562e-35
Gmeb2,Tdg,1.5098814318237382e-35
Tfdp1,Linc01159,1.675315542169806e-35
Nrf1,Tmem87A,1.8870834579843937e-35
Thap1,Atg12,3.8772038424891104e-35
Elk4,Trappc11,4.197797348819116e-35
Kdm5A,Dnmt3A,4.322087333882698e-35
Tfdp1,Pafah2,5.083738563460959e-35
Tfdp1,Dusp12,8.21136917636708e-35
Kdm5A,Fubp1,8.352474018480941e-35
Znf787,Nek6,1.00198150409938e-34
Tfdp1,Kpna1,1.1853856364672823e-34
Nfyc,Tmem160,1.4675682487447332e-34
Thap11,Tmem160,2.067570387052133e-34
Nrf1,Cpne1,4.111774216326338e-34
