0,1,2,3,4,5,6,7,8,9
0.1112191,0.2871191,0.6183777,0.048383888,0.5970435,0.024406686,0.4168679,-0.3337158,0.36664903,0.36342853
0.093390815,-0.040557016,-0.111060016,0.6582916,-0.12249174,-0.30867016,-0.22064272,0.6086943,-0.6945418,-0.38612914
-0.3240407,-0.2691449,-0.18778962,-0.0044009015,-0.10320995,-0.049690228,-0.20573694,-0.051589597,0.114572756,-0.08153848
0.7056149,0.086779535,0.82989115,-0.44557986,-0.04526853,-0.8569398,0.76817,-0.2077579,0.5993108,-0.9308008
-0.21279374,0.771679,-1.1175741,-0.89696187,-0.19795662,0.10347794,-0.78608197,-0.90146786,0.50512105,0.30249327
0.22900948,-0.016540613,0.3732613,-0.55292976,0.31908202,-1.1166877,0.37073165,-0.3257833,0.38936007,0.25885355
-0.56600016,0.3870329,-0.56600016,0.3870329,-0.56600016,0.3870329,-0.56600016,0.3870329,-0.56600016,0.3870329
-0.51411885,0.35267353,-0.24937174,0.044510122,-0.36442304,0.42776245,-0.4958663,0.2813265,-0.4839298,0.77417004
-0.047453463,0.3920458,0.29644984,-0.116981134,0.52050525,0.39989308,0.76727384,0.1274815,1.2847536,1.2251191
-0.15531191,0.4962433,0.29621375,-0.13206728,0.78815126,0.09289643,0.48310256,-0.6503742,1.0352957,0.78740567
-0.2571908,0.27829587,0.15606943,0.28248766,0.07475958,-0.07557428,0.081112325,0.5463673,0.5099317,0.89408916
0.039608523,0.060186155,0.20632204,0.36463413,0.32471436,0.36372054,0.5042158,0.42342746,-0.021893166,0.35093772
-0.21337777,-0.635641,-0.74598336,0.9156842,0.02449701,0.27266687,-0.83343905,0.025745612,-0.21842444,-0.36304063
0.16542304,0.08124039,-0.2068691,0.105866656,0.103237525,-0.0047476627,0.17801285,0.041545387,0.11196857,-0.4933145
-1.0228187,0.24895206,-0.58986676,0.43765983,-0.06844065,0.44126204,-0.6796992,-0.18883151,-0.6547521,-0.063562274
-0.22825065,-0.6960947,0.020300921,-0.6557521,-0.13096502,0.3527761,-0.27232826,-0.36171302,-0.47758108,0.32254082
-0.37204337,-0.30189282,-0.2955948,-0.11784209,-0.08956643,0.7363362,-0.18931037,-0.009730402,-0.18351871,0.3295832
