source,target,p-value,model
Rcor1,Map3K7,1.1918074737200078e-131,-1
Foxo4,Sh3D19,6.168962813760111e-131,1
Hcfc1,Rpl10A,9.42763813471166e-130,-1
Gtf2F1,Ciz1,2.684504915588565e-129,-1
Foxo4,Cdk6,3.109663554657893e-129,1
Mzf1,Gdpd3,8.272431875466587e-129,1
Taf1,Ccdc186,1.2734168003312274e-128,-1
Gtf2F1,Tp53Bp1,7.664748800681675e-128,-1
Stat2,Pced1A,1.5581596198943164e-126,1
Gtf2F1,Strip1,1.6717696797032895e-126,-1
Foxo4,Hebp2,1.777471547170646e-126,1
Gtf2F1,Wdfy3,9.90461214717476e-126,-1
Smad5,Inhbb,1.435217417043714e-125,-1
Taf1,Braf,1.1646582919363809e-124,-1
Gmeb2,Tbrg1,2.3879143685758972e-123,-1
Elk1,Sec22C,6.0297333011710734e-123,-1
Etv5,S1Pr4,8.552452191048364e-122,-1
Rfx2,Rgma,1.49396124275845e-121,-1
Stat1,Dact2,2.25185021930076e-121,1
Tcf7L2,Smad3,1.577840858782925e-120,-1
Hcfc1,Wdfy3,1.7988154694110117e-120,-1
Gmeb2,Jarid2,1.2325122660560848e-119,-1
Hcfc1,Mkks,5.677432922031761e-119,-1
Gtf2F1,Pick1,2.5431835325156194e-117,-1
Tgif1,Has1,3.219470557536147e-117,-1
Hnf4G,Sh3Rf1,4.208161579952429e-116,-1
Rxra,Il1Rapl1,7.031863616269769e-116,-1
Rela,Aurkaip1,1.4146125655213777e-115,-1
Ep300,Pdpk1,3.4549864877871786e-115,1
Crem,Smc5,4.852298792220633e-115,-1
Stat1,Smpdl3B,1.3271217902024636e-114,-1
Irf9,Etv7,1.133430805165125e-112,-1
Stat2,Apobec2,2.054750904110313e-112,1
Mzf1,Foxd4,2.330915470116072e-111,1
Atf3,Hspa6,6.129894771874869e-111,-1
Atf3,Cpxm2,6.129894771874869e-111,-1
Atf3,Nav2-As4,6.129894771874869e-111,-1
Hcfc1,Zfand3,2.9648089842056205e-110,-1
Gtf2F1,Akt1S1,9.283707048344676e-110,-1
Elk1,Rps18,2.958025183894434e-108,-1
Taf7,Shoc2,2.0812495147952143e-107,-1
Hcfc1,Chuk,3.214787395056607e-106,-1
Irf9,Lpin1,4.619447867294821e-106,-1
Hcfc1,Tp53Bp1,4.792018108722408e-105,-1
Gtf2F1,Zcchc17,7.478952983118065e-105,-1
Nr1H3,Efhd1,1.0130446847987097e-104,-1
Mzf1,Grik5,2.397908227361609e-104,1
Rcor1,Zeb1,5.985939591133149e-104,-1
Foxp2,Med13,9.08002997069908e-103,-1
Foxp2,Slc24A1,1.593088691741543e-102,-1
Xbp1,Inhbc,1.7191020544297744e-101,-1
Nr2F6,Rapgefl1,2.467265446778773e-101,-1
Elk4,Six1,3.528215304785732e-100,1
Ep300,Ttf1,2.175386117350054e-99,-1
Rb1,Ubr1,2.858571327328257e-99,-1
Gtf2F1,Zscan20,3.341875289395084e-99,-1
Elk4,Cwc15,8.31237859616567e-99,-1
Kdm5A,Tra2B,1.0411591919885733e-98,-1
Rbbp5,Elavl1,2.324746984403157e-98,-1
Elk3,Syn3,1.866207410329082e-97,-1
Hcfc1,Carm1,3.1820229233363447e-97,-1
Tfdp1,Mrpl57,1.832025259267482e-96,-1
Znf490,Znf436-As1,2.084830482882588e-96,-1
Elk4,Rpp14,5.9154971860198954e-96,-1
Elk4,Taok1,9.098435574620979e-96,1
Tgif1,Vcan,2.2845929951438625e-95,-1
Creb3,Sec16A,6.437905012766483e-95,-1
Atf3,Avpi1,1.047290237664867e-94,-1
Gbx1,Casc16,2.697379481897028e-94,-1
Atf6,Nbeal1,3.1043161539434495e-94,-1
Elk1,Rhbdd2,8.760700291478471e-94,-1
Tfdp1,Fgd5-As1,1.3631936298054867e-93,1
Gtf2F1,Nmt1,2.5466910809690036e-93,-1
Gtf2F1,Ergic1,7.269985211790665e-93,-1
Rela,Tfeb,4.145032704027597e-92,-1
Gmeb2,Cacna1D,5.905448708537062e-91,-1
Rfx5,Cdc23,1.210499116612043e-90,-1
Thap1,Exoc8,1.4564625076942412e-90,-1
Gtf2F1,Smg5,1.556281166450445e-90,-1
Foxo4,Hdgf,1.6917081286550432e-90,1
Elk4,Akap10,7.680347445637473e-90,-1
Rarg,Prr12,9.782503202783818e-90,-1
Tbp,Mapkapk5-As1,1.0795456515333847e-88,-1
Hcfc1,Cope,1.6803205528077798e-88,-1
Sp1,Fam117B,2.3738118352801512e-88,-1
Znf143,Prepl,2.0083401396691926e-87,-1
Znf384,Mkx,2.8195599893776415e-87,-1
Elk4,Mier1,4.824578173711235e-86,-1
Gtf2F1,Ubr5,6.3397127996837995e-86,-1
Zfp30,Hexim1,9.762981016740951e-86,-1
Nrf1,Ccl28,1.4934790586021812e-85,-1
Elk4,Nipal2,5.438931142203898e-85,1
Polr2A,Znfx1,1.9697205973902987e-84,-1
Yy1,Shoc2,4.0377938114959395e-84,-1
Foxo4,Cpe,4.514120686217806e-84,1
Znf143,Leprotl1,1.2120285374636985e-83,-1
Rarg,Tmem218,2.5040539511127983e-83,-1
Creb3,Gnl3,3.1891517646802263e-83,-1
Creb3,Ctc1,2.0013114462012565e-82,-1
Gata6,Peli2,3.3593584675469006e-82,-1
Gtf2F1,Fbxl18,5.286747825196027e-82,-1
Taf1,Agap9,1.0247200466616671e-81,-1
Gtf2F1,Lasp1,1.5423553160244058e-81,-1
Gmeb2,Eml4,1.1098162387535455e-80,-1
Hnf4G,Asb7,1.188956231506485e-80,-1
Creb3L2,Bet1,1.6253954095564235e-80,-1
Cebpb,Adcyap1,1.8177245354817937e-80,-1
Rfx2,Mipepp3,2.133486342412668e-80,-1
Hcfc1,Mtf1,3.406960597851513e-80,-1
Nr1H3,F12,5.031767395431528e-80,-1
Sp1,Hoxb4,5.788913677341411e-80,1
Rfx5,Ubb,7.349584895915807e-80,-1
Nr2F6,Blvrb,2.747457194799054e-79,-1
Taf7,Foxj3,5.564178891730471e-79,-1
Creb3,Otub2,6.452542779825599e-79,-1
Rfx2,Prrg3,9.710788967673884e-79,-1
Znf143,Ddit3,1.0865585536706843e-78,-1
Elk1,Pigs,1.4253283794635178e-78,-1
Hcfc1,Hps1,1.4496465424002475e-78,-1
Foxo4,Lsm14B,3.420934339709416e-78,1
Nr1D2,Lrig3,9.638351427664043e-78,-1
Creb3L2,Pcdhgb8P,1.748495559509732e-77,-1
Rfx5,Acaca,1.81239624464707e-76,-1
Gtf2F1,Pikfyve,5.610660942223803e-76,-1
Sp1,Cdk2Ap2,8.488465361492456e-76,-1
Stat1,Kiaa0586,1.425188591751949e-75,-1
Taf7,Tor1Aip2,1.5830793363897246e-75,1
Ep300,Aph1A,4.906005069773701e-75,1
Gtf2F1,Mrps30,9.22978267991724e-75,-1
Nr2C2,Mri1,4.1134873903961856e-74,-1
Gabpa,Znf322,1.2820772539230659e-73,-1
Nr1H3,Npc1L1,1.336072621836344e-73,1
Hcfc1,Usp54,3.11111094548617e-73,-1
Rb1,Znf184,4.528883153464852e-73,-1
Xbp1,Myo1B,1.1825871205115625e-72,-1
Ep300,Lrba,1.505927284516419e-72,1
Taf7,Dpm1,2.0254261832999186e-72,-1
Elk4,Zcchc7,4.568304079349969e-72,-1
Elk1,Eef2K,5.365713167905571e-72,-1
Rfx2,Ndufa4L2,9.500862639650787e-72,-1
Tgif1,Adtrp,1.859446333550294e-71,-1
Nfyb,Dnajc4,1.990041130504326e-71,-1
Hcfc1,Kiaa0319L,4.0195186817641324e-71,-1
Crem,Ppp6R3,4.433522222086919e-71,-1
Nrf1,Elof1,1.7986609798560718e-70,-1
Taf1,Znf496,1.8497899183314636e-70,-1
Creb3,Gpi,2.388310602563069e-70,-1
Atf3,Galnt13,5.075730090398278e-70,-1
Kdm5A,Adam10,1.979402303846024e-69,-1
Elk4,Zeb1,3.3482046467008774e-69,-1
Stat1,Hmox1,4.925518349305572e-69,1
Ep300,Uvrag,7.484264065798483e-69,-1
Taf7,Norad,8.725914352080118e-69,-1
Irf1,Plekha4,8.810630652640913e-69,-1
Ppara,Ano4,9.806763939176653e-69,-1
Stat2,Slc26A6,1.0643929672222998e-68,1
Elk4,Tmem218,1.884488416631525e-68,1
Gtf2F1,Mis18Bp1,1.904485712840059e-68,-1
Foxo4,Rnf20,3.254967678360619e-68,1
Rfx5,Msmo1,3.842421460719377e-68,-1
Smad5,Ddx46,5.808130575323646e-68,-1
Znf718,Abca7,1.0429596459578374e-67,-1
Relb,Relt,3.0715877468380624e-67,-1
Elk1,Ptpn6,3.538578695092647e-67,-1
Elf4,Dennd4B,5.377617617477148e-67,-1
Elk1,E2F4,7.92138067199138e-67,-1
Elk1,Tpgs1,1.0923267134357453e-66,-1
Hcfc1,Poglut1,1.9886328670482063e-66,-1
Kdm5A,Cwc27,3.101725483599602e-66,-1
Stat1,Cyb5B,3.603534138833362e-66,-1
Kdm5A,Sbf1,4.945172385074459e-66,1
Creb3,Wdr48,8.736567398530809e-66,-1
Gtf2F1,Cdc42Ep4,2.202132185191491e-65,-1
Gmeb2,Gnl3,5.62837727617844e-65,-1
Elk1,Rps17,1.2479066385265502e-64,-1
Elk4,Gid4,1.7394446780424698e-64,-1
Maz,Six1,2.2526265727859325e-64,1
Hcfc1,Anapc1,2.4335338827486804e-64,-1
Nfyb,Zbtb48,2.9082477714060046e-64,1
Taf1,Crebbp,2.9376121365089446e-64,-1
Nrf1,Malt1,3.964161291287047e-64,-1
Hcfc1,Tmem102,1.799935351622173e-63,-1
Rbbp5,Trnt1,2.4678637734245355e-63,-1
Foxo4,Fam8A1,4.5403148432803995e-63,1
Nr1H3,Myom3,8.205314696328241e-63,1
Taf1,Afg3L1P,1.8929854892466735e-62,-1
Gtf2F1,Pycr2,2.6649828270851497e-62,-1
Rela,Znf394,2.8667721988572244e-62,-1
Nrf1,Ptbp2,4.015638949929468e-62,-1
Znf384,Herc2,1.0031863593669142e-61,-1
Creb3,Wbp2,3.340420571449152e-61,-1
Hcfc1,Dgcr8,4.33180454956496e-61,-1
Nfyc,Pld3,4.571774547770442e-61,1
Sp1,Rnf151,5.727970711746367e-61,1
Gtf2F1,Rpl3,2.1432068049702468e-60,-1
Rfx2,Jam2,4.769229599529312e-60,-1
Elk4,Hnrnpa3,1.1636787930847339e-59,-1
Znf490,Linc00563,1.329538566645874e-59,-1
Znf490,Or2L1P,1.329538566645874e-59,-1
Stat2,Zbtb25,1.5442973928328868e-59,1
Znf384,Wdr82,2.3368970331212566e-59,-1
Znf384,Mpnd,3.2878782288550652e-59,1
Jund,Dusp8,6.034307871906885e-59,-1
Rfx5,Rnpep,1.5323540701314832e-58,-1
Elk1,Frg1Cp,3.786318176078782e-58,-1
Nfyb,Ppm1A,5.723882799940639e-58,-1
Kdm5A,Znf143,9.203711147564657e-58,1
Znf143,Kdm5A,9.20371114756677e-58,1
Elk4,Ldb1,1.1730876085612089e-57,1
Etv5,Kctd10,1.350339094837832e-57,-1
Nrf1,Foxj3,1.7488577701866538e-57,-1
Elk1,Mgat5,2.4523619108906346e-57,-1
Hcfc1,Pik3R2,3.502304159014153e-57,-1
Elk4,Vamp4,4.860766881632199e-57,-1
Kdm5A,Mob2,5.221615508121201e-57,-1
Foxo4,Paip2B,6.989397613480897e-57,1
Kdm5A,Ccdc186,7.016902626117427e-57,-1
Foxo4,Dcaf11,2.0336259123576261e-56,1
Nr1H3,Slc25A34,2.265250316855872e-56,-1
Gtf2F1,Vps11,2.435064503773622e-56,-1
Ep300,Tubgcp2,3.022352573660324e-56,1
Rfx5,Fdps,4.537229044309614e-56,-1
Yy1,Crebbp,5.0596450081889105e-56,-1
Ppara,Atp2B2,5.980283758409055e-56,-1
Xbp1,Bcor,6.014893796425213e-56,1
Rb1,Pagr1,1.3164538394733821e-55,-1
Znf384,Mansc1,1.4094495249879713e-55,-1
Foxo1,Linc01619,1.9155290989836284e-55,-1
Znf787,Ppp1R13B,2.7681008006788724e-55,-1
Elk1,Iba57,3.510966166656892e-55,-1
Zfp62,Znf518A,3.741307198870049e-55,-1
Znf35,Gnal,4.02653821388708e-55,1
Znf384,Arcn1,4.132596089404878e-55,-1
Stat1,Itih3,4.389469325813289e-55,-1
Stat1,Smpd1,5.049799465094201e-55,-1
Tgif1,Jarid2,5.4987476163589045e-55,-1
Hcfc1,Znf792,5.595698698615593e-55,-1
Zbtb12,Qrich2,8.542379158218355e-55,1
Foxo4,Sh3Kbp1,1.0038379750631211e-54,1
Six5,Fntb,6.616135370077918e-54,1
Creb3L2,Znf24,6.67456261756641e-54,-1
Cebpb,Fgf19,7.925542050983729e-54,-1
Nr1H3,Slc25A23,8.605536823028157e-54,-1
Taf7,Zeb1,1.560340966327485e-53,-1
Elk1,Dgcr8,1.5740574366893882e-53,-1
Znf768,Akt2,2.8092949471118137e-53,-1
Gtf2F1,Mbd2,4.291952367388396e-53,-1
Elk4,Zbtb44,4.485146701373365e-53,1
Ppara,Foxo4,5.606348861591661e-53,-1
Gtf2F1,Rnf34,5.686633706364831e-53,-1
Hcfc1,Mgat1,7.5737555437461185e-53,-1
Gtf2F1,Dvl3,8.49508110258494e-53,-1
Gmeb2,Tnks2,1.3153050799549632e-52,-1
Rfx2,Enox1,1.3674605295313645e-52,-1
Rfx5,Abcb6,1.5503565142020244e-52,-1
Foxo4,Ube2H,1.7092605142325394e-52,1
Nr1H3,Treh,1.7436679686797444e-52,1
Nr1H3,Ccdc38,1.7436679686797444e-52,1
Taf1,Lama3,2.3063246933279917e-52,-1
Creb3,Ap4M1,4.34146838603972e-52,-1
Creb3,Slc10A3,4.4512477158931015e-52,-1
Nrf1,Znf10,4.92742224685834e-52,1
Hcfc1,Snx17,7.532888642943792e-52,-1
Ep300,Cog2,9.420223384809558e-52,-1
Nrf1,Plekhj1,1.3701722653981886e-51,-1
Zkscan1,Stx1B,1.3806867974754032e-51,1
Hcfc1,Gtf2F1,3.617974792407001e-51,-1
Gtf2F1,Hcfc1,3.617974792442013e-51,-1
Taf1,Cep85,4.891158549114589e-51,1
Elk4,Slain1,8.221729527086453e-51,-1
Atf3,Zfp36,9.791821338873879e-51,-1
Polr2A,Znf592,1.1266592498150025e-50,1
Foxo4,Serpinf2,1.6980259129462818e-50,-1
Foxo4,Tmem140,1.7069260458941853e-50,1
Kdm5A,Ccdc6,1.942903813487781e-50,-1
Maz,Pip4K2C,2.3007228627079136e-50,-1
Tgif1,Dlgap1-As1,2.5699979964065027e-50,-1
Rfx2,Sun3,2.904615384718278e-50,-1
Rela,Tnks2,2.9606030635052184e-50,-1
Znf143,Ints6,5.302634627721228e-50,-1
Mzf1,Ccdc154,7.4735705892891075e-50,-1
Zfp62,Ppox,7.535499061809659e-50,-1
Elk1,Emp2,9.732639711222985e-50,1
Atf6,Emp2,9.732639711229123e-50,-1
Ppara,Prlr,1.1316894327626569e-49,-1
Rfx5,Piwil2,1.1432418333410352e-49,-1
Rbbp5,Taok1,1.2185737230214112e-49,-1
E2F1,Pik3Cd-As1,1.6384778311828485e-49,-1
Ppara,Bcl9L,1.7098999027190155e-49,-1
Kdm5A,Kif5B,2.0601459395559926e-49,1
Hnf4G,Trub1,2.8804591490473143e-49,-1
Gtf2F1,Slc35B2,3.0351280122851384e-49,-1
Creb3,Golga2P10,5.790531277302317e-49,-1
Stat1,Htra1,6.281203448395118e-49,1
E2F1,Clspn,6.848290089652892e-49,-1
Znf384,Aldh16A1,1.0027218701329442e-48,1
Znf384,Tango2,1.0027863983242063e-48,1
Znf384,Sh3Gl1P2,1.1612107705620217e-48,1
Gabpa,Phf6,1.2674476296656456e-48,-1
Rb1,Six1,1.426308940266522e-48,1
Elk3,Cd47,1.4266661299548137e-48,-1
Znf384,Eif4G3,1.6834242652712982e-48,-1
Nrf1,Gnal,1.767236807039568e-48,-1
Rbbp5,Mettl21A,1.9409779005870633e-48,-1
Hcfc1,Med24,2.1607665814158205e-48,-1
Sp1,Nipal2,2.3390641231815713e-48,1
Rb1,Mapk8Ip2,3.702288637559766e-48,-1
Hcfc1,Wrap53,6.016291536647575e-48,-1
Hcfc1,Mapkbp1,6.579977083643652e-48,-1
Rfx2,C2Orf81,6.900919531481967e-48,-1
Hcfc1,Dda1,3.1627800939590995e-47,-1
Stat1,Btbd18,3.444939907862232e-47,-1
E2F8,Pold1,3.8939390230277626e-47,-1
Kdm5A,Ube2Q1,5.550165395965705e-47,1
Mzf1,Itga10,7.570893385135065e-47,1
