0,1,2,3,4,5,6,7,8,9,10,11
0610031J06Rik,0610031J06Rik,2.7874742166786324,2.708958149509906,2.66096229634933,2.7277047288266263,2.955212884143766,2.981237405740933,3.0866934328776536,2.905191403008787,2.8017243747555995,2.716642355853525
Abt1,Abt1,2.5269194481557267,2.491991352352265,2.577506858418696,2.606490427500181,2.439369026426245,2.646599065308602,2.700283013900884,2.44814007936198,2.0554117963821734,2.133671416878135
Adar,Adar,1.1269424267166908,0.9927870175455348,1.606027044572177,1.5733917128492851,1.84267753119901,1.07483493886451,1.473848471380678,1.3247550013380134,1.6930947888926833,1.6932387424772002
Aebp2,Aebp2,0.7989027910242347,1.64462894641276,1.6082354206484766,1.5085306675916932,1.0130972694911191,1.528417975397388,1.486466642223186,1.5580514620338002,1.099057764435026,0.857591928201768
Ahctf1,Ahctf1,2.6877236818626566,2.688306498982947,1.62720831228592,2.4249785492653864,3.042130343479573,2.6228902295766936,3.2252380228053044,2.9956729202759638,2.83483049562561,2.7049120769211648
Ahr,Ahr,2.4067580200219343,3.212378971993948,3.53352263128576,3.1868466614057933,3.7947279296287113,3.671010989804133,3.543068616018476,3.488108491608584,3.0135951961194904,2.13606260387231
Apex1,Apex1,3.87574527748576,3.494770716576762,5.054538467964143,4.408873936119531,3.954930345110653,4.225479269325516,4.25451592913373,4.21539000779248,3.785644783502197,3.6940056140143
App,App,3.733157528361404,3.5789572674247103,3.1713269121639165,3.3053322734022905,3.625473136563925,4.039893733603832,4.148872947356383,4.22352730988098,3.9458847668624655,3.464878770640915
Arid1a,Arid1a,1.0524482836808655,0.6873520922473624,1.0512119371706004,1.9263191295965985,1.5564435503284184,1.7968476695305835,1.868570821543768,1.73712351941557,1.5926071129374464,1.4548973696302951
Arid5b,Arid5b,1.6455786529483472,2.490100250665394,2.528992647526693,2.1414480932814715,2.221026967336752,2.0260941995375137,2.269461238252622,2.4262690084451264,2.0462468681084203,2.394851988428105
Arnt,Arnt,1.6383295993385325,1.910454715038225,2.59853308914151,1.8052464009614484,2.204653440838648,2.1889645624312366,2.2590198748040864,2.270856173355773,2.17211451347313,2.183775549340935
Ash1l,Ash1l,1.0041676037380958,1.257745885394301,1.6938901175828531,1.9248253381341236,1.884588134644465,1.834105597014948,1.861720497333946,2.051400876882957,1.6718446281844266,1.523446798158465
Ash2l,Ash2l,1.4083445223073523,1.207001678477095,1.20954779943779,1.5951827379584511,1.5903225789024482,1.5551745095791432,1.578807269023008,1.6306454033586666,1.4651940656036866,1.5401284440762248
Atf1,Atf1,2.5887727732965446,2.5056257418070618,2.758063050505483,2.9812733455227765,2.840489925490678,2.998873173458044,3.1007665273540383,3.14222509429791,2.7513461919623,2.813706541309645
Atf2,Atf2,1.390255018983645,1.2848227843686235,1.4561585823420735,1.794231625987945,1.5485622143981337,1.5093092277904665,2.065592934840354,1.8712173778773569,1.7472385276012332,1.6664820662792552
Atf4,Atf4,5.482914704598801,5.380089459506993,5.560202043740314,5.404968328540886,5.514598812322705,5.221774133470169,5.604877678683484,6.017706158140396,5.4460280572991495,5.570410135074095
