0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.6412484,-0.17953363,-0.27072814,0.42727014,0.11148,-0.13190779,-0.34220356,-0.17364922,0.121568486,-0.0924104,-0.007707212,-0.062323883,-0.007707212,-0.062323883,0.12156853,-0.09241043,0.077674,-0.17327183,-0.5175372,-0.08078312
-0.042036694,0.094207644,0.023164012,-0.008334681,0.048463132,0.556672,0.33101088,-0.030315444,0.13530232,-0.00037813187,0.0337003,0.44425768,0.19086434,-0.004817236,0.120792925,0.017967924,-0.39636987,0.17186353,-0.39636987,0.17186353
-0.5809482,0.22339,-0.551827,0.2342382,-0.39756647,-0.02287925,-0.51602334,0.29830626,-0.5809482,0.22339,-0.51602334,0.29830626,-0.51602334,0.29830626,-0.51602334,0.29830626,-0.628148,0.23211785,-0.628148,0.23211786
0.030469026,-0.36105764,0.10412772,-0.3583729,0.05228142,-0.37335545,0.18407266,-0.28341296,-0.08327028,-0.34691283,-0.07298826,-0.2664016,-0.038106073,-0.3619301,-0.04903585,-0.26266733,0.0831854,-0.31609046,0.055189744,-0.268889
-0.5188616,-0.03749549,-0.6701935,-0.124125674,-0.3484126,-0.27194914,0.046390355,-0.25344202,-0.07755664,-0.14507568,-0.28556135,-0.3490406,-0.12806675,-0.13077928,-0.020146918,-0.122386396,-0.4157123,0.024487428,-0.3512144,-0.07703798
-0.077878654,-0.33404228,-0.34072688,-0.45069867,0.07725787,-0.40904292,0.2734764,-0.52403307,0.23236094,-0.37418425,0.28503942,-0.38050792,0.2568038,-0.4360935,0.2518383,-0.42999932,0.24597758,-0.4200119,0.2821406,-0.45289335
-0.6323543,0.024376404,-0.49783975,-0.24792424,-0.38530418,-0.09317455,0.084207535,-0.33585873,0.17749318,-0.40869096,-0.106023684,-0.28787544,-0.049595963,-0.26193115,0.12666544,-0.37026766,-0.058007833,-0.33643717,0.1086179,-0.23343587
0.08569327,0.25696787,0.07158911,-0.69894886,-0.08045675,0.16283217,-0.13428856,-0.07989922,-0.46439964,0.0031111725,-0.010322262,-0.2929484,0.17618336,-0.5727713,-0.052751545,-0.18539444,0.21701099,-0.59463406,0.20546159,-0.18679896
-0.6092899,0.100268185,-0.7339372,0.14830515,-0.4359943,0.4286462,-0.39037833,0.4229338,-0.5234223,0.2745063,-0.53284854,0.37654608,-0.5930499,0.54838085,-0.5333862,0.26856822,-0.49604106,-0.1979582,-0.64707154,0.14610869
0.53590465,-0.10115741,0.53590465,-0.10115741,0.53590465,-0.10115741,0.53590465,-0.10115741,0.53590465,-0.10115741,-0.33969915,0.22998546,-0.33969915,0.22998546,-0.33969915,0.22998546,-0.33969915,0.22998546,0.53590465,-0.10115741
-0.292797,-0.42998734,-0.14867575,-0.41545293,0.11520359,-0.19802186,-0.017607167,-0.179408,-0.40197086,-0.27978364,-0.11007927,-0.1701717,0.10972087,-0.42600796,0.11407977,-0.42919117,-0.19601484,-0.5078623,-0.30804116,-0.37494874
-0.21906076,-0.45668712,-0.6153126,-0.36342624,0.10455446,-0.6760372,0.21537438,-0.6328814,0.34491098,-0.7170552,-0.63047034,-0.33292663,0.22321592,-0.5751605,0.35956812,-0.57382464,0.35271284,-0.42161772,0.36328968,-0.44231635
0.2837055,-0.10819307,0.2837055,-0.10819307,0.2837055,-0.10819307,0.2837055,-0.10819307,0.2837055,-0.10819307,0.2837055,-0.10819307,0.2837055,-0.10819307,0.2837055,-0.10819307,0.2837055,-0.10819307,0.2837055,-0.10819307
-0.008696601,0.46126714,-0.008696601,0.46126714,-0.008696601,0.46126714,-0.008696601,0.46126714,-0.008696601,0.46126714,-0.008696601,0.46126714,-0.008696601,0.46126714,-0.008696601,0.46126714,-0.008696601,0.46126714,-0.008696601,0.46126714
-0.42703012,-0.25236955,0.24459793,-0.41240463,-0.40066835,-0.18371315,0.16195874,-0.17796153,0.27612606,-0.398345,-0.22786291,-0.31513578,0.10033895,-0.48569414,0.0020058006,-0.4252558,0.30544916,-0.35973236,0.3203513,-0.38774127
-0.024616987,-0.08233053,0.057329614,-0.2687993,-0.04685493,-0.18311244,-0.4389388,-0.08672367,-0.21904872,0.026258998,-0.20033278,-0.14266795,-0.32297376,-0.100330286,-0.21963115,0.0376018,-0.011265222,-0.10700865,-0.011265211,-0.107008636
-0.10121754,-0.41216278,-0.036055814,-0.325195,-0.025512222,-0.29340532,0.09232387,-0.4234238,-0.03492141,-0.20262066,0.049297623,-0.49597678,-0.099127084,-0.16334257,0.03126694,-0.28624895,-0.017638434,-0.25713298,-0.12626866,-0.22144157
0.021626037,-0.24167341,0.0628622,-0.30038065,0.06751405,-0.35210773,-0.1726527,-0.034892645,0.068915546,-0.3429958,-0.13823208,-0.28862938,-0.20331219,-0.2055763,-0.1726527,-0.03489263,-0.15919925,0.028247707,-0.14385915,-0.007482622
-0.13553572,1.0220433,-0.25736994,-0.015550118,0.06823472,-0.18673488,0.017847952,-0.048970394,-0.20966433,0.71457875,0.10867807,-0.21147601,0.24675593,-0.18140426,0.23440866,-0.39773503,-0.20966433,0.71457875,-0.20966433,0.71457875
0.39669406,-0.048311032,0.39669406,-0.048311032,0.39669406,-0.048311032,0.39669406,-0.048311032,0.39669406,-0.048311032,0.39669406,-0.048311032,0.39669406,-0.048311032,-0.37668306,0.11340285,0.39669406,-0.048311032,0.39669406,-0.048311032
0.88464135,0.08880443,0.44767728,-0.4119943,-0.45482737,0.33390388,0.90303886,0.069680184,0.72421795,0.2410478,-0.121859044,0.1820314,0.34053165,0.11625192,0.8569816,0.21576673,0.8803322,0.011973225,-0.19521916,0.09830727
-0.43705314,-0.27200738,-0.2596096,-0.42816544,-0.13575931,-0.43236935,-0.09093687,-0.45291445,-0.112787664,-0.3815352,-0.3702656,-0.17459185,0.2022363,-0.462997,-0.08537756,-0.36290792,-0.26576346,-0.3861139,-0.27234858,-0.39632866
0.03494408,0.01938431,0.03494408,0.01938431,0.03494408,0.01938431,0.03494408,0.01938431,0.03494408,0.01938431,0.03494408,0.01938431,0.03494408,0.01938431,-0.08519639,0.13537414,0.09382659,-0.09100247,0.09382662,-0.09100247
-0.091438234,0.14323603,0.010069545,-0.037424505,-0.17907706,0.12717345,-0.105559856,-0.013774697,-0.19535038,0.14139566,-0.34120762,0.0012852922,-0.32975662,0.016874362,-0.010703165,-0.2103403,-0.12200822,0.1728574,-0.14742143,0.18041347
0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208
-0.25937843,0.07760153,0.017134339,0.023358203,0.06012268,-0.20716442,-0.058810417,0.12275016,0.017134331,0.023358226,-0.071183234,0.0646814,-0.10487862,0.05066564,0.004761409,-0.034710497,0.017134316,0.023358203,0.017134309,0.023358226
0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208,-0.008696601,0.46126714,0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208,0.10068767,-0.15730208
-0.33348477,-0.207744,0.17679529,-0.3400168,-0.19708624,-0.20228131,-0.011686645,0.01747322,0.107657164,-0.15159358,-0.015062779,-0.07847153,-0.03728408,-0.18276128,0.093317404,-0.29434583,0.10765715,-0.15159357,0.12790051,-0.19913547
-0.38617563,-0.22320299,-0.6862684,0.0075807087,-0.43591136,0.20177668,-0.08831613,0.094196804,-0.8569503,0.1988531,-0.31614935,0.14337781,-0.8128723,0.2721427,-0.73378056,0.3124787,-0.19206336,-0.19704199,-0.36627895,-0.16912532
-0.32656372,-0.19767037,0.1442599,-0.29060438,0.23249407,-0.41546226,-0.0718746,1.0156853,0.34096158,-0.31251213,-0.011746623,0.94820166,0.30749628,-0.34816983,-0.15650567,0.9460567,0.0916391,-0.031878307,0.045154016,-0.24173182
-0.16601731,-0.39479545,-0.3416975,-0.35047713,-0.016868517,-0.54331326,-0.08258557,-0.31522796,-0.022542845,-0.5225891,-0.521902,-0.28866908,-0.13807903,-0.46182713,-0.033523705,-0.46462664,-0.019566368,-0.22432882,0.016761404,-0.17501466
-0.04553849,-0.4675959,-0.031683665,-0.16843125,-0.09972276,-0.23897472,0.09786235,-0.32986817,0.09786232,-0.3298682,0.23600833,-0.35619733,0.09786236,-0.32986817,0.09191042,-0.29473975,0.09191047,-0.29473978,0.09191045,-0.2947398
-0.78161865,-0.26830238,-0.5882085,-0.45545316,-0.004032567,-0.42043152,0.048557702,-0.5601597,0.38075018,-0.6561018,-0.19994883,-0.37957683,0.36082536,-0.6631291,0.43662715,-0.67623925,0.5059438,-0.66313434,0.44365692,-0.54575
0.53590465,-0.10115741,-0.37668306,0.11340285,-0.33969915,0.22998546,-0.33969915,0.22998546,-0.33969915,0.22998546,0.39669406,-0.048311032,-0.33969915,0.22998546,-0.33969915,0.22998546,0.53590465,-0.10115741,0.53590465,-0.10115741
-0.6068568,0.12869868,-0.306071,0.50426877,-0.23357396,0.56995106,-0.46476334,0.17869234,0.61900723,-0.27734146,0.89658415,-0.27148756,0.48710823,-0.23425442,0.5893432,-0.32381392,-0.63441765,0.12040319,-0.6131702,0.12868346
-0.68644965,-0.43938887,0.0056812875,-0.5928453,-0.28483152,-0.37356967,-0.08241743,-0.31516486,0.25711787,-0.5640061,-0.3519504,-0.39290166,0.08661367,-0.56006944,0.18824406,-0.68950844,0.37927806,-0.5338075,0.29588735,-0.55709374
-0.37067506,-0.32478395,0.12128875,-0.509588,-0.21195413,-0.2731823,-0.2532424,-0.003868321,0.1613531,-0.35021803,-0.24974562,-0.19180201,-0.09967582,-0.22115892,0.165612,-0.46601516,0.16698381,-0.3237914,0.18853453,-0.3739873
-0.14232306,0.32756588,-0.142323,0.32756588,-0.058994364,0.3616729,-0.142323,0.32756588,-0.142323,0.32756588,-0.10101266,0.22979349,-0.19143711,0.12992978,-0.142323,0.32756588,-0.142323,0.32756588,-0.142323,0.32756588
-0.09283689,-0.35504666,-0.107361004,-0.4210094,-0.2946292,0.21237554,0.11526595,-0.2965444,0.20043759,-0.3421565,-0.0767795,-0.09622559,0.15652105,-0.33965823,0.18622707,-0.40884966,0.2109403,-0.36661938,0.2732322,-0.3973377
0.53590465,-0.10115741,-0.008696601,0.46126714,0.10068767,-0.15730208,-0.008696601,0.46126714,-0.008696601,0.46126714,-0.008696601,0.46126714,-0.008696601,0.46126714,0.10068767,-0.15730208,-0.008696601,0.46126714,-0.008696601,0.46126714
-0.2959145,0.21720988,-0.29338104,0.167871,0.05618646,-0.2629355,-0.22051893,0.29275048,-0.30739737,0.16593768,-0.316691,0.24102002,-0.24845718,0.19416474,-0.24907856,0.14626846,-0.2626439,0.1069285,-0.2626439,0.10692852
-0.45935142,0.14811642,-0.3173869,0.10444467,-0.31033638,0.26180196,-0.22819634,0.120539255,-0.22819634,0.12053926,-0.22819631,0.12053927,0.7054507,-0.011648037,0.7054507,-0.011648066,0.40974712,-0.08109973,-0.22819634,0.12053925
0.23232803,0.15275525,0.23232803,0.15275525,-0.5723495,0.21457428,0.5002044,0.047247164,0.23232803,0.15275525,-0.46011093,0.27195618,-0.49821854,0.27844736,0.23232803,0.15275525,0.18999974,0.11813201,0.23232803,0.15275525
0.23133485,-0.52666414,0.06770593,0.034238674,-0.52114695,0.21423882,0.098036945,-0.1475071,0.05136183,0.005811313,0.11545451,-0.056104437,0.03488472,-0.07151949,0.045420785,-0.09606012,-0.03169586,0.04325883,0.09119666,-0.144134
0.21868043,-0.19268528,0.14151889,0.70153534,0.14151889,0.70153534,0.17879066,-0.24241373,0.21868046,-0.19268525,0.17511153,-0.091204524,0.21868043,-0.19268528,0.21868049,-0.19268528,0.17511149,-0.091204524,0.17511149,-0.091204524
0.25798124,-0.36381632,-0.05887847,-0.08047694,-0.13818839,-0.06829956,-0.28980863,0.4031766,0.08894411,0.01949662,-0.021974597,-0.08648804,0.010990018,-0.06907159,-0.046862233,-0.40549782,0.38917017,-0.4928635,0.3638938,-0.3436809
0.29644778,-0.24717912,0.29644778,-0.24717912,0.29644772,-0.24717924,0.29644772,-0.24717924,0.29644775,-0.24717918,0.29644763,-0.24717921,0.2964477,-0.24717921,0.29644763,-0.24717921,0.29644775,-0.24717918,0.29644763,-0.24717921
-0.030073974,-0.16652393,-0.029404987,-0.093944915,-0.34197283,-0.13066632,0.13342449,-0.1716539,-0.09829305,-0.021879733,-0.10381013,0.017678382,-0.30878636,-0.06922725,0.034078643,-0.011153368,0.078400984,-0.20849001,0.0025050156,-0.18142797
-0.2198277,-0.07799794,-0.17317255,-0.18857145,-0.21009757,-0.3425428,-0.2959985,-0.28195378,-0.27129805,-0.1395042,-0.36067873,-0.06726366,-0.21203305,-0.18039727,-0.22368924,-0.20221752,-0.16697413,-0.06934756,-0.16276844,-0.06140258
0.029251065,0.048719496,-0.51721483,0.06592702,0.08391793,0.78125095,0.13718452,-0.3574275,-0.28194857,0.024506912,-0.06773031,-0.12856479,0.06480777,-0.321736,0.13718453,-0.35742748,-0.005693745,-0.19075237,0.029251065,0.048719496
