Source,Target
1700029F09Rik,Ddx1
1700029F09Rik,Dnajc2
1700029F09Rik,Taf9
1700029F09Rik,Ddx20
1700029F09Rik,Taf5
2700029M09Rik,Apex1
2700029M09Rik,Stat3
2700029M09Rik,Smarce1
2700029M09Rik,Hnrnpk
2700029M09Rik,Nr1d1
2700029M09Rik,Rbmx
2700029M09Rik,Ssrp1
2700029M09Rik,Sarnp
2700029M09Rik,Set
2700029M09Rik,Dnmt1
2700029M09Rik,Hdac2
2700029M09Rik,Msl3
2700029M09Rik,Rbbp5
2700029M09Rik,Tmpo
2700029M09Rik,Npm1
2700029M09Rik,Rbmxl1
2700029M09Rik,Rxra
2700029M09Rik,Zfp422
2700029M09Rik,Smad2
2700029M09Rik,Sfpq
2700029M09Rik,Ddx20
2700094K13Rik,Ilf2
2700094K13Rik,Smarce1
2700094K13Rik,Zfp553
2700094K13Rik,Hmgb1
2700094K13Rik,Trim28
2700094K13Rik,Ssrp1
2700094K13Rik,Sarnp
2700094K13Rik,Pa2g4
2700094K13Rik,Set
2700094K13Rik,Dnmt1
2700094K13Rik,Hnrnpab
2700094K13Rik,Tfdp1
2700094K13Rik,Smarcc1
2700094K13Rik,Tmpo
2700094K13Rik,Npm1
2700094K13Rik,Rbmxl1
2700094K13Rik,Pcna
2700094K13Rik,Ppp1r8
2700094K13Rik,Tada2a
2700094K13Rik,Ddx20
3110082I17Rik,Apex1
3110082I17Rik,Bhlhe40
3110082I17Rik,Irf2
Abt1,Prkcd
Abt1,Pld1
Abt1,Ppp1r12a
Abt1,1810048J11Rik
Abt1,Apex1
Abt1,Asrgl1
Abt1,Cct3
Abt1,Cdc26
Abt1,Cirh1a
Abt1,Cse1l
Abt1,Ctu2
Abt1,Ddx18
Abt1,Ddx21
Abt1,Ddx27
Abt1,Dtwd1
Abt1,E2f6
Abt1,Eef1e1
Abt1,Eif2b3
Abt1,Fbl
Abt1,Gart
Abt1,Gnl3
Abt1,Gpatch4
Abt1,Gpn3
Abt1,Grwd1
Abt1,Gtf2h5
Abt1,Hat1
Abt1,Hax1
Abt1,Kars
Abt1,Mak16
Abt1,Mki67ip
Abt1,Mrrf
Abt1,Mthfd1
Abt1,Nhp2l1
Abt1,Nip7
Abt1,Nob1
Abt1,Noc4l
Abt1,Nop14
Abt1,Nop56
Abt1,Nufip1
Abt1,Nup107
Abt1,Nup43
Abt1,Nup62
Abt1,Park7
Abt1,Pdcd11
Abt1,Polr1c
Abt1,Polr2h
Abt1,Pop1
Abt1,Ppan
Abt1,Prmt3
Abt1,Prpf3
Abt1,Pwp2
Abt1,Rrp15
Abt1,Ruvbl1
Abt1,Shq1
Abt1,Smu1
Abt1,Snap47
Abt1,Taf5l
Abt1,Thoc6
Abt1,Utp14a
Abt1,Utp3
Abt1,Wdr36
Abt1,Wdr43
Abt1,Wdr5
Abt1,Wdr73
Abt1,Wdr74
Abt1,Ythdf1
Abt1,Zfp828
Actl6a,Hnrpdl
Actl6a,Ahctf1
Actl6a,Zzz3
Actl6a,Nono
Actl6a,Hmgb2
Actl6a,Trim27
Actl6a,Rbmx
Actl6a,Kdm3a
Actl6a,Thoc1
Actl6a,Sp1
