0610031J06Rik,2.982619417,2.914276138,2.872739663,2.930549906,3.130183447,3.153259231,3.247239115,3.085963658,2.995074474,2.920943367
A930001N09Rik,1.89026973,1.602926487,0.912938617,1.441629753,1.429787006,0.748099463,1.351917866,1.064147877,2.001966511,2.197133986
Abt1,2.757748081,2.728037843,2.800966733,2.825827029,2.683481896,2.860345853,2.906754786,2.690891101,2.366426488,2.429837718
Adar,1.670819463,1.580157855,2.015827171,1.991330621,2.197472541,1.635281255,1.917477019,1.809374706,2.081849498,2.081959449
Adnp2,1.139957069,1.50079004,1.672454406,1.286923747,1.173639121,0.950182587,1.371315199,1.446633268,1.35166048,1.347724312
Aebp2,1.454058722,2.044979579,2.017489792,1.943059082,1.593707212,1.957800727,1.926765671,1.979863928,1.651750867,1.491602376
Ahctf1,2.895876521,2.896381047,2.031799767,2.67134097,3.207434494,2.83992507,3.371804276,3.16607935,3.024069607,2.91076744
Ahr,2.655995983,3.360192447,3.653022537,3.337166492,3.89510885,3.78004827,3.661811986,3.611271286,3.182015931,2.431785433
Apex1,3.970821087,3.617389512,5.097309843,4.475239671,4.045083678,4.300610598,4.328187803,4.291035011,3.886638008,3.80138135
App,3.837760194,3.694897314,3.323189876,3.444352422,3.737874219,4.125040175,4.227991154,4.298757753,4.036587671,3.589956508
Arid1a,1.620139018,1.384229569,1.619304976,2.263287516,1.978663813,2.161759316,2.217760077,2.1155987,2.005737253,1.903566874
Arid4b,1.041657343,1.003147191,1.138899882,1.217345892,1.238677645,0.900022004,1.264663115,1.251038537,1.162014408,1.10388457
Arid5b,2.045699205,2.726432326,2.759514936,2.436174314,2.501375943,2.342841075,2.541373699,2.672428928,2.359043428,2.645985524
Arnt,2.040209254,2.250742023,2.818994653,2.168285307,2.487907659,2.475028078,2.532731327,2.542529109,2.461223285,2.470773755
Ash1l,1.58774224,1.761803687,2.082457,2.262105004,2.230349044,2.1907738,2.212385148,2.363194259,2.065647176,1.954110872
Ash2l,1.86960458,1.726209339,1.727986381,2.007671958,2.004021924,1.977716865,1.99538604,2.034397074,1.911118639,1.966505754
Atf1,2.810621486,2.739622617,2.956962503,3.153291131,3.029034508,3.168923421,3.259836575,3.297022234,2.951112432,3.005559194
Atf2,1.856487825,1.780948866,1.904491095,2.159728327,1.972786247,1.943635207,2.374638853,2.2198381,2.123385958,2.061567431
Atf3,0.38552797,3.398364039,1.62403865,1.246726108,0.871794207,2.243698173,1.131314444,1.848352656,0.661475893,0.44514716
Atf4,5.514818467,5.414322343,5.590458974,5.43862271,5.545816994,5.259925395,5.634221326,6.039803208,5.478748749,5.600455938
Atf5,6.908780752,6.347548139,6.105762767,6.810938822,7.514897025,6.675532621,7.027156236,7.058340272,6.954825623,6.676852704
Atf6b,2.898640867,2.943913125,2.365749438,2.940953932,3.251821767,2.816725554,3.517742854,3.425486946,3.22704324,3.161021455
Atf7,2.90545023,2.171644017,2.283553563,2.501782264,2.390071758,2.423276063,2.264575351,2.231295246,2.429063105,2.33282408
Atoh8,2.785165693,2.995438588,2.212072742,3.498742738,2.723690859,2.370388156,2.464017203,1.355378683,2.162920142,2.019688772
Atxn1l,1.551664383,1.687827063,1.728774994,1.851648043,1.87750617,1.648482902,1.90570251,1.882343078,1.898114256,1.869507511
Bach1,2.398417346,2.620451529,3.514609798,2.892408024,2.481926699,2.585060012,2.613603623,2.802219885,2.655468727,2.880168559
Bahd1,1.499219892,1.4149601,1.128393799,1.9761243,1.689398894,2.24853977,1.954881991,1.733532462,1.656390832,1.67970646
Baz2a,2.005362999,1.906390407,1.772424429,2.330527181,2.361278996,2.213038299,2.260498695,2.414622033,2.454212993,2.346725273
Bcl3,2.806928831,3.348326394,5.542813335,3.677814018,4.237862272,4.321563718,4.213742442,4.364295224,3.440663181,2.870515872
Bcl6,2.472669252,1.719049107,1.163688207,0.817762071,1.218019149,0.76140568,1.17294635,0.987566383,3.039897413,1.583741751
Bclaf1,2.91829667,2.928886717,2.992262758,2.587622459,3.215552597,2.826618866,3.051821334,2.839668741,2.784405065,2.787926925
Bcor,1.172971682,1.230670759,2.137511336,1.688602958,1.899779415,1.900533323,1.569508605,1.781628829,1.462003514,1.098757642
Bdp1,0.936395174,0.973511761,1.327897987,1.440703423,1.255455077,1.347270338,1.446711669,1.32966221,1.153773052,1.076447246
Bhlhe40,3.290955377,5.909062909,4.578512368,4.495598542,4.192005131,4.878994933,3.989075892,4.223251365,3.446248476,3.114791655
Bmi1,2.359328414,2.333623737,2.188835208,2.981624987,2.760596197,2.958535321,2.720772084,2.61550053,2.568797217,2.435002739
Bptf,1.186261815,1.289085929,1.704721174,1.599105193,1.496026264,1.320935622,1.658300223,1.661535355,1.47398998,1.453233919
Brd4,2.27703385,2.133768533,2.285795524,2.652754503,2.657136669,2.705421937,2.762179546,2.764948945,2.440944008,2.389131607
Brd7,2.639686386,2.385182278,2.339533243,2.638948839,2.466032984,2.494045934,2.665389171,2.500443276,2.557325794,2.594983666
C1d,3.338594766,3.029719085,2.899711322,3.015797705,2.982029227,3.027436211,3.234588243,3.169425365,3.153401233,3.014198749
Calcoco1,2.971674754,2.732916833,1.752975584,2.432085285,2.331205955,2.390032313,2.073090413,1.530132986,2.599958805,2.725908827
Camta2,2.207431965,2.003633652,1.811449355,2.531140275,2.579100476,2.1736897,2.210400796,2.090596165,2.265445535,2.268246431
Carhsp1,4.483647617,4.079384378,3.939902584,4.322092752,4.37850042,4.753869626,4.997482603,4.904970926,5.023732043,4.753655134
Carm1,2.347426939,2.232551915,2.016866738,2.722629552,2.374360385,2.703031306,2.525534669,2.416258996,2.446743714,2.444626294
Cbfb,1.99912498,2.267354117,2.419872235,2.806471452,2.452636038,3.183919927,2.915676648,2.650539362,2.07938414,2.200742187
Cbx2,1.447392437,0.833869145,0.29401497,1.25599427,1.162042491,1.4945691,1.398544404,1.056093402,1.564095029,1.569409714
Cc2d1a,1.789212554,1.656046888,1.37869996,2.117539623,1.94066179,2.246198884,2.274517265,2.13496059,2.056377264,1.939922369
Cc2d1b,1.447214346,1.32746248,1.098692764,1.97860734,1.794303657,1.875462494,1.909404259,1.756729684,1.597145241,1.571653523
Ccnt1,1.432660422,1.720510465,2.267515995,1.898917488,1.903710063,1.938437751,2.008082291,1.957601235,1.501597392,1.625300028
Cdc5l,2.754302062,2.635937594,2.66824241,2.948693604,2.740342347,3.031889453,3.182568352,2.917173812,2.76612552,2.673346406
Cdk9,2.583811378,2.509174268,2.286186001,2.668666204,2.709973482,2.735910902,2.715456812,2.509057492,2.34298621,2.405551523
Cebpa,6.084349027,5.735571806,5.05651883,5.635875725,5.477242399,5.580421947,4.95219703,5.443683556,6.290010064,6.340346407
Cebpb,4.275351568,5.742889029,6.522438808,4.887690592,4.490914664,4.833084763,4.321129524,4.263130836,3.336815142,3.940245282
Cebpg,3.287909467,3.500982625,3.425782283,3.883728203,3.736352944,3.580553584,3.690954366,3.627363774,3.36569425,3.259204692
Cenpb,3.406049237,3.244736161,3.091992228,3.704833391,3.788074637,3.811812013,3.681534183,3.495623635,3.459531612,3.611522077
Cggbp1,3.22783082,3.314885616,3.288614545,3.292423006,3.50262354,3.622639249,3.81508587,3.558149601,3.3972891,3.345318713
Chd1,1.554209474,2.718362614,2.591370808,2.452003517,2.167614574,2.312185102,2.300601102,2.292553927,1.918520594,1.791618766
Chd4,3.174875668,3.286128936,2.817330326,4.246673069,3.857945356,4.134839739,3.932737449,3.715412536,3.593562113,3.437411397
Chd7,0.754145558,1.208829346,1.376101614,1.450806419,1.064242419,1.154395649,1.113390504,1.206020522,0.760889111,0.684321463
Chd8,1.506881405,1.562758714,1.553987193,1.812341257,1.789988398,1.832209185,1.852381048,1.806289565,1.740771165,1.664153975
Chd9,1.075883576,1.14338155,0.685338612,1.317600474,1.493298774,1.44475596,1.296215296,1.43041257,1.477677157,1.387616223
Churc1,1.286597753,1.127881735,1.241557982,1.290483068,1.173809444,1.35042186,1.342670232,1.285768544,1.076987267,1.063776521
Cic,1.415673993,1.643884741,1.551917839,1.894775144,1.810288905,1.892063052,1.953283842,2.069669585,1.809830373,1.739368866
Clock,2.372048483,2.738445931,2.544713966,2.674831424,3.138663932,2.387900394,3.268861642,3.237635455,2.926313989,2.853982043
Cnbp,6.492840561,6.343550966,5.931972797,5.805894263,6.38407703,6.328320001,6.376899216,6.524597822,6.379129031,6.361243151
Creb1,1.326005743,1.199406096,1.402786405,1.661497897,1.441514235,1.605962385,1.720193641,1.566488744,1.386584421,1.27169973
Creb3,3.423266171,3.436983879,3.605729317,4.183550027,3.676219539,3.75335203,3.743735695,3.315622786,3.319819102,3.319327171
Creb3l2,1.991636227,1.594787321,3.111338482,2.458509301,2.392173075,2.31668341,3.554985497,3.27374485,2.661774734,2.035449077
Creb3l3,5.8777704,6.432112682,6.625601194,7.200225534,6.506242997,6.743317585,5.974163983,5.833682351,5.9598023,6.092541343
Crebbp,1.033778841,1.138901102,1.328089711,1.510385985,1.517131082,1.235835139,1.592852001,1.577815418,1.427814025,1.395851664
Crebl2,3.187141328,3.292585499,2.70439953,3.099516552,3.234983837,3.04749002,3.287664033,2.942230393,3.293834118,3.560256828
Crebzf,2.580191436,2.169142804,2.14970493,2.451799186,2.292422563,2.399230058,2.302249604,2.327439649,2.416304296,2.450557158
Crem,2.110537715,2.435172448,3.13362491,2.624114374,2.392188858,1.985335079,2.865421915,2.310127577,2.071232547,2.202804905
Cry1,2.634116837,2.492672112,1.257882722,1.788984165,3.352909289,2.104560955,2.643107067,2.585668321,2.388189272,2.436265243
Cry2,1.893152536,2.428882018,0.850943674,2.248665442,1.922893113,1.872720019,1.466677526,1.591643906,2.15868155,2.152276667
Csda,3.253244335,3.115541398,3.186948745,3.607390952,3.351044928,3.698570255,3.67799259,3.713166978,3.050337842,2.828893203
Csde1,5.113864435,5.210536732,5.325397842,5.6144664,5.433442665,5.496197465,5.589664126,5.596228834,5.279814836,5.245338619
Csrnp1,1.298378133,3.103552033,3.537199801,2.382149047,2.0491474,2.076199575,1.594132984,1.598477428,1.412541121,1.649629806
Ctcf,2.496472354,2.446860842,2.478632954,2.793071471,2.708011478,3.117210075,3.284395474,2.951205941,2.735459746,2.647865151
Ctnnb1,4.901221842,4.94945994,4.978849521,5.200973871,5.21160543,5.259411803,5.47400102,5.499156892,5.291497289,5.181543279
Cux1,1.12935008,1.178736806,1.289601835,1.25811046,1.394317338,1.450270691,1.52761735,1.524218855,1.379005667,1.441928984
