Source,Target
Anp32b,Smarce1
Anp32b,Top2a
Anp32b,Hmgb1
Anp32b,Hmgb2
Anp32b,Ssrp1
Anp32b,Atf1
Anp32b,Prdx5
Anp32b,Sarnp
Anp32b,Pa2g4
Anp32b,Set
Anp32b,Nolc1
Anp32b,Ezh2
Anp32b,Hells
Anp32b,Srrt
Anp32b,Hnrnpab
Anp32b,Hdac2
Anp32b,Hdac1
Anp32b,Tfdp1
Anp32b,E2f1
Anp32b,Cggbp1
Anp32b,Tmpo
Anp32b,Npm1
Anp32b,Ppargc1a
Anp32b,Rbmxl1
Anp32b,Pcna
Anp32b,Mxd3
Anp32e,Cbfb
Anp32e,Smarce1
Anp32e,Hnrnpk
Anp32e,Nfyb
Anp32e,Nono
Anp32e,Hmgb1
Anp32e,Ssrp1
Anp32e,Atf1
Anp32e,Sarnp
Anp32e,Ctcf
Anp32e,Hnrnpab
Anp32e,Hdac2
Anp32e,Cnbp
Anp32e,Tmpo
Anp32e,Tardbp
Anp32e,Zfp422
Anp32e,Sfpq
Anp32e,Irf3
Apex1,Sox12
Apex1,Rps3
Apex1,Tmem9b
Apex1,Tapbp
Apex1,H2-Ab1
Apex1,Cd74
Apex1,Neat1
Apex1,Clic5
Apex1,Tmcc3
Apex1,Sp100
Apex1,H2-Aa
Apex1,Lmo7
Apex1,Prr14
Apex1,2810004N23Rik
Apex1,Aaas
Apex1,Alg8
Apex1,Bms1
Apex1,C1qbp
Apex1,Cacybp
Apex1,Cbx1
Apex1,Ccne1
Apex1,Cct2
Apex1,Cct3
Apex1,Cct5
Apex1,Cct6a
Apex1,Cct7
Apex1,Cdca4
Apex1,Cdca5
Apex1,Cdca8
Apex1,Cdk4
Apex1,Cenpt
Apex1,Cfdp1
Apex1,Cks1b
Apex1,Clns1a
Apex1,Cse1l
Apex1,Ctps
Apex1,Dcaf13
Apex1,Dis3
Apex1,Dnmt1
Apex1,Drg1
Apex1,Dtymk
Apex1,Dut
Apex1,Eef1d
Apex1,Eftud2
Apex1,Eif3g
Apex1,Elp2
Apex1,Elp3
Apex1,Fbl
Apex1,Fignl1
Apex1,Fkbp3
Apex1,Gar1
Apex1,Gart
Apex1,Gcsh
Apex1,Gemin6
Apex1,Gnl3
Apex1,Grpel1
Apex1,Grwd1
Apex1,Hdac2
Apex1,Hells
Apex1,Hirip3
Apex1,Hnrnpm
Apex1,Ilf3
Apex1,Impdh2
Apex1,Ipo5
Apex1,Ipo9
Apex1,Kars
Apex1,Lage3
Apex1,Lars
Apex1,Lig1
Apex1,Mak16
Apex1,Mcm4
Apex1,Mcm5
Apex1,Mcm7
Apex1,Mphosph10
Apex1,Mrpl11
Apex1,Nap1l1
Apex1,Ncapd2
Apex1,Nme1
Apex1,Nmral1
Apex1,Nob1
Apex1,Noc2l
Apex1,Noc4l
Apex1,Nop56
Apex1,Npm1
Apex1,Nsun2
Apex1,Nucks1
Apex1,Nup107
Apex1,Nup155
Apex1,Nup37
Apex1,Nup43
Apex1,Nup62
Apex1,Nup85
Apex1,Nup93
Apex1,Orc6
Apex1,Pa2g4
Apex1,Parn
Apex1,Polr1c
Apex1,Polr2b
Apex1,Ppan
Apex1,Prim1
Apex1,Prpf19
Apex1,Psma5
Apex1,Psmd12
Apex1,Psmd14
Apex1,Psmg1
Apex1,Ptrh2
Apex1,Pwp2
Apex1,Ran
Apex1,Rbbp5
Apex1,Rbbp7
Apex1,Rbm14
Apex1,Rbm17
Apex1,Rbmxl1
Apex1,Rcc2
Apex1,Rfc5
Apex1,Rnaseh2b
Apex1,Rnps1
Apex1,Rpl15
Apex1,Rpl31
Apex1,Rrp15
Apex1,Rrp8
Apex1,Rrs1
Apex1,Ruvbl1
Apex1,Smyd2
Apex1,Snhg1
Apex1,Snhg5
Apex1,Snrpa1
Apex1,Snrpe
Apex1,Snrpf
Apex1,Srm
Apex1,Ssrp1
Apex1,Tacc3
Apex1,Tada2a
Apex1,Tcp1
Apex1,Tex10
Apex1,Tfdp1
Apex1,Thoc3
Apex1,Timm22
Apex1,Timm23
