Adar,1.602712921,1.620463302,1.443701806,1.438762973,1.841822498,2.568188322
Aebp1,2.37500605,2.204273642,2.209899751,2.862673611,3.988108574,5.232934714
Aebp2,2.434771458,2.486530568,2.510107577,2.623130914,2.846945678,2.998474076
Akna,1.354962955,1.244055886,1.202903078,1.374599673,1.918992415,2.640396513
Ankrd1,8.632524976,8.377055323,8.328735618,10.7463886,11.27418158,10.07684236
Apex1,2.49407569,2.489161563,2.374130165,2.853709925,3.394063503,3.620073041
App,6.624452197,6.737677151,6.619469494,6.649935404,6.916485612,7.929388657
Arid1a,2.884646776,3.029609623,2.95510546,2.817202539,3.075172265,3.445531075
Arid5a,0.644753839,0.837417019,0.859067615,2.147399923,1.691079333,1.734722315
Arid5b,1.966942649,1.89858683,1.814568181,2.57525976,2.104975533,2.366424803
Arnt,2.699205683,2.686680909,2.736360594,2.846186192,2.874582239,3.152052548
Arrb1,1.868436188,1.912455548,1.732279308,1.649010294,2.390806544,3.261981462
Atf1,3.880781583,3.936473528,3.928525299,4.138510271,4.418286605,4.315769831
Atf3,1.238238523,1.55948792,5.310488868,5.517475559,3.719652483,4.173783669
Atf4,5.172176961,4.998607009,5.205575336,6.338789605,6.416306625,6.215872137
Atf5,4.647970333,4.735399143,4.499133945,4.383018081,5.121890443,5.212719961
Atf6b,3.723055623,3.583450048,3.520420053,3.666255732,4.407810973,4.872005995
Atoh8,3.263202467,3.051990963,3.435674003,3.795247998,3.251690859,3.470477095
Atxn1l,2.080239139,2.190605924,2.022042622,2.271521352,2.294578902,2.929184568
Bach1,2.593194578,2.671640185,2.685118153,3.089821585,3.038413043,3.869140897
Bahd1,2.515683298,2.709447612,2.589571405,2.632092103,2.829317494,3.252515641
Basp1,1.423816429,1.696892818,1.516240204,3.19356789,5.208496226,6.284334963
Batf,0.55365319,0.584476569,0.540964305,1.336286342,1.353087741,2.65295163
Batf3,0.409777766,0.414566766,0.493625491,0.892709648,0.86324632,1.797132365
Baz2a,2.384119658,2.386909777,2.403490664,2.252435514,2.496602037,2.831636868
Bcl3,1.30162918,1.444847884,1.214565867,3.602201325,3.097001516,3.911612267
