Genesymbol	0	1	2	3	4	5	6
Camta1	10.56681333	16.41716667	23.69833333	14.466	21.19563333	27.57453333	22.71326667
Carhsp1	69.71393333	69.4282	54.2636	48.24746667	49.7565	47.35183333	29.07456667
Carm1	69.84293333	95.85266667	94.34813333	104.0253333	107.547	105.0094	81.7972
Cbfb	44.6985	53.44383333	46.88816667	50.21883333	40.06356667	35.02106667	32.02146667
Cbx2	3.262196667	15.14846667	13.06376667	9.678346667	13.25156667	10.25873333	14.61436667
Cc2d1a	16.31776667	7.387	7.73778	8.693856667	9.352816667	8.618323333	6.847066667
Cc2d1b	52.9387	49.61266667	55.7947	61.32926667	47.57653333	52.758	55.29326667
Ccnt1	13.73016667	23.84	30.64253333	25.91676667	23.1906	19.63013333	26.99573333
Cdc5l	29.56416667	38.44156667	33.95486667	39.30873333	36.22856667	39.6335	79.52336667
Cdk5rap2	9.752066667	16.11703333	17.2787	14.50133333	14.4125	17.80136667	18.5274
Cdk9	85.3402	88.58453333	84.5553	76.96473333	81.16243333	64.6688	80.8413
Cdkn2a	271.601	160.606	156.6186667	142.785	91.88523333	85.6174	18.66366667
Cebpa	2.930056667	0.516484667	0.419586333	0.415243	2.023363333	2.54329	0.358087333
Cebpb	12.76129333	2.715383333	2.927633333	2.91765	2.60253	4.079413333	3.794933333
Cebpg	21.60233333	12.50006667	14.01103333	10.83784	14.8472	17.5959	14.36306667
Cenpb	81.83666667	57.36723333	46.12293333	46.34126667	31.3851	22.69736667	14.5989
Cggbp1	42.70443333	38.29776667	33.9095	29.4131	29.4039	30.04906667	44.43516667
Chd1	19.21033333	35.34203333	41.92183333	39.6187	32.1033	29.28606667	45.26063333
Chd4	94.89146667	125.6516667	137.265	133.0186667	138.2776667	122.705	171.6863333
Chd7	0.676183	11.08149	17.19653333	17.8874	22.47623333	17.56003333	17.15273333
Chd8	28.4424	32.14866667	38.68076667	31.601	31.63953333	31.81383333	41.6898
Chd9	5.568693333	8.427963333	10.11751667	6.9331	6.86265	7.14009	10.44156667
Churc1	60.1477	41.24673333	37.40616667	47.1215	45.16773333	49.053	34.00016667
Cic	54.96273333	27.19966667	35.11676667	31.156	27.8388	33.58836667	43.36056667
Cited1	1.060885667	25.93673333	31.32026667	33.56473333	25.1543	22.7221	7.06792
Clock	9.349443333	14.76793333	21.68543333	13.44753333	6.121616667	4.338283333	4.977753333
Cnbp	373.8796667	559.4856667	518.6603333	593.1723333	499.863	538.7326667	412.038
Creb1	6.4917	12.32456667	12.69823333	10.7075	10.00636	8.673276667	13.83293333
Creb3	178.2196667	57.5303	46.74946667	45.16166667	29.68686667	27.21983333	14.67403333
Creb3l1	63.52676667	1.596996667	1.149416667	0.76397	1.21073	1.879833333	3.499
Creb3l2	21.13306667	4.237233333	5.260613333	2.462496667	1.947286667	1.57291	2.908946667
Crebbp	5.121523333	6.486886667	7.567226667	7.246833333	6.269553333	4.514523333	7.63272
Crebl2	3.21532	4.367543333	4.696166667	2.253126667	1.377076667	1.404533333	2.939036667
Crebzf	22.87123333	28.3103	34.37123333	32.74593333	26.32116667	34.17866667	24.78493333
Crem	11.6075	6.06738	6.458883333	5.561703333	4.019616667	6.16681	8.63951
Cry1	5.15211	5.907143333	8.830483333	8.955236667	12.91903333	15.81836667	13.64886667
Cry2	6.247956667	8.32747	10.02095667	9.878046667	10.65613333	9.919883333	7.48893
Csda	258.4266667	510.2783333	509.6816667	554.8493333	500.0243333	539.9083333	219.3603333
Csde1	135.932	125.6976667	130.2086667	117.8156667	100.2279333	105.4333333	103.8849333
Csrnp1	9.959116667	1.745206667	1.745153333	3.777566667	2.837323333	4.06445	8.072253333
Ctcf	25.84486667	54.72403333	54.9905	56.66133333	46.70846667	54.10483333	63.68136667
Ctnnb1	326.2806667	343.5783333	318.4916667	300.1963333	282.273	239.15	323.1193333
Cux1	56.70483333	32.0902	34.05373333	32.49303333	25.07693333	21.61866667	16.77143333
Cux2	0.303246567	2.418313333	5.851333333	8.021753333	4.936783333	4.499393333	1.063756667
Cxxc1	20.17333333	20.60556667	17.2405	22.78376667	17.46773333	17.75903333	19.37733333
Dbp	4.624073333	9.21748	9.957773333	4.033986667	3.177056667	3.86244	2.770503333
Ddx1	112.5016667	139.0013333	131.0613333	143.6353333	134.737	136.023	139.9326667
Ddx20	12.06653333	18.89123333	19.1671	23.54693333	20.70153333	18.97116667	29.781
Ddx41	26.60543333	33.2521	32.05203333	34.62883333	35.8313	40.5226	40.64793333
Ddx58	9.83949	14.17096667	35.7355	51.69906667	31.2142	21.2137	27.17493333
Deaf1	11.3984	10.02268333	14.2301	10.9354	14.05866667	15.22106667	15.83716667
Dedd	28.44736667	25.57986667	24.41876667	21.41073333	20.97063333	24.01636667	40.27226667
