Source,Target
8430427H17Rik,Jarid2
8430427H17Rik,Elf3
9130017N09Rik,Ppard
9130017N09Rik,Klf5
9130017N09Rik,Plagl2
9130017N09Rik,Satb2
9130017N09Rik,Atf5
9130017N09Rik,Lass6
9130017N09Rik,Ascl2
9130017N09Rik,Jarid2
9130017N09Rik,Ovol2
9130017N09Rik,Grhl2
9130017N09Rik,Zfp281
9130017N09Rik,Elf3
9130017N09Rik,Irf6
AA467197,Ppard
AA467197,Pparg
AA467197,Klf5
AA467197,Satb2
AA467197,Fosl2
AA467197,Ascl2
AA467197,Tfcp2l1
AA467197,Ovol2
AA467197,Gm98
AA467197,Smad1
AA467197,Elf3
AI661453,Mybl1
AI661453,Cdkn2a
AI661453,Irf6
Ano9,Zkscan17
Ano9,Klf5
Ano9,Esrra
Ano9,Plagl2
Ano9,Atf5
Ano9,Lass6
Ano9,Ascl2
Ano9,Jarid2
Ano9,Hhex
Ano9,Ovol2
Ano9,Zfp281
Ano9,Elf3
Ano9,Irf6
Ap1m2,Klf5
Ap1m2,Plagl2
Ap1m2,Prdm1
Ap1m2,Atf5
Ap1m2,Elf3
Ap1m2,Irf6
Arhgef16,Klf5
Arhgef16,Atf5
Arhgef16,Jarid2
Arhgef16,Tfcp2l1
Arhgef16,Arid5b
Arhgef16,Ovol2
Arhgef16,Zfp281
Arhgef16,Elf3
Arhgef16,Irf6
Arhgef5,Klf6
Arhgef5,Phtf2
Arhgef5,Fosl2
Arhgef5,Irf6
Arhgef5,Zfp217
Arhgef5,Tnfaip3
Baiap2l1,Foxa2
Baiap2l1,Irf6
Bcas1,Myb
Bcas1,Ppard
Bcas1,Satb2
Bcas1,Fosl2
Bcas1,Ascl2
Bcas1,Tfcp2l1
Bcas1,Grhl2
Bcas1,Smad1
Bcas1,Elf3
Bspry,Tfcp2
Bspry,Klf5
Bspry,Satb2
Bspry,Atf5
Bspry,Jarid2
Bspry,Tfcp2l1
Bspry,Ovol2
Bspry,Smad1
Bspry,Elf3
C77080,Spata24
C77080,Zbtb7b
C77080,Elf3
C77080,Irf6
Car4,Trim16
Car4,Sox13
Car4,Lass4
Car4,Elf3
Cblc,Ppard
Cblc,Zfp184
Cblc,Zbtb7a
Cblc,Mlx
Cblc,Bcl6b
Cblc,Elf3
Cblc,Irf6
Ccdc68,Pml
Ccdc68,Fosl2
Ccdc68,E2f6
Ccdc68,Elf1
Ccdc68,Elf3
Ccdc68,Irf6
Cdcp1,Mafg
Cdcp1,Atf5
Cdcp1,Ets2
Cdcp1,Elf3
Cdcp1,Irf6
Cdcp1,Zfp217
Cdh1,Elk1
Cdh1,Gatad1
Cdh1,Klf5
Cdh1,Cbx2
Cdh1,Tfcp2l1
Cdh1,Cdkn2a
Cdh1,Elf3
Cdh1,Irf6
Cdh1,Zfp217
Cds1,Myb
