source,target,p-value,model
Elk4,Pcca,0.0,-1
Gatad2b,Myst3,0.0,-1
Nfkb2,Klf13,0.0,-1
Dedd2,Rbpj,0.0,-1
Zkscan14,Actn1,0.0,-1
Brd7,Gpank1,0.0,-1
Brd7,Commd2,0.0,1
Pias4,Tmem123,0.0,-1
Pias4,Rap1a,0.0,1
Pias4,Csgalnact2,0.0,-1
Pias4,2410002I01Rik,0.0,-1
Pias4,Hexdc,0.0,-1
Pias4,Trappc9,0.0,-1
Gtf2i,Sel1l,0.0,1
Phb,Tars2,0.0,-1
Gatad1,Mrps17,0.0,-1
Abt1,E2f6,0.0,-1
Tfip11,Tmem123,0.0,1
Tfip11,Rap1a,0.0,-1
Pknox1,Poc1b,0.0,-1
Zbtb6,Cnnm3,0.0,-1
Rnf141,Eaf1,0.0,-1
Csde1,Mpnd,0.0,-1
Csde1,Csgalnact2,0.0,-1
Csde1,Dynlt3,0.0,1
Csde1,Usp46,0.0,-1
Nfyc,Fbxl14,0.0,-1
Hmbox1,Taf5l,0.0,1
Hmbox1,1810046J19Rik,0.0,-1
Hmbox1,Als2cl,0.0,-1
Klf13,Nfkb2,0.0,-1
Thra,Prkaca,0.0,-1
Rfx1,Tmem41a,0.0,-1
Rfx1,Wipf2,0.0,-1
Zfp507,Sirpa,0.0,-1
Myst3,Gatad2b,0.0,-1
Mef2a,Mrpl46,0.0,-1
Mef2a,Bnip3l,0.0,-1
Mef2a,Csgalnact2,0.0,1
Mef2a,Dynlt3,0.0,-1
Mef2a,Epb4.1l2,0.0,-1
Mef2a,Fam168a,0.0,-1
Mef2a,Ppp3ca,0.0,-1
Gzf1,Gphn,0.0,-1
Csrnp1,Per1,0.0,-1
E4f1,Stk19,0.0,-1
E4f1,Szt2,0.0,-1
E4f1,Zfyve27,0.0,-1
Hivep1,Tmem201,0.0,-1
Hdac4,Mapk3,0.0,-1
Arid5b,2810055F11Rik,0.0,-1
Arid5b,Rnf169,0.0,-1
Gtf2ird1,Pcsk7,0.0,-1
Churc1,Sipa1,0.0,-1
Churc1,Plscr3,0.0,-1
Foxj2,Mapk3,0.0,-1
E2f6,Pi4k2b,0.0,1
E2f6,Tmem201,0.0,1
Xbp1,Amdhd2,0.0,-1
Xbp1,Lmbr1l,0.0,-1
Xbp1,Pomgnt1,0.0,-1
Foxn3,Prim1,0.0,1
Foxn3,Dut,0.0,1
Foxn3,Nup205,0.0,1
Foxn3,Mcm2,0.0,1
Foxn3,Dnajc1,0.0,-1
Tshz2,Fam114a1,0.0,-1
Per1,Csrnp1,0.0,-1
Cc2d1b,Med25,0.0,-1
Zfp652,Kdm4c,0.0,-1
Zfp652,Rbm22,0.0,-1
Zbtb43,Them4,0.0,-1
Zfp692,Clasrp,0.0,-1
Sod2,Atg3,0.0,-1
Ubp1,Lrrc20,4.1994582838441993e-280,-1
Hnf4a,Apeh,5.983708611637881e-278,-1
Zbtb22,1810006K21Rik,2.108960496518237e-268,1
Klf12,Ppm1k,1.1722880961464926e-242,-1
Ddx41,Ndnl2,1.4022277548704696e-242,-1
Foxn2,Papd4,3.7369580601774893e-224,-1
Hdac4,Wdr61,1.0395338895915294e-222,-1
Gtf2i,Ube2g2,3.4516413617683367e-215,-1
Ddx41,Tyw1,2.0724794669690262e-210,-1
Taf11,Plrg1,1.5885470673499482e-185,-1
Nfe2l2,Casp6,1.601683824250356e-174,-1
Zfx,Zfp652,3.230754776247202e-170,-1
Zfp652,Zfx,3.230754776248858e-170,-1
Gtf2a1,Tead3,1.4719244982065653e-169,-1
Tead3,Gtf2a1,1.471924498210759e-169,-1
Foxj2,Coq3,9.897072180520433e-165,-1
Zbtb7a,Zc3h12a,7.082273210707393e-162,-1
Bdp1,Med13,2.4501524660444484e-160,-1
Foxn3,Rnf125,2.528370887924337e-158,-1
Hmbox1,Aplp2,1.2640562299792007e-156,-1
Hdac4,Dctn1,1.8127252118661175e-148,-1
Hmbox1,Odc1,1.869530968855435e-148,1
Ezh1,Rnaset2a,6.907642329098335e-141,-1
Stat5a,Mpzl1,1.9761296730461905e-139,-1
Gtf2i,Pla2g15,1.0265374193604331e-137,-1
Rps3,Ecd,2.0906242955712358e-137,-1
Hnf1b,Rbm47,6.532302799411387e-135,-1
Dedd2,Afg3l2,2.1004024621049804e-131,-1
Ezh1,Akap10,1.2600001130541601e-130,-1
Ddx41,Rfesd,4.3150361029256e-126,-1
Gatad1,Dhrs13,6.044190746887509e-122,-1
Kdm1b,Rnft1,1.3398822199421383e-119,1
Stat5a,Laptm4b,3.781418071711546e-116,-1
Foxn2,Crlf3,3.4949760285757585e-115,-1
Safb,Scrn2,7.02228238244103e-114,1
Zkscan14,Ccdc91,1.1556416320214858e-111,-1
Zbtb16,Omd,1.168661824786634e-111,-1
Zfx,Hltf,1.5448833183184469e-111,1
Hltf,Zfx,1.5448833183184469e-111,1
Creb1,Rbm22,9.596707629526327e-108,1
Hmbox1,Sipa1,4.048339870684822e-107,-1
Ezh1,Prim2,1.5718600287916041e-106,1
Ddx41,2810002N01Rik,1.1790300048722735e-105,-1
Xbp1,Srpr,4.755785708419192e-105,-1
Kdm1b,2010106G01Rik,1.9751592735635245e-101,-1
Rxrg,Cox7a1,3.719359282424425e-99,-1
Nr1i2,Sema4g,1.1829109414779012e-98,-1
Zfp524,Xylt2,1.460395278875594e-97,-1
Zfp652,Ttc15,7.858420429143809e-97,-1
Creb3,Hax1,5.212549245284683e-95,-1
Nfat5,Akap10,7.307577302686238e-95,-1
Zbtb24,Aplp2,2.1697534888959176e-93,-1
Zbtb24,Aplp2,2.1697534888959176e-93,-1
Nr1i2,Slc22a1,6.2553924265370665e-93,-1
Rxrg,Pde4dip,6.5647425268077035e-93,-1
Npm1,Dtymk,2.577155570143336e-92,-1
Xrcc5,Khdrbs3,2.2285161397002406e-91,1
Kdm1b,Zfand1,9.164976750521067e-91,1
Csde1,Rap1b,2.1781323297531108e-89,-1
Gtf2i,4933439F18Rik,6.2821593090274e-89,-1
Phb,Psmg1,1.6785524389403774e-87,-1
Hnf4a,1110038D17Rik,7.750000123868103e-87,-1
Zfp161,Anp32e,1.5907155770878222e-85,1
Rxrg,Coq10a,2.7427557946701665e-85,-1
Nfat5,Ankrd16,9.36759844959359e-84,-1
Gtf2i,Sirpa,2.4714853293413343e-83,-1
Zfp652,Rprd2,7.480243576548041e-83,-1
Gzf1,Pgrmc1,1.5939638965853096e-81,-1
Hnf1b,Hnf4a,2.056363552759292e-81,-1
Hnf4a,Hnf1b,2.0563635527627592e-81,-1
Rxrg,Rhot2,2.64800716458884e-81,-1
Son,Pcca,1.5569154173642872e-79,-1
Camta2,Tipin,2.609769252787343e-79,-1
Chd9,Birc6,3.876684993985374e-79,-1
Nr1h4,Apeh,5.910252243279792e-78,-1
Sod2,Tmem38b,2.0542990724451787e-77,1
Foxj2,Esyt1,9.292393786830241e-77,1
Rxrg,Ppp2r3a,8.662499475199353e-76,-1
Taf12,Ap4s1,1.2941094155036526e-75,-1
Ddx41,Atg16l2,1.5027626492700553e-75,-1
Rxrg,Mfn1,6.9784664786383206e-74,-1
Sod2,Mfn1,6.9784664786383206e-74,-1
Zfp691,Pcca,1.4213320968078738e-71,1
Ptges2,Cox6b1,2.9734480491695685e-71,-1
Csrnp1,Gpsm2,5.732811049811322e-71,-1
Sarnp,Tbc1d22a,7.545065653919e-71,-1
Nr1h4,Galm,8.992304228245724e-71,-1
Foxn3,A430107O13Rik,9.361805933188952e-70,1
Nfat5,Dhrs13,5.142063849336676e-69,-1
Hdac1,Iqsec2,7.047481085093938e-69,1
Nfkb1,Tmem123,1.9920069047423656e-66,1
Creb3,Cox5a,3.9340645068380107e-66,-1
Sod2,Rilp,9.393726341357758e-66,1
Hnf4a,4931406C07Rik,1.3872290397260936e-65,-1
Nr1h4,Hsd3b2,4.192409282372248e-65,-1
Hmbox1,Leng8,3.165516508265265e-63,-1
Nr1h4,0610011F06Rik,3.605744657908652e-63,-1
Rxrg,Magix,2.1334671737938564e-62,-1
Hdac2,Nup85,3.1356958262052673e-62,-1
Nr1i2,Cldn2,1.01082047304503e-60,-1
Foxa3,2810459M11Rik,3.2158320474445233e-59,-1
Rbck1,Sh3glb2,5.23748817880754e-59,-1
Hsf4,Atpif1,6.523650395900064e-59,1
Myst4,Zfp830,1.508026573010627e-58,-1
Chd8,1300018I17Rik,4.159794144993834e-58,-1
Mbd3,Mrps11,5.18977161017871e-58,-1
Hmgn5,Acp1,7.110776345517427e-58,-1
Nr1i2,Slc3a1,3.439587149797944e-57,-1
Sox13,Ephb4,2.497688721968936e-56,1
Nr1i2,Sgk2,2.6915666614952858e-56,-1
Rxrg,Coq3,7.812540171638063e-56,-1
Sod2,Coq3,7.812540171638063e-56,-1
Rxrg,Zhx3,9.429524665027545e-56,1
Gmeb2,Rnf125,1.1560379606266303e-54,1
Hlf,Fn3k,5.0335970716039984e-54,-1
Nfix,C1qtnf1,6.767918734936891e-54,-1
Hnf4a,Galm,3.0949400061151326e-53,-1
Foxn3,Fgf1,1.0990738343659495e-52,1
Wbp7,Leng8,1.1751823287045075e-52,-1
Srebf2,Tnpo2,1.4123791817755555e-52,-1
Hdgf,Ddx19a,1.1410550560830064e-51,-1
Bcl6,Trim37,1.2036252537777066e-51,-1
Foxn2,Zdhhc20,1.2141130732322845e-51,-1
Rxrg,Tlcd1,1.8975880627119985e-51,-1
Foxj2,Nudcd2,6.552617072123215e-51,1
Ikzf5,Fam76b,1.0197438577500626e-50,1
Foxn2,Tbk1,3.258945227437102e-50,-1
Rxrg,Ndufab1,1.4204519097360589e-49,-1
Sod2,Ndufab1,1.4204519097360589e-49,-1
Hdac4,Vamp2,1.6527653359066128e-49,-1
Foxj2,Vamp2,1.6527653359066128e-49,-1
Usf2,Zfp444,3.1418359826463987e-49,-1
Ptges2,Trpt1,3.3165367791707103e-49,-1
Edf1,Nono,4.242027476139415e-49,-1
Cry2,Nav2,8.159663397876272e-49,-1
Foxj2,Pkd1,5.227708697324023e-48,-1
Nfe2l1,Atp6ap1,6.494736650258279e-48,1
Smad3,Polr2k,6.78114975338212e-48,-1
Foxn2,Mcmbp,9.322108608636636e-48,1
Zfp770,Cep68,1.1365549692746287e-47,-1
Hnf1b,Golt1a,1.2797602428683457e-47,-1
Hnf1b,2510049J12Rik,3.309500031309851e-47,-1
Gm98,Wdr48,5.41839177936844e-46,1
