source,target,p-value,model
Gatad2b,Myst3,0.0,-1
Nfkb2,Klf13,0.0,-1
Tcf12,Hmg20a,0.0,-1
Pias4,2410002I01Rik,0.0,-1
Pias4,Trappc9,0.0,-1
Phb,Ptges2,0.0,-1
Csde1,Mpnd,0.0,-1
Klf13,Nfkb2,0.0,-1
Hmg20a,Tcf12,0.0,-1
Rfx1,Wipf2,0.0,-1
Kdm6b,Psmd5,0.0,-1
Gmeb2,Otud5,0.0,1
Ptges2,Phb,0.0,-1
Myst3,Gatad2b,0.0,-1
E4f1,Zfyve27,0.0,-1
Arid5b,Rnf169,0.0,-1
Churc1,Plscr3,0.0,-1
Zfp276,Atg2a,0.0,-1
Irf3,Atg2a,0.0,-1
Usf2,BC017647,0.0,-1
Yy1,Otud5,1.3159174355757604e-224,-1
Zfp592,Arhgef1,2.7246986374467635e-207,-1
Kdm1b,Cldn12,1.143942267393438e-205,-1
Gatad1,Ado,9.786609607858688e-147,-1
Jun,Ier3,1.0068721548388106e-89,-1
Bptf,Dmtf1,9.957049333576009e-77,-1
Dmtf1,Bptf,9.957049333579136e-77,-1
Mafg,Scly,7.003451415356677e-76,-1
Naca,Dynll1,2.948506488711689e-73,-1
Mysm1,Plekha1,2.623668680282777e-66,-1
Zfp592,Fam193a,2.2463324246788305e-61,-1
Usf2,Plcg1,1.1542500437321847e-57,-1
Fosl2,Tnip1,5.03391689294668e-56,-1
Ets2,Anxa2,6.3546566838650865e-53,-1
Nfat5,Tbc1d23,1.9354078182188887e-52,1
Mysm1,2410042D21Rik,2.1316826563324445e-52,1
Nfib,1110067D22Rik,1.4730196792498276e-44,-1
Rxrg,Kif1b,3.997682724084404e-44,-1
Gmeb2,Fam54b,3.554141925768101e-41,1
Nolc1,Ncl,1.3460923019497804e-40,-1
Klf9,Ubac1,1.7581589250509746e-40,-1
Klf9,Rhbdd1,1.7581589250509746e-40,-1
Irf1,H2-K1,3.969546329353665e-40,-1
Mafg,Tlr3,7.755874127144983e-40,-1
Foxn2,Dph5,9.769926647444194e-40,-1
Rxrg,Trak1,3.746108025955709e-39,-1
Taf6,Dram2,1.1798593906459954e-38,-1
Irf1,Khnyn,1.9501578424290415e-38,-1
Dmtf1,Prrc2c,3.5615490680529187e-38,1
Tcf7l1,Mcl1,9.09124584567153e-38,-1
Dmtf1,Shprh,1.2550023899717744e-37,-1
Med26,Coil,1.8042894521584128e-37,1
E4f1,Cdk11b,5.0175015617831854e-37,-1
Zbtb7a,C130039O16Rik,1.7156915360304857e-36,-1
Mier1,Akap10,6.699254274925418e-36,-1
Xrcc5,Pitrm1,1.0659695626204575e-35,1
Nfib,Ctsh,9.92855757576406e-35,-1
Ctcf,Tgs1,9.370209675174387e-34,-1
Rxrg,Sod2,2.771388165362049e-33,1
Sod2,Rxrg,2.771388165362049e-33,1
Mtf1,Mta3,2.780481389112968e-33,1
Zhx1,Zbtb44,2.780481389112968e-33,1
Zbtb44,Zhx1,2.780481389112968e-33,1
Mta3,Mtf1,2.780481389112968e-33,1
Aebp2,Isy1,4.2287086111394215e-33,-1
Nfib,Pros1,2.0541900446947138e-32,-1
Tcf7l1,Pstpip2,4.210550336204966e-32,-1
Rorc,Coq9,4.8650992876194487e-32,1
Nfic,Mkrn1,2.022153174295202e-31,-1
Fosl2,Sptlc2,2.0759012735636417e-31,-1
0610031J06Rik,Asna1,5.722019869382558e-31,-1
Ddx20,D11Wsu47e,2.2139456385802383e-30,1
Bptf,Bod1l,2.5511754653233554e-30,-1
Dmtf1,Nipbl,2.1483110208961418e-29,1
Stat1,Tapbp,1.5231356189592295e-28,-1
Med26,Larp7,1.9259102891456747e-28,1
0610031J06Rik,Rbck1,2.6947670035803955e-28,-1
Stat5b,Mdh2,2.7269437044933825e-28,-1
Zfp110,Cd82,1.416471223327698e-27,-1
Trp53,Nup188,1.8242124201126165e-27,-1
Mynn,Mphosph6,4.009065954996969e-26,1
Gtf3a,Lrrc14,5.500362121215393e-26,-1
Zfp292,Tgs1,5.502310730816223e-26,-1
Nr2f6,Farp2,6.423923100736609e-26,1
Bdp1,Ankrd11,2.2316449453764905e-25,-1
Med26,Nup133,4.943907061399039e-25,1
Rnf6,Hyal2,5.249473027788866e-25,-1
Sox18,Sdpr,5.351192645414677e-25,-1
Irf9,Ppfibp2,8.494647068205867e-25,-1
Irf6,Pard6b,9.12654763238272e-25,-1
Lrrfip1,Hdac6,1.25859156800388e-24,-1
Lrrfip1,Hdac6,1.25859156800388e-24,-1
Med26,Lyar,3.949447099093636e-24,1
Tcf21,Sh2d4a,9.002479416106899e-24,1
0610031J06Rik,Mlf2,2.3984028154517625e-23,-1
Nfib,Palmd,4.071374887337403e-23,-1
Nfkb1,Fnbp1,5.369828907788374e-23,1
Snapc1,Mphosph6,7.924465907287697e-23,1
C1d,2610001J05Rik,9.154325990649697e-23,-1
0610031J06Rik,Scand1,9.376625990703871e-23,-1
Zfp292,Rictor,1.1437010033241805e-22,-1
Tcf7l1,Anxa3,1.1535392936860017e-22,-1
Bdp1,Srrm1,1.4718763997307138e-22,1
Sox18,Col4a2,1.5579331433735105e-22,-1
Nr2f6,Ccbl1,1.6298407592402037e-22,1
Dmtf1,Bod1l,1.6900816234274568e-22,1
Ruvbl2,Gpc4,3.7686517844721146e-22,-1
Dmtf1,Zfp292,1.4634714625119156e-21,1
Zfp292,Dmtf1,1.4634714625119156e-21,1
Med26,Nup62,1.865891093756725e-21,1
Nr1h4,Srp14,2.0150208309749914e-21,-1
Msl3,Mgrn1,2.1316333459783855e-21,1
Ctcf,Rlf,4.39377808017936e-21,1
Fosl2,Slc16a12,4.490359149608563e-21,-1
Klf2,Pecam1,7.538425094077421e-21,1
Zfp593,Rpap2,7.731266768472892e-21,-1
0610031J06Rik,Ap2s1,8.476057092989588e-21,-1
Thra,Gbe1,9.435114801503448e-21,-1
Pbx2,Vamp2,1.7716931884547736e-20,1
Ets2,Ghr,2.5690967980409305e-20,-1
Msl3,Zfp36,2.7081188566494747e-20,1
Irf9,Tapbp,2.7563139712050707e-20,-1
Ercc2,Baat1,3.6379756247007205e-20,-1
