source,target,p-value,model
Pias4,2410002I01Rik,0.0,-1
Pias4,Trappc9,0.0,-1
Phb,Ptges2,0.0,-1
Csde1,Mpnd,0.0,-1
Creb3,Bmp2,0.0,-1
Creb3,2010107E04Rik,0.0,-1
Creb3,Aga,0.0,-1
Creb3,Gabarapl2,0.0,-1
Creb3,Ube2j1,0.0,-1
Prdx5,Cse1l,0.0,-1
Prdx5,Ythdf1,0.0,-1
Rfx1,Rps6ka1,0.0,-1
Rfx1,Wipf2,0.0,-1
Pbx2,Taf8,0.0,-1
Ptges2,Phb,0.0,-1
E4f1,Zfyve27,0.0,-1
Arid5b,Ogfrl1,0.0,-1
Arid5b,Rnf169,0.0,-1
Churc1,Plscr3,0.0,-1
Zfp281,Cdk16,0.0,-1
Zfp281,Itfg3,0.0,-1
Zfp281,1110034B05Rik,0.0,-1
Zfp281,Ogfrl1,0.0,-1
Taf8,Pbx2,0.0,-1
Mier1,Bmp2,1.4038186165198674e-306,-1
Abt1,Hax1,4.817393566911505e-286,1
Prdx5,Ssrp1,5.848534173491402e-234,-1
Tcf7l1,Jub,1.4271585018807135e-233,-1
Prdx5,Nap1l1,5.505897429214413e-196,-1
Tcf7l1,Nid1,1.1217508864322844e-155,-1
Onecut1,Cfi,1.1271333914074572e-125,-1
Tgif1,Smarcal1,5.981042929485306e-119,-1
Tcf7l1,Vangl1,1.1379542609226128e-113,-1
Zfp512,Elp2,7.709971892955069e-110,-1
Gata4,Rnf145,6.268618570375994e-102,-1
Nr1i3,Agmat,8.417345436620622e-98,-1
Rnf10,Smg5,6.71752162985823e-97,-1
Rbck1,Pef1,5.100648707482667e-93,-1
Nr2c2,Zfp292,7.798143156554916e-92,-1
Gabpb2,Nr2c2,9.635708018564972e-86,-1
Nr2c2,Gabpb2,9.635708018564972e-86,-1
Brd4,Ankrd11,1.8990982515403323e-85,-1
Zfp512,Sumo2,8.437608470243332e-85,-1
Arid5b,Evi5,4.7622992170968283e-82,-1
Onecut2,Apob,7.251500540712453e-81,-1
Gata4,Socs5,4.167099328645779e-80,-1
Creb3,Rps6ka1,3.790083050145657e-71,-1
Zfp217,Cars,8.623032389915456e-69,-1
Zfp512,Tsn,1.1787042894906296e-63,-1
Prdx5,Anp32b,7.874026309189082e-63,-1
Nr2f6,Ptprk,4.5702585429813385e-61,-1
Zfp512,Fuca1,1.1290851395438442e-59,-1
Hdac2,Nacc2,5.560254340647311e-59,-1
Prdx5,Nup107,6.1516199567054015e-59,-1
Onecut2,Mttp,2.039442956722999e-58,-1
Maf,Prkacb,3.787598491764279e-53,-1
Zfp512,Rpl15,2.8007934222467232e-52,-1
Nr2c2,Git2,4.096966103532506e-52,-1
Lrrfip1,Pim2,9.682754021943114e-51,-1
Prdx5,Trim28,1.0511237597280947e-50,-1
Tcf7l1,Sparc,3.909311818611496e-48,-1
Nr2c2,Tra2b,6.259903864131603e-48,-1
