source,target,p-value,model
Ybx1,Btbd7,3.4634916930145093e-22,-1
Ercc6,Pds5a,8.18318904054455e-22,-1
Gtf3a,Dkc1,9.6115425141796e-22,1
Tcf12,Pop5,1.176571347362532e-21,1
Kdm5a,Rc3h2,2.0224137833898833e-20,-1
Gtf3a,Rpl8,3.1031104524464267e-20,1
Dhx33,Apex1,4.4737449052520404e-20,-1
Cbfb,Rpl34,4.8348402727950185e-20,-1
Foxn2,Ankfy1,4.9561737639002066e-20,-1
Creb1,Orc4,7.247106794665616e-20,-1
Ahctf1,Ss18,8.737396591644014e-20,1
Dhx33,Nup133,1.146840231632752e-19,-1
Kdm5a,Smg1,1.643364023389886e-19,-1
Ercc6,Sltm,3.1062350272911047e-19,-1
Gabpb2,Rictor,3.824334279401344e-19,-1
Ahctf1,Riok1,4.914054417419376e-19,-1
Son,Strn3,6.468602366378613e-19,-1
Ddx58,Dock8,9.622347153432629e-19,-1
Mysm1,Smchd1,1.0766404783894663e-18,-1
Mysm1,Atad2b,1.1987977352850132e-18,-1
Drap1,Csnk2b,1.7989083112331048e-18,-1
Dhx33,Cct5,2.1629109045126124e-18,-1
Fubp1,Nup153,2.1773179068579885e-18,-1
Drap1,Capzb,2.5474935754533093e-18,-1
Mysm1,Setd3,2.875126563458964e-18,-1
Dhx33,Ddx27,4.4205845047757755e-18,-1
Bptf,Rpl41,5.212359432314226e-18,1
Dhx33,Zfp828,6.22214028237326e-18,-1
Ercc6,Krit1,6.733859784837248e-18,-1
Rbmxl1,BC018507,8.59536869725562e-18,-1
Ahctf1,1200014J11Rik,1.1552532965011779e-17,-1
Nfat5,Copa,1.3297319758007753e-17,-1
Csrnp1,Per1,1.8990355219860288e-17,1
Per1,Csrnp1,1.8990355219860288e-17,1
Gmeb2,Arid5b,1.9021690321385624e-17,1
Hdac4,Foxj2,1.9021690321385624e-17,-1
Arid5b,Gmeb2,1.9021690321385624e-17,1
Foxj2,Hdac4,1.9021690321385624e-17,-1
Zfp664,Elf2,1.9021690321385624e-17,-1
Rxrg,Sod2,1.9021690321385624e-17,1
Elf2,Zfp664,1.9021690321385624e-17,-1
Sod2,Rxrg,1.9021690321385624e-17,1
Cxxc1,Rabggta,1.9292420980740615e-17,-1
Nfat5,Tbk1,2.0066098251597913e-17,1
Nfat5,Cpsf7,2.1071909285639474e-17,-1
Ssrp1,Snrpf,2.1532372585356155e-17,-1
Irf1,Pbxip1,2.1936079404720975e-17,-1
Nr1i3,Pla2g12b,2.5043894714083627e-17,-1
Cbfb,Mcm4,3.487992184789955e-17,-1
Kdm5a,Alkbh8,3.693559285588905e-17,-1
Klf12,Gc,4.0780447337388515e-17,-1
Wbp7,Hgs,4.8607561517939e-17,1
Mysm1,Arpc2,7.420111165347341e-17,1
Cbfb,Hagh,7.996640155969962e-17,-1
Nr3c2,Sri,8.830292378077687e-17,-1
Zfml,Zfp62,1.2354111014647343e-16,-1
Mxi1,Lpin3,1.461221289191259e-16,-1
Apex1,Polr2b,1.514440116500165e-16,-1
Ercc6,Rbm25,1.5633788909808074e-16,-1
Taf12,Ppm1l,1.636451634818742e-16,-1
Aebp2,Vps54,1.9996168499859215e-16,-1
Sox13,Rpap2,2.1456496904344706e-16,1
Cbfb,Dek,2.9041952391371914e-16,-1
Grlf1,Msrb2,2.9689664930913294e-16,-1
Tfdp1,Cdc20,3.268916586264888e-16,-1
Gtf2b,Lsm2,3.8172585680685913e-16,-1
Kdm2a,Ambra1,4.538694856656314e-16,-1
Nr1i3,Dnajc22,7.621210961746385e-16,-1
Phf5a,Cct7,8.131387443539139e-16,-1
Sp1,Rbm39,9.441212234089703e-16,-1
Dhx33,Nop56,9.572908913553674e-16,-1
Chd8,Eps15l1,1.0401120331236881e-15,-1
Phf5a,Snrpf,1.801199810228546e-15,-1
Hltf,Spopl,1.924474175169313e-15,-1
Dhx33,Rrp8,2.3910460960775295e-15,-1
Nfkb1,Tyk2,3.2447328372898704e-15,-1
Sp1,Riok1,3.296483543759722e-15,-1
Tada2a,Cct7,3.3605904080493994e-15,-1
Dhx33,Psmd12,3.603762830777648e-15,-1
Gtf2b,Fem1c,4.644892473516998e-15,-1
Pias4,Atg4d,5.820122001948615e-15,-1
Nkrf,Cep76,5.827801794591439e-15,-1
Nfat5,Srcap,8.89552578977742e-15,-1
Gtf3a,Snrpf,9.022372318977762e-15,1
Pbrm1,Rock1,9.055760080099849e-15,-1
Zfp280d,Rbm25,1.0670495501383628e-14,-1
Dhx33,Rrs1,1.4489260312000146e-14,-1
Dhx33,Nup107,1.544414388948655e-14,-1
Gabpb2,Krit1,1.5848569015051894e-14,-1
Cbfb,Yy1,1.586061265208902e-14,1
Kdm5c,Smchd1,1.644582251741362e-14,-1
Dhx33,Wdr43,1.6613614354367105e-14,-1
Dhx33,D19Bwg1357e,1.8789889935127956e-14,-1
Nr1i3,Gstm3,2.3086687743990578e-14,-1
Atf6b,Tnpo2,2.808545416319204e-14,-1
Smarce1,Cnpy4,3.605466528582262e-14,-1
Zkscan5,Dazap2,4.003159440559696e-14,-1
Ercc6,Prpf38b,4.3153799380178565e-14,-1
Mta3,Igfbp4,4.542031233520582e-14,-1
Edf1,Mrpl54,5.481251578007083e-14,-1
Nfat5,Zmym5,5.5141806810069067e-14,-1
Hmg20a,Nisch,5.5218478489671914e-14,1
Mxi1,Tmem106a,6.992231017570303e-14,1
Ddx58,Cd52,9.129705051038166e-14,-1
Mysm1,Fgfr1op2,9.836266291715146e-14,-1
Dhx33,Wdr36,9.96229667179283e-14,-1
Ahctf1,Zcchc11,1.0952633417798718e-13,-1
Zfp217,Plcb1,1.3284568174431056e-13,-1
Zfp217,Mtmr12,1.3284568174431056e-13,-1
Ercc6,Srcap,1.3628845973760413e-13,-1
Mxi1,Gsdmd,1.3798098272546647e-13,1
Irf1,Klhdc10,1.4161433599359613e-13,-1
Aebp2,Pak2,1.4284581456841452e-13,1
Drap1,Pacs2,1.7620117210555046e-13,-1
Cbfb,Cdca4,1.792473006599864e-13,-1
Mysm1,Herc4,1.9204869371811664e-13,-1
Mtf1,Slc39a8,2.1779042217712163e-13,-1
Edf1,Mrps21,2.7991781379526173e-13,-1
Nfat5,Cdk12,4.031602506739096e-13,-1
Dhx33,Ppan,5.597735675344531e-13,-1
Sox13,Tarsl2,6.041982001368132e-13,1
Dhx33,Fbl,6.116857618527995e-13,-1
Klf15,Sod3,6.981336948580782e-13,-1
Nkrf,Ccdc86,6.99639102606736e-13,-1
Dhx33,Cse1l,7.095076462025756e-13,-1
Ppp1r8,Ints3,7.586064086011325e-13,1
Dhx33,H2-Aa,8.66532009646372e-13,-1
Ash1l,Zc3h11a,9.780511811985324e-13,1
Nfkb1,Pak2,1.0865519332080849e-12,-1
Dhx33,Cstf2,1.133518409852885e-12,-1
Mysm1,Pten,1.2305600353170716e-12,-1
Zfp865,Qser1,1.2454139564735111e-12,-1
Nr2c2,Zc3h15,1.3298160277419909e-12,-1
Zfp800,BC005561,1.6167232646943541e-12,-1
Cbfb,Optn,1.6288899182605961e-12,-1
Mbd3,Exosc5,1.97764163232711e-12,-1
Tcf12,Dock7,2.0047207296337095e-12,1
Rbmxl1,Cnpy4,2.067648561986611e-12,-1
Tfdp1,H2afx,2.4801602585421427e-12,-1
Abt1,Ppp1r12a,2.534634077891184e-12,-1
Dmap1,B9d2,2.5708381610418887e-12,1
Taf5,Ypel3,3.1793812528038216e-12,-1
Gabpb2,Pds5a,3.641017019756577e-12,1
Zfp422,Hnrnpk,3.759416858968068e-12,-1
Sra1,2310045N01Rik,3.7954717737831955e-12,-1
Hnrpdl,Brd8,3.818470044249352e-12,-1
Hmg20a,Mycbp2,4.006414831413197e-12,1
Mll3,Akap9,5.421220375107908e-12,-1
Gzf1,Gc,5.678700012153412e-12,-1
Cbfb,Bcor,5.730830708081733e-12,1
Bcor,Cbfb,5.730830708081733e-12,1
Dhx33,Cct2,6.427168452203845e-12,-1
Zfp143,Zfp948,7.0185493107389796e-12,-1
Ash1l,Pbrm1,7.157109302764191e-12,-1
Pbrm1,Ash1l,7.157109302764218e-12,-1
Tcf3,Ppp1ca,7.174788671174434e-12,1
Suz12,Cep57,8.278551518769236e-12,-1
