source,target,p-value,model
Hbp1,Dlg1,0.0,-1
Gatad2b,Myst3,0.0,-1
Nfkb2,Klf13,0.0,-1
Dedd2,Zfand2b,0.0,1
Pias4,2410002I01Rik,0.0,-1
Pias4,Trappc9,0.0,-1
Maf1,Fbxl14,0.0,-1
Csde1,Mpnd,0.0,-1
Klf13,Nfkb2,0.0,-1
Rfx1,Wipf2,0.0,-1
Pbx2,Taf8,0.0,-1
Myst3,Gatad2b,0.0,-1
E4f1,Zfyve27,0.0,-1
Arid5b,Rnf169,0.0,-1
Churc1,Plscr3,0.0,-1
Taf8,Pbx2,0.0,-1
Thrb,Rpl34,2.366194007069314e-237,-1
Son,1110008F13Rik,1.2908865269565009e-172,1
Hmgb1,Tmpo,3.3724314181579645e-160,-1
Tmpo,Hmgb1,3.372431418167768e-160,-1
Thra,Nubp2,3.959653199108328e-145,-1
E4f1,Clk2,4.443486875650935e-109,-1
Hmgb1,Srsf1,1.1944496711060592e-105,-1
Snai2,Col3a1,1.363429007947381e-105,-1
App,Tfb1m,1.1599866434503269e-94,-1
Snai2,Ccdc80,3.7260126346757356e-61,-1
Hmgb1,Rpl13a,1.3239686866895708e-52,-1
Hmgb1,Set,7.693595593419727e-51,-1
Set,Hmgb1,7.693595593420274e-51,-1
Tardbp,Zfp266,2.3048598769769398e-49,-1
Set,Ptges3,6.587211604765328e-47,-1
Sarnp,Tsen15,3.627860384248039e-45,-1
Rere,Glyat,1.1108036860533104e-43,-1
Ilf2,Ranbp1,4.703117563213377e-43,-1
Hmgb1,Dkc1,1.6084803638042034e-41,-1
Gmeb2,Fam54b,3.554141925768101e-41,1
Set,Prmt1,4.277375082097102e-41,-1
Drap1,Mrps18a,1.5854545174623427e-40,1
Pias4,Zfand2b,7.409181570554306e-40,-1
Hmgb1,Anp32b,1.2532953875546705e-36,-1
Chd8,Ddx54,3.5487217359447416e-36,-1
Zfp295,Morc3,1.9711190484867058e-35,-1
Pknox1,Bag6,2.057203116891636e-35,-1
Safb,Zfand2b,7.530700313266969e-35,-1
Irf2,Psmb10,1.1299263651125907e-33,1
Zzz3,Iws1,1.970571685323988e-33,-1
Tcf12,Hmg20a,2.771388165362049e-33,1
Phb,Ptges2,2.771388165362049e-33,1
Hmg20a,Tcf12,2.771388165362049e-33,1
Ptges2,Phb,2.771388165362049e-33,1
Mtf1,Mta3,2.780481389112968e-33,1
Zfp276,Irf3,2.780481389112968e-33,1
Irf3,Zfp276,2.780481389112968e-33,1
Mta3,Mtf1,2.780481389112968e-33,1
Nfe2l2,Tpst1,3.286717545410194e-33,-1
Chd1,Prpf38b,6.900737930881947e-33,-1
Tcea3,Abcc9,7.831383191074538e-32,-1
Gon4l,Rnft1,1.6775139511024002e-31,-1
Rere,Asgr1,2.5885229608997266e-31,-1
Ilf2,Smc2,9.405513951257717e-31,-1
Zfp593,Ddx54,1.8648262292646874e-30,-1
Irf2,Tapbpl,3.667639147175205e-30,-1
Hmgb1,2700094K13Rik,4.2585703381787e-30,-1
Hmgb1,Hnrnpu,7.299619012237391e-30,-1
Chd1,Snrnp48,2.056670943337624e-29,-1
Naca,Rpl13a,4.876860114391705e-29,-1
Ppp1r8,Prmt1,1.3592254179129404e-28,-1
Atf1,Zfp335,3.6913530909551914e-27,1
Irf1,Gsdmd,7.40851468351857e-27,-1
Tcea3,Prkaa2,7.891483784458759e-27,-1
Zkscan14,Sac3d1,8.847710828399433e-27,1
Ilf2,Tmpo,1.0299840138860712e-26,-1
Tmpo,Ilf2,1.0299840138871358e-26,-1
Yap1,Ccdc80,6.548588834200625e-26,-1
Rfc1,Hars,1.215257994900123e-25,-1
Irf2,Rtp4,2.334759829608714e-25,1
Rbck1,Asna1,3.985525352706851e-25,-1
Snai2,Serpinh1,5.4788310328171895e-25,-1
Srrt,Pabpn1,6.491198160414305e-25,-1
Pknox1,Tnpo2,2.1822405531874104e-24,-1
Rere,Fgg,1.4176963253199668e-23,-1
Snai2,Col1a1,3.207535969760671e-23,-1
Hmgb1,Rpl8,1.9098742897714511e-22,-1
Rbck1,Dctn2,2.5914470902495607e-22,-1
Ubp1,Yy1,5.494430347236961e-22,-1
Bahd1,Ttc23,2.86779401458937e-21,-1
Tcf7l1,Cnnm2,8.905751789538762e-21,-1
Irf2,Dtx3l,1.0832165950358676e-20,1
Zfx,Socs4,1.2277515201894489e-20,-1
Zfp280c,Taf1d,1.8969070653673092e-20,-1
Cry1,Kdm3a,3.744134438158796e-20,-1
Zkscan14,Fam126a,5.54310745927368e-20,-1
Pcna,Naca,5.942329289639582e-20,-1
Naca,Pcna,5.942329289643088e-20,-1
Irf2,Ifi35,3.886102975424875e-19,1
Mterfd3,Alpl,4.275527363900748e-19,-1
Cnbp,Rpl22,5.66814457100369e-19,1
Hmg20b,8430410K20Rik,6.040347037908494e-19,-1
Smarca5,Terf1,1.3424711286429564e-18,-1
Snai2,Col1a2,1.3975822942193174e-18,-1
Mnt,Ddx54,1.6775016986138258e-18,-1
Npm1,Rps3a,1.7669790505172108e-18,-1
Snai2,Copz2,2.078767213400448e-18,-1
Chd1,Rpl30,2.8415417823771633e-18,-1
Zfp36,AW112010,6.0603784786684826e-18,-1
Klf9,Pde8a,1.3249515520448724e-17,1
Hmgb1,Snrpg,1.3568071981551328e-17,-1
Gmeb2,Arid5b,1.9021690321385624e-17,1
Hdac4,Foxj2,1.9021690321385624e-17,-1
Arid5b,Gmeb2,1.9021690321385624e-17,1
