source,target,p-value,model
Gatad2b,Myst3,0.0,-1
Tcf12,Hmg20a,0.0,-1
Pias4,2410002I01Rik,0.0,-1
Pias4,Trappc9,0.0,-1
Csde1,Mpnd,0.0,-1
Hmg20a,Tcf12,0.0,-1
Rfx1,Wipf2,0.0,-1
Pbx2,Taf8,0.0,-1
Myst3,Gatad2b,0.0,-1
E4f1,Zfyve27,0.0,-1
Arid5b,Rnf169,0.0,-1
Churc1,Plscr3,0.0,-1
Foxk1,Tut1,0.0,-1
Zhx1,Pgcp,0.0,-1
Zbtb44,2700089E24Rik,0.0,-1
Zbtb44,Pgcp,0.0,-1
Taf8,Pbx2,0.0,-1
Gtf2a1,Bcar3,3.299133422619243e-114,-1
Zhx1,Fbxo8,9.992524103354075e-65,-1
Zbtb44,Fbxo8,9.992524103354075e-65,-1
Abt1,Pwp2,2.0378816033839442e-51,-1
Zbtb44,Cab39l,4.2360362130830607e-50,-1
Gmeb2,Fam54b,3.554141925768101e-41,1
Irf1,Urod,4.916583370585518e-38,-1
Ppp1r8,Polr1d,6.559255992321204e-36,-1
Zhx1,Rfesd,2.0136530447662806e-33,1
Mtf1,Mta3,2.780481389112968e-33,1
Zfp276,Irf3,2.780481389112968e-33,1
Zhx1,Zbtb44,2.780481389112968e-33,1
Zbtb44,Zhx1,2.780481389112968e-33,1
Irf3,Zfp276,2.780481389112968e-33,1
Mta3,Mtf1,2.780481389112968e-33,1
Chd8,1600027N09Rik,7.274124156119572e-32,-1
Zbtb44,Pex13,1.4015771711995647e-29,1
Abt1,Utp14a,1.4381512494680197e-27,-1
Dhx33,Umps,2.4525787631065534e-25,-1
Hsf1,Vps4b,6.738083531816214e-24,-1
Set,Pus7,1.329829939336268e-23,-1
Abt1,Cirh1a,3.2667319196929183e-21,-1
Abt1,Shq1,1.1242354610847816e-20,-1
Taf12,Ptcd1,4.557001589974856e-20,-1
Nfkb2,Klf13,1.8990355219860288e-17,-1
Klf13,Nfkb2,1.8990355219860288e-17,-1
Csrnp1,Per1,1.8990355219860288e-17,1
Per1,Csrnp1,1.8990355219860288e-17,1
Gmeb2,Arid5b,1.9021690321385624e-17,1
Hdac4,Foxj2,1.9021690321385624e-17,-1
Arid5b,Gmeb2,1.9021690321385624e-17,1
Foxj2,Hdac4,1.9021690321385624e-17,-1
Rxrg,Sod2,1.9021690321385624e-17,1
Sod2,Rxrg,1.9021690321385624e-17,1
Nfe2l2,Tmco4,5.846837737817759e-17,-1
Zbtb44,Nars2,8.765117799958555e-17,1
Cux1,Ecd,9.149520214172226e-17,1
Pa2g4,Lars,1.363488468522827e-16,-1
Abt1,Gart,1.6846921359093495e-16,-1
Yap1,Ctgf,1.6797782438415915e-15,-1
Nkrf,Wdr3,2.8827851631299955e-15,-1
Zfp120,Zfp330,3.2377145705003878e-15,1
Taf13,Zfp330,8.160050573632798e-15,1
Stat5a,D17Wsu92e,3.8767342833594494e-14,1
Hdac3,Tek,5.82909013517459e-14,-1
Rfc1,Luc7l,8.67219722056323e-14,1
Dhx33,Parp1,8.6988838169726e-14,-1
Abt1,Polr1c,1.0074704655282895e-13,-1
Zhx3,Pcx,1.416663997111382e-13,1
Mterfd1,Myst4,1.9458153569129547e-13,-1
Myst4,Mterfd1,1.9458153569129618e-13,-1
Gtf2e2,Zfp330,2.640367863068331e-13,-1
Pa2g4,Pus7,3.2455877861661426e-13,-1
Zbtb44,Slc25a16,3.93347112264229e-13,1
Ets1,Nedd9,4.1093745710677045e-13,-1
Set,Fbxo8,5.616964636283753e-13,-1
Trim33,Zfp330,1.847623120568646e-12,1
Zfp110,Oxr1,3.667681460723165e-12,-1
Abt1,Cct3,7.436731327586094e-12,-1
Nfkb2,Prr14,7.749102579224819e-12,-1
Phf5a,Zfp330,1.5205596668696377e-11,-1
Ruvbl2,Gart,2.7402805643443346e-11,-1
Hnrnpk,Cct4,2.9377211789206585e-11,1
Pias4,Ttc7,4.942594671496773e-11,1
Zbtb44,Ttc32,7.939489762243791e-11,1
Bdp1,Ppp3cb,8.549747624152706e-11,-1
Apex1,Tapbp,1.266505100717822e-10,-1
Grlf1,Fam109a,1.547682248006836e-10,-1
Zbtb44,Acn9,1.6896612763128396e-10,1
Mbd3,Myg1,2.2504455372517191e-10,-1
Apex1,Zfp330,2.4917066049684885e-10,-1
Zbtb44,Sirt3,3.152462305715251e-10,-1
Nfyc,D17Wsu92e,5.373988768734855e-10,-1
Drap1,Ctdnep1,8.982244098227995e-10,-1
