0,1,2,3,4,5,6,7,8,9
0.07197605,0.30549282,0.5970991,0.088774025,0.49156022,0.0074211434,0.47873288,-0.27565426,0.3840447,0.32486117
0.08444501,-0.06191711,-0.16494884,0.6948613,-0.12915717,-0.3348444,-0.23479922,0.6629514,-0.7013772,-0.22136141
-0.35623807,-0.2807961,-0.15873057,-0.0081845,-0.09053494,-0.068955034,-0.14779156,-0.14309318,0.10232022,-0.028491855
0.7024166,0.07872318,0.80059326,-0.43501204,-0.048730463,-0.9656528,0.7714543,-0.20046513,0.6246933,-0.7731136
-0.17838268,0.72782105,-1.1610576,-1.1016504,-0.20357509,0.19731286,-0.5277576,-0.7062021,0.4007582,0.18521057
0.27445924,-0.031759083,0.32815123,-0.49585414,0.2962402,-1.1367952,0.29332286,-0.27282453,0.48931396,0.2186471
-0.5219184,0.48564547,-0.5219184,0.48564547,-0.5219184,0.48564547,-0.5219184,0.48564547,-0.5219184,0.48564547
-0.3630762,0.37369144,-0.13520196,0.103213646,-0.3378948,0.4326567,-0.40450037,0.30364645,-0.4940673,0.73325855
-0.021222875,0.4066388,0.30030277,-0.11429815,0.48407382,0.396008,0.70531076,0.13988982,1.1034949,1.2424207
-0.15224828,0.5224462,0.24111949,-0.17495584,0.6572088,0.09163447,0.466111,-0.5967219,0.96031934,0.7930109
-0.17315644,0.27699047,0.09513142,0.263892,0.12170322,-0.070224255,0.013894111,0.49715483,0.4180677,0.84957117
0.079759166,0.110649474,0.22215806,0.32639486,0.33884072,0.4049421,0.4914735,0.4097131,-0.022239551,0.40738457
-0.19077061,-0.5591016,-0.726176,1.0433697,0.054920245,0.25326347,-0.8230289,0.100225,-0.30599374,-0.27888888
0.25052452,0.10518298,-0.18401499,0.07046801,0.14497058,-0.05934848,0.2070768,0.0028963983,-0.067516685,-0.36952174
-0.97930986,0.24924372,-0.62962824,0.436732,-0.0011929721,0.5221467,-0.7107645,-0.1894399,-0.67118293,-0.11967939
-0.22848974,-0.66084003,-0.0011032,-0.6557184,-0.20432867,0.37304068,-0.28983796,-0.40257728,-0.49977338,0.3172428
