Source,Target,PValue
Zfp524,Zzz3,1.8569591700065214e-06
Abt1,Wdr74,2.231475868063803e-06
Elf1,Prkd2,2.450327981162677e-06
Zfp292,Lass2,2.5717209923589016e-06
Rbck1,Pcnxl3,2.7386020563349797e-06
Sox18,Cldn5,2.762328781808656e-06
Zfp593,Thoc6,2.8010891797333446e-06
Zzz3,Taf1d,2.9930791023128495e-06
Zfp593,Nop56,3.0916154630118344e-06
A930001N09Rik,Noc4l,3.1564431916990864e-06
Zzz3,Usp48,3.167881872251637e-06
Zfx,Ddx52,3.6276847410763685e-06
Cxxc1,Mea1,3.7386461488500477e-06
Rbbp5,Tada2a,3.845776408006606e-06
Tada2a,Rbbp5,3.845776408006905e-06
Arnt,Mgat1,3.853660614644754e-06
Rbbp5,Rbbp7,4.055065120323772e-06
Zfp593,Dph5,4.5436316151241674e-06
Gata6,Prkcd,4.578229598492509e-06
Aebp2,Luc7l2,4.997164469421267e-06
Atf6b,Sbf1,5.3084081168863845e-06
Foxn2,Luc7l2,5.390732413739355e-06
Nono,Hnrnpa0,5.3978712713536575e-06
Epas1,Pecam1,5.910505558318199e-06
Rbmx,Srsf3,5.964609752500293e-06
Sarnp,Pdcd5,6.113367603723867e-06
C1d,Fam136a,7.1106893485404446e-06
Apex1,Elp3,7.124386084789961e-06
Kdm5b,Sepx1,7.176159929378738e-06
Thoc1,Zfp644,8.098358983341725e-06
Phb,Noc4l,8.150255116207512e-06
Rb1,Fam46a,8.976794224221475e-06
Zfp593,Wdr8,9.147319449733183e-06
Ldb1,Hopx,9.224907243532196e-06
Sox18,Tie1,9.310000387617266e-06
Rbmx,Mcm7,9.322549966523922e-06
Stat3,Cops4,9.414936819914856e-06
Irf5,Minos1,9.685124061887973e-06
Rbmx,Tcp1,9.708520420974906e-06
Ctcf,Gmps,9.83299082720927e-06
Grlf1,Bcar1,1.0079166159515415e-05
Thoc1,Mrpl13,1.0263778911832775e-05
Drap1,Upf3b,1.0778591017262153e-05
Zzz3,Rbm7,1.1339707016741254e-05
Stat3,Hat1,1.1500189326079453e-05
Rbbp5,Rrp8,1.1559376673074947e-05
Apex1,Noc4l,1.2520044475453795e-05
Ppargc1a,Ndufa9,1.2843136553660348e-05
Stat3,Orc6,1.307606617886997e-05
Mier1,Fbxl3,1.3180648236185602e-05
Epas1,Tie1,1.325910553856877e-05
Zfp367,Myef2,1.3455135249977534e-05
Nfil3,F10,1.4492382780308902e-05
Zfp593,Snrpf,1.4598998736689023e-05
Klf3,S100a10,1.4758562699285618e-05
Med6,Dpy30,1.506348111658788e-05
Taf9,Nup54,1.5528068799130216e-05
Trim33,Rmi1,1.6578385033602698e-05
Thoc1,Ptpn2,1.7178129588030404e-05
Rbbp5,Uba2,1.721765289586964e-05
Hdac1,Mlycd,1.7295238593787884e-05
Rbmx,Actl6a,1.889316000052038e-05
Smad1,Slc37a1,1.9041612645134025e-05
Klf2,Emp2,1.913011277677968e-05
Zfml,Qtrtd1,1.9350236507425487e-05
Zfp280d,Luc7l3,2.014521312732315e-05
Stat3,Nup85,2.156687443742588e-05
Drap1,Rad23a,2.303555052312958e-05
Smarce1,Zfp828,2.4059345715866306e-05
Smarce1,Psma5,2.406537445864438e-05
Rora,Fah,2.4150444872993174e-05
Zfp593,Nob1,2.4974124200682716e-05
Zfp1,Ctu2,2.508419273057454e-05
Atf4,Enc1,2.6198300335317318e-05
0610031J06Rik,Znfx1,2.658584879302007e-05
Ahctf1,Psmd1,2.7505434818098006e-05
Zfx,Smc5,2.7532286279090908e-05
Sp1,2810474O19Rik,2.812085903944783e-05
Hnrpdl,Sepx1,3.141158026557714e-05
Crebbp,Thoc2,3.143421009399989e-05
Med6,Nsmce2,3.1435467370376544e-05
Tcf21,Tmem204,3.2304866623512814e-05
Zzz3,Mettl9,3.2989695899751404e-05
Trim33,Ythdc1,3.425425188361049e-05
Zbtb16,Adck3,3.4995163103907224e-05
Edf1,Hnrnpa3,3.6036137127863215e-05
Zfp292,G3bp2,3.632567817626741e-05
Sox18,Sema3f,3.817201192245631e-05
Sarnp,Siva1,3.8237823215375675e-05
App,Chd1l,3.838826929078512e-05
Tardbp,Tsr1,3.91055304751354e-05
Tfip11,Sap30bp,4.107812255119066e-05
Ppargc1a,Sdhb,4.1189215378695674e-05
Stat3,Tipin,4.402960403773636e-05
Irf5,Cdo1,4.467052013868931e-05
Tcf7l1,Mmp15,4.627333150724221e-05
Esrra,Cisd2,4.710698800090533e-05
Zbtb7b,Zmym4,4.9664034114337695e-05
Creb1,Sepx1,5.0767058755824076e-05
Stat3,Cse1l,5.184153107232545e-05
Smad2,Fbxo45,5.2459935225501283e-05
Onecut1,Accn5,5.279768024125564e-05
Taf5,Rora,5.349622992972848e-05
Bptf,Ltbr,5.555991202189483e-05
Stat1,Usp18,5.843713113283487e-05
Stat3,Ncbp1,5.856316040773828e-05
Cenpb,Sepx1,5.86975525903601e-05
Zfp367,Vma21,5.964127843394473e-05
Ncor1,Rmi1,6.192969716266533e-05
Rbbp5,Utp14a,6.396026058906429e-05
Srebf2,Stt3a,6.570198140450741e-05
Ncor2,Rela,7.131417771148443e-05
Zfp143,Sirt1,7.33999325815586e-05
Rbck1,Arf5,7.348187964180811e-05
Zzz3,Msh6,7.471937588291349e-05
Rbmx,Tfdp1,7.872842369367752e-05
Zzz3,Mrpl14,7.991817283508876e-05
Trim33,Ltbr,8.12889121831736e-05
Trim33,Ltbr,8.12889121831736e-05
Dnajc2,Fam136a,8.17659379827481e-05
Drap1,Trim33,8.201105541951832e-05
Rora,Agtr1a,8.277873768865972e-05
Zfx,Scaf11,8.319921491309497e-05
Epas1,Gpr116,8.422998317918135e-05
Chd1,Ddx52,8.73863284007746e-05
Zzz3,Cyhr1,8.788730651287116e-05
Thoc1,Sltm,8.907914506700171e-05
Taf5,Il6ra,9.138405375156459e-05
Atf6b,Asna1,9.401076760091533e-05
Nkrf,Adsl,9.821226370565489e-05
Mafk,Mrps2,9.824997573377291e-05
Epas1,Pltp,9.990218442223332e-05
Ddx20,Nup62,0.0001006746526099453
Ncoa3,Gstm5,0.00010086701617816427
Nfil3,Vamp3,0.00010088155767585337
Mybbp1a,Lsm2,0.00010196979619265219
Irf5,Fkbp15,0.00010213026375320054
Mbd3,Sf3b5,0.00010680533116746267
Ldb1,Kat5,0.00010854790431524406
Lass2,Ablim3,0.00011006293315800645
Trim33,Sepx1,0.00011225075053069908
Rbl2,Hipk3,0.00011575621167315431
Zfml,Cebpz,0.00011849642837793927
Rtf1,Ddx1,0.00012365747131124594
