Source,Target,PValue
Gatad2b,Myst3,0.0
Mtf1,Lamc1,0.0
Mtf1,Mta3,0.0
Tcf12,Hmg20a,0.0
Pias4,Atp5g2,0.0
Pias4,Uba1,0.0
Phb,Ptges2,0.0
Gon4l,Rffl,0.0
Tfip11,Nploc4,0.0
Zbtb6,Chchd2,0.0
Csde1,Mpnd,0.0
Atxn1l,Cox6a1,0.0
Zfp523,Safb,0.0
Safb,Tmem143,0.0
Safb,Zfp523,0.0
Hmg20a,Tcf12,0.0
Rfx1,Apip,0.0
Ptges2,Phb,0.0
Myst3,Gatad2b,0.0
Mef2a,Bmpr2,0.0
Hdac4,Foxj2,0.0
Arid5b,Hgf,0.0
Arid5b,Rnf169,0.0
Churc1,2410015M20Rik,0.0
Foxj2,Hdac4,0.0
Foxk1,Rps24,0.0
Cc2d1b,9930021J03Rik,0.0
Zfp664,Zfyve20,0.0
Rxrg,Sod2,0.0
Taf1d,Cox7c,0.0
Taf12,Zfp810,0.0
Mta3,Mtf1,0.0
Mta3,Tmem143,0.0
Mta3,Tmem184a,0.0
Sod2,Rxrg,0.0
Nfat5,Zfr,2.4267325334502263e-226
Kdm5c,Zmynd8,1.9391516377143107e-225
Mterfd3,Rnf149,2.4824980231939652e-198
Grlf1,Slc48a1,7.670706535882484e-164
Zfp800,Ublcp1,5.638129397730745e-157
Zscan21,Slc35e1,2.6515426323971044e-137
Nfat5,Itch,4.1648636720399367e-131
Nfat5,Dync1h1,1.6681122047432196e-113
Ercc6,Mysm1,8.767920800744913e-101
Mysm1,Ercc6,8.767920800751171e-101
Tfdp1,Qtrt1,1.4763734561276666e-91
Foxa2,Rcan2,6.64572145758397e-91
Maf,Oat,1.393340061596175e-90
Gtf2b,Socs7,4.0788639329939855e-82
Mxi1,Ugcg,4.147118928204781e-81
Set,Mapre1,1.3314464540860092e-72
Sox6,Rab4a,5.6759807987143994e-67
Grlf1,AU040320,1.61410926124875e-62
Pias4,Clptm1,8.337697714553127e-62
Drap1,Mob2,3.208838225170871e-58
App,Mdm4,1.73358260995947e-57
Nfat5,Fcho2,1.7306975832980551e-56
Nfat5,Pds5a,1.3892047584895025e-55
Csde1,Strn3,9.761427476885455e-55
Etv3,Abi1,1.4175808534939084e-53
Cbfb,Rps3a,2.8032462471746706e-53
Etv3,Lrig3,5.275509805331786e-53
Atf6b,Dctn1,3.300385465456124e-51
Ncor1,Wasl,1.2449922789840442e-46
Hinfp,Zfp472,1.8361952713550477e-46
Mef2d,Rbm15b,3.948787563599528e-46
Nfat5,Krit1,1.7802779246777844e-44
Creb3,Ptpn11,4.0203873025504187e-44
Nfat5,Vps54,6.107942757767194e-44
Irf6,Cyb561,1.3095959048408287e-42
Hmg20a,Usp32,1.9336533512872012e-42
Gzf1,Dhtkd1,7.15998595888001e-42
Nfat5,Rbm39,1.0727994838616126e-41
Sra1,Gnptg,2.139814967842142e-37
Bclaf1,Rif1,2.9328005140394037e-37
Gmeb2,Fam54b,3.128954409037727e-37
Rfx1,Ugcg,4.133126329150633e-37
Irf6,Ripk4,8.351047498844257e-37
Nr2c2,Alkbh8,1.7475967572824034e-36
Nfat5,Rbm5,6.615564851568024e-36
Ercc6,Srsf11,7.572855658484866e-36
Mtf1,Plxnd1,1.3699876949368475e-35
Zfp445,Wdr26,2.0670634108820528e-35
Dhx33,Cct3,2.2201452031290147e-35
Kdm6b,Dync1h1,4.02062164597395e-35
Kdm5c,Rapgef6,1.444571581750219e-34
Klf12,Dhtkd1,2.465733895997482e-34
Grlf1,Tmem170,4.148637087087129e-34
Nfat5,Birc6,6.74712385274852e-34
Cc2d1b,Gpank1,2.7683635685664586e-33
Tfcp2,Mfsd1,2.771388165362049e-33
Csde1,Cox19,2.771388165362049e-33
Pias4,2410002I01Rik,2.780481389112968e-33
Pias4,Trappc9,2.780481389112968e-33
Rfx1,Wipf2,2.780481389112968e-33
E4f1,Zfyve27,2.780481389112968e-33
Churc1,Plscr3,2.780481389112968e-33
Mysm1,Rc3h2,9.661446095745682e-33
Vps72,Mob2,1.1723242719097894e-32
Nr1i2,Aqp8,5.282796034222544e-31
Pa2g4,Qtrt1,6.449845172274146e-31
Dhx33,Cirh1a,5.5147186765819866e-30
