Source,Target,PValue
Gatad2b,Myst3,0.0
Mtf1,Mta3,0.0
Pias4,Atp5g2,0.0
Pias4,Uba1,0.0
Csde1,Mpnd,0.0
Zfp523,Safb,0.0
Safb,Zfp523,0.0
Creb3,Bmp2,0.0
Creb3,2010107E04Rik,0.0
Creb3,Aga,0.0
Creb3,Gabarapl2,0.0
Creb3,Ube2j1,0.0
Prdx5,Cse1l,0.0
Prdx5,Ythdf1,0.0
Rfx1,Apip,0.0
Rfx1,Rps6ka1,0.0
Myst3,Gatad2b,0.0
Csrnp1,Per1,0.0
Arid5b,Ogfrl1,0.0
Arid5b,Rnf169,0.0
Zfp281,Cdk16,0.0
Zfp281,Itfg3,0.0
Zfp281,1110034B05Rik,0.0
Zfp281,Ogfrl1,0.0
Per1,Csrnp1,0.0
Cc2d1b,9930021J03Rik,0.0
Rxrg,Sod2,0.0
Mta3,Mtf1,0.0
Sod2,Rxrg,0.0
Mier1,Bmp2,1.4040193287827284e-306
Abt1,Hax1,4.81810655729968e-286
Prdx5,Ssrp1,5.849974858795276e-234
Tcf7l1,Jub,1.4275430024319038e-233
Prdx5,Nap1l1,5.505639261900447e-196
Tcf7l1,Nid1,1.1218815164770628e-155
Onecut1,Cfi,1.1275990043054385e-125
Tgif1,Smarcal1,5.972566808473927e-119
Tcf7l1,Vangl1,1.1381929221040229e-113
Zfp512,Elp2,7.710174113304324e-110
Gata4,Rnf145,6.267796363299966e-102
Nr1i3,Agmat,8.418207991712018e-98
Rnf10,Smg5,6.71784437086459e-97
Rbck1,Pef1,5.1007512148058286e-93
Nr2c2,Zfp292,7.800494876425422e-92
Nr2c2,Gabpb2,9.634573784381248e-86
Gabpb2,Nr2c2,9.634573784385374e-86
Brd4,Ankrd11,1.8985953328235575e-85
Zfp512,Sumo2,8.436751320411167e-85
Arid5b,Evi5,4.7612724383798483e-82
Onecut2,Apob,7.251952117952455e-81
Gata4,Socs5,4.166820790255848e-80
Creb3,Rps6ka1,3.790825939746764e-71
Zfp217,Cars,8.625340802238575e-69
Zfp512,Tsn,1.1787208191025149e-63
Prdx5,Anp32b,7.874548136296692e-63
