source,target,p-value,model
Camta1,Fbxw7,0.0,-1
Csde1,Eif4a2,0.0,-1
Csde1,Pja2,0.0,-1
Safb,Ddrgk1,0.0,-1
Sarnp,Cdc5l,0.0,-1
Mef2a,Phf20l1,0.0,-1
Son,Strn3,0.0,1
Cdc5l,Sarnp,0.0,-1
Msl3,Zadh2,0.0,-1
Sphk1,Mical1,0.0,-1
Creb3l1,Rab15,0.0,-1
Taf13,Rnf167,0.0,-1
Stat1,Tlr1,2.254460638937932e-271,-1
Mybl2,Npm1,2.7287172876288482e-264,-1
Cebpa,Pxmp4,5.713415821234294e-229,1
Safb,Wdr24,2.715288525194716e-217,1
Nfatc4,Tgfb1i1,4.0376221647526433e-209,-1
Kdm2a,Ambra1,7.680226756210304e-175,-1
Med6,Myef2,1.6969778237656646e-172,-1
Prrx2,Fscn1,9.131893521745554e-165,-1
Trim30a,Tlr1,7.625573852260196e-164,-1
Aebp1,Tgfbr3,9.912658398257862e-152,-1
Hnrnpab,Wdr75,2.2629540657835504e-149,-1
Msl3,Impad1,3.902628873770419e-136,1
Top2a,Haus3,8.008436596177037e-132,-1
Taf1,Atp6v1c1,8.81955361707992e-122,-1
Sox18,Higd1b,1.0415996359587803e-117,-1
Smarcc2,Mtch1,7.734675182995462e-113,1
Rxrg,Rtn2,6.349364633557044e-109,-1
Zfp395,Akirin1,6.404692330053511e-109,-1
Msl3,Cenpe,8.781387370837488e-107,-1
Msl3,Stat3,4.0588884932396904e-103,1
Ezh2,Haus3,5.693545430444437e-103,-1
Tbx20,Gm16793,1.0363917460664864e-102,-1
Mafb,Stab1,9.57700314582486e-102,-1
Msl3,Prr11,2.6750659689793882e-96,-1
Atf5,Gabarapl1,1.0171387889302974e-95,-1
Pou2f2,Ryk,1.885872699824663e-92,-1
Prrx1,Mxra8,1.5393887450850368e-90,-1
Prrx1,Col6a2,3.0176184000869545e-87,-1
Rnf4,Lrrc59,1.6860680957189714e-86,-1
Gatad1,Trmt5,3.7620215530307415e-86,-1
Msl3,Nup43,9.675363661363542e-85,-1
Aebp1,Olfml3,5.913847622310734e-82,-1
Hells,Haus3,6.643638298191799e-81,-1
Mafb,Akr1b3,2.378361592982502e-80,-1
Mafg,Pla2g16,2.6180639895210394e-80,-1
Irf8,Blnk,5.373419460296523e-78,-1
Msl3,Zdhhc16,2.376235413217911e-77,1
Stat3,4930579G24Rik,4.4257268908252156e-76,-1
Prrx2,Cd276,3.363872691888355e-75,-1
Msl3,Smarce1,9.897051808797587e-72,-1
Prrx1,Serpinh1,2.342469384310797e-69,-1
Irf7,Tlr1,5.967931260213422e-69,-1
Foxc2,Cyp1b1,3.89003167777978e-67,-1
Msl3,Ndc80,1.6350761655130838e-66,-1
Ssrp1,Nup85,3.1325097496908897e-66,-1
Msl3,Haus1,1.2829118593509664e-65,-1
Ddx1,Ncbp1,1.2668865011586134e-62,-1
Meox2,Esam,1.4388513985937905e-61,-1
Cebpa,Lgals9,7.665115492101097e-61,-1
Tardbp,Srsf10,1.607187146939772e-60,-1
Gtf2e2,Dis3,1.995935274043844e-59,-1
Hnrnpab,Nop58,3.621980594781373e-58,-1
Ctnnb1,Gsr,5.372080038861208e-58,1
Stat3,Cks1b,9.688206768862098e-58,-1
Nfatc4,Ppp1r18,1.0115483136176305e-57,-1
Npm1,Pdcd5,2.4757030494010287e-57,-1
Set,Wdr36,2.0263811493627928e-56,-1
Foxo4,Nol6,2.244139979724922e-56,-1
Hdac2,Cacybp,2.6180925389898304e-56,-1
Twist1,Matn2,1.2855453014125795e-55,-1
Gtf2e2,Tipin,1.4169959822987323e-54,-1
Cebpa,Cct7,1.9500117702546736e-54,1
Yap1,Tmem206,4.125759504593918e-54,-1
Gtf2e2,Nup43,4.1630056523171775e-54,-1
Taf8,Fam110a,3.7682652633571737e-53,-1
Tfdp1,Cdca8,1.359846852261301e-52,-1
Msl3,Hat1,6.588346349551828e-51,-1
Nfatc1,Gab1,2.2727004064127957e-50,-1
Prrx1,Wipi1,2.4409404878975133e-50,1
Cebpa,Stau2,3.028076380981015e-50,-1
Creb3,Ptpn11,5.695050042792859e-49,-1
Zbtb16,Cfh,9.251176296005854e-49,1
Gtf2e2,Cks1b,1.8429614378581743e-48,-1
Nfkb1,Fnbp1,2.5577211753410705e-48,-1
Zfp697,Anxa5,6.723416897678336e-48,-1
Zeb2,Axl,3.8112272321460095e-47,-1
Nostrin,Smpdl3a,4.530567586685819e-47,-1
Ncor2,Dctn1,7.974115223052556e-47,-1
Sp100,Tlr1,1.130233077461259e-46,-1
Stat3,Nup43,3.941098474970974e-46,-1
Foxc2,Tbx18,1.1279822655976922e-45,-1
Klf6,Fbxo21,1.5558452085562816e-45,-1
Gtf2e2,Dtymk,5.633338110607968e-45,-1
Msl3,Haus3,6.361311186988821e-45,-1
Rbmxl1,Eif1ax,7.928973502916607e-45,-1
Smarca5,Srsf10,2.3618433547191757e-44,-1
Stat3,Anln,6.79381110389733e-44,-1
Nostrin,Krt19,1.070871612495904e-43,-1
