source,target,p-value,model
Gtf2b,Drap1,0.0,1
Phb,Ubl3,0.0,-1
Phb,Gtf2h4,0.0,-1
Phb,Ptges2,0.0,-1
Drap1,Gtf2b,0.0,1
Prrx1,Srpx2,0.0,-1
Bahd1,Vps4a,0.0,-1
Csde1,Cox19,0.0,1
Csde1,Mpnd,0.0,-1
Csde1,Eif4a2,0.0,-1
Sp110,Gpr162,0.0,-1
Top2a,Ckap2l,0.0,-1
Twist1,Rcn3,0.0,1
Atf4,Mthfd2,0.0,-1
Nolc1,Rps19bp1,0.0,-1
Hells,Ncaph,0.0,-1
Ptges2,Phb,0.0,-1
Hmgn5,1700021F05Rik,0.0,-1
Tead3,Araf,0.0,-1
Mef2a,Ppp3ca,0.0,-1
Arid1a,Mrpl41,0.0,-1
Smarca5,Rrm1,0.0,-1
Smarca5,Usp1,0.0,-1
E2f6,Tmem201,0.0,-1
Carhsp1,Gatsl2,0.0,-1
Carhsp1,Rab33b,0.0,-1
Carhsp1,Sec23ip,0.0,-1
Carhsp1,Synj1,0.0,-1
Carhsp1,Tst,0.0,-1
Zfx,Tgs1,0.0,1
Meox2,Lmod2,0.0,-1
Gtf2f1,Gtf3c6,0.0,-1
Relb,Nfkbia,0.0,-1
Mxd3,Cdkn3,0.0,-1
Mxd3,Dsn1,0.0,-1
Taf10,Grb10,0.0,-1
Irf5,Adssl1,0.0,-1
Mta3,Gypc,0.0,-1
Taf1,Selenbp1,0.0,-1
Klf6,Ifngr1,5.2642347995037635e-306,-1
Ankrd1,Icam1,1.8308958048441035e-304,-1
Ruvbl2,Polr2h,2.0490862243164998e-287,-1
Hdac1,Ddx39,1.1600825088965773e-268,-1
Meox2,Hspb7,9.769722692084048e-267,-1
Meox2,Csrp3,9.631515247818744e-259,-1
Tcf12,Copa,1.4687925089018682e-258,-1
Ercc3,Taldo1,4.264528786229238e-248,1
Nr3c1,Wdr34,1.566318366331665e-246,-1
Zfp768,L2hgdh,9.874197913938458e-242,-1
Ubp1,Gxylt1,1.5980548873795384e-239,-1
Ruvbl2,Orc2,1.7007001868359305e-239,-1
Ppp1r8,Syncrip,2.663005790720232e-236,-1
Nolc1,Pold2,3.069240429089827e-231,-1
