source,target,p-value,model
Esrrg,Ndufa5,0.0,-1
Csde1,Eif4a2,0.0,-1
Naca,Imp3,0.0,-1
Foxn2,Eps15,0.0,-1
Ppargc1a,Acadvl,0.0,-1
Zbtb20,Uhrf1,1.2969347813066488e-206,-1
Zbtb20,Uhrf1,1.2969347813066488e-206,-1
Uhrf1,Zbtb20,1.296934781330659e-206,-1
Zbtb20,Cep55,6.580136817261117e-197,-1
Zbtb20,Cep55,6.580136817261117e-197,-1
Zbtb20,Kif2c,2.6398848056760896e-190,-1
Zbtb20,Ccnb1,1.7651231896515357e-155,-1
Zbtb20,Ccnb1,1.7651231896515357e-155,-1
Zbtb20,Kif22,7.389436829130535e-153,-1
Zbtb20,Kif22,7.389436829130535e-153,-1
Zbtb20,Ckap2,1.12272175532715e-146,-1
Zbtb20,Espl1,1.288255261286996e-142,-1
Zfp281,Nck2,7.796813193314147e-138,-1
Ddx58,Lyn,1.3010629234076482e-137,-1
Zbtb20,Ndc80,1.790254385485735e-131,-1
Zbtb20,Rad51ap1,4.0835299660125305e-127,-1
Gtf2a1,Ate1,8.32586863633417e-125,-1
Zbtb20,Spag5,2.1631052423082313e-122,-1
Zbtb20,Zwilch,4.673094822278197e-113,-1
Zbtb20,Zwilch,4.673094822278197e-113,-1
Zbtb20,Bub1b,2.5032244886766717e-109,-1
Zbtb20,Bub1b,2.5032244886766717e-109,-1
Zbtb20,Lmnb1,2.4458933068510416e-104,-1
Zbtb20,Hells,3.9196433812628843e-94,-1
Zbtb20,Hells,3.9196433812628843e-94,-1
Hells,Zbtb20,3.9196433812853823e-94,-1
Zbtb20,Hmgb2,4.5617452911601224e-73,-1
Zbtb20,Hmgb2,4.5617452911601224e-73,-1
Zbtb20,Ska3,7.08275549008314e-70,-1
Zbtb20,Mad2l1,1.1787205280047605e-69,-1
Zbtb20,Bub1,1.615116760207083e-66,-1
Zbtb20,Bub1,1.615116760207083e-66,-1
Ezh2,Zbtb20,4.964654363600497e-66,-1
Zbtb20,Ezh2,4.964654363600497e-66,-1
Zbtb20,Ccnf,5.8679422733586464e-64,-1
Nostrin,Il18,5.629363968073364e-61,-1
Zbtb20,Gins2,1.1835581584105508e-59,-1
Zbtb20,Gins2,1.1835581584105508e-59,-1
Zbtb20,Nup43,9.666088205551952e-57,-1
Zbtb20,Cdca8,7.378669926711277e-53,-1
Zbtb20,Cdca8,7.378669926711277e-53,-1
Fosl1,Ngf,3.751071959313287e-52,-1
Zbtb20,Cenph,5.7381156226779286e-52,-1
Zbtb20,Cenph,5.7381156226779286e-52,-1
Zbtb20,Cdc6,3.4924991287609866e-49,-1
Zbtb20,Cdc6,3.4924991287609866e-49,-1
Zbtb20,Melk,1.103940016217975e-48,-1
Zbtb20,Melk,1.103940016217975e-48,-1
Nfil3,Cyp7b1,1.2279641070990576e-48,-1
Zbtb20,Trip13,8.321758062737581e-48,-1
Zbtb20,Trip13,8.321758062737581e-48,-1
Zbtb20,Plk4,1.6649959120511446e-47,-1
Zbtb20,Cenpe,4.6319098362903146e-45,-1
Zbtb20,Hmmr,3.3673448400323437e-41,-1
Zbtb20,Hmmr,3.3673448400323437e-41,-1
Mybl2,Zbtb20,3.2317594722939733e-37,-1
Zbtb20,Mybl2,3.231759472295044e-37,-1
Zbtb20,Rrm2,5.857459817030674e-33,-1
Ptges2,Ndufs7,1.3300761287397238e-32,-1
Zbtb20,Aurka,2.251460219329423e-32,-1
Zbtb20,Aurka,2.251460219329423e-32,-1
Tfdp1,Ccna2,1.4588080396419462e-31,-1
E2f2,Cd24a,2.2610776602214847e-31,-1
Top2a,Zbtb20,1.1294849372780383e-30,-1
Zbtb20,Top2a,1.1294849372784787e-30,-1
Zbtb20,Top2a,1.1294849372784787e-30,-1
Smyd1,Xirp1,1.4445041553831863e-29,-1
Ssrp1,Dnmt1,1.6494289471697037e-28,-1
Dnmt1,Ssrp1,1.649428947171956e-28,-1
Zbtb20,Dlgap5,3.077956098567287e-28,-1
Ppargc1a,Ndufv3,4.606397982429492e-28,-1
Smyd1,Kremen1,2.6119719899794988e-27,-1
Zbtb20,Ttk,3.0653344634438097e-27,-1
Zbtb20,Ttk,3.0653344634438097e-27,-1
Zbtb20,Trim59,4.7804809479375105e-27,-1
Zbtb20,Mcm5,5.099695081925809e-26,-1
Zbtb20,Mcm5,5.099695081925809e-26,-1
Irf3,Rbbp7,8.698867183065807e-26,-1
Taf2,Luc7l,5.278857255416782e-25,-1
Stat1,Tnfsf10,1.2886256785623793e-24,-1
Top2a,Atpif1,1.7728441315111584e-23,-1
Zbtb20,Racgap1,2.1442893692736897e-23,-1
Zbtb20,Racgap1,2.1442893692736897e-23,-1
Zbtb20,Kif20a,2.24350360367035e-23,-1
Ikzf1,Cybb,1.0132019538700616e-21,-1
Camta1,Actr3b,1.2371287059763886e-21,-1
Zbtb20,Tacc3,1.4179902468848935e-21,-1
Zbtb20,Clspn,3.0250018150934164e-21,-1
Smyd1,Myh7b,7.353678305940155e-21,-1
E2f2,Osbpl1a,3.36606437211519e-20,1
Top2a,A230050P20Rik,5.112835850795739e-20,-1
Ezh2,Atpif1,6.086127594106959e-20,-1
Ikzf1,Plekha2,1.1930753930604008e-19,-1
Dnmt1,Dut,1.2255207799640893e-19,-1
Zbtb20,Ccna2,1.6553073098314222e-19,-1
Zbtb20,Ccna2,1.6553073098314222e-19,-1
Ptges2,Usmg5,3.544020789357038e-19,-1
Ptges2,Cox5b,3.71284614873965e-19,-1
Smad4,Rcl1,4.60217377942128e-19,1
Zfp36,Erap1,1.2011691973328422e-18,-1
Zbtb20,Nusap1,1.266425535889026e-18,-1
Zbtb20,Nusap1,1.266425535889026e-18,-1
Ppargc1a,Cisd1,3.913847553394167e-18,-1
Top2a,Nup43,4.100347820252447e-18,-1
