source,target,p-value,model
Smarce1,Tsn,3.93001491198048e-60,1
Foxm1,Cdca5,4.7391570569901797e-60,-1
Dnmt1,Rps11,5.178543518114611e-60,1
Etv3,Plscr1,1.1615031258376553e-59,-1
Foxm1,Cdc20,5.81415373999492e-59,-1
Stat1,Slc15a3,9.838421142684413e-59,-1
Mxd4,Adrb1,1.080708471393405e-58,-1
Apex1,Dis3,4.985435864585919e-58,-1
Apex1,Npm1,1.5259885441081662e-57,-1
Uhrf1,Ttk,5.112396840512368e-57,-1
Smad2,Mllt11,2.0743939991432785e-56,-1
Aebp2,Prpf38a,2.552662521326696e-56,-1
Stat1,Ms4a4c,3.8356190744282174e-56,-1
Ppp1r8,Hat1,3.9638121624031013e-56,-1
Hmgb1,Dek,5.627765262444389e-56,1
Klf15,Pex11a,8.051041549202741e-56,-1
Rxrg,Sgca,9.189813951318965e-56,1
Drap1,Tmem128,1.6297904222266575e-55,-1
Irf1,Casp4,2.9931356689364193e-55,-1
Rbbp5,Sf3a1,3.0720216239090353e-55,-1
Tada2a,Ilf3,1.298357066682275e-54,-1
Foxm1,Aspm,2.2371566332689406e-54,-1
Hells,Bub1b,4.074649430787647e-54,-1
Fubp1,Luc7l3,5.661723955999382e-54,-1
Foxm1,Cenpe,6.628123615734852e-54,-1
Nfix,Npr2,3.2340230103356927e-53,-1
Lmo4,Gch1,5.314878296433177e-53,-1
Apex1,Psma5,9.265712686036707e-52,-1
Foxm1,Trim59,1.5830497596840446e-51,-1
Naca,Rpl36,1.165480302953611e-50,-1
Gtf2f1,Prkrip1,3.385526303539418e-50,-1
Foxm1,Nusap1,5.054956688674489e-50,-1
Aebp2,Tra2b,1.4923647917109965e-49,-1
Apex1,Gemin6,1.6091413934765223e-49,-1
Atf1,Smc5,2.0060111899436905e-49,-1
Elf1,Dock8,5.8945450091445775e-49,-1
Aebp2,Wdr3,7.869014417726486e-49,-1
Mbd3,Asna1,2.2337805766425192e-48,-1
Nfatc1,Pak2,2.6519289606916153e-48,-1
Thra,Tmem141,5.0497352016349436e-48,-1
Esrrg,Ndufab1,5.1354997656067035e-48,-1
Npm1,Rpl15,8.683295537527125e-48,-1
Top2a,Gins2,1.738525685887646e-47,-1
Irf9,Ms4a4c,3.3114437692677526e-47,-1
Dnmt1,Fam111a,7.148403967246584e-47,-1
Nr1h3,Rpl15,1.0096361958651622e-46,-1
Fubp1,Nxf1,1.1078313251319861e-46,1
Ikzf1,Tifab,1.3932018915346925e-46,-1
Ppargc1a,Atp5a1,1.4127639734781014e-46,-1
Hdac3,Aurka,2.411430518829714e-46,-1
Smad2,Armc10,4.530185373619343e-46,-1
Apex1,Ppan,6.684701064136918e-46,-1
Atf1,Rpl15,8.380332198272832e-46,-1
Hmgb1,Rpl22,1.165669571763004e-45,1
Creb3l2,Trp53i13,1.7107006349268134e-45,-1
