source,target,p-value,model
Stat1,Sec61b,0.0,-1
Tfip11,Uba1,0.0,-1
Csde1,Eif4a2,0.0,-1
Pias4,Uba1,3.518898914768719e-284,-1
Fosl2,Krt19,1.6213061244315506e-136,-1
Brd4,Zc3h13,7.730541366956718e-102,-1
Phf5a,Taf5l,1.5613927502288861e-84,-1
Nfyc,Sigmar1,1.635554300506625e-84,-1
Ubp1,Upf3b,6.381508122382397e-81,-1
Fli1,Ifi203,4.100939410659028e-80,-1
Ets2,Ghr,1.7519774745706528e-72,-1
Fubp1,Srek1,1.4764349514882787e-69,-1
Edf1,Gnptg,1.0173582821054622e-67,1
Phtf2,Twf2,1.3363670866373672e-64,-1
Ifi204,Ccl2,2.4814008209931806e-59,-1
Fosl2,Serpinb6a,9.809042362615199e-57,-1
E2f4,Nacc1,6.430908677195019e-54,-1
Ifi204,Ccl7,1.422460347221538e-49,-1
Klf9,Nceh1,2.364726232330405e-48,-1
Rnf6,Srp72,3.231972464527763e-43,-1
Mxd3,Troap,1.7078500929931595e-41,1
Chd4,Srp72,5.464410011740069e-39,-1
Ercc3,Traf2,8.802615205414008e-39,-1
Snai2,Syde1,2.120709102474661e-37,-1
Hltf,Zfp809,2.05537747114095e-36,-1
Zfp46,Upf3a,1.7053542462017286e-34,-1
Zfp120,Lipe,8.477300614178866e-29,1
Phtf2,Sumf2,8.09771791177175e-28,-1
Zfp46,Rbbp5,8.2706912060676e-28,-1
Ets2,Krt19,4.7989007011114125e-25,-1
Fosl2,Mall,1.809037985078789e-23,-1
Fosl2,Fblim1,1.0139381667720953e-22,-1
Xbp1,Spcs3,2.1423228692739375e-22,-1
Sra1,Cpped1,4.8154656097872535e-22,-1
Relb,Crip1,5.772058171282087e-21,-1
Rnf4,Immt,2.9596808616878325e-20,-1
Trim30a,H2-Q7,3.0604676357691825e-20,-1
Heyl,Gja4,5.550457260479518e-20,-1
Fosl2,Tax1bp3,3.1055021141966483e-19,-1
Nfib,Rai14,6.196833845057682e-19,-1
Nfyb,Mrpl50,1.544688036402454e-18,-1
Tfip11,Dhx38,1.8752644405487535e-18,-1
Tfeb,Dok7,3.2289685562145134e-18,-1
Mlx,Bak1,5.536839550043831e-18,1
Gtf2b,Ptms,8.189054590610257e-18,1
Atoh8,Vamp5,9.124789804056952e-18,-1
Meox2,Fxyd1,1.0995600097520112e-17,-1
Ubp1,Hnrnpa3,2.4142123949183218e-17,-1
Cbfb,Zfp131,2.822456634960335e-17,-1
Gata4,Slc39a14,3.039765524682806e-17,-1
Nfib,Efnb1,4.8286029187355226e-17,-1
Tfeb,Cacng7,1.091291470401772e-16,-1
Zfp46,Rpl15,3.7892746601339625e-16,-1
Zfp217,Il18,3.8252194660165634e-16,-1
Carhsp1,Magt1,1.0506415223452249e-15,-1
Fubp1,Crebzf,1.730053969420707e-15,-1
Crebzf,Fubp1,1.7300539694207393e-15,-1
Phf5a,Polr1c,6.6802294388813615e-15,-1
Chd4,Zc3h13,1.8813735193559144e-14,-1
Tbx3,Lipe,1.9529833545437563e-14,-1
Hmgb2,Rpl8,1.985673224406516e-14,-1
Atf6b,Mtmr2,3.8054138299266456e-14,-1
Taf13,Ap2s1,4.492764415694595e-14,-1
Rps3,Edf1,6.578291476958389e-14,1
Edf1,Rps3,6.57829147695865e-14,1
