source,target,p-value,model
Clock,Wdr81,0.0,-1
Csde1,Eif4a2,0.0,-1
Snai2,Vasn,2.5343151753143324e-137,-1
Trim30a,Ifi47,9.361626493489825e-106,-1
Runx3,Gmip,1.887959762394086e-91,-1
Csrnp1,Ivns1abp,2.1535855111131106e-68,-1
Smyd1,Pde4dip,2.986536174520537e-68,-1
Rxrg,Dlat,1.0411587552880827e-64,-1
Smyd1,Mfn1,1.8605695208135486e-64,-1
Scx,Rnf5,2.160919586870308e-58,-1
Rxrg,Idh3a,1.8011665101209993e-54,-1
Ikzf1,Arhgap25,2.201197884529175e-51,-1
Rbbp8,Dnajc2,1.1078096019928216e-49,-1
Dnajc2,Rbbp8,1.107809601993092e-49,-1
Tcf3,Ncln,9.46559701204232e-44,-1
Spata24,D11Wsu47e,1.1300068265894593e-42,-1
Snai2,Zeb1,2.721335140912609e-41,-1
Ldb1,Ccdc85b,1.848747040244428e-40,-1
Psmc3ip,Psat1,4.089093769750905e-39,-1
Ppargc1a,2310061I04Rik,7.278758315023233e-39,1
Rxrg,Ndufa10,1.0128339109221946e-37,-1
Rxrg,Pde4dip,8.674517500215983e-37,-1
Sod2,Dlat,1.2115053898823825e-34,-1
Nr3c1,Ppp2r5a,7.98752536155666e-33,-1
Arid5a,Arhgap30,2.323715664296164e-32,-1
Hells,Cep55,8.00566322642879e-31,-1
Srrt,Casc3,1.3411520817797439e-30,1
Csrnp1,Slc25a5,1.542949633942328e-30,-1
Ssrp1,Srsf9,3.838709128748167e-30,1
Fli1,Cd47,2.435079437139521e-29,-1
Srrt,Rnf40,1.5584221652370343e-28,1
Trim30a,Cd47,2.927160159906071e-28,-1
Arid5a,Runx3,5.788371813763065e-28,-1
Runx3,Arid5a,5.78837181376411e-28,-1
Zfp217,Crlf3,1.0809788265699098e-27,-1
Smyd1,Dlat,2.4777154245416356e-27,-1
Sod2,Idh3a,5.5559196330392975e-27,-1
Smyd1,Me3,7.73712488377336e-27,-1
Zfp217,AI467606,5.428903629990802e-26,-1
Sarnp,Srp19,4.880417980580107e-25,-1
Esrrg,Rcc2,9.238928711170792e-25,1
Zfp263,Plekha6,9.625631298055843e-25,-1
Nr1d1,Cdca4,1.6428603230142461e-24,-1
Psmc3ip,Cct7,8.639978224075911e-24,-1
Rnf4,Mmgt1,2.5779538409983086e-23,-1
Arid5a,Map3k14,5.268372385152758e-23,-1
Taf1d,Uqcrc2,5.67922623309596e-23,1
Taf6l,Zfp217,8.490031712036199e-23,1
Arid5a,Pik3cd,1.160976720796522e-22,-1
Snai2,Fscn1,2.263431114161263e-22,-1
Creb3l1,Acta2,2.673361819600271e-22,-1
Sod2,Ndufa10,1.0284105245555935e-21,-1
