source,target,p-value,model
Tfip11,Med24,1.1532839491395517e-11,-1
Phf5a,Rrp15,1.1977519077621534e-11,-1
Hnrnpab,Sf3a3,1.2563327685245856e-11,-1
Rtf1,Rnmt,1.3271141452959335e-11,-1
Thra,Ski,1.6793690284976996e-11,1
Mtf1,Rbms2,1.9812325796209845e-11,-1
Hnrnpab,Thoc6,2.0879562777206534e-11,-1
Phf5a,Cdk4,2.107237398643609e-11,1
Zfp281,Fam98c,2.6894783842399377e-11,1
Phf5a,Rfc5,4.697328011092195e-11,-1
Whsc1,Myd88,5.1952961497957916e-11,-1
Gtf3a,Tsen54,5.626062618682332e-11,-1
Tmpo,Dkc1,5.639588216231589e-11,-1
Sarnp,Snrpg,6.997385331801027e-11,-1
Tcea3,Morf4l2,7.238875382990876e-11,-1
Hnrnpab,Snrpf,7.323037010751161e-11,-1
Npm1,Lmnb1,7.475384889741479e-11,-1
Trim28,Mcm2,7.547614043852565e-11,-1
Sarnp,Hat1,8.102783537316811e-11,-1
Gtf2e2,Cdk1,9.308551121244396e-11,-1
Ilf3,Prim2,1.1050956610384588e-10,-1
Naca,Hagh,1.1326242136544546e-10,-1
Phf5a,Hnrnpa1,1.2579703443813224e-10,-1
Hnrnpab,2610029G23Rik,1.2718527115514837e-10,-1
Taf1d,Tex10,1.463195431714364e-10,-1
Zfp422,Eif2c1,1.7214215409334837e-10,-1
Phf5a,Ddx39,1.9156457713361317e-10,-1
Rnf4,Eif4a1,1.9748193353644035e-10,-1
E2f3,Rnmt,2.0708118564291194e-10,1
Gtf3a,Rpl14,2.3258315349272313e-10,1
Phf21a,Brd9,2.3427682252681854e-10,-1
E2f8,Umps,2.4568857971198816e-10,-1
Sarnp,Smc2,2.543182677491024e-10,-1
Phf5a,Tdg,3.465320400698975e-10,-1
Tmpo,Cdk4,3.987645573704611e-10,-1
Hnrnpab,Pdcd11,4.371254369654593e-10,-1
Rnf4,Crkl,4.992164022716352e-10,-1
Lrpprc,Afg3l2,5.9463690879381e-10,-1
