0,1,2,3,4,5,6,7,8,9,10,11
-0.07425844,-0.23576619,0.010317791,-0.30528983,-0.4559369,-0.42901653,-0.024416994,-0.3263332,0.40619108,0.40352422,0.5100942,0.62611604
-0.5556428,-0.76412845,-0.4949922,-0.7002211,-0.6620784,-0.8691624,-0.16103396,0.3956638,-0.43382278,-0.3764965,-0.36701477,-0.7095634
-0.5561628,-0.56079495,0.34914663,0.3571325,0.34914666,0.35713243,0.46855813,-0.015500719,0.7535239,0.7153114,-0.24936283,0.34077266
-0.43958187,-0.6585892,-0.5412985,-0.91701925,-0.709326,-0.84355503,-0.4058247,-0.78622836,0.06061283,0.18685018,0.5468439,0.92928916
0.08415795,-0.20796855,-0.4149791,-0.5545419,-0.056114905,-0.50171465,0.07259574,-0.33088034,-0.37667876,1.1350231,-1.0568795,-1.8493496
-0.35734764,0.6311402,-0.36188638,0.6500061,-0.22768794,0.7246693,-0.12502286,0.18596937,0.5845503,-0.3499832,-0.44541803,0.029653179
0.021611877,-0.40331057,0.021611877,-0.40331057,0.021611877,-0.40331057,0.021611877,-0.40331057,0.021611877,-0.40331057,0.5072178,0.48025155
0.32020688,0.54508245,0.2437228,0.4974602,0.39764798,0.5721621,0.45103234,0.55045563,0.065593906,0.38430923,0.14189242,-0.01523966
-0.05402248,-0.3196796,-0.19484288,0.15150444,-0.34087956,-0.68875283,-0.14436969,-0.11551303,-0.21318808,-0.13777457,0.65903383,0.4531754
-0.15382777,0.07006215,-0.15382777,0.07006215,-0.15382777,0.07006215,0.74823815,-0.52118427,-0.18676876,0.10495917,-0.18676876,0.10495917
0.74823815,-0.52118427,0.74823815,-0.52118427,0.74823815,-0.52118427,0.74823815,-0.52118427,0.74823815,-0.52118427,-0.29778993,0.032272063
-0.17446205,0.08448373,-0.10138755,-0.23917209,-0.20336288,-0.29848555,-0.14353716,-0.269684,-0.026623406,0.026090153,-0.121236525,0.37867844
0.06699512,0.06918968,0.077343225,0.40280116,0.4825194,0.64256763,0.3729671,-0.11029714,0.6521972,0.4580569,-0.10553416,0.2810064
-0.23293003,-0.5457034,0.32813078,0.10109198,-0.3310061,-0.2255437,-1.2191823,-1.2143894,0.120943815,0.6296829,-0.14711711,-0.30970746
0.48405346,-0.23204555,0.48405346,-0.23204555,0.48405346,-0.23204555,-0.44772476,-0.14776033,-0.44772476,-0.14776033,-0.44772476,-0.14776033
