0,1,2
231,Nolc1,Nolc1
232,Nono,Nono
233,Nostrin,Nostrin
234,Npm1,Npm1
235,Nr0b2,Nr0b2
236,Nr1d1,Nr1d1
237,Nr1d2,Nr1d2
238,Nr1h2,Nr1h2
239,Nr1h3,Nr1h3
240,Nr1h4,Nr1h4
241,Nr1i2,Nr1i2
242,Nr1i3,Nr1i3
243,Nr2c1,Nr2c1
244,Nr2c2,Nr2c2
245,Nr2f2,Nr2f2
246,Nr2f6,Nr2f6
247,Nr3c1,Nr3c1
248,Nr5a2,Nr5a2
249,Onecut2,Onecut2
250,Pa2g4,Pa2g4
251,Pbrm1,Pbrm1
252,Pbx2,Pbx2
253,Pcgf6,Pcgf6
254,Pcna,Pcna
255,Phb,Phb
256,Phf5a,Phf5a
257,Pias1,Pias1
258,Pias2,Pias2
259,Pml,Pml
260,Pnn,Pnn
261,Ppara,Ppara
262,Ppard,Ppard
263,Pparg,Pparg
264,Ppp1r8,Ppp1r8
265,Prdx5,Prdx5
266,Preb,Preb
267,Prox1,Prox1
268,Psip1,Psip1
269,Ptges2,Ptges2
270,Puf60,Puf60
271,Pura,Pura
272,Pus1,Pus1
273,Rara,Rara
274,Rbbp5,Rbbp5
275,Rbck1,Rbck1
276,Rbl2,Rbl2
277,Rbmx,Rbmx
278,Rbmxl1,Rbmxl1
279,Rbpj,Rbpj
280,Rcor1,Rcor1
281,Rela,Rela
282,Rere,Rere
283,Rest,Rest
284,Rfc1,Rfc1
285,Rfxank,Rfxank
286,Rfxap,Rfxap
287,Rnf10,Rnf10
288,Rnf141,Rnf141
289,Rnf4,Rnf4
290,Rnf6,Rnf6
291,Rora,Rora
292,Rorc,Rorc
293,Rps3,Rps3
294,Rptor,Rptor
295,Rreb1,Rreb1
296,Rtf1,Rtf1
297,Ruvbl2,Ruvbl2
298,Rxra,Rxra
299,Rybp,Rybp
300,Safb,Safb
301,Safb2,Safb2
302,Sall1,Sall1
303,Sarnp,Sarnp
304,Set,Set
305,Sfpq,Sfpq
306,Sin3a,Sin3a
307,Smad1,Smad1
308,Smad2,Smad2
309,Smad4,Smad4
310,Smad5,Smad5
311,Smarca2,Smarca2
312,Smarca4,Smarca4
313,Smarca5,Smarca5
314,Smarcc1,Smarcc1
315,Smarcc2,Smarcc2
316,Smarce1,Smarce1
317,Snapc1,Snapc1
318,Sod2,Sod2
319,Son,Son
320,Sp1,Sp1
321,Sp3,Sp3
322,Sra1,Sra1
323,Srebf1,Srebf1
324,Srebf2,Srebf2
325,Srf,Srf
326,Srrt,Srrt
327,Ssrp1,Ssrp1
328,Stat1,Stat1
329,Stat3,Stat3
330,Stat5b,Stat5b
331,Stat6,Stat6
332,Sub1,Sub1
333,Suz12,Suz12
334,Taf1,Taf1
335,Taf10,Taf10
336,Taf11,Taf11
337,Taf12,Taf12
338,Taf13,Taf13
339,Taf1d,Taf1d
340,Taf2,Taf2
341,Taf4a,Taf4a
342,Taf6,Taf6
343,Taf9,Taf9
344,Tardbp,Tardbp
345,Tbl1xr1,Tbl1xr1
346,Tbx3,Tbx3
347,Tcea1,Tcea1
348,Tcea3,Tcea3
349,Tceb3,Tceb3
350,Tcf12,Tcf12
351,Tcf20,Tcf20
352,Tcf25,Tcf25
353,Tcf3,Tcf3
354,Tef,Tef
355,Terf2ip,Terf2ip
356,Tfam,Tfam
357,Tfb1m,Tfb1m
358,Tfdp1,Tfdp1
359,Tfip11,Tfip11
360,Tfpt,Tfpt
361,Tgif1,Tgif1
362,Thap11,Thap11
363,Thap7,Thap7
364,Thoc1,Thoc1
365,Thrb,Thrb
366,Tmf1,Tmf1
367,Tmpo,Tmpo
368,Topors,Topors
369,Trim27,Trim27
370,Trim28,Trim28
371,Trp53,Trp53
372,Ubp1,Ubp1
373,Usf1,Usf1
374,Usf2,Usf2
375,Vps72,Vps72
376,Wbp7,Wbp7
377,Xbp1,Xbp1
378,Xrcc5,Xrcc5
379,Xrcc6,Xrcc6
380,Yap1,Yap1
381,Ybx1,Ybx1
382,Yy1,Yy1
383,Zbtb16,Zbtb16
384,Zbtb22,Zbtb22
385,Zbtb24,Zbtb24
386,Zbtb33,Zbtb33
387,Zbtb41,Zbtb41
388,Zbtb43,Zbtb43
389,Zbtb44,Zbtb44
390,Zbtb48,Zbtb48
391,Zbtb7a,Zbtb7a
392,Zbtb7b,Zbtb7b
393,Zfml,Zfml
394,Zfp1,Zfp1
395,Zfp110,Zfp110
396,Zfp143,Zfp143
397,Zfp148,Zfp148
398,Zfp191,Zfp191
399,Zfp260,Zfp260
400,Zfp281,Zfp281
401,Zfp322a,Zfp322a
402,Zfp35,Zfp35
403,Zfp36,Zfp36
404,Zfp367,Zfp367
405,Zfp384,Zfp384
406,Zfp386,Zfp386
407,Zfp395,Zfp395
408,Zfp410,Zfp410
409,Zfp422,Zfp422
410,Zfp445,Zfp445
411,Zfp511,Zfp511
412,Zfp512,Zfp512
413,Zfp513,Zfp513
414,Zfp523,Zfp523
415,Zfp524,Zfp524
416,Zfp574,Zfp574
417,Zfp592,Zfp592
418,Zfp639,Zfp639
419,Zfp654,Zfp654
420,Zfp664,Zfp664
421,Zfp672,Zfp672
422,Zfp746,Zfp746
423,Zfp750,Zfp750
424,Zfp768,Zfp768
425,Zfp771,Zfp771
426,Zfp787,Zfp787
427,Zfpm1,Zfpm1
428,Zfx,Zfx
429,Zhx1,Zhx1
430,Zhx3,Zhx3
431,Zkscan1,Zkscan1
432,Zkscan17,Zkscan17
433,Zkscan3,Zkscan3
434,Zkscan5,Zkscan5
435,Zscan21,Zscan21
436,Zzz3,Zzz3
