Source,Target,PValue
Fbxo25,Lass6,0.0
Blm,Nup62,0.0
Ddx1,Lrrc40,0.0
Tram1l1,Irf3,0.0
Fubp3,Thoc1,0.0
Spag5,Top2a,0.0
Acvrl1,Ankrd1,0.0
Topors,Ppp4c,0.0
Nr3c1,Msi1,0.0
Mcam,Hlx,0.0
Aldh6a1,Hhex,0.0
Hmg20a,Krit1,0.0
Mbtd1,Kdm3a,0.0
Nipbl,Sp1,0.0
Gabpa,Ythdf3,0.0
0910001L09Rik,Taf12,0.0
Mapk3,Wbp7,0.0
Taf12,Jazf1,0.0
0610031J06Rik,Ctsa,0.0
Mef2d,Rpgr,3.0927198960291816e-266
Med20,Zfp26,2.873155653038547e-261
Chd8,Setx,3.038231904247704e-253
Acvrl1,Snai1,8.198425052452435e-244
Ptges2,Cox5b,8.696452450101863e-205
Mcam,Hoxb4,1.1606817866463219e-199
Mylip,Pus1,5.329227966646023e-186
Acvrl1,Smad6,1.2055555944940619e-185
Tmbim1,Nfatc1,2.082884393578634e-172
Mef2d,Rbm15b,1.1233623670226215e-165
Terf1,Zfp143,1.3710224947244145e-165
Hnrnpk,Zranb2,1.7779636098961962e-164
Nfatc1,Samhd1,7.749109619085421e-162
Il2rg,Etv3,2.2312256164386007e-153
Ddx1,Rtf1,1.2552465916156568e-152
Psmc3ip,Odf2,3.343633496598401e-152
Pdcd2l,Gtf2e1,3.517806909402206e-151
Chd8,Rlf,1.8164659028885456e-143
Gmeb1,Bptf,2.1569879346113834e-139
Nacc1,Mef2d,3.7682906495059455e-129
Klf9,Ppp2r5a,2.2680534765551347e-123
Ebf3,Lmo1,2.4438942559439293e-123
Ptpre,Mafk,1.2065416423518151e-117
Xrcc5,Intu,1.6474092581024106e-117
Zfp566,Trim33,1.878762491056435e-117
Tcf4,Pbx1,1.1891129260700098e-115
Pnp,Foxa2,2.743866043813727e-115
Cdk12,Ncor1,1.4869048287565134e-114
Nvl,Sin3a,8.162138190908558e-113
Wdr89,Nfyb,5.869302935039386e-109
Tbx2,Nebl,6.827409483462433e-107
Ppp1r1a,E2f1,4.8982109029407383e-104
Asgr2,Hlf,7.882910409831827e-102
Med6,Gins2,2.472088554756064e-99
Tfcp2l1,Pla2g5,8.645874736577537e-98
Tfcp2l1,Prr13,1.5600628927078832e-97
Lrrfip1,Hdac6,1.2641848280688625e-95
Sp4,Shprh,1.6774153386446783e-92
Chd8,Brd4,1.6183906126130193e-91
8430410K20Rik,Taf12,2.159366151108726e-91
Metrnl,Lass6,6.007513877716425e-88
Gabpb2,Smg1,1.049635153473773e-87
Nfrkb,Trim27,7.144783250001541e-87
Styk1,Lass6,3.369981000446012e-86
Hoxa5,Zfpm2,1.5618641498997006e-84
Fam76b,Zfp143,6.293562435563407e-82
Agrn,Smad3,1.0135800560577302e-81
Cdk12,Chd8,2.1233405116298926e-81
Zfp865,Appl1,3.1962570076186563e-76
Nolc1,Eif5a,6.459460661566784e-75
Pfn1,Nfya,3.594731476192431e-74
Zfp93,B3galt6,2.6216012024540315e-72
Chd8,Prrc2c,1.7069543897388589e-71
Taf12,Rgag4,1.0265473899885298e-69
Irx3,Tead1,5.837437157603277e-69
Zfp329,A630052C17Rik,1.0547857890940412e-67
Frk,Lass6,9.252569381388859e-67
E2f1,Katnal2,2.8387334592944995e-66
Nfatc1,Ccdc82,6.855224792672629e-66
Dnajc24,Zfp93,1.4351302870882485e-65
Gdap1l1,Rreb1,2.2640844137940633e-64
Extl2,Nfya,2.607713063070002e-64
Nap1l1,Rorc,3.2031565193977864e-63
Pogz,Gmeb1,3.1949013651644558e-62
Mettl3,Zfp329,1.9145512677530736e-59
Mybbp1a,Eif5a,3.1975458953279815e-58
Whsc1l1,Bdp1,4.2205133540730296e-58
Nrf1,Pou2f1,6.75625997779683e-57
Ddx1,Smarca5,3.0426210326522442e-56
Zfp516,Rgag4,7.764567741847074e-56
Ndufaf1,Mll1,1.0978852767499712e-53
Tead1,P4ha2,1.8652921305214416e-53
Gfi1,Lrmp,5.013434461898563e-53
Tmpo,Tyms,8.626576657644965e-52
Cct2,Zfp184,1.3809120489655703e-51
Orc3,Zfp93,4.530079771225242e-51
Lbr,Suz12,5.449827528752731e-50
Phf20,Tmco4,1.000564482181355e-49
Mef2d,Cep290,7.057107851495808e-49
Tfap2c,Grhl3,1.9519637805018322e-47
Morn3,Rfx2,1.7506501563201987e-46
Tpbg,Twist1,2.1528976668934726e-46
Pias1,Tmem63b,4.190482864230958e-46
Gtf2e2,Rad54b,6.828046237427813e-46
Blm,4930422G04Rik,1.8334032798777237e-45
Baiap2l1,Irf6,3.086763755827819e-45
Gsg2,Lin54,3.783948713804095e-45
Pls3,Lass6,1.9019960158340443e-43
Suz12,Atrx,2.1197711308585542e-43
Drap1,Scaf1,2.96143797946101e-43
Chd8,Supt6h,3.361746897685321e-43
Gna11,Ppard,3.483083036465514e-42
Gstk1,Rorc,2.866296152187783e-41
Styk1,Ppard,6.863690523373782e-41
Jazf1,Zfp516,1.2568594296969875e-40
Taf12,Ppm1l,2.1360302024430383e-40
Ipo11,Camta2,2.5899663887609324e-40
Cct7,Ruvbl2,3.693804794537241e-40
Cenph,Smarca5,5.371183278009157e-40
Ythdc1,Zfp1,8.405205590633256e-40
Appl1,Zfp148,1.4373585614440994e-39
Nfat5,Tbc1d23,6.554886746177367e-39
2200002D01Rik,Ppard,2.5940642600558985e-38
Med6,Cks1b,3.508260311223895e-38
Carhsp1,Brwd1,3.7696691591154526e-38
Acvrl1,Hlx,4.5714382410421413e-38
Zik1,Zfp606,7.361606865106667e-38
Rere,Mrpl30,1.2187752293617826e-37
Dkc1,Hnrnpab,1.5256254925054367e-36
Srrm1,Ctcf,4.7650713185553075e-36
Rasl10b,Mypop,5.242313313338829e-36
Ddx1,Eri2,1.6264408361259086e-35
Cdc34,Taf12,2.8308585552826784e-35
Cxxc1,Alg12,6.146816272262186e-35
Zfp148,Scai,9.623327947375335e-35
Trim33,Papd5,1.701500461202629e-33
Uba2,Smarca5,1.719728878106743e-33
Mrpl11,Foxj2,1.2799897570705717e-32
Smarca5,Hnrnpab,2.0734467424126779e-32
Gtf2f2,Pcid2,4.621739516851418e-32
Zfp800,Zfp51,7.195167190899012e-32
Top2a,4930422G04Rik,1.5857159512865961e-31
Map3k8,Irf5,1.306834822535109e-30
Psmb4,Hdac2,1.3301737185737409e-30
Gnaz,E2f1,1.566791107633787e-30
Kctd12b,Taf12,2.2928540449700276e-30
Zbtb7b,Ppard,2.502025302117141e-30
Mbd3,Mrpl10,2.5394227051554724e-30
E2f1,Stmn3,6.483706421466315e-30
Dctn1,Zfp579,8.918764300114244e-30
Specc1l,Nfat5,1.0075197317639861e-29
Zfp553,Cpsf2,1.640188906313902e-29
BC002059,Zfp143,2.1819507180805684e-29
Wbp7,Phf1,2.531686572170017e-29
Dlc1,Tead1,1.4355669696215743e-28
Meis1,Tead2,3.1794683163750477e-28
Flrt2,Hoxa1,3.5785386576918233e-28
Mbd3,Tmem11,5.06375858575129e-28
Them5,Grhl1,1.1538587192047187e-27
Clip4,Mxd4,1.1713695916956784e-27
Tead1,Dag1,2.574296721198882e-27
Rbl2,Tbca,7.853419206001033e-27
E2f1,Rhpn1,8.113730905833848e-27
Hoxa3,Mecom,1.3497749084273335e-26
2610021A01Rik,Zfp1,3.114710402345722e-26
2610203C20Rik,Snai2,3.249087637393764e-26
Nolc1,Ncbp1,4.0885155982778433e-26
Fubp1,Zcchc7,6.30096791823435e-26
Snapc3,Ralgapa1,9.085228012939778e-26
Elp3,Gtf2b,2.273408708739265e-25
Tbp,Fastkd2,2.9785298316942024e-25
App,Snx7,1.3374044132763949e-24
Ankrd1,Tmem38a,1.3390534059131943e-24
Atp5g1,Ptges2,3.337384931991123e-24
Zfp28,Cep290,3.470326139402311e-24
Fancd2,Cdkn2a,4.324574852688911e-24
Ash2l,Rnf2,6.257362633619218e-24
Arhgap5,Tead4,7.51115997388392e-24
Atp6ap2,Taf12,8.637181682142182e-24
0610009B22Rik,Mta2,9.281673635288896e-24
Gfi1,D8Ertd82e,1.1275212159134277e-23
Wdr3,Bdp1,1.1988877984211244e-23
Fbxo32,Smad1,1.7997688696868416e-23
Dvl2,Atf6b,2.4234807477008117e-23
Chd8,Fancl,2.722575680945952e-23
Atrx,Mga,2.9349718571689963e-23
Orc3,Xrcc5,3.9237614853702584e-23
Chd4,Bptf,3.9454838371327146e-23
Dnajc18,Nfe2l2,3.9663663976329006e-23
Scaf1,Ncor2,5.158738887978608e-23
Zfp329,Wdr11,7.076285762842212e-23
Zfhx3,Bnip3l,1.1110557659976826e-22
Zfp182,Zfp53,2.0133218608280032e-22
Clip4,Tbx1,2.352424182761836e-22
Hnrnpab,Isg20l2,3.0773488690311853e-22
E130012A19Rik,Zfp64,3.733113186092369e-22
Zbtb7a,C130039O16Rik,3.8604154385807873e-22
Cdc42bpb,Wbp7,4.1364217396597564e-22
A630052C17Rik,Hey2,5.696269257640921e-22
Mns1,Rfx3,3.470843835486004e-21
Cmpk1,Foxs1,3.483134999588222e-21
Wdr96,Lef1,4.510587614706156e-21
E2f1,Gsto1,4.894543312553989e-21
Banf1,Taf12,5.523693025678291e-21
Zfp292,Shprh,6.224130975338502e-21
Bod1l,Mga,1.0015701896199847e-20
Ruvbl2,Cpsf3l,1.9513082724822767e-20
Sall2,Ift122,2.313220284040104e-20
Ctcf,Rsf1,3.211510505377795e-20
Hmg20b,Scaf1,3.564177211032661e-20
Nfat5,Heatr5a,4.881008668653472e-20
Hoxb9,Creb3l2,6.00249360612267e-20
Bbx,Gabrb3,7.28678473724668e-20
Hoxa1,Plod2,1.0299237692954471e-19
Atad3a,Pus1,1.479410786458777e-19
Blm,Cdc6,1.599039568596839e-19
Gtf2e2,Odf2,2.105353296659868e-19
Igsf1,Rreb1,2.1911080142650493e-19
Mysm1,Zfp53,2.596963285672359e-19
Fancd2,Top2a,3.7710415726540953e-19
Tet1,Cbfa2t2,4.292337366217378e-19
Dffb,Hltf,9.110963728764532e-19
Vsig10,Gfi1,1.0671197157473768e-18
Ptpn18,Stat4,1.0985491206804518e-18
Blm,Nasp,1.1110310942063914e-18
Snai2,Mmp23,1.2328778028879126e-18
Zfp36,Ttc7,1.4899714564938203e-18
Gata4,Gpt,1.5590528316822442e-18
E2f1,Cabp1,1.6101493220385963e-18
St3gal3,Creb3l2,3.0587056514487796e-18
Srrm1,Gmeb1,3.714542806156157e-18
Tfip11,2900092E17Rik,4.777975645609569e-18
Haus6,Mybl1,5.087773449048937e-18
Chd8,Rpap1,7.427777652366197e-18
Pik3r2,Wbp7,7.998084324074296e-18
Ccnt1,Ufsp2,8.963928468247197e-18
Copa,Nfat5,1.3407759781386288e-17
Tead1,Gpc1,1.3939202306024493e-17
Zfp408,Zfp384,1.4974289515000178e-17
Chd8,Aldoc,1.587055966424515e-17
Slc44a4,Tfcp2l1,1.6668066364166472e-17
Fmn1,Lass6,2.3063623898746395e-17
Dedd2,Lix1l,3.100793279516132e-17
Tead1,Smtn,3.117182907724644e-17
Gtf2b,Stra13,3.454852786666039e-17
Myo5a,Hey2,4.43573028731386e-17
Mier3,Mob4,5.99703023610239e-17
Tead1,Flnc,6.191161453533374e-17
Mef2d,Bin1,7.805912895871195e-17
Tead1,Rassf5,8.364108503774685e-17
Mybl2,Sae1,9.660660651876197e-17
Smarca5,Tardbp,1.0118281296133382e-16
Capzb,Taf12,1.4790477110133556e-16
Blm,Nup43,1.561324999155043e-16
Rrp1b,Set,2.0782666212058263e-16
Wdr43,Hnrnpab,2.7445256515681794e-16
Brca1,Fam72a,3.6706923928506735e-16
