Source,Target
Atf1,Osbpl8
Atf1,Prkar1A
Atf1,Rbm7
Atf1,Rnf11
Atf1,Rprd1A
Atf1,Rras2
Atf1,Slc35F5
Atf1,Tmem30A
Atf1,Twf1
Atf1,Ythdf3
Atf1,Znf143
Atf1,Elk1
Atf1,Rbbp5
Atf1,Thap1
Atf1,Yy1
Aftph,Creb3
Aftph,Elk4
Aftph,Nrf1
Aftph,Rb1
Aftph,Rbbp5
Aftph,Taf7
Aftph,Tfdp1
Aftph,Thap1
Aftph,Yy1
Aftph,Znf143
C1D,Rbbp5
C1D,Yy1
Cd2Ap,Creb3
Cd2Ap,Elk1
Cd2Ap,Gmeb2
Cd2Ap,Rbbp5
Cd2Ap,Rcor1
Cd2Ap,Yy1
Fam91A1,Elk1
Fam91A1,Elk4
Fam91A1,Ep300
Fam91A1,Etv3
Fam91A1,Rbbp5
Fam91A1,Thap1
Fam91A1,Yy1
Lysmd3,Atf4
Lysmd3,Cebpg
Lysmd3,Creb3
Lysmd3,Creb3L2
Lysmd3,Elk4
Lysmd3,Rbbp5
Lysmd3,Sp1
Lysmd3,Taf7
Lysmd3,Tfdp1
Lysmd3,Thap1
Lysmd3,Yy1
Lysmd3,Znf143
Osbpl8,Elk4
Osbpl8,Gabpa
Osbpl8,Rb1
Osbpl8,Rbbp5
Osbpl8,Taf7
Osbpl8,Tfdp1
Osbpl8,Thap1
Osbpl8,Yy1
Osbpl8,Znf143
Prkar1A,Creb3
Prkar1A,Elk4
Prkar1A,Etv3
Prkar1A,Gtf2F1
Prkar1A,Kdm5A
Prkar1A,Rbbp5
Prkar1A,Thap1
Prkar1A,Yy1
Prkar1A,Znf143
Rbm7,Elk4
Rbm7,Smad5
Rbm7,Taf7
Rbm7,Thap1
Rprd1A,Creb3
Rprd1A,Elk4
Rprd1A,Kdm5A
Rprd1A,Rbbp5
Rprd1A,Taf7
Rprd1A,Thap1
Rprd1A,Yy1
Rprd1A,Znf143
Rras2,Crem
Rras2,Ubtf
Rras2,Yy1
Rras2,Znf143
Slc35F5,Ep300
Slc35F5,Thap1
Slc35F5,Yy1
Tmem30A,Elk4
Tmem30A,Ep300
Tmem30A,Gabpa
Tmem30A,Rb1
Tmem30A,Rbbp5
Tmem30A,Sp1
Tmem30A,Tfdp1
Tmem30A,Thap1
Tmem30A,Yy1
Tmem30A,Znf143
Twf1,Elk4
Twf1,Rbbp5
Twf1,Xbp1
Ythdf3,Elk4
Ythdf3,Ep300
Ythdf3,Etv3
Ythdf3,Kdm5A
Ythdf3,Rb1
Ythdf3,Rbbp5
Ythdf3,Taf7
Ythdf3,Tfdp1
Ythdf3,Thap1
Ythdf3,Yy1
Ythdf3,Znf143
Znf143,Atf4
Znf143,Creb3L2
Znf143,Elk4
Znf143,Gtf2F1
Znf143,Kdm5A
Znf143,Rb1
Znf143,Rbbp5
Znf143,Sp1
Znf143,Taf7
Znf143,Tbp
Znf143,Tfdp1
Znf143,Thap1
Znf143,Adnp
Znf143,Arl6
Znf143,Bod1
Znf143,C12Orf43
Znf143,Ccp110
Znf143,Cops2
Znf143,Csnk1A1
Znf143,Desi2
Znf143,Edem3
Znf143,Fignl1
Znf143,Fnbp1L
Znf143,Fntb
Znf143,Htra2
Znf143,Hunk
Znf143,Ints9
Znf143,Linc01565
Znf143,Mis12
Znf143,Mrpl50
Znf143,Nfxl1
Znf143,Prcc
Znf143,Sema3F
Znf143,Snapc3
Znf143,Srsf1
Znf143,Tfpt
Znf143,Tmem138
Znf143,Trappc3
Znf143,Ubfd1
Znf143,Ubqln4
Znf143,Xrra1
Znf143,Znf146
Znf143,Znf354A
Znf143,Znf436
Znf143,Znf473
Znf143,Znf583
Znf143,Zscan20
Znf143,Cnih4
Znf143,Cwc22
Znf143,Dnal1
Znf143,Golga2
Znf143,Lsm14A
Znf143,Plekha1
Znf143,Arhgap39
Znf143,Bbip1
Znf143,Casc11
Znf143,Eif1B
Znf143,Epc2
Znf143,Klf7
Znf143,Klhl9
Znf143,Nrav
Znf143,Papola
Znf143,Prdm10
Znf143,Prmt1
Znf143,Rcc1
Znf143,Rpia
Znf143,Sec61A1
Znf143,Slc43A3
Znf143,Stip1
Znf143,Vezf1
Znf143,Zfand1
Znf143,Znf526
Znf143,Aen
Znf143,Golga3
Znf143,Larp1B
Znf143,Map3K9
Znf143,Pitpnc1
Znf143,Spop
Znf143,Fkbp4
Znf143,Thoc6
Znf143,Lcorl
Znf143,Nlk
Znf143,Wrnip1
Znf143,Abcf2
Znf143,Ablim2
Znf143,Ado
Znf143,Ahctf1
Znf143,Amd1
Znf143,Apba3
Znf143,Atl3
Znf143,Aup1
Znf143,Bet1
Znf143,Brd8
Znf143,Bub3
Znf143,C12Orf29
Znf143,C1Orf109
Znf143,Cant1
Znf143,Capn15
Znf143,Cbll1
Znf143,Cct8
Znf143,Cdc26
Znf143,Cdk8
Znf143,Cend1
Znf143,Cep97
Znf143,Cfdp1
Znf143,Cldn12
Znf143,Cldnd1
Znf143,Cnot4
Znf143,Cnpy2
Znf143,Csnk2A1
Znf143,Csrnp2
Znf143,Cystm1
Znf143,Dazap1
Znf143,Ddit3
Znf143,Ddx49
Znf143,Dguok
Znf143,Dnajb2
Znf143,Dnajc10
Znf143,Dqx1
Znf143,Dtx2
Znf143,Eif3H
Znf143,Eif5B
Znf143,Emsy
Znf143,Ero1B
Znf143,Exosc1
Znf143,Fam107B
Znf143,Fam53C
Znf143,Fancb
Znf143,Fancg
Znf143,Fbf1
Znf143,Fbxl19
Znf143,Fbxl19-As1
Znf143,Fbxw11
Znf143,Fem1A
Znf143,Ggps1
Znf143,Gmppa
Znf143,Grwd1
Znf143,Gsk3A
Znf143,Haus6
Znf143,Hmbox1
Znf143,Hscb
Znf143,Hsp90B1
Znf143,Hspa13
Znf143,Hsph1
Znf143,Insig2
Znf143,Invs
Znf143,Ipo7
Znf143,Isg20L2
Znf143,Itpr1
Znf143,Lmnb2
Znf143,Lypd5
Znf143,Lysmd1
Znf143,Lysmd2
Znf143,Mad2L1Bp
Znf143,Maf1
Znf143,Mus81
Znf143,Nde1
Znf143,Nlgn3
Znf143,Nos3
Znf143,Nprl2
Znf143,Orc4
Znf143,Pcm1
Znf143,Phf21A
Znf143,Phf23
Znf143,Polr3E
Znf143,Ppp2R5B
Znf143,Ppp4R3B
Znf143,Prpf31
Znf143,Ptdss2
Znf143,Ptpn23
Znf143,Pum1
Znf143,R3Hcc1L
Znf143,Rab29
Znf143,Rab30
Znf143,Rabggtb
Znf143,Rassf8
Znf143,Rdh10
Znf143,Rexo2
Znf143,Rnf10
Znf143,Rpl7
Znf143,Rps26
Znf143,Rufy3
Znf143,Sap30
Znf143,Sav1
Znf143,Scaf1
Znf143,Scaf11
Znf143,Sel1L
Znf143,Serbp1
Znf143,Sertad3
Znf143,Setmar
Znf143,Slc25A19
Znf143,Slc37A3
Znf143,Smim13
Znf143,Snx16
Znf143,Snx27
Znf143,Son
Znf143,Stau1
Znf143,Stk38
Znf143,Strn3
Znf143,Syt3
Znf143,Timm21
Znf143,Tmem186
Znf143,Tmem214
Znf143,Tmem43
Znf143,Tmem70
Znf143,Trafd1
Znf143,Tusc2
Znf143,Txlna
Znf143,Txndc9
Znf143,Usp16
Znf143,Vezt
Znf143,Vps50
Znf143,Wrap73
Znf143,Xpot
Znf143,Ywhag
Znf143,Zbtb7A
Znf143,Zfr
Znf143,Znf140
Znf143,Znf230
Znf143,Znf24
Znf143,Znf37A
Znf143,Znf574
Znf143,Abhd17C
Znf143,Acin1
Znf143,Adam10
Znf143,Adam17
Znf143,Adarb1
Znf143,Akt1S1
Znf143,Alg6
Znf143,Ap1S2
Znf143,Ap3S1
Znf143,Apba1
Znf143,Apbb1Ip
Znf143,Appl2
Znf143,Arcn1
Znf143,Arfip1
Znf143,Arfip2
Znf143,Arhgap5
Znf143,Armcx6
Znf143,Arpc4
Znf143,Arpc5L
Znf143,Ash1L
Znf143,Asnsd1
Znf143,Atf5
Znf143,Atg12
Znf143,Atg5
Znf143,Atp10D
Znf143,Atp13A1
Znf143,Atp6V1D
Znf143,Atp8B2
Znf143,Atr
Znf143,Banf1
Znf143,Bcl2L1
Znf143,Bdp1
Znf143,Bend3
Znf143,Blzf1
Znf143,Bms1
Znf143,Bod1L1
Znf143,Bpgm
Znf143,C18Orf25
Znf143,C2Orf49
Znf143,Camsap2
Znf143,Capza1
Znf143,Cask
Znf143,Cav2
Znf143,Cbx1
Znf143,Ccdc137
Znf143,Ccdc93
Znf143,Ccni
Znf143,Cct2
Znf143,Ccz1B
Znf143,Cd2Bp2
Znf143,Cdc42Ep2
Znf143,Cdkn2Aip
Znf143,Cdv3
Znf143,Cep112
Znf143,Cep350
Znf143,Cfap36
Znf143,Cggbp1
Znf143,Chmp5
Znf143,Ciz1
Znf143,Clock
Znf143,Cog3
Znf143,Col13A1
Znf143,Copb1
Znf143,Cops5
Znf143,Cpne1
Znf143,Cpsf2
Znf143,Crk
Znf143,Csnk1D
Znf143,Csnk1G1
Znf143,Csrp2
Znf143,Ctcf
Znf143,Cttnbp2Nl
Znf143,Cul4B
Znf143,Cycs
Znf143,Cyp1B1
Znf143,Daxx
Znf143,Dcaf12
Znf143,Ddx50
Znf143,Dedd2
Znf143,Derl3
Znf143,Dhx30
Znf143,Dhx34
Znf143,Dhx40
Znf143,Dlx6
Znf143,Dnaja1
Znf143,Dnajb6
Znf143,Dnajb9
Znf143,Dnajc7
Znf143,Dpy19L3
Znf143,Dtnbp1
Znf143,Dusp7
Znf143,Dynlrb2
Znf143,Dyrk1A
Znf143,E2F4
Znf143,Eif1Ad
Znf143,Eif2A
Znf143,Eif2B5
Znf143,Eif2S2
Znf143,Eif2S3
Znf143,Eif3M
Znf143,Eif4A2
Znf143,Eif4Enif1
Znf143,Eif4G3
Znf143,Elmod1
Znf143,Elof1
Znf143,Ercc6
Znf143,Ercc6L2
Znf143,Erlec1
Znf143,Esco1
Znf143,Exoc2
Znf143,Ext1
Znf143,Faf2
Znf143,Fam120B
Znf143,Fam219A
Znf143,Fam223B
Znf143,Fam3C
Znf143,Fam89A
Znf143,Farp1
Znf143,Fastkd5
Znf143,Fbrs
Znf143,Fhl3
Znf143,Fkbp2
Znf143,Foxcut
Znf143,G3Bp1
Znf143,Gad1
Znf143,Gapvd1
Znf143,Gar1
Znf143,Gas2L3
Znf143,Gcc1
Znf143,Gdap2
Znf143,Gemin8
Znf143,Gga2
Znf143,Gid4
Znf143,Gigyf2
Znf143,Git1
Znf143,Gltp
Znf143,Gnai3
Znf143,Gpatch2L
Znf143,Gpr108
Znf143,Gpr155
Znf143,Gpr4
Znf143,Gsx2
Znf143,Gtf2A2
Znf143,Gtf2H1
Znf143,Gzf1
Znf143,Hdlbp
Znf143,Hmga1
Znf143,Hnrnpc
Znf143,Hnrnpf
Znf143,Hnrnpu
Znf143,Hsp90Ab1
Znf143,Hspc324
Znf143,Hspd1
Znf143,Hspe1
Znf143,Ikbkg
Znf143,Il4I1
Znf143,Imp4
Znf143,Ing3
Znf143,Ino80B
Znf143,Irf2
Znf143,Itsn2
Znf143,Kcnmb3
Znf143,Kctd5
Znf143,Kif5B
Znf143,Klhl18
Znf143,Klhl28
Znf143,Krba1
Znf143,Lamtor3
Znf143,Linc01140
Znf143,Lrp8
Znf143,Lrtm2
Znf143,Lsm12
Znf143,Luzp1
Znf143,Lyrm1
Znf143,Magef1
Znf143,Magoh
Znf143,Map3K7
Znf143,Mark3
Znf143,Mbd1
Znf143,Mdfi
Znf143,Mecom
Znf143,Mettl3
Znf143,Mettl5
Znf143,Mfn1
Znf143,Mfsd10
Znf143,Mgat1
Znf143,Mia3
Znf143,Mid2
Znf143,Mob4
Znf143,Morc2
Znf143,Morf4L2
Znf143,Mrpl48
Znf143,Mrpl52
Znf143,Mrps21
Znf143,Msx1
Znf143,Mta2
Znf143,Mterf1
Znf143,Mtf1
Znf143,Mtg2
Znf143,Mtif3
Znf143,Mtmr9
Znf143,Myo19
Znf143,Ncoa1
Znf143,Ncoa5
Znf143,Ncoa6
Znf143,Necap1
Znf143,Neil2
Znf143,Nelfe
Znf143,Neto2
Znf143,Nf1
Znf143,Nfya
Znf143,Ngdn
Znf143,Nip7
Znf143,Nipbl
Znf143,Nkiras2
Znf143,Nlgn2
Znf143,Nosip
Znf143,Npas2
Znf143,Nr1H4
Znf143,Nr3C2
Znf143,Nrf1
Znf143,Nrp1
Znf143,Nufip2
Znf143,Nup62
Znf143,Nxt2
Znf143,Otud4
Znf143,Paip2
Znf143,Patl1
Znf143,Pcid2
Znf143,Pcnp
Znf143,Pdcd6
Znf143,Pelo
Znf143,Pex2
Znf143,Pgs1
Znf143,Phox2A
Znf143,Pias3
Znf143,Pja2
Znf143,Pmfbp1
Znf143,Polr3D
Znf143,Ppm1J
Znf143,Ppp2R5E
Znf143,Ppp6R1
Znf143,Prdm2
Znf143,Prkcd
Znf143,Prpf38A
Znf143,Prpf38B
Znf143,Prpf4B
Znf143,Prrc2C
Znf143,Psmg3
Znf143,Ptbp3
Znf143,Pthlh
Znf143,Ptpn12
Znf143,Ptrh2
Znf143,Pura
Znf143,Pxn
Znf143,Qki
Znf143,Qrich1
Znf143,Rab38
Znf143,Rabep2
Znf143,Rala
Znf143,Rbm12
Znf143,Rbm14
Znf143,Rbm22
Znf143,Rchy1
Znf143,Rcor1
Znf143,Rer1
Znf143,Rfc4
Znf143,Rmdn3
Znf143,Rnaseh2B
Znf143,Rnf145
Znf143,Rnf185
Znf143,Rnf2
Znf143,Rnf214
Znf143,Rock2
Znf143,Rpl10
Znf143,Rpl13A
Znf143,Rpl23
Znf143,Rpl38
Znf143,Rps18
Znf143,Rps19Bp1
Znf143,Rps6
Znf143,Rsl24D1
Znf143,Sacs
Znf143,Samd8
Znf143,Saraf
Znf143,Sart1
Znf143,Sec22B
Znf143,Sec24A
Znf143,Sec31A
Znf143,Senp1
Znf143,Setd2
Znf143,Shq1
Znf143,Sirt6
Znf143,Slain1
Znf143,Slain2
Znf143,Slc38A1
Znf143,Slc41A1
Znf143,Smad3
Znf143,Smg7
Znf143,Smim20
Znf143,Smndc1
Znf143,Snrpa1
Znf143,Snrpb2
Znf143,Snrpd1
Znf143,Snu13
Znf143,Socs5
Znf143,Socs7
Znf143,Sox4
Znf143,Sp2
Znf143,Sp6
Znf143,Spats2
Znf143,Specc1L
Znf143,Srpk2
Znf143,Sstr2
Znf143,Stk4
Znf143,Stx1A
Znf143,Stxbp5
Znf143,Sugt1
Znf143,Sumo1
Znf143,Supt16H
Znf143,Sys1
Znf143,Taf1
Znf143,Taf13
Znf143,Taf1A
Znf143,Tank
Znf143,Taok2
Znf143,Tbl1Xr1
Znf143,Tbl2
Znf143,Tbpl1
Znf143,Tbx3
Znf143,Tcf3
Znf143,Tdp2
Znf143,Tfcp2
Znf143,Thap10
Znf143,Thap2
Znf143,Thap5
Znf143,Thap6
Znf143,Timm10B
Znf143,Timmdc1
Znf143,Tm9Sf4
Znf143,Tmem167A
Znf143,Tmem263
Znf143,Tmem41B
Znf143,Tmf1
Znf143,Tnfaip8
Znf143,Tnik
Znf143,Tnk1
Znf143,Tox4
Znf143,Tp53Bp1
Znf143,Tprkb
Znf143,Trappc4
Znf143,Trim11
Znf143,Trim27
Znf143,Trim44
Znf143,Trim47
Znf143,Trim8
Znf143,Trmt112
Znf143,Trnt1
Znf143,Tsacc
Znf143,Ttf1
Znf143,Tti1
Znf143,Tvp23B
Znf143,Tvp23C
Znf143,Txlng
Znf143,Txnl1
Znf143,U2Af2
Znf143,Uba5
Znf143,Ube2E1
Znf143,Ube2J2
Znf143,Upf2
Znf143,Use1
Znf143,Usp7
Znf143,Utp14A
Znf143,Utp6
Znf143,Vldlr
Znf143,Vma21
Znf143,Vps16
Znf143,Vps54
Znf143,Vta1
Znf143,Wapl
Znf143,Wdr45
Znf143,Wdr83Os
Znf143,Wipf2
Znf143,Wtap
Znf143,Wwtr1
Znf143,Ykt6
Znf143,Yme1L1
Znf143,Ythdf1
Znf143,Ywhaz
Znf143,Zbed4
Znf143,Zbtb11
Znf143,Zbtb2
Znf143,Zbtb24
Znf143,Zcchc4
Znf143,Zcchc7
Znf143,Zcchc9
Znf143,Zdhhc5
Znf143,Zeb1
Znf143,Zfat
Znf143,Zfc3H1
Znf143,Zfp82
Znf143,Zfpl1
Znf143,Zkscan5
Znf143,Znf184
Znf143,Znf202
Znf143,Znf286A
Znf143,Znf322
Znf143,Znf384
Znf143,Znf503
Znf143,Znf562
Znf143,Znf81
Znf143,Zscan12
Znf143,Zscan16
Znf143,Pih1D1
Znf143,Ptges3
Znf143,Rbm4
Znf143,Swi5
Znf143,Taf12
Znf143,Abcc5
Znf143,Acly
Znf143,Adat3
Znf143,Atp13A2
Znf143,Ccdc22
Znf143,Chchd4
Znf143,Chtop
Znf143,Cnpy4
Znf143,Crnkl1
Znf143,Dnajb5
Znf143,Erp44
Znf143,Exoc6B
Znf143,Fbxo34
Znf143,Gabpa
Znf143,Josd2
Znf143,Letm2
Znf143,Lrwd1
Znf143,Map7D1
Znf143,Max
Znf143,Mpp3
Znf143,Pgm2L1
Znf143,Pomt2
Znf143,Ppp1R14B
Znf143,Praf2
Znf143,Rab8B
Znf143,Rffl
Znf143,Rfx1
Znf143,Rnaseh2C
Znf143,Rpgrip1L
Znf143,Sap130
Znf143,Scamp4
Znf143,Shmt2
Znf143,Snhg12
Znf143,Snw1
Znf143,Thap11
Znf143,Tmem11
Znf143,Tmod3
Znf143,Top3A
Znf143,Tram1
Znf143,Trmt10A
Znf143,Ube2D1
Znf143,Usp39
Znf143,Zfas1
Znf143,Znf200
Znf143,Znf232
Znf143,Znf274
Znf143,Znf697
Znf143,Znf8
Znf143,Ak1
Znf143,Fastk
Znf143,Khsrp
Znf143,Pth2
Znf143,Rsrc2
Znf143,Tbc1D31
Znf143,Ube3A
Znf143,Ubtd1
Znf143,Aatf
Znf143,Acbd3
Znf143,Adamts3
Znf143,Ago2
Znf143,Ammecr1
Znf143,Anapc7
Znf143,Ap4B1
Znf143,App
Znf143,Aptx
Znf143,Arhgap26
Znf143,Arl1
Znf143,Armc8
Znf143,Arsj
Znf143,Atad2B
Znf143,Atxn2L
Znf143,Bcl7B
Znf143,Bet1L
Znf143,Bicd1
Znf143,Bloc1S2
Znf143,Brap
Znf143,Brd2
Znf143,Brms1
Znf143,Brpf1
Znf143,Btf3
Znf143,C10Orf88
Znf143,C12Orf4
Znf143,C14Orf119
Znf143,C14Orf28
Znf143,C6Orf52
Znf143,C9Orf40
Znf143,Cbx3
Znf143,Ccar1
Znf143,Ccdc13
Znf143,Ccdc97
Znf143,Cdc42Se1
Znf143,Cdk2Ap2
Znf143,Cdk4
Znf143,Cdk5R1
Znf143,Cdk7
Znf143,Cep135
Znf143,Chd9
Znf143,Chmp7
Znf143,Cisd2
Znf143,Cnep1R1
Znf143,Cnot8
Znf143,Commd2
Znf143,Commd8
Znf143,Cpsf6
Znf143,Crtac1
Znf143,Csgalnact2
Znf143,Ctdnep1
Znf143,Cul2
Znf143,Cwc15
Znf143,Cwc25
Znf143,Cwc27
Znf143,Cyth2
Znf143,Daglb
Znf143,Dcp1A
Znf143,Dcp2
Znf143,Dctn5
Znf143,Dctpp1
Znf143,Ddx55
Znf143,Degs1
Znf143,Dgkz
Znf143,Dhx37
Znf143,Dkc1
Znf143,Dnaaf5
Znf143,Dnajc6
Znf143,Dock7
Znf143,Dph3
Znf143,Dr1
Znf143,Dscc1
Znf143,Dusp23
Znf143,Dvl3
Znf143,Dynlt1
Znf143,Dysf
Znf143,E2F5
Znf143,E2F6
Znf143,Edc4
Znf143,Efna4
Znf143,Eif1
Znf143,Eif2Ak3
Znf143,Eif2B4
Znf143,Eif5A2
Znf143,Elavl1
Znf143,Ep400
Znf143,Etnk1
Znf143,Eva1A
Znf143,Evc2
Znf143,Exosc3
Znf143,Fam104A
Znf143,Fam104B
Znf143,Fam172A
Znf143,Fam199X
Znf143,Fam204A
Znf143,Farsa
Znf143,Fbxo28
Znf143,Fcho1
Znf143,Flvcr1
Znf143,Fubp1
Znf143,Gadd45Gip1
Znf143,Galnt10
Znf143,Gan
Znf143,Gata2-As1
Znf143,Gcc2
Znf143,Gfap
Znf143,Gle1
Znf143,Gmeb1
Znf143,Golga4
Znf143,Gosr2
Znf143,Gpatch2
Znf143,Gps2
Znf143,Gria3
Znf143,Gripap1
Znf143,Grpel2
Znf143,Gtf2F2
Znf143,Gtf3C3
Znf143,Heatr6
Znf143,Hinfp
Znf143,Hnrnpa3
Znf143,Hsp90Aa1
Znf143,Hspa5
Znf143,Ice1
Znf143,Ift52
Znf143,Ift80
Znf143,Il1R1
Znf143,Il7
Znf143,Impdh2
Znf143,Inafm2
Znf143,Inpp4A
Znf143,Ints4
Znf143,Ints5
Znf143,Ints6
Znf143,Ip6K1
Znf143,Irgq
Znf143,Isy1
Znf143,Itgb1Bp1
Znf143,Ivns1Abp
Znf143,Kcmf1
Znf143,Kctd2
Znf143,Kdm1B
Znf143,Klc1
Znf143,Leng1
Znf143,Leprotl1
Znf143,Lig3
Znf143,Limch1
Znf143,Lin52
Znf143,Linc01214
Znf143,Llph
Znf143,Lpgat1
Znf143,Lrif1
Znf143,Ltn1
Znf143,Lztfl1
Znf143,Man1A2
Znf143,Manf
Znf143,Map2K2
Znf143,Map4K4
Znf143,Mapk6
Znf143,Mat2A
Znf143,Mcm8
