0,1,2,3,4,5,6,7,8,9
2.9826195,2.9142761,2.8727396,2.9305499,3.1301835,3.1532593,3.247239,3.0859637,2.9950745,2.9209433
1.8902698,1.6029265,0.9129386,1.4416298,1.429787,0.74809945,1.3519179,1.0641478,2.0019665,2.197134
2.7577481,2.7280378,2.8009667,2.8258271,2.683482,2.8603458,2.9067547,2.690891,2.3664265,2.4298377
1.6708195,1.5801579,2.0158272,1.9913306,2.1974726,1.6352812,1.917477,1.8093747,2.0818496,2.0819595
1.1399571,1.50079,1.6724544,1.2869238,1.1736392,0.9501826,1.3713152,1.4466332,1.3516605,1.3477243
1.4540588,2.0449796,2.01749,1.9430591,1.5937072,1.9578007,1.9267657,1.9798639,1.6517509,1.4916024
2.8958764,2.8963811,2.0317998,2.671341,3.2074344,2.839925,3.3718042,3.1660793,3.0240695,2.9107676
2.655996,3.3601925,3.6530225,3.3371665,3.895109,3.7800484,3.661812,3.6112714,3.182016,2.4317853
3.9708211,3.6173894,5.09731,4.4752398,4.0450835,4.3006105,4.328188,4.291035,3.886638,3.8013813
3.8377602,3.6948974,3.32319,3.4443524,3.7378743,4.12504,4.227991,4.2987576,4.0365877,3.5899565
1.620139,1.3842295,1.619305,2.2632875,1.9786638,2.1617594,2.21776,2.1155987,2.0057373,1.9035668
1.0416573,1.0031472,1.1388999,1.2173458,1.2386776,0.90002203,1.2646631,1.2510386,1.1620144,1.1038846
2.0456991,2.7264323,2.759515,2.4361744,2.501376,2.3428411,2.5413737,2.6724288,2.3590434,2.6459856
2.0402093,2.250742,2.8189948,2.1682854,2.4879076,2.475028,2.5327313,2.542529,2.4612234,2.4707737
1.5877422,1.7618036,2.082457,2.262105,2.230349,2.1907737,2.2123852,2.3631942,2.0656471,1.9541109
1.8696046,1.7262093,1.7279863,2.007672,2.004022,1.9777169,1.995386,2.0343971,1.9111186,1.9665058
2.8106215,2.7396226,2.9569626,3.1532912,3.0290346,3.1689234,3.2598367,3.2970223,2.9511125,3.0055592
1.8564879,1.7809489,1.9044911,2.1597283,1.9727862,1.9436352,2.3746388,2.2198381,2.123386,2.0615675
0.38552797,3.398364,1.6240387,1.2467262,0.8717942,2.2436981,1.1313144,1.8483527,0.6614759,0.44514716
5.5148187,5.4143224,5.590459,5.4386225,5.545817,5.2599254,5.6342216,6.039803,5.478749,5.6004558
6.9087806,6.347548,6.105763,6.810939,7.514897,6.675533,7.0271564,7.05834,6.9548254,6.6768527
2.8986409,2.9439132,2.3657494,2.940954,3.2518218,2.8167255,3.5177429,3.425487,3.2270432,3.1610215
2.9054503,2.171644,2.2835536,2.5017822,2.3900719,2.423276,2.2645752,2.2312953,2.429063,2.332824
2.7851658,2.9954386,2.2120728,3.4987428,2.7236907,2.3703883,2.4640172,1.3553786,2.1629202,2.0196888
