GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Prkaa2,-0.030536085,0.015375415,-0.04439029,0.027698714,-0.030536085,0.015375366,-0.04439026,0.027698806,-0.030536056,0.015375337,-0.030536085,0.015375352,-0.030536056,0.015375317
Prkab2,-0.0424529,0.07245747,-0.0424529,0.072457515,-0.04245287,0.0724575,-0.0424529,0.072457485,-0.04245287,0.072457515,-0.0424529,0.07245751,-0.0424529,0.07245747
Prkaca,5.5640936e-05,0.09194449,5.5640936e-05,0.09194449,5.5640936e-05,0.09194449,5.5640936e-05,0.09194449,5.5640936e-05,0.09194455,5.5640936e-05,0.091944456,5.5640936e-05,0.091944456
Prkag2,0.037418306,-0.11264879,0.05766034,0.10880842,0.05766037,0.10880839,0.05766037,0.1088084,0.05766034,0.10880835,0.05766034,0.108808346,0.05766034,0.10880838
Prkar1b,0.17669147,0.08453884,0.17215544,0.056743134,0.17215541,0.056743246,0.17215544,0.056743186,0.17215541,0.056743145,0.17215541,0.056743175,0.16291139,-0.007589084
Prkar2a,0.016776413,0.09486472,0.016776443,0.09486472,0.016776413,0.09486476,0.016776413,0.09486473,0.016776413,0.09486476,0.016776413,0.09486469,0.016776413,0.09486472
Prkca,-0.04786271,0.009231169,-7.18534e-05,0.09005468,-7.18534e-05,0.09005468,-7.18534e-05,0.09005468,-7.18534e-05,0.09005465,-7.18534e-05,0.09005473,-7.18534e-05,0.09005477
Prkcb,0.06974456,-0.22875093,0.18485355,-0.05352749,0.19210395,-0.007384495,0.19935438,0.03875847,0.19935429,0.038758475,0.19903916,0.036752522,0.20987311,0.1226511
Prkcd,0.1656628,0.15870593,0.16566274,0.15870595,0.15761238,0.016768735,0.15761235,0.016768683,0.15761238,0.016768731,0.15761238,0.016768686,0.16566274,0.15870586
Prkcdbp,-0.21350679,-0.5968434,-0.010419756,-0.23804909,-0.010419756,-0.23804909,0.01902929,0.09773569,0.01902929,0.09773571,0.01902929,0.09773571,0.01902929,0.09773571
Prkce,-0.06139256,0.061561946,-0.061392576,0.061561983,-0.06139256,0.061561923,-0.061689883,0.052169416,-0.0616899,0.05216942,-0.061689883,0.052169416,-0.061392576,0.06156198
Prkcg,0.08255437,0.08915661,0.08255437,0.0891566,0.08255437,0.08915665,0.08255431,0.08915658,0.08255434,0.08915657,0.08255437,0.08915662,0.08255437,0.089156635
Prkch,0.22092524,0.18660194,0.22092527,0.18660195,0.22092527,0.18660195,0.22092527,0.18660198,0.22092524,0.186602,0.22092524,0.18660195,0.22092527,0.18660195
Prkcsh,0.066670656,-0.029937051,0.066670656,-0.029937029,0.07654074,0.107420765,0.07654077,0.107420735,0.07654074,0.107420705,0.07654074,0.10742072,0.07654074,0.107420735
Prkcz,0.055076152,-0.034484137,0.02984029,-0.108200245,0.056217015,0.001556013,0.02984032,-0.10820018,0.04535255,-0.12181456,0.04535255,-0.12181451,0.039224744,-0.116436504
Prkd1,0.17041767,0.04074333,0.22031012,0.03141467,0.2357699,0.12980433,0.23837337,0.15226418,0.23837337,0.1522642,0.23973545,0.19529544,0.23973551,0.19529536
Prkd2,0.35047904,0.2233027,0.35123375,0.24714574,0.3512337,0.2471457,0.35123375,0.24714571,0.35123375,0.24714576,0.3512338,0.2471458,0.35123375,0.24714574
Prkd3,0.09241906,0.11407516,0.09241906,0.11407516,0.09241906,0.11407516,0.09241906,0.11407516,0.09241906,0.11407516,0.09241906,0.11407516,0.09241906,0.11407516
Prkg1,-0.34583986,-1.0003862,0.048336387,-0.4546,-0.049031287,-0.370055,0.09695411,-0.20191497,0.12895986,0.11926568,0.12895986,0.11926562,0.12895986,0.11926562
Prkg2,0.012045354,0.093927674,0.012045354,0.09392765,0.012045324,0.09392763,0.012045354,0.093927704,0.012045354,0.09392765,0.012045324,0.09392765,0.012045354,0.09392768
Prkrip1,0.0989365,0.08542722,0.0854868,-0.031473745,0.09236053,0.012272156,0.0854868,-0.031473648,0.08548677,-0.03147367,0.08548677,-0.031473693,0.0854868,-0.0314737
Prkrir,-0.032351762,0.013686942,-0.10420337,-0.3059951,-0.073230326,-0.26611605,-0.10190034,-0.3047728,-0.06554571,-0.23064396,-0.08249076,-0.3250514,-0.0800882,-0.32596567
Prkx,-0.011007607,-0.4354033,-0.079975516,0.095360294,-0.028112352,0.11392228,-0.117463216,-0.23916157,-0.031485617,-0.31462026,-0.11746319,-0.23916157,0.017569989,0.098928
Prl14l,0.13042796,-0.48320773,0.12046701,-0.40063646,0.09595892,-0.5230198,0.09583819,-0.5698999,0.09655711,-0.53785986,0.09655711,-0.5378599,-0.048137143,-0.6051725
Prmt1,0.10273585,-0.04654267,-0.05717942,-0.5855688,-0.023156852,-0.68678206,-0.059482127,-0.69822574,-0.0014345646,-0.5576034,-0.019639581,-0.6696813,0.025942296,-0.5754643
Prmt10,0.11179042,-0.17061734,0.24895838,0.0018692345,0.24895838,0.0018692061,0.25791523,0.113907,0.2579153,0.113906994,0.25791523,0.11390695,0.25326952,0.08434017
Prmt2,0.079298526,0.12700993,0.079298526,0.1270099,0.079298556,0.12700996,0.079298526,0.12700996,0.079298556,0.12700996,0.079298526,0.12700994,0.079298526,0.1270099
Prmt3,0.16633907,0.14453407,0.14767814,0.022363927,0.15440026,0.016464245,0.14839113,0.02274238,0.15964627,0.04569218,0.1544002,0.016464222,0.15374991,0.017404716
Prmt5,0.100584626,0.033264156,0.07108778,-0.06897078,0.080081046,-0.1244242,0.0687218,-0.11255642,0.08912483,-0.05406491,0.0837948,-0.08012329,0.072025806,-0.1572203
Prmt6,0.16984805,0.13395832,0.15687221,-0.04486382,0.16375819,0.02167963,0.15824571,-0.043371335,0.15824577,-0.04337143,0.15687218,-0.044863787,0.1554204,-0.0677768
Prmt7,-0.059150472,-0.034143846,-4.503131e-05,-0.0860181,-4.503131e-05,-0.08601814,-4.503131e-05,-0.086018085,-0.059150472,-0.03414389,-0.059150457,-0.03414389,-4.503131e-05,-0.08601817
Prnp,0.039560914,0.10603478,0.039560914,0.10603478,0.039560914,0.10603478,0.039560884,0.10603481,0.039560884,0.10603481,0.039560914,0.10603478,0.039560884,0.10603481
Prodh,0.015474111,0.098507665,0.015474111,0.0985077,0.015474111,0.0985077,0.015474111,0.0985077,0.015474111,0.09850773,0.015474081,0.09850773,0.015474081,0.0985077
Prom1,0.023279041,0.101201765,0.023279041,0.10120173,0.023279041,0.101201765,0.023279041,0.101201765,0.023279041,0.101201765,0.023279041,0.101201765,0.023279041,0.10120183
Prorsd1,0.11315772,-0.007721373,0.06921628,-0.06221262,0.111304134,-0.0991513,0.08265522,-0.072991334,0.10217473,-0.090122856,0.083484024,-0.11276752,0.0986329,-0.103315584
Pros1,0.06741977,-0.04694539,0.15079537,0.07754383,0.15518469,0.07369148,0.15126097,0.07779102,0.1586102,0.092776366,0.15429828,0.045688216,0.14234072,0.04757954
Prosc,-0.0875887,-0.43075755,0.078231186,-0.13780318,0.078231186,-0.13780318,0.102276206,0.13636392,0.102276236,0.13636394,0.102276236,0.13636394,0.102276206,0.13636394
Prpf19,0.103081465,0.10975651,0.09551731,-0.013336063,0.083342046,-0.051209137,0.07909793,-0.07821981,0.07909793,-0.07821984,0.07909796,-0.07821979,0.052893728,-0.24498902
Prpf3,0.3454328,0.21611042,0.3454328,0.21611042,0.3454328,0.2161104,0.34543273,0.21611041,0.34543273,0.21611041,0.34543273,0.21611041,0.3454328,0.21611042
Prpf38a,0.15399891,0.17363138,0.14520001,0.0014266141,0.14520001,0.0014266477,0.14781433,0.0028143034,0.14781436,0.0028142736,0.14520001,0.0014267594,0.14083996,-0.04471644
Prpf38b,0.35675868,0.20163402,0.3545005,0.15182574,0.3545005,0.15182568,0.35450056,0.1518257,0.35450056,0.15182568,0.35450044,0.1518257,0.3545005,0.15182568
Prpf39,0.23630235,0.08492063,0.19747153,-0.2650893,0.18988499,-0.3133716,0.19195181,-0.31227455,0.19953838,-0.26399222,0.19747153,-0.26508924,0.18981567,-0.3298772
Prpf40a,0.32475266,0.21156536,0.28866926,0.014495506,0.30073306,-0.024392797,0.28798893,-0.019298263,0.31170186,0.03940231,0.30309448,0.0018351192,0.29693124,-0.07026623
Prpf4b,0.09347597,0.122641295,0.055864185,-0.33070987,0.04513523,-0.3989914,0.050981134,-0.3958886,0.06171012,-0.32760704,0.055864215,-0.33070973,0.040162534,-0.47392347
Prpf6,-0.04009433,-0.32205948,-0.017370313,0.10730228,-0.08339502,-0.41595182,-0.083395034,-0.41595182,-0.08339502,-0.4159518,-0.083395034,-0.41595182,-0.15522759,-0.5486433
Prpf8,0.09654769,-0.16989504,0.027191252,-0.33618343,0.06806114,-0.25955015,0.031106383,-0.22807974,0.086349696,-0.15139459,0.08006382,-0.18316261,0.055663615,-0.36044022
Prps1,0.0037944615,0.091588475,0.003794521,0.09158845,0.0037944615,0.09158849,0.003794521,0.09158845,0.0037944615,0.09158849,0.0037944615,0.09158849,0.0037944615,0.09158845
Prpsap1,-0.030536085,0.015375415,-0.04439029,0.027698714,-0.030536085,0.015375366,-0.04439026,0.027698806,-0.030536056,0.015375337,-0.030536085,0.015375352,-0.030536056,0.015375317
Prr11,0.5241655,0.23448022,0.43358406,-0.16320442,0.47858027,-0.12089857,0.4358662,-0.1618135,0.49649593,-0.011428115,0.46804425,-0.18795139,0.4622436,-0.22560339
Prr12,0.0375275,0.0988135,0.0375275,0.0988135,0.0375275,0.0988135,0.0375275,0.0988135,0.0375275,0.0988135,0.0375275,0.0988135,0.0375275,0.0988135
Prr13,0.36967465,-0.08752553,0.3242614,0.26196623,0.35841176,0.27418876,0.2995769,0.041693766,0.3561906,-0.0079935,0.29957685,0.041693848,0.38838246,0.2643295
Prr14,0.15832064,0.15985972,0.15832064,0.15985973,0.15832064,0.15985973,0.15832064,0.15985975,0.1583206,0.1598597,0.1583206,0.1598597,0.15832064,0.1598597
Prr15l,0.4322258,0.27190924,0.4322258,0.2719092,0.39183435,-0.4744504,0.39183435,-0.47445032,0.3918344,-0.47445035,0.39183435,-0.47445038,0.4322258,0.2719092
Prr18,0.29329595,0.2236935,0.293296,0.22369355,0.293296,0.22369353,0.29329595,0.22369353,0.293296,0.22369355,0.29329595,0.22369353,0.29329595,0.22369353
