GeneSymbol,PValue
Adamts2,0.0
Klf9,0.0
Naca,0.0
Tead1,0.0
Loxl3,0.0
Mxd3,0.0
Pcdh18,0.0
Arid4b,0.0
Prdm4,0.0
B630019K06Rik,0.0
Blm,0.0
Rbmxl1,0.0
Sulf1,0.0
Ddr2,0.0
Dnm3os,0.0
Leprel4,0.0
Ddx1,0.0
Gtf3a,0.0
Syde1,0.0
Zfp26,0.0
Ttf2,0.0
Kif20a,0.0
Uba2,0.0
Psmc3ip,0.0
Rfc1,0.0
Col6a3,0.0
Ssrp1,0.0
App,0.0
Col6a1,0.0
Hlx,0.0
Brca1,0.0
Ccdc80,0.0
Tceanc,0.0
Rela,0.0
Gtf2e2,0.0
Gpx8,0.0
Col1a1,0.0
Pa2g4,0.0
Zfpm2,0.0
Aebp1,0.0
Adamts5,0.0
Hdac1,0.0
Hoxb3,0.0
Rbmx,0.0
Fkbp10,0.0
Apex1,0.0
Cnn2,0.0
Twist2,0.0
Mybl2,0.0
Ccdc102a,0.0
Tubb5,0.0
Cdh11,0.0
Osr1,0.0
Tgfb3,0.0
Ezh2,0.0
Snai1,0.0
Taf5,0.0
Prkcdbp,0.0
Tada2a,0.0
Adnp2,0.0
Hoxa2,0.0
Zfp524,0.0
Hic1,0.0
Cd248,0.0
Lox,0.0
Rpl15,0.0
Set,0.0
Foxm1,0.0
Zik1,0.0
Loxl1,0.0
Zfp503,0.0
Zfp329,0.0
Zfp579,0.0
Foxc2,0.0
Tfdp1,0.0
Dmtf1,0.0
Smarcc1,0.0
Atf7,0.0
Maf,0.0
Emp3,0.0
Ndn,0.0
Gpr124,0.0
Col3a1,0.0
Zscan21,0.0
Pdzrn3,0.0
Npm1,0.0
Pax1,0.0
Fam198b,0.0
Hmgb1,0.0
Yap1,0.0
Pnn,0.0
Gas1,0.0
Hoxa5,0.0
Wnt5a,0.0
Col4a2,0.0
Tardbp,0.0
Fbln5,0.0
Gzf1,0.0
Ehd2,0.0
Efemp2,0.0
Cav1,0.0
Trim33,0.0
Ets1,0.0
Tacc3,0.0
Cks1b,0.0
Prrx2,0.0
Nid1,0.0
Hoxa3,0.0
E2f1,0.0
Zeb2,0.0
Csda,0.0
Sdpr,0.0
Cct5,0.0
Sgol1,0.0
Snapc4,0.0
Tcf7l1,0.0
Aspn,0.0
Nr2f1,0.0
Srpx,0.0
Svep1,0.0
Tmpo,0.0
Nfx1,0.0
Fosl1,0.0
Antxr1,0.0
Lin54,0.0
Ppp1r8,0.0
Snai2,0.0
Prrx1,0.0
Bmper,0.0
Pds5b,0.0
Afap1l2,0.0
Gli3,0.0
Lig1,0.0
Col5a2,0.0
Gli1,0.0
Hoxb4,0.0
Smad6,0.0
Hmgb2,0.0
Fbn1,0.0
Mmp2,0.0
Nolc1,0.0
Mcm8,0.0
Lrrc17,0.0
Twist1,0.0
Col4a5,0.0
Ruvbl2,0.0
Snrpf,0.0
Zfp532,0.0
Ilf2,0.1
