GeneSymbol,PValue
Ipo11,0.5
B4galt6,0.5
Ncl,0.5
Phldb2,0.5
2310045N01Rik,0.5
Ap1s2,0.5
Nr1h2,0.5
Hells,0.5
Erf,0.5
Taf4a,0.5
Tra2a,0.5
1700066M21Rik,0.5
Cep57l1,0.5
Hoxa5,0.5
Cnpy2,0.5
Ncor1,0.5
Stt3a,0.5
Upf3b,0.5
Cfl1,0.5
Casp2,0.5
Adrb2,0.5
Zfp524,0.5
Cdk6,0.5
Ptpre,0.5
Psmc3ip,0.5
Scand1,0.5
Gtf2b,0.5
Wdr46,0.5
Rfc1,0.5
Srrm1,0.5
Rtf1,0.5
Hoxc8,0.5
Lgals7,0.5
Arfgef1,0.5
Cebpz,0.5
Lhx1,0.5
Arpc4,0.5
Chd6,0.5
Zswim6,0.5
Spcs3,0.5
Zfp39,0.5
Ryk,0.5
Zmiz1,0.5
Tubg1,0.5
AI837181,0.5
Ncapg,0.5
Gpbp1,0.5
Hmg20b,0.5
Cks1b,0.5
Dgka,0.5
Dek,0.5
Ruvbl2,0.5
Ctcf,0.5
Tceanc,0.5
Lin9,0.5
Tfip11,0.5
Slc16a1,0.5
Rcc1,0.5
Mta3,0.5
Bod1l,0.5
Rbbp5,0.5
A630052C17Rik,0.5
Nubp1,0.5
Sh3rf1,0.5
1500016L03Rik,0.6
Bicc1,0.6
Zfp451,0.6
Mettl3,0.6
Terf2,0.6
Ythdc1,0.6
Nacc1,0.6
Lmnb1,0.6
Abcf2,0.6
Ercc5,0.6
Fbxo32,0.6
Ccdc112,0.6
Sox12,0.6
Yars2,0.6
Klf9,0.6
Lbp,0.6
Aasdh,0.6
Ppard,0.6
Dtl,0.6
Mcm4,0.6
Cyhr1,0.6
Rnf10,0.6
Zdhhc8,0.6
Ndufaf1,0.6
Pwp1,0.6
Ruvbl1,0.6
Aox1,0.6
Zfp865,0.6
Pnp,0.6
Iws1,0.6
Vcl,0.6
Alyref,0.6
Rev1,0.6
Mocos,0.6
Mvp,0.6
Tmc5,0.6
Meis1,0.6
Gar1,0.6
Mrpl12,0.6
Cdca8,0.6
Terf1,0.6
Ash1l,0.6
Drap1,0.6
Slc25a16,0.6
Zfp384,0.6
Zfp119a,0.6
Tmsb10,0.6
9930021J03Rik,0.6
Rcor1,0.6
Chd2,0.6
Git2,0.6
Ddx58,0.6
Pcolce,0.6
2610021A01Rik,0.6
Tmbim1,0.6
Tgfbr2,0.6
Sox9,0.6
Chtf18,0.6
Cast,0.6
Tmem126a,0.6
Fat1,0.6
Gata3,0.6
Degs1,0.6
Bub3,0.6
Appbp2,0.6
Atp6ap2,0.6
Snapc3,0.6
Anxa7,0.6
Sip1,0.6
Arhgap5,0.6
Ccdc111,0.6
8430410K20Rik,0.6
Trip13,0.6
Armcx2,0.6
Capn1,0.6
Fzd3,0.6
Gria3,0.6
Cdca5,0.6
Gabpb2,0.6
Ten1,0.6
