GeneSymbol,PValue
Ilf2,0.0
Ebf3,0.0
Nr2f2,0.0
Zfp521,0.0
Dnmt3b,0.0
Zfp575,0.0
Zfp369,0.0
Taf1d,0.0
Dnttip2,0.0
Naca,0.0
Taf2,0.0
Snrpe,0.0
Zfp58,0.0
Mcm9,0.0
Blm,0.0
Twist2,0.0
Hnrnpab,0.0
Taf13,0.0
Nkap,0.0
Tead2,0.0
Ubp1,0.0
Snai2,0.0
Ddx20,0.0
Bhlha15,0.0
Srrt,0.0
Med6,0.0
Nfic,0.0
Ddx1,0.0
Ezh2,0.0
Hoxa1,0.0
Nkrf,0.0
Taf5,0.0
Ap2s1,0.0
Dimt1,0.0
Cc2d1b,0.0
Wnt5a,0.0
Pcgf6,0.0
Irf5,0.0
Stat6,0.0
Tardbp,0.0
Sp1,0.0
Taf9,0.0
Rfc1,0.0
Fgf13,0.0
Kdm2b,0.0
Phf5a,0.0
Thoc1,0.0
E2f7,0.0
Cd248,0.0
Col6a1,0.0
Nolc1,0.0
Mcm8,0.0
Smad2,0.0
Klhl15,0.0
Set,0.0
Tdg,0.0
Twist1,0.0
Brca1,0.0
Nat14,0.0
Prrx2,0.0
Safb,0.0
Tceanc,0.0
Zzz3,0.0
Zeb2,0.0
Nfyb,0.0
Hmga2,0.1
Dnajc2,0.1
Dmtf1,0.1
Dcun1d5,0.1
Pa2g4,0.1
Aaas,0.1
Zfp647,0.1
Sox12,0.1
Hdac1,0.1
Hoxc6,0.1
Tnpo2,0.1
Cyp1b1,0.1
Hoxd8,0.1
Dlgap5,0.1
Cux2,0.1
Cdt1,0.1
Ncapd2,0.1
Cenpc1,0.1
Nmral1,0.1
Ramp2,0.1
Trp53,0.1
Crnkl1,0.1
Erf,0.1
Hnrnpd,0.1
Zfp654,0.1
C1d,0.1
Nup155,0.1
Ttf2,0.1
Mphosph6,0.1
Gtf2e1,0.1
Psma5,0.1
Lhx1,0.1
Sfpq,0.1
Lox,0.1
Suz12,0.1
Vgll3,0.1
Six2,0.1
Foxm1,0.1
Zik1,0.1
Mlf1ip,0.1
Pold1,0.1
Ruvbl2,0.1
Zfp292,0.1
Csda,0.1
Cct5,0.1
Hopx,0.1
Gtf2e2,0.1
0610031J06Rik,0.2
Pif1,0.2
Tfdp1,0.2
Dcp2,0.2
Tdh,0.2
Clspn,0.2
Hnrpdl,0.2
Bphl,0.2
Trp53bp1,0.2
Lrr1,0.2
Rest,0.2
Brca2,0.2
Psmd14,0.2
Zmym1,0.2
Tcea2,0.2
Fance,0.2
Arid4b,0.2
Slc7a6os,0.2
Mybl2,0.2
Mob2,0.2
Rbmxl1,0.2
Tgif2,0.2
Chtf18,0.2
Gli3,0.2
Yap1,0.2
Col5a1,0.2
Wipf1,0.2
Crebzf,0.2
Nfatc1,0.2
Chordc1,0.2
Brip1,0.2
Hltf,0.2
Uba2,0.2
Cryab,0.2
Laptm5,0.2
Cdkn2a,0.2
H19,0.2
Plk4,0.2
Hmgb2,0.2
D19Bwg1357e,0.2
Cdca7,0.2
Nono,0.2
Cdc7,0.2
Gpx7,0.2
Nr3c1,0.2
Rfc5,0.2
Riok1,0.2
Zfp566,0.2
Hnrnpu,0.2
Klf3,0.2
Utp15,0.2
Lhx9,0.3
Suv39h2,0.3
Tcf7l1,0.3
Smarcc1,0.3
Ppp5c,0.3
Csde1,0.3
Tmed10,0.3
Zfp217,0.3
Sgol2,0.3
Haus6,0.3
Ccnf,0.3
Dedd,0.3
Gtf2f2,0.3
Glis2,0.3
Phf21a,0.3
Dkc1,0.3
Cenph,0.3
Zfp182,0.3
Cad,0.3
Grhl2,0.3
Kars,0.3
Zbtb24,0.3
Ccnb2,0.3
Fubp1,0.3
Mtf1,0.3
Ywhaq,0.3
Zfp451,0.3
Tmem140,0.3
Mbnl1,0.3
Kdm5a,0.3
Carhsp1,0.3
Zfp524,0.3
Sin3a,0.3
Cstf1,0.3
Nr1d2,0.3
Hnrnpm,0.3
Med1,0.3
Uhrf1,0.3
Hmmr,0.3
Gtf2b,0.3
Zfp280c,0.3
Rtf1,0.3
Orc6,0.3
Krr1,0.3
Melk,0.3
Cfdp1,0.3
Brix1,0.3
Runx1,0.3
Psip1,0.3
Cse1l,0.3
Hlx,0.3
Zfml,0.3
Armc10,0.3
Gm15867,0.3
Cenpf,0.3
Gabpa,0.3
Zfp689,0.3
Ska3,0.3
2410004B18Rik,0.3
Nfrkb,0.3
Plagl1,0.3
Ppil4,0.4
Stat5b,0.4
Tspan4,0.4
Thbs2,0.4
Porcn,0.4
Cog4,0.4
Npat,0.4
Zfp30,0.4
Ranbp1,0.4
Rnf4,0.4
Mios,0.4
Dtymk,0.4
Zbtb6,0.4
Mbd3,0.4
Troap,0.4
Cdc25a,0.4
Chaf1b,0.4
Alyref,0.4
A830080D01Rik,0.4
Mvp,0.4
Amigo2,0.4
Csrnp2,0.4
Zfp618,0.4
Nup85,0.4
Foxn2,0.4
Hars,0.4
Etv1,0.4
Fam38a,0.4
Fam64a,0.4
Tipin,0.4
Srsf11,0.4
Pax1,0.4
Cbx2,0.4
Pola2,0.4
Tro,0.4
Rad54l,0.4
Rbm12,0.4
Rnps1,0.4
Pcna,0.4
Lig1,0.4
Rbck1,0.4
Tie1,0.4
Zfp930,0.4
Eme1,0.4
Zfp1,0.4
Jtb,0.4
Cenpb,0.4
Hells,0.4
Grhl3,0.4
Pdcd5,0.4
Srsf3,0.4
Samd9l,0.4
Tsr2,0.4
Mcm3,0.4
Tcfl5,0.4
Smpd4,0.4
Mis18bp1,0.4
Polr2d,0.4
Kif20a,0.4
Cnot2,0.4
Dnmt1,0.4
Lsm5,0.4
Tfpt,0.4
Ppp2r1b,0.4
Fads1,0.4
Taf12,0.4
Ppp1cc,0.4
Frg1,0.4
Ccdc34,0.4
Fbn2,0.4
Galnt7,0.4
Lyar,0.4
Psma2,0.4
Prr11,0.4
Tnfrsf1b,0.4
Kifc5b,0.4
Wdr74,0.4
Tlcd2,0.4
Bptf,0.4
Gpsm3,0.4
Gtf3c4,0.4
Cenpn,0.4
Hmg20b,0.4
Apitd1,0.4
Aqr,0.4
Tceb1,0.4
Fbxo5,0.4
Trf,0.4
Arid4a,0.4
Hdac2,0.4
Tram1l1,0.4
Gnl3,0.4
Arid2,0.4
Cct8,0.4
Lcat,0.4
Zfp691,0.5
Adamts2,0.5
Tcea3,0.5
Tex10,0.5
Hnrnpa3,0.5
Prkg1,0.5
Gtf2h1,0.5
Rbl2,0.5
Mylk,0.5
Nfkbie,0.5
Myl12a,0.5
Atl2,0.5
Zfp90,0.5
E2f3,0.5
Trim27,0.5
Taf6,0.5
Lrrc33,0.5
Mkks,0.5
Wdr43,0.5
Nop16,0.5
5033414D02Rik,0.5
Snap47,0.5
Atf6b,0.5
Them5,0.5
Hrsp12,0.5
Men1,0.5
Bms1,0.5
Abt1,0.5
Zfp330,0.5
Snrpa1,0.5
BC068157,0.5
Btbd10,0.5
Rassf8,0.5
Sltm,0.5
Serpinf1,0.5
Vac14,0.5
Zfp646,0.5
Apex1,0.5
Smn1,0.5
Sdhc,0.5
Nfkb2,0.5
Tpm2,0.5
Eif3f,0.5
Nol11,0.5
Smc2,0.5
Ogn,0.5
Zcchc3,0.5
Mcm2,0.5
Zfp512,0.5
Ahcy,0.5
Ndc80,0.5
Zbtb20,0.5
Rpl3,0.5
Lrrfip1,0.5
Asf1a,0.5
Efnb1,0.5
Sox9,0.5
Cux1,0.5
Bdp1,0.5
Rfc2,0.5
Klf15,0.5
Bub3,0.5
Fbxo45,0.5
Fanci,0.5
Pou4f1,0.5
Pecr,0.5
Ktn1,0.5
Phb,0.5
Sall4,0.5
Armcx2,0.5
Zfp26,0.5
Clns1a,0.5
Phldb2,0.5
Srebf2,0.5
Ccdc99,0.5
Xpo1,0.5
Rbmx2,0.5
Trim28,0.5
Zfp280d,0.5
Areg,0.5
Klk10,0.5
Wdr3,0.5
Creb1,0.5
Hoxa5,0.5
Tceal1,0.5
Ash2l,0.5
Phyhd1,0.5
Foxj1,0.5
Aqp11,0.5
AI661453,0.5
Fahd2a,0.5
Cct4,0.5
Hoxa2,0.5
Syt11,0.5
Brap,0.5
Slc37a1,0.5
Tacstd2,0.5
1190003J15Rik,0.5
Chd1,0.5
Utp18,0.5
Rpl7,0.5
Edf1,0.5
Tpx2,0.5
Akap8,0.5
Snrk,0.5
Furin,0.5
Pmm2,0.5
Slc25a15,0.5
Wdr46,0.5
Sf3b1,0.5
Dmrt1,0.5
Ddx39,0.5
Rnpc3,0.5
Zfp36,0.5
Prdm15,0.5
Tcp1,0.5
Mcm5,0.5
Nipsnap1,0.5
Plxnc1,0.5
Prepl,0.5
Zfp93,0.5
Tspan7,0.5
Ncln,0.5
Cav1,0.5
Arhgef25,0.5
Edn2,0.5
Sox4,0.5
Pknox2,0.5
Ankrd1,0.5
P4ha3,0.5
Nadsyn1,0.5
Pes1,0.5
Rora,0.5
Dnajc8,0.5
Dctd,0.5
Nr2c1,0.5
Thnsl2,0.5
Plrg1,0.5
Ctsc,0.5
Noc2l,0.5
Zfp184,0.5
Cdc40,0.5
Patz1,0.5
Sgol1,0.5
Nr1d1,0.6
Prpf3,0.6
Mrpl13,0.6
Rfc3,0.6
Rps3,0.6
Alkbh4,0.6
Denr,0.6
Gins4,0.6
Zbtb3,0.6
Col1a1,0.6
Cep78,0.6
Zfp189,0.6
Cwc22,0.6
Cops5,0.6
Chd2,0.6
Cdc123,0.6
Arglu1,0.6
Mcart6,0.6
Dapk3,0.6
Mysm1,0.6
BC055324,0.6
Tmem44,0.6
Eftud1,0.6
Jmjd1c,0.6
Bcl11b,0.6
Abcf2,0.6
Zfp874b,0.6
Mphosph10,0.6
Rtel1,0.6
Dbr1,0.6
Prmt5,0.6
Cog5,0.6
Yars2,0.6
Arhgap9,0.6
Il2rg,0.6
Ano9,0.6
Ttc33,0.6
Srpx2,0.6
Atf5,0.6
Pibf1,0.6
Rnf217,0.6
Aox1,0.6
Map2k3,0.6
Stat3,0.6
Ddx11,0.6
Zfp41,0.6
Nosip,0.6
1700027A23Rik,0.6
Naprt1,0.6
Arfip1,0.6
Ilf3,0.6
Col3a1,0.6
Ptpla,0.6
2810002N01Rik,0.6
Tfap2c,0.6
Krtcap3,0.6
Tet1,0.6
Gnaz,0.6
Mecp2,0.6
Dzip3,0.6
Map3k8,0.6
Plxdc2,0.6
Nip7,0.6
Dcaf12,0.6
Bub1,0.6
Nfib,0.6
Csrnp1,0.6
Wisp1,0.6
Nxf1,0.6
Pms1,0.6
Fam149a,0.6
Hamp,0.6
Ugcg,0.6
Nup205,0.6
Zbtb7b,0.6
Ccdc18,0.6
Osgin2,0.6
Zfp28,0.6
Gcdh,0.6
Cdh11,0.6
Gna11,0.6
2610524H06Rik,0.6
Osr1,0.6
1110037F02Rik,0.6
Lhfp,0.6
Tap2,0.6
Phip,0.6
2700029M09Rik,0.6
Ddx42,0.6
Irf9,0.6
Gemin5,0.6
Tdrkh,0.6
Slc37a4,0.6
Tmx1,0.6
Sec14l3,0.6
Gmfg,0.6
Ska2,0.6
Trip13,0.6
Bub1b,0.6
Tma7,0.6
