GeneSymbol,PValue
Nr1h3,0.0
Blm,0.0
Nusap1,0.0
Rbmxl1,0.0
Chtf18,0.0
E2f8,0.0
Sema3c,0.0
Cnbp,0.0
Esrrb,0.0
Ttf2,0.0
Psmc3ip,0.0
Rfc1,0.0
Rcn3,0.0
Rtf1,0.0
Cfdp1,0.0
Ssrp1,0.0
Suz12,0.0
Zbtb42,0.0
Zfml,0.0
Sarnp,0.0
Brca1,0.0
Cdk5rap2,0.0
Gtf2e2,0.0
E2f7,0.0
Gpx8,0.0
Dnajc2,0.0
Col1a1,0.0
Zfp518b,0.0
Pa2g4,0.0
Zfpm2,0.0
Sgol2,0.0
Taf1d,0.0
Carm1,0.0
Cenpt,0.0
Hnrnpk,0.0
Taf11,0.0
Twist2,0.0
Mybl2,0.0
Srrt,0.0
Snai1,0.0
Taf5,0.0
Col5a1,0.0
Kdm1a,0.0
Mynn,0.0
Zfp553,0.0
Gtf2e1,0.0
Hmmr,0.0
Hic1,0.0
Sfpq,0.0
Snrnp48,0.0
Set,0.0
Zfp593,0.0
Cenpi,0.0
Plagl1,0.0
Tfdp1,0.0
Smarcc1,0.0
Nup107,0.0
E2f3,0.0
Sf3a3,0.0
Brca2,0.0
Ilf3,0.0
Npm1,0.0
Pax1,0.0
Zfp653,0.0
2700029M09Rik,0.0
Yap1,0.0
Ccdc99,0.0
Pnn,0.0
Wnt5a,0.0
Stat6,0.0
Tardbp,0.0
Zfp672,0.0
Uhrf1,0.0
Gen1,0.0
Dhx15,0.0
Top2a,0.0
Ctcf,0.0
Prrx2,0.0
Nupl1,0.0
Tcf7l1,0.0
Arhgef11,0.0
Trim27,0.0
Tmpo,0.0
Lin54,0.0
Snrpa1,0.0
Tet1,0.0
Mad2l1,0.0
Bclaf1,0.0
Dlgap5,0.0
Zfp423,0.0
Tipin,0.0
Pcna,0.0
Col5a2,0.0
Tcerg1,0.0
Cenpw,0.0
Srsf3,0.0
Nfatc4,0.0
Hmgb2,0.0
Dmrt1,0.0
Taf12,0.0
Orc6,0.0
Thoc1,0.0
Tgfb1i1,0.0
Zfp326,0.0
Psip1,0.0
Nolc1,0.0
Mcm8,0.0
Ruvbl2,0.0
Zfp532,0.0
Srsf1,0.1
Ilf2,0.1
Haus6,0.1
Snn,0.1
Gtf2f2,0.1
Prpf4b,0.1
Dck,0.1
Nkap,0.1
Ddx20,0.1
Lrrfip1,0.1
Aurkb,0.1
Ska2,0.1
Cdca5,0.1
Col6a2,0.1
Kif18a,0.1
Sparc,0.1
Zfp280c,0.1
Rad23a,0.1
Zfp322a,0.1
Cdc7,0.1
Lass5,0.1
Rcc2,0.1
Ube2c,0.1
2700094K13Rik,0.1
Tceanc,0.1
Zfp292,0.1
Racgap1,0.1
Cenph,0.1
Apex1,0.1
Ncor2,0.1
Ndc80,0.1
Timp1,0.1
Nkrf,0.1
Zfp668,0.1
Cdca2,0.1
Ahctf1,0.1
Dnmt1,0.1
Taf9,0.1
Smarca5,0.1
Lhx1,0.1
Matr3,0.1
Gnl3,0.1
Kif22,0.1
Col1a2,0.1
Mll2,0.1
Gpr124,0.1
Luc7l,0.1
Bcl6b,0.1
Zfp182,0.1
Hnrnpab,0.1
Ubp1,0.1
Eln,0.1
Dhx33,0.1
Serpinh1,0.1
Fam198b,0.1
Sall4,0.1
Fen1,0.1
Snrpd1,0.1
Fzd2,0.1
Lsm3,0.1
Sin3a,0.1
Spata24,0.1
Mxra8,0.1
Cav1,0.1
Vbp1,0.1
Tbp,0.1
Cct5,0.1
Tex10,0.1
Rnf4,0.1
Taf2,0.1
Mycn,0.1
Ppp1r8,0.1
Cdca8,0.1
Snai2,0.1
Zfx,0.1
Rnps1,0.1
Postn,0.1
Ctnnb1,0.1
Pcgf6,0.1
Fbn1,0.1
Pcbd1,0.1
Mmp2,0.1
Hnrnpu,0.1
Tcf3,0.1
Mta3,0.1
Rpl8,0.2
Ccnf,0.2
Gata6,0.2
Nufip1,0.2
Oip5,0.2
Nfib,0.2
Nucks1,0.2
Sulf1,0.2
Fbl,0.2
Lmo2,0.2
Ddx1,0.2
Eri1,0.2
Sdad1,0.2
Fam123b,0.2
Polr2d,0.2
Kif11,0.2
Akap8,0.2
Zfp473,0.2
Ahsg,0.2
Cse1l,0.2
Tspan9,0.2
Cebpb,0.2
Phc1,0.2
Ndufaf6,0.2
Patz1,0.2
Rgma,0.2
Vim,0.2
Suv39h2,0.2
Cpsf6,0.2
Hcfc1,0.2
Hdac1,0.2
Fkbp10,0.2
Bub1,0.2
Osr1,0.2
Tgfb3,0.2
Tnks1bp1,0.2
Nexn,0.2
Pole,0.2
Hat1,0.2
Tsn,0.2
Ltbp1,0.2
Cdc6,0.2
Plk4,0.2
