TF,Gene,Confidence
Atf3,Tgif1,High
Atf3,Zbtb10,High
Atf3,Znf460,High
Atf3,Cyr61,High
Atf3,Rel,High
Atf3,Sh2D2A,High
Atf3,C9Orf163,High
Atf3,Ca1,High
Atf3,Chac1,High
Atf3,Flj31356,High
Atf3,Fosl2,High
Atf3,Fsd2,High
Atf3,Igfbp1,High
Atf3,Junb,High
Atf3,Ky,High
Atf3,Linc01348,High
Atf3,Msl3P1,High
Atf3,Plaur,High
Atf3,Prkg1-As1,High
Atf3,Ptp4A1,High
Atf3,Rgpd2,High
Atf3,Sim2,High
Atf3,Sytl2,High
Atf3,Tgfb2,High
Atf3,Tgfb3,High
Atf3,Zfp36,High
Atf3,Gadd45B,High
Atf3,Mir587,High
Atf3,Bhlhe40,High
Atf3,Hspa6,High
Atf3,Olr1,High
Atf3,Opn4,High
Atf3,Rnf113B,High
Atf3,Snord62A,High
Atf3,Ankrd37,High
Atf3,Apobec1,High
Atf3,Cd7,High
Atf3,Clk1,High
Atf3,Cxcl2,High
Atf3,Cxcl8,High
Atf3,Ereg,High
Atf3,Klhl40,High
Atf3,Linc01311,High
Atf3,Mir5188,High
Atf3,Penk,High
Atf3,Rtp1,High
Atf3,Snord8,High
Atf3,Snord94,High
Atf3,Spta1,High
Atf3,Tmprss11F,High
Atf3,Zic3,High
Atf3,Dnajb1,High
Atf3,Adamts1,High
Atf3,Ddc-As1,High
Atf3,Fas-As1,High
Atf3,Rtbdn,High
Atf3,Ccl3,High
Atf3,Gadd45G,High
Atf3,Hcar2,High
Atf3,Lmo7-As1,High
Atf3,Myh4,High
Atf3,Ptgs2,High
Atf3,Snora28,High
Atf3,Tiparp,High
Atf3,Mir194-2Hg,High
Atf3,Snord91A,High
Atf3,Ankrd36C,High
Atf3,C3Orf79,High
Atf3,Fndc9,High
Atf3,Kcnj13,High
Atf3,Nav2-As5,High
Atf3,Psg5,High
Atf3,Vgll3,High
Atf3,Mir7845,High
Atf3,Or52D1,High
Atf3,C9Orf47,High
Atf3,Gjb6,High
Atf3,Tas2R19,High
Atf3,Tas2R30,High
Atf3,Cpb2-As1,High
Atf3,Adamtsl1,High
Atf3,Adtrp,High
Atf3,Arhgef38,High
Atf3,Arl4C,High
Atf3,Arsj,High
Atf3,Bcl9,High
Atf3,C11Orf42,High
Atf3,C22Orf24,High
Atf3,Casc15,High
Atf3,Casc20,High
Atf3,Ccdc162P,High
Atf3,Ccl4L2,High
Atf3,Cebpb,High
Atf3,Cga,High
Atf3,Clec2B,High
Atf3,Cnn1,High
Atf3,Cnn2,High
Atf3,Colec10,High
Atf3,Cpxm2,High
Atf3,Creb5,High
Atf3,Crim1,High
Atf3,Crybb2,High
Atf3,Csnk1E,High
Atf3,Ctdsp2,High
Atf3,Dab1,High
Atf3,Des,High
Atf3,Dkk2,High
Atf3,Dleu2,High
Atf3,Dpyd-As2,High
Atf3,Ehf,High
Atf3,Elmsan1,High
Atf3,Epdr1,High
Atf3,Epha2,High
Atf3,Esrrg,High
Atf3,F10,High
Atf3,Fam110C,High
Atf3,Fam131A,High
Atf3,Fam71A,High
Atf3,Fbxl16,High
Atf3,Ffar3,High
Atf3,Filip1,High
Atf3,Gadd45A,High
Atf3,Galnt13,High
Atf3,Gucy2Gp,High
Atf3,H3F3B,High
Atf3,Hdc,High
Atf3,Hic1,High
Atf3,Hist1H4E,High
Atf3,Hsph1,High
Atf3,Ier5,High
Atf3,Inhba-As1,High
Atf3,Iqcf5-As1,High
Atf3,Iqcj-Schip1-As1,High
Atf3,Izumo2,High
Atf3,Kcnv1,High
Atf3,Kdm6B,High
Atf3,Kiaa0408,High
Atf3,Klrk1,High
Atf3,Letm2,High
Atf3,Linc00173,High
Atf3,Linc00309,High
Atf3,Linc00562,High
Atf3,Linc00618,High
Atf3,Linc01114,High
Atf3,Linc01300,High
Atf3,Linc01365,High
Atf3,Lrch1,High
Atf3,Macrod2-As1,High
Atf3,Mir181A1Hg,High
Atf3,Mir4432Hg,High
Atf3,Myocd,High
Atf3,Nav2-As4,High
Atf3,Ncald,High
Atf3,Nkrf,High
Atf3,Notch2Nl,High
Atf3,Nov,High
Atf3,Nrxn1,High
Atf3,Nt5C1B,High
Atf3,Ntrk3-As1,High
Atf3,Nudt4P2,High
Atf3,Or10H3,High
Atf3,Or2M5,High
Atf3,Or2T4,High
Atf3,Otulin,High
Atf3,Padi4,High
Atf3,Pcdh9,High
Atf3,Pcdh9-As3,High
Atf3,Pcyt1B,High
Atf3,Pde4B,High
Atf3,Pdlim3,High
Atf3,Per2,High
Atf3,Plat,High
Atf3,Plcxd2,High
Atf3,Plekhg4B,High
Atf3,Plekhh2,High
Atf3,Pmaip1,High
Atf3,Pmchl2,High
Atf3,Prg2,High
Atf3,Prickle2-As3,High
Atf3,Prkcq,High
Atf3,Rab33A,High
Atf3,Rnd1,High
Atf3,Rnf183,High
Atf3,Rnf19A,High
Atf3,Rnvu1-3,High
Atf3,Samd4A,High
Atf3,Sel1L2,High
Atf3,Sfta1P,High
Atf3,Sh2D1A,High
Atf3,Siah1,High
Atf3,Slc25A37,High
Atf3,Slc26A9,High
Atf3,Slc44A5,High
Atf3,Slit1-As1,High
Atf3,Smad5-As1,High
Atf3,Smc2-As1,High
Atf3,Snd1-It1,High
Atf3,Snord19,High
Atf3,Spic,High
Atf3,Sptb,High
Atf3,Ssx2B,High
Atf3,Stmn4,High
Atf3,Syp-As1,High
Atf3,Tagln,High
Atf3,Tet2-As1,High
Atf3,Thcat158,High
Atf3,Tlx3,High
Atf3,Tmem151A,High
Atf3,Tmem215,High
Atf3,Tmem71,High
Atf3,Tnc,High
Atf3,Tp53Inp2,High
Atf3,Trappc2B,High
Atf3,Ubald1,High
Atf3,Wee1,High
Atf3,Xirp2,High
Atf3,Ypel2,High
Atf3,Zc3H12A,High
Atf3,Zfpm2-As1,High
Atf3,Adrb2,High
Atf3,Ddit4,High
Atf3,Acta2,High
Atf3,Adcyap1,High
Atf3,Amigo1,High
Atf3,Arid5A,High
Atf3,Bmf,High
Atf3,C10Orf11,High
Atf3,C11Orf40,High
Atf3,C17Orf67,High
Atf3,C1Orf87,High
Atf3,C21Orf62,High
Atf3,Casp12,High
Atf3,Casp9,High
Atf3,Ccdc102B,High
Atf3,Ccdc141,High
Atf3,Ceacam3,High
Atf3,Cemip,High
Atf3,Cldn4,High
Atf3,Clk2P1,High
Atf3,Clrn1,High
Atf3,Cpeb4,High
Atf3,Crispld2,High
Atf3,Ctxn2,High
Atf3,Dixdc1,High
Atf3,Dock3,High
Atf3,Dpf3,High
Atf3,Epc1,High
Atf3,Fgf18,High
Atf3,Flj40194,High
Atf3,Flnc,High
Atf3,Frat2,High
Atf3,Gabra5,High
Atf3,Galnt3,High
Atf3,Gata6,High
Atf3,Gltscr2-As1,High
Atf3,Golga6L1,High
Atf3,Gpr26,High
Atf3,Hcp5,High
Atf3,Hist1H1E,High
Atf3,Hoxa-As3,High
Atf3,Hsd17B7,High
Atf3,Hsd52,High
Atf3,Il17D,High
Atf3,Iqcj,High
Atf3,Kcna5,High
Atf3,Kcnj1,High
Atf3,Klkp1,High
Atf3,Krtap9-7,High
Atf3,L3Mbtl4,High
Atf3,Lhfpl3-As2,High
Atf3,Linc00437,High
Atf3,Linc00484,High
Atf3,Linc00692,High
Atf3,Linc00992,High
Atf3,Linc01013,High
Atf3,Linc01104,High
Atf3,Linc01136,High
Atf3,Linc01160,High
Atf3,Linc01435,High
Atf3,Linc01538,High
Atf3,Linc01591,High
Atf3,Map3K8,High
Atf3,Med30,High
Atf3,Metrnl,High
Atf3,Mir3945Hg,High
Atf3,Msmo1,High
Atf3,Nell1,High
Atf3,Or4A47,High
Atf3,Or4F6,High
Atf3,Or9G4,High
Atf3,Ostcp1,High
Atf3,Ovol1,High
Atf3,Oxgr1,High
Atf3,P2Ry10,High
Atf3,Pde4D,High
Atf3,Pgpep1L,High
Atf3,Phgr1,High
Atf3,Phldb2,High
Atf3,Plch2,High
Atf3,Prdm13,High
Atf3,Prok2,High
Atf3,Prr26,High
Atf3,Ptafr,High
Atf3,Racgap1P,High
Atf3,Rbm38,High
Atf3,Rdh10-As1,High
Atf3,Rgs3,High
Atf3,Serpine3,High
Atf3,Siglec15,High
Atf3,Slc16A12-As1,High
Atf3,Slc22A11,High
Atf3,St3Gal2,High
Atf3,Stat4,High
Atf3,Stx18-It1,High
Atf3,Synpo2,High
Atf3,Tbc1D28,High
Atf3,Tbc1D32,High
Atf3,Thra1/Btr,High
Atf3,Tincr,High
Atf3,Tmcc2,High
Atf3,Tmem229B,High
Atf3,Tp53Bp2,High
Atf3,Trpv3,High
Atf3,Tssk6,High
Atf3,Ttc29,High
Atf3,Ube2Q2L,High
Atf3,Usp36,High
Atf3,Vwa5B1,High
Atf3,Wscd1,High
Atf3,Xirp1,High
Atf3,Zfand2A,High
Atf3,Zfp41,High
Atf3,Znf679,High
Atf3,Magea12,High
Atf4,Atf5,High
Atf4,Cars,High
Atf4,Cebpg,High
Atf4,Ddit3,High
Atf4,Eif4Ebp1,High
Atf4,G0S2,High
Atf4,Msto1,High
Atf4,Ints6,High
Atf4,Timm44,High
Atf4,Znf165,High
Atf4,Mkx,High
Atf4,Trib3,High
Atf4,Gzf1,High
Atf4,Linc00963,High
Atf4,Ube2Ql1,High
Atf4,Xpot,High
Atf4,B4Galt7,High
Atf4,Kctd5,High
Atf4,Pus1,High
Atf4,Ythdf1,High
Atf4,Esr2,High
Atf4,Srp19,High
Atf4,Zfas1,High
Atf4,Fam222A,High
Atf4,Rnps1,High
Atf4,Tmem39A,High
Atf4,Traf4,High
Atf4,Gar1,High
Atf4,Mak16,High
Atf4,Rtkn,High
Atf4,Sec61A1,High
Atf4,Snhg1,High
Atf4,Surf6,High
Atf4,Trmt61A,High
Atf4,Casz1,High
Atf4,Chac1,High
Atf4,Eif1,High
Atf4,Hax1,High
Atf4,Herpud1,High
Atf4,Iars,High
Atf4,Inhbe,High
Atf4,Kcnv2,High
Atf4,Nhlh1,High
Atf4,Slc12A3,High
Atf4,Stk40,High
Atf4,Akap7,High
Atf4,Akna,High
Atf4,Kmt5A,High
Atf4,Sbdsp1,High
Atf4,Bcl2L11,High
Atf4,Csnk1D,High
Atf4,Mesdc1,High
Atf4,Mettl1,High
Atf4,Rhoq,High
Atf4,Arf1,High
