Source,Target,PValue
Msh6,Taf2,0.0
Trim28,Gemin4,0.0
Taf2,Ddx10,0.0
Taf2,Orc2,0.0
Zfp560,Zfp1,0.0
Dmrt1,Hormad1,0.0
Dmrt1,Rbm44,0.0
Gna13,Tnfaip3,0.0
Camk2b,Sall4,0.0
Lmo2,Alox5ap,0.0
Lyz2,Smad6,0.0
4930506M07Rik,Foxk2,0.0
Esrrb,Phlda2,3.2308817982609625e-294
Foxk2,Naa40,2.3382982328489202e-284
Lhx1,Chst10,1.6546212566748213e-273
Psmb8,Sp5,1.2218556809252119e-239
Ints7,Foxk2,6.494709551824186e-205
Dpf1,Pou4f1,8.73873816200014e-203
Ctcf,Mapre3,5.0580125866878805e-202
Pes1,Zfp1,3.428035979951128e-181
Tmf1,Erlec1,6.911443125253032e-169
Mcm3,Sin3a,3.6638192615011673e-163
Mybl2,Cdkn2a,2.1889754614558734e-148
Tnks2,Gpbp1,3.986692780114877e-144
Dppa5a,Foxh1,5.307605479008575e-144
Taf5,Zbed4,4.2669163231266783e-129
Rfc1,Ctcf,4.130822436523107e-127
Dmrt1,Mageb16,8.165723952671431e-122
Dis3,Dhx33,2.7172641129080903e-120
Tacstd2,Hopx,1.4038048980575493e-107
Dmrt1,Cyct,2.5474515683781347e-97
Dtl,Foxk2,6.624834231011676e-97
Zfp771,Thap7,1.0428906496698162e-91
Ubap2,Foxk2,7.335613494299918e-84
Lin9,Taf2,1.566996825525719e-79
Ikzf1,Srgn,1.933194111619654e-77
Dis3,Trim27,1.6882506518833417e-76
Taf2,Cebpz,3.4785926064124203e-72
Hells,Sin3a,4.434974746509575e-70
Ncoa3,Plekhm1,1.5560896634947887e-65
Dcaf11,Srebf1,3.85321928875936e-64
Dtymk,Taf2,1.1002691682543249e-63
Senp1,Foxk2,3.8894432024728003e-63
Etaa1,Taf2,6.534160787899564e-61
Jun,Ier3,3.0349412578055107e-58
Taf2,Mettl4,2.915671978604765e-57
Rest,Lhx1,1.1399590552070194e-56
Tcf12,Dock7,6.858346323421718e-56
Rpgr,Gpbp1,9.020216076344077e-55
Nr1d1,Trim27,2.0200183361709358e-51
Pcolce,Hic1,7.642856452892283e-51
Zfp263,Zkscan6,3.493872298923399e-50
Zmynd19,Foxk2,4.528923875130356e-48
Appbp2,Zfp654,1.1283469683035767e-45
Myst4,Thoc7,1.2415722264956401e-45
Actl6a,Kdm3a,1.796996307906623e-45
Trim28,Llgl1,1.6270139366726355e-44
Trp53bp1,Tmem37,4.712182686991199e-44
Hist1h2bc,Foxk2,3.354032674155979e-43
Mybl2,Gsg2,7.613334229825383e-43
Pax6,Gipr,5.2889472450092915e-42
Zfp42,Prdm14,1.0706898526743671e-41
