Source,Target,PValue
Hopx,Serpinb9,4.4599367573217476e-23
Pitpnm2,Gtf2i,1.0971396184545413e-16
Tcf3,Deaf1,2.842206169505822e-14
Klf15,Mat1a,7.784724910265329e-13
Pigf,Nfic,9.442891039170629e-10
Junb,Rpp30,5.971700522882808e-09
Cacybp,Gtf2e2,1.5289910438690835e-08
Ankrd33b,Rora,1.8198049704423738e-08
Irf5,Bst2,4.6338847107495704e-08
Dhtkd1,Hhex,5.945827036542038e-08
Ankrd33b,Zbtb20,9.687837403510129e-08
Rbbp7,Smad2,1.0581935653397174e-07
Fgg,Gzf1,8.716960412266091e-07
Rbbp7,Sfpq,9.7259459921105e-07
Slc9a3r2,Mxd4,1.1975143663707057e-06
Tcf3,2310011J03Rik,1.7285085155377381e-06
Lad1,Lass6,2.2379625125543e-06
Nr2f6,Oaf,3.092446149194348e-06
Hoga1,Sod2,3.6619220009261274e-06
Klf15,Fam149a,5.281562981216747e-06
Tcf3,Tnpo2,6.175674098393273e-06
Stat1,Arhgdib,6.394614169275308e-06
Zbtb16,H6pd,6.992005889676696e-06
Rbbp7,Gtf2e2,7.644785345663035e-06
Eml4,Klf15,8.449285051052212e-06
Nfix,Klf13,8.70701744032013e-06
Nfic,Acsl4,9.47387601082592e-06
Klf13,Arap1,1.0360956732250538e-05
Nfic,Sec14l4,1.6347942041669204e-05
Ddx58,Epha2,1.8258041285487812e-05
App,Tagln2,2.0640544658708833e-05
Cacybp,Tfdp1,3.38235495992425e-05
Endog,Tcea3,3.741285801239254e-05
Ahctf1,Cstf3,4.25593727165065e-05
Cc2d1a,Chmp6,5.3886466814188743e-05
Ifih1,Bhlhe40,5.7018008979889005e-05
Orm1,Irf5,8.674989295840938e-05
Rara,Ncln,9.024464424030349e-05
Ruvbl2,Tubb4b,9.898860847769681e-05
Car14,Tcea3,0.00010734180285587575
Srebf2,Ankrd13a,0.00011999538933119557
Stat5b,Ankrd33b,0.00013440553170225976
Klf15,Clu,0.00013822285978190558
Ahr,Arhgap29,0.00014759800894450448
Crem,Rhobtb1,0.00015006247224322238
Tcf3,Arf5,0.0001679163169037644
Ddx1,Tapbp,0.00020245565618576562
Nr1d1,Eml4,0.0002077271033269981
Hoga1,Hlf,0.00021544211945704106
Apex1,Rrs1,0.00022153063644483697
Gsdmd,Bhlhe40,0.00023915955028455563
Nfib,Mrc1,0.00024114199838935117
Rora,Elovl5,0.00024218221823805685
Nfib,Arhgef26,0.00025215254492820077
Lsm2,Atf6b,0.0002612622449510056
Gar1,Ssrp1,0.0002854336661988497
Stat1,Irf7,0.00031464992748737164
Car14,Klf15,0.0003504561371018171
Ddx1,Tsr1,0.00035544673049336413
Ahr,Cp,0.0003682026823231477
Zfp53,Foxn2,0.0003891790392048564
Snta1,Tcea3,0.00039260849108974647
Gemin6,Tfdp1,0.0003986655764521098
Ifi47,Irf7,0.0003989926147645781
Srebf2,Atf6b,0.00044100487021871777
Stat1,Dhx58,0.0004765245295130876
Igtp,Irf7,0.0004941694178260435
Nr1i3,Mup3,0.000517231322390436
Car14,Atoh8,0.0006436896078105373
Tcea3,Fitm1,0.0006525381195909366
Rora,C2cd2,0.0006767808602773202
Snx33,Suz12,0.0006975624975077162
Crem,Zbtb44,0.0007516761786016797
Psme1,Srebf2,0.0007542278692679602
Nfib,Lphn2,0.0007584889573230544
Nfib,Palmd,0.0007589986680311977
Setx,Zfp672,0.0007702369673633659
Apex1,Gcsh,0.0008143436712877746
Pcid2,Atf6b,0.0008523026589263519
C3,Cebpa,0.0008875942311885987
Gm2a,Atoh8,0.000906672335800304
Ddx1,Zfp36,0.000915390948881818
Aaas,Ruvbl2,0.0009466144963462855
Gemin6,Rfc1,0.0009731376862759222
Zfpm1,Pdxk,0.0010222224075009706
Gemin6,Ddx20,0.0010579696730387274
Nap1l1,Rfxank,0.0010973397746869126
Srebf2,Tnpo2,0.0011673011569612766
Atf6b,Scand1,0.001170418544295587
Cyp2d10,Hnf4a,0.0011717975681358919
Nfib,Ctsc,0.0011816426157602179
Srebf2,Dbnl,0.0012316115044957012
Elf1,Tmprss2,0.0012767658022586133
Ablim3,Atoh8,0.0013182518684381611
Agtr1a,Hhex,0.001340141049496345
Acox1,Mlxipl,0.0014178395709452806
Ddx1,Tnks1bp1,0.0014534363652718668
Tcf3,Zfp740,0.0014585943608934426
Foxp4,Ube2m,0.0015398338359429065
Nfib,Sdpr,0.0015612340024037622
Dnmt1,Lsm3,0.0016277378831859642
Gar1,Hnrnpab,0.0016735693710489554
Esr1,Sall1,0.001687787825561515
Dtx3l,Stat1,0.0017194814424637032
Nfib,Ifitm2,0.001771078945265972
Tcea3,Acot13,0.0018129251299971165
Zbtb16,Tmem110,0.0019179340781736985
Sdc1,Carhsp1,0.0020014675150287604
Dtymk,Hmgb2,0.0020092002280879253
Pigf,Zbtb16,0.002015700334126339
Ifih1,Irf7,0.002016298652984237
Ddx1,Wdr43,0.002017925805582062
Ankrd33b,Grlf1,0.0020566214222734525
Apex1,Ipo9,0.002086429628351402
Klf13,Yipf5,0.0021035582598611345
Nfib,Tgm2,0.0021060175033097055
Aldh1a1,Smarca4,0.0021958768241933015
Hltf,Zc3h7a,0.002254189302385439
Tpm1,Tcea3,0.0022660901782742843
Calcoco1,Slco2a1,0.0023087073336147132
Nr1d1,Tapbp,0.0023315285670646277
Gtf2b,Bsg,0.0023463565810012323
Grlf1,Elovl5,0.00236751979911298
Klf15,Hhex,0.0024624820399319052
Maz,Ubqln4,0.002534714019651543
Nr1i3,Mup10,0.0025440530220746053
Atf6b,Arf5,0.002549618917053995
Nr2f2,Fam149a,0.002729757996550222
Toe1,Atf6b,0.002737425815515825
Nr1i3,Amdhd1,0.002759905159433824
Nfib,Tbc1d2b,0.002880730779319992
Nr1i3,Hpx,0.0028828791175633368
Tcf3,Scand1,0.0030035005090205667
Cdk4,Tcf3,0.0031261315264171936
Mitd1,Zfp143,0.0031975293398093323
C9,Sod2,0.003233847065032963
Aldh1l1,Nr2f6,0.003255609231587939
Ahr,Ifitm2,0.0033912714610676757
Esr1,Hoga1,0.0033977346791200297
F7,Klf15,0.0034616655120535784
Aox3,Klf15,0.003500233916128329
Nfib,Colec12,0.003569970376850414
Cyp2e1,Irf5,0.0035722432087884042
Klf15,Gstt1,0.003573921589940879
Gemin6,Nolc1,0.0037411931127561537
Srebf2,Lsm2,0.003799436065522522
Tcf3,Arhgdia,0.00388990569304916
Irf7,Myd88,0.003928555250470149
Slc37a4,Mlxipl,0.003951915339401079
Ccbl1,Hes6,0.0040277509426495705
Rbm14,Sfpq,0.004031437859128943
Rbbp7,Trim27,0.004045405185204482
Cfh,Klf15,0.004070395809206081
Ccdc41,Zfp672,0.004076340869658774
Nfix,Fn1,0.004079380355679112
Nr1i3,Mbl2,0.004090442344350959
Rtp3,Klf15,0.004119088261561383
Srebf2,Sepw1,0.00414990950396806
Naa25,Mxd4,0.004199358672646214
Nfib,Ahr,0.004345976519744695
Alas2,Atoh8,0.00445821546971066
Hpx,Sall1,0.004501237654788024
Irf7,Samd9l,0.004506510227322617
Rora,Hnmt,0.0045140008323388365
Irf7,Parp14,0.004515197406837957
Hhex,Pah,0.004542103545516457
Prelid1,Gtf2ird1,0.00465703247800847
Ctsb,Cebpb,0.0046595674702858405
Crem,Serpina7,0.004659775930367763
Retsat,Rorc,0.004707070026494703
Aox3,Atoh8,0.004708592638272367
F7,Atoh8,0.004829618543079484
Zfp36,B2m,0.004872256079192927
Vasp,Gzf1,0.00493280379677573
Nfix,Nr2f2,0.004937766448853957
Ddx58,Ly6e,0.00497283992318303
Cyp2d10,Foxa3,0.005144480213030462
Rnf141,Nxt2,0.005161189095769015
Apex1,Ctps,0.005315537443822169
Itih3,Sall1,0.005321949707684495
Nr1i3,Car5a,0.005484735525680666
Snrpa1,Hmgb2,0.005519737203900699
Pcca,Sod2,0.0055566316371545256
Hamp,Klf15,0.00563098684404359
Pla2g15,Gtf2i,0.005641574919378531
