source,target,p-value,model
Onecut2,Rgn,2.82108212029465e-16,-1
Yap1,Mgst1,2.8934910469337866e-16,-1
Grlf1,Fermt2,2.990657445870357e-16,-1
Olig1,2810007J24Rik,6.010771260592241e-16,1
Mlxipl,Enpep,8.50131872144088e-16,-1
Snai2,Dlc1,1.0996843929487707e-15,1
Olig1,Cyp2c50,1.6888097596295777e-15,1
Olig1,Etnk2,1.8039541994875722e-15,1
Hlf,Rps11,2.725853198729437e-15,-1
Olig1,Mbl1,2.810548900614673e-15,1
Olig1,Cpn2,2.819734863592514e-15,1
Onecut1,Car5a,3.486238766841846e-15,-1
Olig1,Gldc,3.622122019950713e-15,1
Olig1,F11,4.48169107863692e-15,1
Onecut1,Serpinf2,6.028350359316461e-15,-1
Onecut1,Fgb,6.415401677168685e-15,-1
Tcf7l1,Uck1,1.1098818309944375e-14,1
Onecut1,Shroom1,1.1319843899366465e-14,-1
Nr1h4,Rbm47,1.1946075578191805e-14,-1
Rxrg,Kmo,1.2826936685383635e-14,-1
Sod2,Kmo,1.2826936685383635e-14,-1
Onecut1,Ces1c,2.2291121247636204e-14,-1
Onecut1,Baat,2.5461020853343146e-14,-1
Olig1,Ahsg,3.0148007319642175e-14,1
Tcf21,Fzd1,3.097737890656983e-14,-1
Smad1,Fut8,5.1851249595626256e-14,-1
Thap11,Zfp275,1.3063997811527404e-13,-1
Onecut1,Habp2,1.7067348207310046e-13,-1
Olig1,Plg,1.7100487868531335e-13,1
Nr1i3,Mttp,2.0346738050253672e-13,-1
Onecut1,Slc26a1,4.316323074685337e-13,-1
Olig1,Cfhr1,5.782803387387148e-13,1
Olig1,Mst1,6.302469040273122e-13,1
Atoh8,Fam47e,6.734072326891924e-13,-1
Onecut1,C8b,7.132309007804456e-13,-1
Rxrg,Hal,7.282359858542165e-13,-1
Sod2,Hal,7.282359858542165e-13,-1
Olig1,Clec4f,8.10398832604384e-13,1
Olig1,C8g,8.780203928067543e-13,1
Nr0b2,Cml2,1.161068359085108e-12,-1
Rxrg,Cyp2r1,1.258185467969579e-12,-1
Onecut1,Gulo,1.3790720265810253e-12,-1
Prox1,C8g,1.4331584116747932e-12,-1
Nr0b2,5830473C10Rik,1.5215295992662656e-12,-1
Mybbp1a,Banf1,1.6736283143195567e-12,-1
Olig1,Gm4788,1.9808343747470066e-12,1
Mlxipl,Echdc2,2.3158271624709786e-12,-1
Olig1,Slc6a12,2.8516646356026604e-12,1
Tcf7l1,Mfhas1,2.9730225818088565e-12,-1
Olig1,Slc22a30,3.3945103506951008e-12,1
Yap1,Kctd15,4.061565492444239e-12,-1
Onecut1,Adh6-ps1,4.255584642946066e-12,-1
Olig1,Aldoc,4.5496145309132454e-12,1
Zfp217,Plce1,4.799050197034082e-12,-1
Smad1,Zdhhc20,5.0797814043167915e-12,-1
Olig1,Apoa5,5.506999608914403e-12,1
Rfx1,Rexo2,8.495428602347521e-12,-1
Tcf7l1,Snx33,9.56108001477093e-12,1
Nr0b2,F2,1.014901659447668e-11,-1
Mybbp1a,Sf3a3,1.1869165046636535e-11,-1
Nr0b2,Serpinf2,1.330300207266055e-11,-1
Olig1,Habp2,1.3830882915680586e-11,1
Mtf1,Rbp1,1.4144684918172291e-11,-1
Sod2,Pxmp2,1.4425351711898196e-11,-1
