source,target,p-value,model
E2F2,Rab42,0.0,-1
Elk1,Rpl35,0.0,-1
Elk1,Ppm1F,0.0,-1
Elk1,Znf669,0.0,-1
Elk1,Chchd7,0.0,-1
Elk1,Lrrc73,0.0,-1
Elk1,Urb2,0.0,-1
Elk4,Lmbrd2,0.0,-1
Nfyb,Ulk4,0.0,-1
Rbbp5,Katna1,0.0,-1
Sp1,C2Cd2,0.0,-1
Sp1,Lmbrd2,0.0,-1
Sp1,Zbtb41,0.0,-1
Taf1,Ubxn7,0.0,-1
Taf1,Tex10,0.0,-1
Tcfl5,Dnaaf2,0.0,-1
Tgif1,Ubald1,0.0,-1
Klf4,Lif,1.3946551366525009e-298,-1
Ep300,Sin3A,2.2482966015101015e-264,-1
Znf787,Znf865,9.35751871668706e-261,-1
Creb5,Cxcl8,2.5587304473317753e-257,-1
Znf787,Kmt5A,1.634147829692486e-241,-1
Sp1,C14Orf28,4.295633613561955e-239,-1
Sp1,Kidins220,1.3560823156795054e-230,-1
Taf7,Cpne1,1.301674344948627e-219,-1
Elk4,Akap11,2.604252415024637e-202,-1
Tgif1,Foxcut,3.5537351661364787e-199,-1
Nfyb,Slc25A27,1.4632391747432577e-196,-1
Rb1,Lmbrd2,1.8563628292610377e-195,-1
Nfkb2,Hmga1,2.4822381876650573e-183,-1
Gabpa,Fbxl3,8.940891855295955e-182,-1
Elk4,C2Cd2,1.7936622215578158e-178,-1
Taf7,Znf442,1.2579005905812146e-177,-1
Cebpb,Gjd2,1.0759816791173399e-175,-1
Kdm5A,Ubxn7,3.7600155145508045e-175,-1
Smad5,Mier1,4.217014401588078e-174,-1
Stat1,Tmem147,2.1770151457495773e-172,-1
Cebpb,Cxcl2,2.9731865137925412e-170,-1
Foxn3,Lmo7,8.149928307458348e-168,-1
Jund,Cxcl8,2.852908350255576e-154,-1
Elk4,Snx27,2.017845428280132e-153,1
Klf4,Hbegf,5.034859409672741e-153,-1
Yy1,Atg12,5.989317262720868e-150,-1
Fosl2,F11R,1.3338158889332633e-143,-1
Taf1,Shtn1,3.7379774897456823e-143,-1
Ppara,Sigmar1,4.407145381091459e-143,1
Thap11,Eef2K,4.6073624049006695e-142,-1
Relb,Ubxn10,1.94885359666902e-141,-1
Gabpa,Sdhd,3.7958742361218963e-138,-1
Smad5,Cnot2,4.3171146305569136e-138,-1
Cebpb,Rnf149,1.8877594402979238e-136,-1
Klf16,Pqbp1,9.935420464060284e-134,-1
Klf4,Apold1,4.6970811907208594e-132,-1
Creb3L2,Gfpt1,9.040355942684303e-131,-1
Sp1,Erc1,9.567882254636732e-129,-1
Znf787,Isy1,8.342287205144354e-126,-1
Yy1,Stxbp5,1.514357748301111e-119,-1
Pbx3,Tnk2,3.441586360803951e-119,-1
Yy1,Camlg,1.172257978289401e-113,-1
Elf4,Slc15A3,2.16483984605751e-112,-1
Thap1,Fbxl3,7.518993139705276e-111,-1
Sp1,Stxbp5,7.135993624559848e-106,-1
Pbx3,Cacfd1,1.850079180357746e-105,-1
Sp1,Zdhhc13,1.879701538295483e-105,-1
Taf1,Srsf7,4.072435044595575e-102,-1
Tgif1,Dnajb5,1.2684448745206186e-101,-1
Smad5,Cbfb,2.928773702507065e-101,-1
Taf1,Map3K13,8.647476951654725e-101,-1
Elk4,Elmod2,2.842848857977725e-100,-1
Gabpa,Armt1,6.35041301401685e-98,-1
Taf1,Aak1,8.618179034121176e-97,-1
Thap11,Sugp1,2.8198931538083663e-95,-1
Etv6,Odc1,1.4401096035308943e-94,-1
Fosl1,Dnajb5,4.45540887375263e-92,-1
E2F2,Dok1,1.816454111607917e-91,-1
Rb1,Chd9,5.649495911689845e-91,-1
Elk4,Armt1,1.2995614116874212e-89,-1
Nfyb,Cmc1,2.8195090797128304e-89,-1
Sp2,Ube4B,7.689725427522101e-88,-1
Nfil3,Chac1,4.40177292874161e-87,-1
Mecom,Cd79B,1.766098518109819e-86,-1
Thap11,Slc48A1,4.2896523707717274e-85,-1
Ubtf,Thap11,7.656683921499114e-85,-1
Sp1,Pcdhga11,4.965691878914385e-83,-1
Nr2F6,Ppfia3,2.78552199546197e-82,-1
Cebpb,Slc6A4,2.9420504995158244e-82,-1
Sp1,Smarcad1,3.1394349902753987e-82,-1
Tfdp1,Tpt1,3.882429726178593e-82,-1
Nrf1,Klc3,2.141034928521792e-81,-1
Gabpa,Casd1,6.704979918270127e-81,-1
Ubtf,Tial1,4.356240241250314e-80,-1
Znf143,Zmat3,6.757387302337383e-80,1
Nfyb,Slc25A23,1.148241798601143e-79,-1
Sp1,Wdr89,1.682857521154183e-79,-1
Pbx3,Cetn2,2.2692460605727e-77,-1
Nrf1,Sppl2B,3.0753214167016675e-76,-1
Nfyb,Atf7Ip,7.916682061162015e-76,-1
Taf1,Hmg20A,4.3177973883137844e-75,-1
Ubtf,Bud13,1.3018271339371953e-74,-1
Gmeb2,Dnajb5,9.327516503203403e-74,-1
Nr2F6,Rab17,7.086745385639463e-73,-1
Gabpa,Rab11Fip2,1.307614643614302e-72,-1
Yy1,Naif1,2.1212759232720675e-72,-1
Elk1,Tmem11,2.238285060480074e-72,-1
Nfyb,Thbs3,4.943201539953018e-72,-1
Thap1,Klhl9,6.113731938748398e-72,-1
Nfyc,Tmem218,8.75853193982426e-72,-1
Jund,Chac1,1.538497973509756e-71,-1
Tfdp1,B3Gnt9,2.349309748358617e-71,-1
Nr2F6,Mgat4B,2.1423195881341236e-69,-1
Elk1,Stau2-As1,2.1667019400124223e-69,-1
Thap11,Foxo4,4.322155480574035e-67,-1
Znf787,Apba3,1.289347037115964e-66,-1
Glis2,Git1,7.335939232555284e-66,-1
Nfyc,Arhgap29,9.315544999545821e-66,-1
Hnf4A,Tob2,1.0131611400920056e-65,-1
Nfkb2,Mmp1,2.798220116190374e-65,-1
Taf1,Nsun3,4.179324638739076e-65,-1
Ubtf,Senp2,2.310193922822638e-64,-1
Elk4,Zbtb41,4.596640195540501e-64,-1
Elk3,Ampd3,5.649742723784978e-63,-1
Nfkb2,Vegfa,7.901970137981254e-63,-1
Sp1,Akap11,2.6776694061887944e-62,-1
Rbbp5,Carm1,9.708170579642063e-62,-1
Thap1,Linc00680,1.3005741840588001e-61,-1
Sp1,Wdcp,1.688778887410521e-61,-1
Ubtf,Ube3A,2.098649147041854e-61,-1
Rbbp5,Armc7,2.3226448069805008e-61,-1
Cebpb,Klf10,2.600568925982207e-61,-1
Elk4,Eef2K,1.1269887546261348e-60,-1
Sp1,Tmem86A,8.97280908706872e-60,-1
Ubtf,Tbp,1.829005493933082e-59,-1
E2F2,Fam178B,1.8878807296204074e-59,-1
Yy1,Nucks1,1.0965045402329515e-58,-1
Hnf4A,Mep1A,1.4750705366010297e-58,1
Nfyc,Rbfox2,1.6502209353669016e-58,-1
Ubtf,Ppp4R3A,3.636974614397523e-58,-1
Rbbp5,Lmbrd2,4.831485300585207e-58,-1
Sp1,Ids,2.606501693449437e-57,-1
Thap1,Phtf2,3.398268170230643e-57,-1
Rbbp5,Zdhhc13,9.069780516167156e-57,-1
Nrf1,Cactin,1.103235007729307e-56,-1
Thap11,Cadm4,1.2813280565963128e-56,-1
Thap1,Rdh10,1.2920369296835468e-56,-1
Stat1,Cd1B,4.550703786552149e-56,-1
Nrf1,Ninj1,4.687701528112952e-56,-1
Ubtf,Foxp4,6.081473755975049e-56,-1
Kdm5A,Chn1,7.998645798856251e-56,1
Elk4,Ptges3,1.435091687875142e-55,-1
Foxo4,Brox,1.4975532256077267e-55,-1
Klf4,Relt,3.7754518446419574e-55,-1
Stat1,Tnfaip2,9.680568440528796e-55,-1
Ubtf,Agap3,9.824417446122943e-55,-1
Mecom,Mrap2,1.1831424845758757e-54,-1
Gtf2F1,Mmp15,2.7778156182910335e-54,-1
Creb3,Odc1,2.96758860500481e-54,-1
Nfyb,Slc25A34,1.1938601624191847e-53,-1
Znf384,Ube4B,5.223173228130294e-53,-1
Foxo4,Yipf4,1.359850184862029e-51,-1
Thap11,Ttll9,4.035069067780343e-51,-1
Znf787,Atxn7L3,7.894503959183517e-51,-1
Rb1,Akap11,1.1798941585838466e-50,-1
Klf4,Itprip,1.7502418205016395e-50,-1
Fosb,Cnn1,8.587916743397233e-50,-1
Ep300,Ankhd1,2.4741347396657205e-49,-1
Elk4,Ints2,1.6415850652692872e-48,-1
Nfyb,Tmem143,2.306950342653716e-48,-1
Smad5,Mfsd14A,2.4283904483835076e-47,-1
Gmeb2,Dpy19L3,2.906713365554074e-47,-1
Rbbp5,Anapc1,3.0733761971668906e-47,-1
Nfkb2,Msx1,3.925138814513945e-47,-1
Hnf4A,Slc25A30,4.806778602785745e-47,-1
Gmeb2,Arfip2,6.598729134728632e-47,-1
Fosl1,Ubxn10,9.819146371465163e-47,-1
Taf1,Tbc1D12,1.0045472566880248e-46,-1
Taf1,Cept1,1.3310791714232294e-46,-1
Elk4,Pcdhga11,2.3496029299749776e-46,-1
Hnf4A,Fuca1,3.720970206072702e-46,1
Elk4,Pcdhgb8P,4.224438835440632e-46,-1
Foxo4,Rbp4,7.487102934320289e-46,1
Irf2,Slc22A23,1.0315892840533715e-45,-1
Ubtf,Rasa1,1.1397435657884791e-45,-1
Ppara,Zpr1,1.413990815522156e-45,-1
Crem,Ppara,1.4337959323035514e-45,-1
Rbbp5,Pikfyve,1.775924908723579e-45,-1
E2F7,Fignl1,2.375660897968932e-45,-1
Ubtf,Ccdc71,6.074134771605453e-45,-1
Znf384,Bcl9L,7.086178421207034e-45,-1
Gabpa,Zbtb41,7.443137064639184e-45,-1
Elf3,Dgat2,9.973657053045522e-45,-1
Gabpa,Lmbrd2,1.0744399793616609e-44,-1
Gmeb2,Vegfa,1.8604764204491858e-44,-1
Taf1,Kif27,1.920439288039308e-44,-1
Sp1,Slain1,2.1415760453190673e-44,-1
Nfyc,Cdkl5,2.307171922727497e-44,-1
Ppara,Ahcyl2,3.33409725656189e-44,1
Nfyc,Mpnd,3.72484416559329e-44,-1
Sp1,Ints2,6.496136540232207e-44,-1
Taf1,Ids,6.697156398811978e-44,-1
Ubtf,Acvr2A,8.501755210962885e-44,-1
Ubtf,Tmem267,1.3306377182282355e-43,-1
Ubtf,Rps6Ka3,1.8410381936197205e-43,-1
Hnf4A,F10,2.3648934768741515e-43,1
Fosl2,Cited2,2.4699311010725896e-43,-1
Nr2C2,Poli,2.9282221393101434e-43,-1
Nfyc,Hykk,4.291161155811613e-43,-1
Srf,Cited2,6.221933467668474e-43,-1
Creb3,Rab3B,7.557186126175003e-43,-1
Ubtf,Supt4H1,1.2127290617665622e-42,-1
Ubtf,Cpne1,2.4959484236997106e-42,-1
Nfil3,Cited2,2.892399566071598e-42,-1
Znf319,C2Orf15,3.314751930598623e-42,-1
Foxo4,Crebl2,3.9811956917051274e-42,-1
Relb,Lpin2,7.031668733728364e-42,-1
Creb5,Jund,9.015549517240087e-42,-1
Jund,Creb5,9.015549517250061e-42,-1
Cebpg,Ptpru,1.6538791079765028e-41,-1
Jun,Chac1,3.3417697386232057e-41,-1
Atf4,Gata4,3.6819995750882597e-41,-1
Gmeb2,Mettl1,4.4265294299344795e-41,-1
Znf384,Mef2A,7.063141770675838e-41,-1
Znf143,Cdc26,9.141649009306832e-41,1
Nfyb,Dok4,1.1068846829186088e-40,-1
Thap11,Sgf29,1.3668507785357515e-40,-1
Zfp62,Grtp1,2.0426552431138907e-40,-1
Rbbp5,Otud7B,3.1799423935463726e-40,-1
Ubtf,Rabep1,3.726586045366934e-40,-1
Ubtf,Pbx3,3.785856486274188e-40,-1
Thap11,Ahcyl2,8.1033623765679e-40,-1
Ubtf,Exoc3,2.4280096915000382e-39,-1
Yy1,Irf2Bp2,2.8895779201004968e-39,-1
Ep300,Cept1,3.3026403734928596e-39,-1
Rbbp5,Mlf2,3.444264335789994e-39,-1
Rb1,Nlk,4.2319336953041186e-39,-1
Gmeb2,Camsap2,1.8780452505795826e-38,-1
Nfyb,Bcat2,2.1929475509169327e-38,-1
Nr2C2,Polr2J3,3.4377708728030233e-38,-1
Sp1,Mterf1,5.225924751310722e-38,1
Rbbp5,Gltp,6.733977197634408e-38,-1
Kdm5A,Anapc10,7.279272690026225e-38,-1
Hnf4A,Pole,7.990286420543605e-38,1
Yy1,Ptges3,1.1082294202599816e-37,-1
Ubtf,Kansl1,1.2493914057215588e-37,-1
Sp1,Atg12,1.4048869951379451e-37,-1
Ubtf,Rpap2,1.6414285090279026e-37,-1
Elk4,Agfg2,1.7223765414315027e-37,-1
Znf787,Pdrg1,2.3215049543514086e-37,-1
Sp1,Snx27,5.618911348520257e-37,1
Nfyc,Chd6,8.305682164486184e-37,-1
Nfyb,Lrch4,8.815908335385978e-37,-1
Fosl1,Chac1,1.11317216071445e-36,-1
Rxra,Agpat2,1.2211551227180396e-36,-1
Smad5,Rassf8,1.7687220090287e-36,-1
Nr2F6,Tmem212,2.5188144261281115e-36,-1
Ubtf,Mettl14,2.5964649252334184e-36,-1
Clock,Akap11,3.492664125634293e-36,-1
Rbbp5,Dock9,3.764421979172927e-36,-1
Hnf4A,Fam162A,3.950734504837445e-36,-1
Nfyc,Swsap1,6.228306203175141e-36,-1
Sp1,Bcl9L,1.1099507100589301e-35,-1
Rxra,Plac1,1.2833810193095183e-35,-1
Sp1,Nucb1,1.5002580479524302e-35,-1
Gmeb2,Tdg,1.5100300067093075e-35,-1
Tfdp1,Linc01159,1.675191776514947e-35,-1
Nrf1,Tmem87A,1.8872062643211114e-35,-1
Thap1,Atg12,3.877242677229906e-35,-1
Elk4,Trappc11,4.198643782070829e-35,-1
Kdm5A,Dnmt3A,4.322920130574306e-35,-1
Tfdp1,Pafah2,5.084487315585062e-35,-1
Tfdp1,Dusp12,8.212275905503579e-35,-1
Kdm5A,Fubp1,8.352813921789616e-35,1
Znf787,Nek6,1.001970324103334e-34,-1
Tfdp1,Kpna1,1.1854604756324534e-34,-1
Nfyc,Tmem160,1.4676076854698639e-34,-1
Thap11,Tmem160,2.067652658403232e-34,-1
Nrf1,Cpne1,4.111900069935067e-34,-1
Rxra,Coro2A,4.970574445605195e-34,-1
Etv6,Mak16,5.366558267444525e-34,-1
Kdm5A,Ap4S1,7.141249482668211e-34,1
Elk4,Snx30,7.339155150880586e-34,-1
Ubtf,Orc5,1.0505976185408874e-33,-1
Rbbp5,Hps1,1.3323223323170283e-33,-1
Nr1I3,Pfkfb1,1.4384100943517e-33,-1
Hnf4A,C11Orf42,1.7340608488287367e-33,1
Rbbp5,Csnk2A1,1.8881279215027653e-33,1
Sp1,Tlr5,2.2204020110448477e-33,-1
Gata6,Crim1,2.2361772421702812e-33,-1
Rbbp5,Mkks,3.893979964012838e-33,-1
Atf4,Csnk1D,4.349229706554125e-33,-1
Rbbp5,Wdfy3,4.553444299956253e-33,-1
