source,target,p-value,model
Crem,Rassf6,2.5310119937853318e-21,-1
Rb1,Cdk8,2.6838124583207917e-21,-1
Rbbp5,Pa2G4,3.436456052381531e-21,-1
Klf4,Gja4,3.556156983793419e-21,1
Rbbp5,Gfpt1,4.711621655191568e-21,-1
Fosl1,Csrnp1,5.5696050172452346e-21,-1
Ep300,Tcf7,6.467783846031182e-21,1
Stat3,Cyp27B1,7.063132146221712e-21,-1
E2F7,Tdp1,7.350458972745327e-21,-1
Hoxc10,Cdx4,1.0646379555855403e-20,-1
Hinfp,Zfc3H1,2.5323416138259478e-20,-1
Tbp,Anapc7,7.17432929904458e-20,-1
Ep300,Ncoa6,7.657371709788844e-20,-1
Pbx3,Atp10D,7.873122258140439e-20,-1
Nrf1,Mrs2,1.1907371819386684e-19,-1
Ep300,Hlcs,1.2517500943705395e-19,-1
Mecom,Sox4,1.9279789016975276e-19,1
Rbbp5,Ahsa1,2.2322149580474583e-19,-1
E2F7,Mcm7,2.389035505755814e-19,-1
Pbx3,Lin52,2.4671304715109647e-19,-1
Prdm16,Lamp5,4.389252065267123e-19,-1
Yy1,Cbx7,4.616010789452722e-19,-1
Prdm16,Wnt7B,5.787947697867331e-19,-1
Creb3,Sf3B2,5.912673502722835e-19,-1
Thap1,Tada2B,1.0114186447692195e-18,-1
E2F2,Fancg,1.5759233446416941e-18,-1
Hnf4A,Hsd17B2,2.0549675328726443e-18,1
Rbbp5,Psmc6,2.2443688490479027e-18,-1
Elk4,Znf436,2.74715244494244e-18,-1
Etv5,Znf587B,2.8205289374450056e-18,-1
Ep300,Ncbp1,3.0563477289464725e-18,-1
Tfdp1,Eapp,3.1950603302802537e-18,-1
Hcfc1,Tmem69,3.217477227133695e-18,-1
E2F7,Ca7,3.28992291680631e-18,-1
Nr2C2,Gnpda2,3.382588358757211e-18,-1
Stat1,Ifnar1,4.67868882720852e-18,1
Prdm16,Rgma,4.894291870388771e-18,-1
Ep300,Serp2,8.719388895155096e-18,-1
Taf1,Vps52,1.3073477796209591e-17,-1
Taf7,Rsrc2,1.3360647599796288e-17,-1
Hnf1B,Hsd17B2,2.0394379449589517e-17,-1
Hoxc10,Nkx2-5,2.1398883221238637e-17,-1
Prdm16,Srl,2.215349514902303e-17,1
Creb3,Tsg101,2.7410912067742333e-17,1
Nfil3,Cst8,2.874849519648236e-17,-1
Znf384,Sobp,4.49973681332652e-17,-1
Elk1,Znf324,4.8749152599000005e-17,-1
Rarg,Ace,5.312509962148122e-17,-1
Stat2,Tbx4,6.094768839467949e-17,-1
Lhx1,Scrt1,6.446948611028965e-17,-1
Stat1,Lrrc43,6.712902268223796e-17,-1
E2F7,Kif20B,7.735220472074023e-17,-1
Rb1,Cetn3,8.073369618017101e-17,-1
Gtf2F1,Wasf2,8.549641673590993e-17,-1
Ppara,As3Mt,1.598351267756326e-16,-1
Clock,Cd164,1.8349802271643019e-16,-1
E2F2,Fanca,2.4668107135596054e-16,-1
Stat2,Kcnh7,2.5369467059739843e-16,-1
Prdm16,Tspan11,3.8904244017670224e-16,-1
Znf787,Znf205,5.1449356888184415e-16,-1
Stat1,Serpinb1,6.465746378264337e-16,1
Klf16,Dlgap4,6.588922238151494e-16,-1
Fosl1,Best1,7.683104505694193e-16,1
Atf3,Actn3,7.860172908832401e-16,-1
E2F1,Linc01565,8.42749681802906e-16,1
Sp1,Xrra1,1.1085634389345396e-15,-1
Stat1,Calb2,1.1310700783982107e-15,-1
Elk4,Tradd,1.2435526564583241e-15,-1
Elk3,Lifr,1.3097080761854792e-15,-1
Nfil3,Agpat4-It1,1.3774078779822615e-15,-1
Nfkb2,Phkg2,1.3866534695613842e-15,1
Hoxc6,Hoxc10,1.4917723740193812e-15,-1
Znf219,Nlgn2,1.7576680226437107e-15,-1
Gmeb2,Tmem259,1.7818821633933606e-15,-1
Zfp62,L3Mbtl4,2.0500822255426235e-15,-1
Hnf4A,Pms2P2,2.1216127072127924e-15,-1
Nfyb,Lmbr1L,2.279612676607239e-15,1
Nrf1,Zmym2,2.7815679690226316e-15,1
Rarg,C2Orf27A,2.8590729003657195e-15,-1
Rax2,Wnt8B,3.3502193716417303e-15,-1
Elk1,Mgat4B,3.3594856985254664e-15,-1
Nrf1,Ssh1,4.297684019021207e-15,-1
Crem,Fgl1,4.782441360585242e-15,-1
Zfp30,Slc29A1,5.162888708298389e-15,-1
Kdm5A,Zmym2,6.373306041455885e-15,-1
Znf787,Prss27,6.9591263504170075e-15,-1
Sp1,Linc00869,7.247779789357427e-15,-1
Etv6,Limk2,7.282853471636136e-15,-1
Creb3L2,Zranb2,8.814702891982256e-15,-1
Rbbp5,Gtf2H3,9.423489203673921e-15,-1
Hoxa10,Tnnt3,1.1816127195510393e-14,-1
Mybl2,Pbk,1.6782208694074066e-14,-1
Gtf2F1,Tecpr1,1.93222166138794e-14,-1
Hcfc1,Dnaaf3,1.9892497180076386e-14,-1
Tfdp1,Klhl42,2.016098422337656e-14,-1
Gata1,Tacr3,3.739817016491439e-14,1
Rbbp5,Stam,4.62984565277221e-14,-1
Nfkb2,Eno2,5.332466557492545e-14,1
Znf143,Trim47,5.615398551564222e-14,-1
Relb,Stap2,5.93303000803673e-14,-1
Elk1,Znf324B,6.57547799460308e-14,-1
Rbbp5,Nbpf1,6.739634280904157e-14,-1
Rarg,Hoxa3,7.481417216450446e-14,-1
Tbp,Fam32A,7.624682528835763e-14,-1
Gmeb2,Fry,8.63719999783068e-14,1
Elk1,Pgc,9.903321288384106e-14,-1
Yy1,Dek,1.0518005641675215e-13,-1
Hcfc1,Polr2G,1.0931608621507528e-13,-1
Lhx1,Gfap,1.1537964104310572e-13,-1
Ep300,Qser1,1.3301153964600028e-13,-1
Hcfc1,Pcyt1A,1.534376262968392e-13,-1
Etv6,Xpnpep1,1.7826254769353378e-13,-1
Creb3,Tomm40,2.0279278933097893e-13,-1
Klf16,Tomm34,2.107955996150222e-13,-1
Tfdp1,Srd5A3,2.1763629445178576e-13,-1
E2F2,Traip,2.50595775241523e-13,-1
Gtf2F1,Znf219,2.8365137694550345e-13,-1
Klf16,Mnt,2.967464848247673e-13,-1
Rb1,Ctcf,3.0824134083295325e-13,-1
Tfdp1,Agpat1,3.1677276003766487e-13,-1
Elk1,Znf219,3.227906024906844e-13,-1
Etv5,Spry4-It1,3.284369971026995e-13,-1
Tfdp1,Abca5,4.533191872507781e-13,-1
Gmeb2,Pqbp1,4.73807038411099e-13,-1
E2F8,Cdca5,4.81843730295446e-13,-1
Hcfc1,Yrdc,5.614814150936714e-13,1
Tfdp1,Mxd4,5.731619223530831e-13,-1
Ep300,Ears2,5.921399551566605e-13,-1
Yy1,Hexim1,8.576973009424176e-13,-1
Taf7,Tbp,8.597503165863185e-13,-1
Setdb1,Setd5,9.332208744308194e-13,-1
Stat1,Lilrb1,9.776743088406504e-13,-1
Elf4,Linc01315,9.798984321763635e-13,1
Gtf2F1,Yrdc,9.83729647132817e-13,1
Gtf2F1,Ovch1-As1,1.056767321764433e-12,-1
Znf384,Nup93,1.0958263615839868e-12,-1
Thap1,St3Gal2,1.1203323446333746e-12,-1
Tbp,Ahctf1,1.1359729441170722e-12,-1
Etv5,Bbs12,1.3038914132432715e-12,-1
Rarg,Kcnh3,1.3903734707337334e-12,-1
Rxra,Cldn2,1.4159965967406665e-12,-1
Rfx1,Me3,1.5839962786388667e-12,-1
Sp1,Nbpf1,2.519601501780946e-12,-1
Znf384,Bicd1,2.6087963213989094e-12,-1
E2F7,Atad2,2.6423834531110976e-12,-1
Crem,Scamp1,2.847786970999308e-12,-1
Ctbp2,Plekha2,3.1877132749704e-12,-1
Elk1,Dgkq,3.2627755559851875e-12,-1
Tfdp1,Elp6,3.3375317278299456e-12,-1
Thap11,Znf436,3.4002311424813194e-12,-1
Relb,Spata13,3.404613573476871e-12,-1
Rcor1,Hnrnph3,3.650301302001767e-12,-1
Hlf,Klf3-As1,3.701345969105314e-12,-1
Thap11,Stau1,3.773518452218539e-12,-1
Tbp,C1Galt1,4.032385374896806e-12,1
Prdm16,Cdh6,4.957882235341541e-12,1
Elk1,Natd1,5.293570106634022e-12,1
Esrra,Atg4D,5.4748668324160715e-12,1
Esrra,Ppp1R16A,5.572981874984602e-12,1
Hnf4A,Maml3,5.828106160062114e-12,-1
E2F2,Rhobtb2,6.4519698804671735e-12,-1
E2F7,Ucp2,6.501116549704378e-12,-1
Elf4,Cacng8,6.5106660705902754e-12,-1
Nfkb2,Cers5,7.260714579422571e-12,-1
Stat2,Samd9,7.271016256478899e-12,-1
Rbbp5,Znf146,8.176785221713682e-12,-1
Elk1,Snhg21,9.132280236743497e-12,-1
Prdm16,Cysltr2,1.0499128467050566e-11,-1
Foxo3,Heca,1.0851470954612491e-11,-1
Znf143,Znf8,1.229500602290117e-11,-1
Rbbp5,Arl1,1.3203970647869939e-11,-1
Prdm16,Itga3,1.3322346315907676e-11,1
Creb3,Exosc5,1.4279171091304607e-11,-1
Elf4,Lrrc4,1.5322462456951383e-11,-1
Mybl2,Uhrf1,1.5456527451253904e-11,-1
Tfdp1,Wdtc1,1.5774963839598215e-11,-1
Foxo3,Insig1,1.595583163874987e-11,1
Nrf1,Ift52,1.6087189869904732e-11,-1
Tfap4,Mcm7,1.9208583403957623e-11,1
Sp1,Efna4,2.0285939969927526e-11,-1
Ep300,Scrn3,2.2386165333906543e-11,-1
Tbp,Zeb1-As1,2.285385424956056e-11,-1
E2F7,Aff2,2.4525635382018747e-11,-1
Nkx6-2,Fbxl16,2.803234563968168e-11,-1
Tfdp1,Prnp,3.0800001196896115e-11,1
Hcfc1,Stk11Ip,3.4186077315443405e-11,-1
Tbp,Spats2,4.267954207709495e-11,-1
Tfdp1,Tut1,4.4319456973324115e-11,-1
Bcl3,Sbno2,5.3395875730419675e-11,-1
Ets2,Efna1,5.360418454590483e-11,-1
Tfdp1,Mutyh,5.666310041857072e-11,-1
Etv6,Kifc3,5.991653221637158e-11,-1
Nr2F6,Mlxipl,7.260610404797933e-11,-1
Yy1,Hmbox1,7.917546757273315e-11,-1
Rarg,Pcyt1B,8.207558538696575e-11,1
Relb,Znf670,8.440680123966871e-11,1
Mlx,Fkbp5,1.0252179970621659e-10,1
Elk4,Supt20H,1.0363922149437223e-10,-1
Hnf1B,Kcna4,1.0483638583389652e-10,1
Foxo3,Snord89,1.058008120230097e-10,-1
Fosl1,Ybx3,1.1087300548014409e-10,-1
Nfil3,Lox,1.1400319199020941e-10,-1
Cebpg,Gpam,1.1587072782393703e-10,1
Mafg,Arhgef19,1.1643018843200028e-10,-1
Elk4,Exd2,1.1815909171443916e-10,-1
Etv4,Paqr5,1.1862037291567354e-10,1
Zfp62,Lrrtm1,1.3474308640178505e-10,-1
Taf7,Rasa1,1.377052792795182e-10,-1
Hcfc1,Ahnak2,1.3961216065432755e-10,1
Fosl2,Rgcc,1.4543761100974387e-10,-1
Rb1,Barx2,1.6467753695783614e-10,1
Ep300,Fbxo3,1.7752432727570033e-10,1
E2F2,Mns1,1.7807234972925868e-10,-1
Elk4,Bmt2,1.804906758884564e-10,-1
Rbbp5,Spty2D1,1.8265174708137626e-10,-1
Nfe2L2,Hsd17B2,1.902687637807575e-10,-1
Znf718,C2Orf27A,2.063496174826476e-10,-1
Thap1,Alg12,2.0709271495017284e-10,-1
Esrra,Ankrd9,2.4426036636519725e-10,1
Rela,Taf10,2.584765255191357e-10,-1
Etv6,Cyp4V2,2.6801605669008217e-10,-1
Tfdp1,C9Orf64,2.7568644188488573e-10,-1
Nfyc,Bcl2L12,2.933131408321377e-10,-1
Tfdp1,Klhl15,3.03110969230952e-10,1
Rbbp5,Serinc1,3.2175740147568533e-10,-1
Tfdp1,Rfwd3,3.323342580677437e-10,-1
E2F7,Tpgs2,3.430239249914593e-10,-1
Irf9,Ifi35,3.46945314327884e-10,-1
Tfdp1,Triobp,3.87090898261897e-10,-1
Rfx1,Zdhhc1,3.9224978751865e-10,-1
Etv6,Pxdc1,4.109676458855202e-10,-1
Stat2,Il1Rap,4.2311041388462257e-10,-1
Klf16,Fosl1,4.2496476813942316e-10,-1
Tfdp1,Gmnn,4.5870853459426936e-10,-1
Hcfc1,Snrnp40,4.6382788612826983e-10,-1
Znf426,Cst2,4.950769889743247e-10,-1
Klf16,Ccdc107,5.523694130428642e-10,-1
Mecom,Sh2D3A,5.613266681954731e-10,1
Tfdp1,Hand1,5.810150348873675e-10,1
Tfdp1,Atp6Ap1,6.06052723456336e-10,-1
Elk4,Cggbp1,6.22558851913644e-10,-1
Etv6,Lsg1,6.683877642648754e-10,-1
Elk4,Srp9,6.807568107288965e-10,-1
Rarg,Tfap2A,6.829992310261123e-10,-1
Tbx21,Dusp2,6.966521666678578e-10,-1
Pbx3,Hs3St3B1,7.821596241865026e-10,-1
Nfkb2,Ube2Z,8.399752420608563e-10,-1
Elk4,Uvrag,8.543903290580267e-10,-1
Rb1,Papola,9.19275010907212e-10,-1
Prdm16,Adra2C,9.62840460894849e-10,-1
Elk4,Ago3,9.976097454762377e-10,-1
Prdm16,Heyl,1.0366899541027814e-09,-1
Elk1,Linc01547,1.286880300247388e-09,-1
Tbp,Nfatc2Ip,1.6069218515899775e-09,-1
Tfdp1,Ogg1,1.6293109753710692e-09,-1
Thap11,Git1,1.7824254554804171e-09,-1
Elk3,Marcksl1,1.8785797895727865e-09,-1
Tfdp1,Akt2,2.1947132143077802e-09,-1
E2F7,Cenpq,2.244188887435929e-09,-1
Ctcf,Upf2,2.3384890981262076e-09,-1
Eomes,Dusp2,2.388682865040093e-09,1
Taf1,Zmym2,2.5372923672568867e-09,-1
Hoxc10,Hoxa6,2.5561768998399633e-09,-1
Tfdp1,Tirap,2.6536308906367327e-09,-1
Pbx3,Dstn,2.6753921352154933e-09,-1
E2F2,Ccnf,2.6977744963806994e-09,-1
Tbp,Pcgf1,2.8152626337681307e-09,-1
E2F6,Lpgat1,2.871002091113982e-09,-1
Rbbp5,Spata5L1,3.156120756451325e-09,-1
Foxp2,Hpgd,3.2461653115971312e-09,-1
Elk4,Znf317,3.7715566475444986e-09,-1
Prdm16,Kcng1,3.825034662287137e-09,-1
Taf7,Bmt2,3.8840337609851465e-09,-1
Hcfc1,Sfrp2,4.053215718954052e-09,-1
Sp2,Ep300,4.244119380036995e-09,-1
Stat2,Il16,4.362744770557073e-09,-1
